similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_32708	MCF7
0.6204	1.3894e-55	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_32707	MCF7
0.534	6.1386e-39	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_26669	HT29
0.4604	4.0022e-28	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_6634	A549
0.4547	2.1733e-27	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_59081	VCAP
0.4495	9.8321e-27	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_59080	VCAP
0.4229	1.5402e-23	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_16666	HA1E
0.4018	3.293e-21	510	LDN 193189	LSM-1115	ACVR1|BMPR1A	10uM	6h	LINCSCP_29298	LOVO
0.393	2.7775e-20	510	Omacetaxine Mepesuccinate	LSM-3716	NA	0.5uM	24h	LINCSCP_9495	A549
0.3901	5.589e-20	510	Narciclasine	LSM-4934	RHOA	1uM	24h	LINCSCP_9695	A549
0.3847	1.9347e-19	510	Crizotinib	LSM-1027	ALK|MET	10uM	6h	LINCSCP_32749	MCF7
0.3835	2.5899e-19	510	Perhexiline	LSM-4353	CPT1A|CPT2	10uM	6h	LINCSCP_51038	RMUGS
0.3835	2.593e-19	510	Verrucarin A	LSM-43143	NA	10uM	24h	LINCSCP_10974	ASC
0.381	4.5384e-19	510	JW-7-24-1	LSM-42734	LCK	10uM	6h	LINCSCP_2242	A375
-0.38	5.7113e-19	510	CHEMBL1222381	LSM-6252	NA	80uM	6h	LINCSCP_4777	A549
0.3762	1.3495e-18	510	Omacetaxine Mepesuccinate	LSM-3716	NA	0.12uM	24h	LINCSCP_161586	PC3
0.3747	1.9134e-18	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_26668	HT29
0.3732	2.6697e-18	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_46983	PC3
0.3704	4.9349e-18	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_22563	HEPG2
0.3697	5.7782e-18	510	Narciclasine	LSM-4934	RHOA	0.1uM	6h	LINCSCP_9809	A549
0.3688	7.0013e-18	510	LDN 193189	LSM-1115	ACVR1|BMPR1A	10uM	24h	LINCSCP_44878	PC3
0.3684	7.7098e-18	510	Narciclasine	LSM-4934	RHOA	0.5uM	24h	LINCSCP_9693	A549
0.3649	1.6398e-17	510	LDN 193189	LSM-1115	ACVR1|BMPR1A	3.33uM	3h	LINCSCP_163254	SKBR3
0.3645	1.7916e-17	510	Aloisine A	LSM-4110	CDK2	10uM	6h	LINCSCP_56194	VCAP
-0.3636	2.1701e-17	510	BSPBIO_001592	LSM-43102	PTGS1|PTGS2	50uM	6h	LINCSCP_19585	HCC515
0.363	2.4713e-17	510	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_46984	PC3
0.3621	3.0474e-17	510	XMD-1499	LSM-42713	EPHB3	10uM	6h	LINCSCP_26752	HT29
0.3603	4.4814e-17	510	QL47	LSM-6019	BMX|BTK	1uM	24h	LINCSCP_11857	BT20
0.3602	4.5498e-17	510	Azacitidine	LSM-5218	DNMT1|DNMT3A	10uM	24h	LINCSCP_158349	PC3
-0.3601	4.6074e-17	510	PG 490	LSM-6185	NA	0.1uM	6h	LINCSCP_869	A375
0.3598	4.9617e-17	510	Avicin-G	LSM-44622	NA	0.5uM	24h	LINCSCP_9881	A549
0.3596	5.1224e-17	510	Omacetaxine Mepesuccinate	LSM-3716	NA	0.1uM	24h	LINCSCP_9494	A549
0.3591	5.7514e-17	510	SCHEMBL6874948	LSM-5674	LCK	10uM	3h	LINCSCP_113343	HME1
-0.359	5.8502e-17	510	AC1OCDAW	LSM-1622	TOP2A	10uM	6h	LINCSCP_33690	MCF7
-0.3584	6.652e-17	510	PG 490	LSM-6185	NA	0.1uM	6h	LINCSCP_19450	HCC515
0.3557	1.1829e-16	510	pyrvinium-pamoate	NA	AR	10uM	6h	LINCSCP_13606	H1299
0.3556	1.1945e-16	510	Kinetin Riboside	LSM-6292	NA	10uM	6h	LINCSCP_15688	HA1E
