similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.8361	3.9052e-19	69	MLS002276484	LSM-2585	NA	10uM	24h	LINCSCP_1134	A375
0.7969	2.6296e-16	69	Tivantinib	LSM-1131	MET	3.33uM	24h	LINCSCP_69697	A375
0.7913	5.8631e-16	69	Tivantinib	LSM-1131	MET	1.11uM	24h	LINCSCP_69698	A375
0.768	1.359e-14	69	BRD-K10436544	LSM-45992	NA	10uM	6h	LINCSCP_35561	MCF7
-0.7678	1.3871e-14	69	CHEMBL2357005	LSM-6822	NA	3.33uM	24h	LINCSCP_28591	HT29
0.7611	3.2134e-14	69	Lexibulin	LSM-6232	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	1uM	24h	LINCSCP_683	A375
0.76	3.6582e-14	69	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	3.33uM	24h	LINCSCP_79052	A375
0.7578	4.8092e-14	69	CHEMBL1394132	LSM-3090	NA	10uM	24h	LINCSCP_1173	A375
0.747	1.6945e-13	69	DY131	LSM-3385	ESR2|ESRRG	10uM	24h	LINCSCP_44042	PC3
0.7466	1.7818e-13	69	GW620972X	LSM-1209	NA	1.11uM	24h	LINCSCP_112910	HEPG2
0.7459	1.9277e-13	69	MAZ51	LSM-43044	FLT4	10uM	24h	LINCSCP_392	A375
0.7456	2.0025e-13	69	MLS000082430	LSM-2601	NA	10uM	24h	LINCSCP_1136	A375
0.7451	2.1148e-13	69	SKF96365	LSM-1766	CYP3A4|TRPC1	10uM	24h	LINCSCP_7553	A549
0.7338	7.3974e-13	69	GW620972X	LSM-1209	NA	0.12uM	24h	LINCSCP_114683	HME1
0.7335	7.6026e-13	69	GSK-461364	LSM-1013	PLK1	0.12uM	24h	LINCSCP_70051	A375
0.7326	8.4067e-13	69	MG-132	LSM-1107	PSMB1	20uM	24h	LINCSCP_166979	YAPC
0.7318	9.1537e-13	69	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_130667	MCF10A
0.7289	1.2412e-12	69	Sildenafil	LSM-3797	PDE5A	10uM	24h	LINCSCP_6910	A549
0.7285	1.3001e-12	69	MLS001065891	LSM-3963	NA	10uM	24h	LINCSCP_25977	HT29
0.7268	1.5419e-12	69	BRD-K55149044	LSM-6839	NA	10uM	24h	LINCSCP_48543	PC3
0.7268	1.5482e-12	69	TH-302	LSM-45919	NA	10uM	24h	LINCSCP_72957	A375
0.7262	1.6521e-12	69	ESTRAMUSTINE	LSM-45460	NA	10uM	24h	LINCSCP_78664	A375
0.7248	1.9084e-12	69	CHEMBL2361787	LSM-13210	NA	5uM	24h	LINCSCP_8421	A549
0.7245	1.9732e-12	69	CHEMBL2362317	LSM-12520	NA	10uM	24h	LINCSCP_3725	A375
0.7237	2.145e-12	69	Docetaxel Intermediate	LSM-5723	TUBB	10uM	24h	LINCSCP_5761	A549
0.7236	2.1657e-12	69	Triazolothiadiazine, 23	LSM-3093	NA	10uM	24h	LINCSCP_1405	A375
0.717	4.2417e-12	69	CHEMBL2362317	LSM-12520	NA	10uM	24h	LINCSCP_9069	A549
0.7168	4.3147e-12	69	Docetaxel Intermediate	LSM-5723	TUBB	10uM	24h	LINCSCP_46106	PC3
0.7162	4.5949e-12	69	HG-5-113-01	LSM-42739	NA	10uM	24h	LINCSCP_6227	A549
0.7148	5.261e-12	69	Rigosertib	LSM-44531	CDK1|F2R|FLT1|FYN|PDGFRA|PLK1|PLK2|SRC	1.11uM	24h	LINCSCP_70568	A375
0.7126	6.5263e-12	69	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	1.11uM	24h	LINCSCP_82646	A549
0.7124	6.6361e-12	69	GSK-461364	LSM-1013	PLK1	1.11uM	24h	LINCSCP_80672	A375
0.7121	6.8422e-12	69	MG-132	LSM-1107	PSMB1	20uM	24h	LINCSCP_135173	MCF7
0.7116	7.2225e-12	69	Terreic-acid	LSM-5107	BTK	10uM	6h	LINCSCP_32624	MCF7
0.7109	7.7174e-12	69	MG-132	LSM-1107	PSMB1	20uM	24h	LINCSCP_135084	MCF7
0.7106	7.9559e-12	69	cortisone-acetate	LSM-45387	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	10uM	24h	LINCSCP_79726	A375
0.7101	8.3672e-12	69	GW620972X	LSM-1209	NA	0.12uM	24h	LINCSCP_117871	HT29
0.7093	9.0034e-12	69	Epothilone B (EPO906, Patupilone)	LSM-46001	NA	10uM	24h	LINCSCP_78550	A375
0.7075	1.0714e-11	69	JLK-6	LSM-2489	PSEN1	10uM	6h	LINCSCP_14228	HA1E
0.7067	1.1632e-11	69	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	1.11uM	24h	LINCSCP_70598	A375
0.7056	1.284e-11	69	cortisone-acetate	LSM-45387	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	0.37uM	24h	LINCSCP_79729	A375
0.7048	1.3855e-11	69	CHEMBL210901	LSM-42891	NA	10uM	24h	LINCSCP_44015	PC3
0.7048	1.388e-11	69	Cromakalim	LSM-1794	KCNJ8	10uM	24h	LINCSCP_7013	A549
0.7047	1.3993e-11	69	Rotenone	LSM-5260	MT-ND1	0.5uM	24h	LINCSCP_645	A375
0.703	1.656e-11	69	3,7-Bis(dimethylamino)phenothiazin-5-ium	LSM-4555	ACHE	10uM	6h	LINCSCP_54508	SW948
0.702	1.8061e-11	69	Carbazole, 9-(4-methylbenzoyl)-	LSM-3597	NA	10uM	24h	LINCSCP_1206	A375
0.7014	1.9095e-11	69	SCHEMBL3954849	LSM-5982	NA	0.12uM	3h	LINCSCP_132214	MCF7
0.7008	2.022e-11	69	cortisone-acetate	LSM-45387	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	3.33uM	24h	LINCSCP_79727	A375
0.6996	2.2585e-11	69	SGX-523	LSM-1123	MET	10uM	24h	LINCSCP_70656	A375
0.6994	2.3027e-11	69	Isoliquiritigenin	LSM-43093	GABBR1	10uM	6h	LINCSCP_15586	HA1E
0.6984	2.5283e-11	69	GSK-461364	LSM-1013	PLK1	0.04uM	24h	LINCSCP_70052	A375
0.696	3.1692e-11	69	Apremilast (CC-10004)	LSM-45894	PDE4A|PDE4B|PDE4C|PDE4D	0.37uM	24h	LINCSCP_127333	HT29
0.6957	3.2551e-11	69	PX 12	LSM-4918	TXN|TXNRD1	30uM	6h	LINCSCP_207775	H1299
0.6953	3.3809e-11	69	BRD-K42125900-001-01-9	LSM-5535	TUBB	10uM	24h	LINCSCP_6169	A549
0.6952	3.3984e-11	69	Tivantinib	LSM-1131	MET	1.11uM	24h	LINCSCP_71887	A375
0.695	3.4736e-11	69	Rita	LSM-6201	MDM2	10uM	6h	LINCSCP_206665	EFO27
0.6938	3.8805e-11	69	GSK-461364	LSM-1013	PLK1	0.04uM	24h	LINCSCP_80675	A375
0.6933	4.0449e-11	69	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	1.11uM	24h	LINCSCP_79053	A375
0.6929	4.1793e-11	69	VU0365121-1	LSM-2981	NA	10uM	24h	LINCSCP_1402	A375
0.6929	4.1965e-11	69	GW620972X	LSM-1209	NA	0.04uM	24h	LINCSCP_152472	PC3
0.6927	4.2794e-11	69	SMR001317659	LSM-2094	NA	10uM	24h	LINCSCP_1098	A375
0.6925	4.3498e-11	69	altrenogest	LSM-45498	NA	0.12uM	24h	LINCSCP_76318	A375
0.6922	4.4746e-11	69	K784-3187	LSM-45465	ESR2	10uM	24h	LINCSCP_78178	A375
0.692	4.5511e-11	69	Scoulerine	LSM-3391	ADRA1D|ADRA2A|GABRA1	10uM	24h	LINCSCP_33398	MCF7
0.6914	4.8125e-11	69	GSK-461364	LSM-1013	PLK1	0.04uM	24h	LINCSCP_117238	HT29
0.6911	4.9346e-11	69	Rigosertib	LSM-44531	CDK1|F2R|FLT1|FYN|PDGFRA|PLK1|PLK2|SRC	0.12uM	24h	LINCSCP_70570	A375
0.6908	5.0851e-11	69	Albendazole	LSM-3782	NA	3.33uM	24h	LINCSCP_79917	A375
0.6907	5.1178e-11	69	MG-132	LSM-1107	PSMB1	10uM	24h	LINCSCP_11454	ASC
0.689	5.9667e-11	69	Rigosertib	LSM-44531	CDK1|F2R|FLT1|FYN|PDGFRA|PLK1|PLK2|SRC	1.11uM	24h	LINCSCP_112796	HEPG2
0.6882	6.3843e-11	69	MG-132	LSM-1107	PSMB1	20uM	24h	LINCSCP_135175	MCF7
0.688	6.5066e-11	69	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	10uM	24h	LINCSCP_117783	HT29
0.6879	6.6002e-11	69	Dolastatin 10	LSM-45943	NA	10uM	24h	LINCSCP_79499	A375
0.6872	6.9736e-11	69	GSK-461364	LSM-1013	PLK1	0.37uM	24h	LINCSCP_80673	A375
0.687	7.1174e-11	69	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	3.33uM	24h	LINCSCP_82645	A549
0.6869	7.1933e-11	69	BRD-K84245233	LSM-6856	NA	5uM	24h	LINCSCP_3432	A375
0.6865	7.4365e-11	69	MG-132	LSM-1107	PSMB1	20uM	24h	LINCSCP_135082	MCF7
0.6862	7.6699e-11	69	Tivantinib	LSM-1131	MET	3.33uM	24h	LINCSCP_71886	A375
0.6856	8.0844e-11	69	BRN 1088760	LSM-43335	NA	10uM	6h	LINCSCP_26538	HT29
0.6851	8.3922e-11	69	179324-69-7	LSM-6281	ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1	20uM	24h	LINCSCP_136796	MCF7
0.6849	8.6088e-11	69	NMS-1286937	LSM-45818	NA	0.12uM	24h	LINCSCP_78326	A375
0.6846	8.7677e-11	69	Fenbendazole	LSM-3134	TUBB	10uM	24h	LINCSCP_7608	A549
0.6842	9.0864e-11	69	CHEMBL593506	LSM-2831	CHRM5	10uM	24h	LINCSCP_1396	A375
0.6842	9.1475e-11	69	MG-132	LSM-1107	PSMB1	20uM	24h	LINCSCP_135081	MCF7
0.684	9.3151e-11	69	179324-69-7	LSM-6281	ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1	20uM	24h	LINCSCP_136081	MCF7
0.6839	9.3623e-11	69	179324-69-7	LSM-6281	ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1	20uM	24h	LINCSCP_166718	YAPC
0.6837	9.5451e-11	69	Albendazole	LSM-3782	NA	10uM	24h	LINCSCP_79916	A375
0.6831	1.006e-10	69	Pentobarbital	LSM-1566	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	0.04uM	24h	LINCSCP_136740	MCF7
0.683	1.0084e-10	69	2-Methoxyestradiol	LSM-45490	NA	3.33uM	24h	LINCSCP_73198	A375
0.6827	1.0372e-10	69	BI-2536	LSM-1041	PLK1	10uM	6h	LINCSCP_12556	CL34
0.6824	1.0696e-10	69	Pifithrin MU	LSM-4188	HSPA1A|TP53	10uM	6h	LINCSCP_27163	HT29
0.682	1.1008e-10	69	CHEMBL2361787	LSM-13210	NA	10uM	24h	LINCSCP_3624	A375
0.6818	1.1238e-10	69	Dovitinib	LSM-1127	EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB	10uM	24h	LINCSCP_130530	MCF10A
0.6818	1.1267e-10	69	cortisone-acetate	LSM-45387	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	1.11uM	24h	LINCSCP_79728	A375
0.6813	1.1735e-10	69	Epothilone A	LSM-43229	NA	10uM	24h	LINCSCP_6200	A549
