similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.9	9.1889e-105	287	Hydroxychloroquine	LSM-5193	TLR7|TLR9	10uM	24h	LINCSCP_34460	MCF7
-0.648	1.4438e-35	287	4L7B	LSM-36813	KEAP1	3.33uM	24h	LINCSCP_23938	HEPG2
-0.5882	4.1798e-28	287	936890-98-1	LSM-42786	MTOR	0.04uM	24h	LINCSCP_111636	HEPG2
-0.5595	4.8295e-25	287	GSK429286A	LSM-1012	ROCK1	0.04uM	24h	LINCSCP_149112	NPC
0.5468	8.8178e-24	287	AC1MSUFC	LSM-6191	HMGCR	40uM	6h	LINCSCP_13429	H1299
-0.5284	4.887e-22	287	Ehna	LSM-2600	ADA|PDE2A	10uM	6h	LINCSCP_220715	HEPG2
-0.5077	3.3162e-20	287	Dexniguldipine	LSM-15285	NA	1.11uM	24h	LINCSCP_93944	HA1E
0.4964	2.933e-19	287	Nimodipine	LSM-1659	CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2	10uM	6h	LINCSCP_205873	CORL23
0.494	4.635e-19	287	AS601245	LSM-1034	MAPK10|MAPK8|MAPK9	1uM	6h	LINCSCP_51527	SKBR3
-0.4863	1.9374e-18	287	CHEMBL436817	LSM-6200	NA	40uM	6h	LINCSCP_13443	H1299
0.4805	5.5325e-18	287	BRD-K60202553	LSM-40563	NA	5uM	24h	LINCSCP_27933	HT29
0.4801	5.9381e-18	287	Propidium	LSM-5329	NA	10uM	24h	LINCSCP_243942	MCF7
-0.4734	1.9623e-17	287	SCHEMBL16980224	LSM-1092	AURKA	0.04uM	24h	LINCSCP_112650	HEPG2
0.4591	2.2873e-16	287	BRD-K82488679	LSM-13467	NA	5uM	24h	LINCSCP_8389	A549
-0.4576	2.9522e-16	287	BRD-K47977047-001-01-2	LSM-6836	NA	5uM	24h	LINCSCP_229366	HT29
0.4567	3.4342e-16	287	CL-976	LSM-6282	ACAT1	80uM	6h	LINCSCP_57217	VCAP
0.4555	4.186e-16	287	Clopidogrel	LSM-5415	P2RY12	10uM	24h	LINCSCP_31352	MCF7
-0.455	4.4959e-16	287	Isoliquiritigenin	LSM-43093	GABBR1	10uM	6h	LINCSCP_10557	AGS
0.4534	5.9067e-16	287	NCGC00011767	LSM-3280	NA	10uM	6h	LINCSCP_238629	MCF7
0.4523	7.0324e-16	287	BRD-K50388960	LSM-40063	NA	5uM	24h	LINCSCP_35027	MCF7
0.452	7.4367e-16	287	Tranilast	LSM-42898	NA	10uM	6h	LINCSCP_31796	MCF7
0.4485	1.3088e-15	287	BRD-K65196043	LSM-7717	NA	5uM	6h	LINCSCP_60119	VCAP
-0.4437	2.8538e-15	287	16Beta-bromoandrosterone	LSM-6294	G6PD	10uM	6h	LINCSCP_13605	H1299
0.4433	3.0208e-15	287	BECLOMETHASONE DIPROPIONATE	LSM-45855	NA	3.33uM	24h	LINCSCP_102892	HELA
0.44	5.1275e-15	287	Reserpine	LSM-4162	SLC18A1|SLC18A2	3.33uM	24h	LINCSCP_176246	YAPC
-0.4374	7.6799e-15	287	Scopolamine	LSM-1684	CHRM1|CHRM2|CHRM3|CHRM4	10uM	6h	LINCSCP_2559	A375
0.4363	9.1265e-15	287	BRD-K65526065	LSM-40849	NA	5uM	24h	LINCSCP_35039	MCF7
0.4336	1.376e-14	287	STK054715	LSM-1925	NA	10uM	6h	LINCSCP_31444	MCF7
0.4314	1.9442e-14	287	BRD-K89390280	LSM-15064	NA	10uM	6h	LINCSCP_64815	VCAP
0.4309	2.0894e-14	287	FPA1_000301	LSM-36736	NA	10uM	24h	LINCSCP_239969	MCF7
0.429	2.8003e-14	287	Leflunomide	LSM-3771	DHODH	10uM	24h	LINCSCP_244064	MCF7
0.4209	9.4841e-14	287	BRD-K08212968	LSM-6963	NA	5uM	6h	LINCSCP_298878	VCAP
0.4188	1.2843e-13	287	pyrvinium-pamoate	NA	AR	10uM	6h	LINCSCP_40149	NCIH2073
0.4165	1.8022e-13	287	Estradiol	LSM-2421	ESR1|ESR2|NR1I2	0.5uM	6h	LINCSCP_254426	MCF7
0.4159	1.9753e-13	287	Retigabine	LSM-45405	KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5	0.12uM	24h	LINCSCP_175440	YAPC
0.4159	1.9776e-13	287	BRD-K30126976	LSM-38915	NA	10uM	24h	LINCSCP_258946	NEU
0.4158	1.996e-13	287	BRD-K57200229-001-01-6	LSM-6809	NA	10uM	24h	LINCSCP_41059	NEU
-0.4152	2.1757e-13	287	Tamatinib	LSM-1040	SYK	0.37uM	24h	LINCSCP_90480	HA1E
-0.4134	2.8221e-13	287	ML175	LSM-3291	NA	10uM	24h	LINCSCP_25945	HT29
0.4121	3.4111e-13	287	Proadifen	LSM-3023	NOS1	10uM	24h	LINCSCP_34492	MCF7
-0.4118	3.5723e-13	287	Tamibarotene	LSM-5493	RARA|RARB	10uM	24h	LINCSCP_167372	YAPC
-0.4118	3.5928e-13	287	DOCETAXEL	LSM-45649	NA	0.04uM	24h	LINCSCP_93079	HA1E
0.4112	3.8645e-13	287	BRD-K89207838	LSM-42133	NA	5uM	24h	LINCSCP_249109	MCF7
0.4108	4.0948e-13	287	BRD-K79102010	LSM-41589	NA	5uM	24h	LINCSCP_27390	HT29
-0.4099	4.6985e-13	287	Triflupromazine	LSM-3421	DRD2|HTR2B	10uM	24h	LINCSCP_52631	SKB
0.4091	5.2179e-13	287	YM 976	LSM-2271	PDE4A	3.33uM	24h	LINCSCP_169633	YAPC
0.4086	5.6261e-13	287	GW-5074	LSM-42779	RAF1	0.04uM	24h	LINCSCP_152256	PC3
0.4083	5.9201e-13	287	BRD-K03289154	LSM-37454	NA	5uM	24h	LINCSCP_59824	VCAP
-0.4082	6.0035e-13	287	BMS 191011	LSM-4148	KCNMA1	10uM	6h	LINCSCP_261204	NOMO1
0.4073	6.8197e-13	287	MLS000709026	LSM-43139	RAD51	40uM	6h	LINCSCP_40050	NCIH2073
-0.4068	7.2745e-13	287	Tamibarotene	LSM-5493	RARA|RARB	1.11uM	24h	LINCSCP_167374	YAPC
0.4055	8.7286e-13	287	Ingenol 3,20-dibenzoate	LSM-4445	PRKCD|PRKCE	10uM	6h	LINCSCP_13424	H1299
0.4053	9.0184e-13	287	BRD-K67887361	LSM-40969	NA	5uM	24h	LINCSCP_35131	MCF7
-0.4046	9.9292e-13	287	Bardoxolone Methyl	LSM-45471	IKBKB|KEAP1|NFE2L2|PPARG	0.04uM	24h	LINCSCP_90565	HA1E
0.4044	1.0198e-12	287	BRD-K95608631	LSM-14290	NA	5uM	24h	LINCSCP_48298	PC3
0.4044	1.0205e-12	287	Mesoridazine	LSM-1329	DRD2|HTR2A	10uM	6h	LINCSCP_207758	H1299
-0.4041	1.0621e-12	287	TRAP-101	LSM-3563	OPRL1	10uM	24h	LINCSCP_14491	HA1E
-0.4039	1.094e-12	287	Tamibarotene	LSM-5493	RARA|RARB	0.12uM	24h	LINCSCP_167376	YAPC
0.4031	1.2294e-12	287	BRD-K26909795	LSM-10060	NA	5uM	24h	LINCSCP_63066	VCAP
0.4026	1.3125e-12	287	Mesoridazine	LSM-1329	DRD2|HTR2A	10uM	24h	LINCSCP_34431	MCF7
0.4011	1.6151e-12	287	Alpelisib	LSM-4256	PIK3CA	10uM	24h	LINCSCP_111475	HEPG2
-0.4011	1.6175e-12	287	JZL-184	LSM-6246	NA	10uM	6h	LINCSCP_40211	NCIH508
0.4008	1.6754e-12	287	KUC104219	LSM-3250	NA	10uM	24h	LINCSCP_31392	MCF7
0.4002	1.8397e-12	287	BRD-M54407015	LSM-45045	NA	5uM	24h	LINCSCP_34943	MCF7
0.3972	2.7662e-12	287	PNU-74654	LSM-44945	CTNNB1|TCF4	80uM	6h	LINCSCP_218516	HCT116
-0.397	2.8278e-12	287	GSK-1070916	LSM-1062	AURKB|AURKC	1.11uM	24h	LINCSCP_120475	HT29
0.3963	3.1176e-12	287	BRD-K18359792	LSM-36501	NA	1uM	24h	LINCSCP_65925	VCAP
0.396	3.2439e-12	287	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	0.001uM	6h	LINCSCP_35555	MCF7
-0.3958	3.3672e-12	287	Oprozomib (ONX 0912)	LSM-45496	NA	0.04uM	24h	LINCSCP_135541	MCF7
0.3942	4.1561e-12	287	TAS-103 (dihydrochloride)	LSM-45292	NA	0.04uM	24h	LINCSCP_102716	HELA
-0.3941	4.2416e-12	287	CLONAZEPAM	LSM-45776	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	10uM	24h	LINCSCP_138894	MCF7
0.3938	4.4018e-12	287	CICLESONIDE	LSM-45682	NR3C1	3.33uM	24h	LINCSCP_102113	HELA
0.3934	4.6149e-12	287	BRD-K41302766	LSM-39551	NA	5uM	24h	LINCSCP_231760	HT29
0.3934	4.644e-12	287	Zucapsaicin	LSM-43179	TRPV1	10uM	6h	LINCSCP_239168	MCF7
0.3928	5.0378e-12	287	BRD-K53092731	LSM-40188	NA	5uM	24h	LINCSCP_35029	MCF7
0.3913	6.1073e-12	287	2-(1-Methoxy-2-(naphthalen-1-yl)ethylidene)malononitrile	LSM-2044	NA	10uM	24h	LINCSCP_31332	MCF7
0.3885	8.8999e-12	287	MLS002703108	LSM-3589	NA	10uM	24h	LINCSCP_238408	MCF7
0.3877	9.944e-12	287	Triazolothiadiazine, 41	LSM-1245	NA	10uM	24h	LINCSCP_1353	A375
0.3875	1.0217e-11	287	STK222600	LSM-3535	NA	10uM	24h	LINCSCP_31400	MCF7
0.3873	1.0501e-11	287	BRD-K24383920	LSM-38602	NA	0.5uM	6h	LINCSCP_38012	MCF7
0.3865	1.158e-11	287	BRD-K53808186	LSM-11698	NA	5uM	24h	LINCSCP_34958	MCF7
0.3852	1.3732e-11	287	N9-Isopropylolomoucine	LSM-3607	CDK1|CDK5	100uM	6h	LINCSCP_25104	HT115
0.3812	2.3184e-11	287	Valdecoxib	LSM-5305	PTGS2	10uM	6h	LINCSCP_239163	MCF7
0.3812	2.3253e-11	287	4-(Trans-4-butylcyclohexyl)benzoic acid	LSM-4640	NA	10uM	24h	LINCSCP_239464	MCF7
