similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.7895	3.3068e-18	80	AKT Inhibitor V, Triciribine	LSM-1546	AKT1|AKT2|AKT3	10uM	6h	LINCSCP_7124	A549
-0.7868	5.1373e-18	80	PX 12	LSM-4918	TXN|TXNRD1	30uM	6h	LINCSCP_207775	H1299
0.7828	9.7173e-18	80	Triazolothiadiazine, 23	LSM-3093	NA	10uM	24h	LINCSCP_31169	MCF7
0.7752	3.1889e-17	80	RO4929097	LSM-42762	NA	0.37uM	24h	LINCSCP_102361	HELA
-0.757	4.5577e-16	80	Avrainvillamide Analog 5	LSM-45314	NA	1.11uM	24h	LINCSCP_23823	HEPG2
0.7471	1.7506e-15	80	Flutamide	LSM-2621	AR	30uM	6h	LINCSCP_287850	T3M10
-0.7454	2.1828e-15	80	Salermide	LSM-5123	SIRT1|SIRT2	100uM	6h	LINCSCP_13427	H1299
-0.7406	4.0736e-15	80	RVX-208	LSM-45724	NA	0.04uM	24h	LINCSCP_168223	YAPC
0.7366	6.8599e-15	80	Flumatinib (mesylate)	LSM-45582	ABL1	3.33uM	24h	LINCSCP_97308	HA1E
0.7352	8.1184e-15	80	Ozagrel	LSM-42902	TBXAS1	0.04uM	24h	LINCSCP_140026	MCF7
0.7341	9.4301e-15	80	BRD-K54127914	LSM-46099	NA	10uM	24h	LINCSCP_65994	VCAP
-0.7261	2.5004e-14	80	Ingenol 3,20-dibenzoate	LSM-4445	PRKCD|PRKCE	10uM	6h	LINCSCP_13424	H1299
-0.7249	2.9102e-14	80	(Z) Fluvoxamine	LSM-3625	NA	1.11uM	24h	LINCSCP_123476	HT29
-0.7238	3.3105e-14	80	Nafamostat Mesylate	LSM-45274	NA	3.33uM	24h	LINCSCP_104909	HELA
0.7233	3.5352e-14	80	Lisofylline	LSM-45727	NA	10uM	24h	LINCSCP_93008	HA1E
-0.723	3.6467e-14	80	BRD-A08662020	LSM-45607	NA	3.33uM	24h	LINCSCP_123457	HT29
-0.722	4.0906e-14	80	AT-9283	LSM-37023	ABL1|AURKA|AURKB|FLT3|JAK2|JAK3	1.11uM	24h	LINCSCP_168459	YAPC
0.7203	5.0193e-14	80	GSK 525762A	LSM-6334	NA	0.37uM	24h	LINCSCP_146858	NEU
0.7203	5.0397e-14	80	CHEMBL2355883	LSM-39766	NA	10uM	6h	LINCSCP_64775	VCAP
0.7201	5.1278e-14	80	BRD-K71742078	LSM-41173	NA	10uM	24h	LINCSCP_28287	HT29
0.7199	5.2481e-14	80	Puromycin Hydrochloride	LSM-1431	NA	10uM	6h	LINCSCP_56101	VCAP
-0.7127	1.216e-13	80	AG-205/40776311	LSM-4736	NA	10uM	6h	LINCSCP_16544	HA1E
0.7123	1.2749e-13	80	Teniposide	LSM-1483	TOP2A	1uM	6h	LINCSCP_39903	NCIH1836
-0.7102	1.6186e-13	80	Avrainvillamide Analog 5	LSM-45314	NA	3.33uM	24h	LINCSCP_49461	PC3
0.7093	1.7983e-13	80	3-Chloro-l-alanine	LSM-6205	RPS2	0.5uM	6h	LINCSCP_13448	H1299
-0.7079	2.0911e-13	80	MK-2461	LSM-45560	MET	1.11uM	24h	LINCSCP_76076	A375
-0.7055	2.7419e-13	80	MLN 2238	LSM-4944	PSMB1	10uM	6h	LINCSCP_55536	U937
-0.7049	2.9303e-13	80	Brefeldin A	LSM-42812	NA	0.1uM	24h	LINCSCP_44825	PC3
0.7037	3.3254e-13	80	BRD-K41087962	LSM-42690	NA	0.5uM	6h	LINCSCP_257137	NCIH2073
0.7019	4.0617000000000003e-13	80	7-Nitroindazole	LSM-5222	NA	80uM	6h	LINCSCP_12517	CL34
0.6992	5.4805e-13	80	PIK-93	LSM-1191	NA	0.04uM	24h	LINCSCP_130660	MCF10A
-0.6967	7.1132e-13	80	Fccp	LSM-2317	NA	10uM	6h	LINCSCP_44293	PC3
0.6958	7.8309e-13	80	Simvastatin	LSM-2492	HMGCR	1.11uM	24h	LINCSCP_154046	PC3
0.6956	8.0312e-13	80	423735-93-7	LSM-3308	NA	10uM	6h	LINCSCP_29360	LOVO
-0.6945	9.0428e-13	80	MLS-0435555.0001	LSM-4876	NA	10uM	24h	LINCSCP_46244	PC3
-0.6938	9.7321e-13	80	2-Phenylethyl 3-(3,4-dihydroxyphenyl)prop-2-enoate	LSM-3894	ALOX5	10uM	24h	LINCSCP_42664	NPC
-0.6929	1.0684e-12	80	ESTRAMUSTINE	LSM-45460	NA	10uM	24h	LINCSCP_125626	HT29
-0.6916	1.2278e-12	80	Fisetinidol	LSM-4014	NA	10uM	24h	LINCSCP_44755	PC3
0.6905	1.3749e-12	80	Nemonapride	LSM-45497	NA	3.33uM	24h	LINCSCP_108312	HELA
