similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	118	Azithromycin	LSM-5821	NA	0.04uM	24h	LINCSCP_142810	MCF7
0.8989	2.1443e-43	118	PIK-93	LSM-1191	NA	0.37uM	3h	LINCSCP_132423	MCF7
0.825	1.577e-30	118	Ricinine	LSM-3851	NA	10uM	6h	LINCSCP_7202	A549
0.8016	1.1236e-27	118	BRD-K01621458	LSM-45313	NA	3uM	24h	LINCSCP_49294	PC3
0.7977	3.0985e-27	118	Topiroxostat	LSM-45827	NA	0.12uM	24h	LINCSCP_110004	HELA
0.795	6.1504e-27	118	ASN 05257430	LSM-2975	NA	10uM	6h	LINCSCP_39758	MDST8
0.7895	2.3597e-26	118	Niacin	LSM-4676	HCAR2|HCAR3	0.37uM	24h	LINCSCP_139821	MCF7
0.783	1.1308e-25	118	Golvatinib (E7050)	LSM-45804	KDR|MET	3.33uM	24h	LINCSCP_142530	MCF7
0.7778	3.8302e-25	118	Meadacid	LSM-43045	NA	10uM	6h	LINCSCP_7224	A549
0.7702	2.1024e-24	118	SJ 172550	LSM-43286	MDM4	10uM	6h	LINCSCP_40254	NCIH508
-0.7449	4.0104e-22	118	Lenvatinib (E7080)	LSM-45581	FLT1|FLT4|KDR	0.37uM	24h	LINCSCP_75407	A375
0.7438	5.003e-22	118	RO-281675	LSM-6231	GCK	100uM	6h	LINCSCP_53321	SKMEL1
0.7209	3.4611e-20	118	Foretinib	LSM-1158	FLT1|FLT3|FLT4|KDR|KIT|MET|PDGFRA|PDGFRB|TEK	0.37uM	24h	LINCSCP_162933	SKBR3
0.72	4.0287e-20	118	SCHEMBL3954849	LSM-5982	NA	3.33uM	3h	LINCSCP_132211	MCF7
0.7182	5.5211e-20	118	BAY-117821	LSM-42889	NA	10uM	6h	LINCSCP_12799	DV90
0.7176	6.1359e-20	118	Sorbitol	LSM-45695	NA	0.04uM	24h	LINCSCP_140506	MCF7
0.7102	2.1386e-19	118	PF750	LSM-6277	FAAH	80uM	6h	LINCSCP_53382	SKMEL1
0.7073	3.492e-19	118	Enzastaurin	LSM-1069	PRKCB	10uM	24h	LINCSCP_251435	MCF7
0.7064	4.0267e-19	118	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.37uM	3h	LINCSCP_86463	BT20
0.7061	4.2609e-19	118	MLS002264476	LSM-2977	NA	10uM	24h	LINCSCP_1400	A375
0.7029	7.2271e-19	118	Estramustine phosphate sodium	LSM-45379	ESR2	3.33uM	24h	LINCSCP_138457	MCF7
0.6952	2.4752e-18	118	Dilazep	LSM-3068	SLC29A1	0.04uM	24h	LINCSCP_141646	MCF7
0.6951	2.5033e-18	118	196868-63-0	LSM-3505	IGF1R	10uM	6h	LINCSCP_7188	A549
0.6944	2.7936e-18	118	Diclofensine (hydrochloride)	LSM-45632	NA	0.04uM	24h	LINCSCP_139817	MCF7
0.6914	4.4712e-18	118	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	6h	LINCSCP_68230	SKMEL1
0.6912	4.573e-18	118	PK04_096316	LSM-36609	NA	10uM	6h	LINCSCP_22460	HEPG2
0.691	4.7527e-18	118	CHEMBL179288	LSM-3648	NA	10uM	6h	LINCSCP_40385	NCIH596
0.6904	5.1941e-18	118	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	1.11uM	24h	LINCSCP_116153	HT29
