similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.7339	1.9525e-24	137	Fedratinib	LSM-1142	FLT3|JAK2	10uM	6h	LINCSCP_37994	MCF7
0.7132	1.4001e-22	137	Riluzole	LSM-2471	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	24h	LINCSCP_136465	MCF7
0.7062	5.5363e-22	137	RVX-208	LSM-45724	NA	10uM	24h	LINCSCP_136412	MCF7
0.7033	9.4636e-22	137	Dapivirine (TMC120)	LSM-45463	NA	10uM	24h	LINCSCP_156025	PC3
0.6735	1.9462e-19	137	Vinburnine	LSM-2891	NA	6.79uM	24h	LINCSCP_138948	MCF7
0.6725	2.2995e-19	137	Cabazitaxel	LSM-46002	NA	1.11uM	24h	LINCSCP_170114	YAPC
0.6578	2.4792e-18	137	GSK-1070916	LSM-1062	AURKB|AURKC	1.11uM	24h	LINCSCP_137054	MCF7
0.6372	5.7266e-17	137	GSK-923295	LSM-45692	NA	1.11uM	24h	LINCSCP_137222	MCF7
0.6359	6.8634e-17	137	Cabazitaxel	LSM-46002	NA	3.33uM	24h	LINCSCP_170113	YAPC
0.635	7.8782e-17	137	DOCETAXEL	LSM-45649	NA	3.33uM	24h	LINCSCP_170065	YAPC
0.6345	8.466e-17	137	DOCETAXEL	LSM-45649	NA	10uM	24h	LINCSCP_170064	YAPC
0.6317	1.2661e-16	137	PHA-793887	LSM-1073	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	0.37uM	24h	LINCSCP_140822	MCF7
0.6277	2.2338e-16	137	Cabazitaxel	LSM-46002	NA	0.12uM	24h	LINCSCP_170116	YAPC
0.6275	2.3137e-16	137	GSK-1070916	LSM-1062	AURKB|AURKC	0.37uM	24h	LINCSCP_137055	MCF7
0.6248	3.3732e-16	137	CX-5461	LSM-6342	NA	1.11uM	24h	LINCSCP_137810	MCF7
0.6228	4.4721e-16	137	GSK-1070916	LSM-1062	AURKB|AURKC	10uM	6h	LINCSCP_38824	MCF7
0.621	5.7429e-16	137	Parthenolide	LSM-43090	NA	10uM	24h	LINCSCP_41770	NKDBA
0.6126	1.7888e-15	137	BRD-K27332342	LSM-37031	NA	10uM	24h	LINCSCP_13164	FIBRNPC
-0.6122	1.8892e-15	137	BRD-K51877340	LSM-40133	NA	10uM	24h	LINCSCP_309781	VCAP
0.6108	2.2789e-15	137	TH-302	LSM-45919	NA	10uM	24h	LINCSCP_136459	MCF7
0.6102	2.4594e-15	137	BI-2536	LSM-1041	PLK1	1.11uM	3h	LINCSCP_163906	SKBR3
-0.6073	3.5915e-15	137	BRD-K84023371	LSM-15058	NA	10uM	6h	LINCSCP_64811	VCAP
0.6019	7.3094e-15	137	Mitoxantrone	LSM-2481	TOP2A	0.04uM	24h	LINCSCP_136488	MCF7
0.5971	1.3493e-14	137	MLS000589843	LSM-43120	NA	10uM	6h	LINCSCP_34080	MCF7
0.5951	1.738e-14	137	LRRK2-IN-1	LSM-1086	LRRK2	20uM	6h	LINCSCP_37283	MCF7
-0.5951	1.7475e-14	137	KUC104255	LSM-4056	NA	10uM	6h	LINCSCP_31523	MCF7
0.5923	2.4805e-14	137	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	24h	LINCSCP_252541	MCF7
0.592	2.5681e-14	137	XMD 8-92	LSM-1094	MAPK7	10uM	24h	LINCSCP_70385	A375
0.5912	2.8242e-14	137	CHEMBL1550983	LSM-3129	NA	10uM	24h	LINCSCP_31617	MCF7
0.5904	3.1308e-14	137	Fedratinib	LSM-1142	FLT3|JAK2	3uM	6h	LINCSCP_37995	MCF7
0.5903	3.1682e-14	137	NUTLIN 3	LSM-4288	MDM2	3.33uM	24h	LINCSCP_137749	MCF7
0.5899	3.3163e-14	137	PHA-793887	LSM-1073	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	0.12uM	24h	LINCSCP_140823	MCF7
0.5897	3.4105e-14	137	Tamatinib	LSM-1040	SYK	10uM	24h	LINCSCP_135656	MCF7
0.5892	3.6181e-14	137	CHEMBL2136735	LSM-1152	FGFR1|FGFR3|FLT1|FLT4|KDR|PDGFRA|PDGFRB	10uM	24h	LINCSCP_99858	HCC515
-0.588	4.1909e-14	137	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	24h	LINCSCP_67627	MCF7
-0.5876	4.4054e-14	137	BRD-K30645599	LSM-38945	NA	30uM	24h	LINCSCP_309750	VCAP
0.5861	5.3358e-14	137	LRRK2-IN-1	LSM-1086	LRRK2	5uM	6h	LINCSCP_37285	MCF7
0.5851	6.0115e-14	137	apigenin	LSM-5206	NA	3.33uM	3h	LINCSCP_163398	SKBR3
-0.5845	6.4785e-14	137	BRD-K20352452	LSM-38366	NA	10uM	24h	LINCSCP_258917	NEU
0.5831	7.6513e-14	137	Ixabepilone	LSM-43293	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	1.11uM	24h	LINCSCP_169922	YAPC
0.5831	7.6733e-14	137	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	10uM	24h	LINCSCP_39426	MDAMB231
0.583	7.7803e-14	137	GSK-1070916	LSM-1062	AURKB|AURKC	3.33uM	24h	LINCSCP_137053	MCF7
0.5816	9.1359e-14	137	BI-2536	LSM-1041	PLK1	0.37uM	24h	LINCSCP_77266	A375
0.5801	1.0969e-13	137	Fedratinib	LSM-1142	FLT3|JAK2	10uM	6h	LINCSCP_21176	HCT116
0.5795	1.1737e-13	137	GSK-1070916	LSM-1062	AURKB|AURKC	5uM	6h	LINCSCP_38827	MCF7
0.5793	1.2135e-13	137	BI-2536	LSM-1041	PLK1	3.33uM	24h	LINCSCP_77264	A375
0.5772	1.5527e-13	137	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	3uM	24h	LINCSCP_37264	MCF7
0.5748	2.0612e-13	137	LRRK2-IN-1	LSM-1086	LRRK2	3uM	6h	LINCSCP_37284	MCF7
0.5747	2.079e-13	137	LRRK2-IN-1	LSM-1086	LRRK2	20uM	24h	LINCSCP_37215	MCF7
0.574	2.2536e-13	137	Fedratinib	LSM-1142	FLT3|JAK2	10uM	6h	LINCSCP_55452	U937
0.5738	2.3204e-13	137	MLS002264437	LSM-1962	NA	10uM	6h	LINCSCP_31446	MCF7
0.5737	2.3332e-13	137	DOCETAXEL	LSM-45649	NA	0.37uM	24h	LINCSCP_170067	YAPC
0.5737	2.345e-13	137	BI-2536	LSM-1041	PLK1	0.37uM	3h	LINCSCP_163907	SKBR3
0.5714	3.0546e-13	137	R428	LSM-45574	NA	10uM	24h	LINCSCP_137994	MCF7
-0.5704	3.441e-13	137	CHEMBL1083527	LSM-1122	NA	1.11uM	3h	LINCSCP_132290	MCF7
0.5697	3.7275e-13	137	Dilazep	LSM-3068	SLC29A1	10uM	24h	LINCSCP_141641	MCF7
0.5691	4.0011e-13	137	Cabazitaxel	LSM-46002	NA	10uM	24h	LINCSCP_138306	MCF7
0.569	4.0466e-13	137	BI-2536	LSM-1041	PLK1	1.11uM	24h	LINCSCP_172605	YAPC
0.5665	5.3584e-13	137	Mozavaptan	LSM-45912	NA	10uM	24h	LINCSCP_155774	PC3
0.5663	5.5012e-13	137	AC1MJ3VH	LSM-1731	TOP2A	0.04uM	24h	LINCSCP_137021	MCF7
0.564	7.182e-13	137	Fedratinib	LSM-1142	FLT3|JAK2	10uM	6h	LINCSCP_30758	MCF7
0.5631	7.8853e-13	137	TW 37	LSM-6236	BCL2|BCL2L1|MCL1	10uM	6h	LINCSCP_205695	CL34
0.5623	8.6923e-13	137	BRD-K20197338	LSM-9660	NA	5uM	24h	LINCSCP_8615	A549
0.5611	9.882e-13	137	MK-5108	LSM-36812	AURKA|AURKB	3.33uM	24h	LINCSCP_136873	MCF7
0.5599	1.1364e-12	137	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.1uM	24h	LINCSCP_67390	MCF7
0.5597	1.1569e-12	137	Deferasirox	LSM-45297	NA	3.33uM	24h	LINCSCP_99277	HA1E
-0.559	1.258e-12	137	BRD-K78787424	LSM-41571	NA	10uM	6h	LINCSCP_310656	VCAP
0.5584	1.3443e-12	137	Falnidamol	LSM-3584	EGFR	10uM	24h	LINCSCP_108815	HELA
