similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.7966	3.8828e-111	501	Hydroxychloroquine	LSM-5193	TLR7|TLR9	10uM	24h	LINCSCP_34460	MCF7
0.468	1.2397e-28	501	ZINC68199948	LSM-6249	TP53	10uM	6h	LINCSCP_257377	NCIH508
0.4466	6.1633e-26	501	PD-98059	LSM-3394	MAP2K1	10uM	6h	LINCSCP_21235	HCT116
0.4443	1.1986e-25	501	Fluspirilene	LSM-3748	DRD2|HTR2A	5uM	6h	LINCSCP_53499	SKMEL28
0.438	6.7791e-25	501	YL-58	LSM-42726	NA	10uM	6h	LINCSCP_228058	HT29
0.4258	1.7699e-23	501	BRD-K48225424	LSM-11362	NA	5uM	6h	LINCSCP_306583	VCAP
0.4246	2.4152e-23	501	Rilmenidine	LSM-4253	ADRA2A|NISCH	10uM	6h	LINCSCP_234701	LOVO
0.4199	8.147e-23	501	MLS003221407	LSM-4066	NA	10uM	24h	LINCSCP_31217	MCF7
0.4177	1.427e-22	501	Loperamide	LSM-3365	OPRD1|OPRM1	10uM	6h	LINCSCP_40097	NCIH2073
0.4145	3.2248e-22	501	Bexarotene	LSM-45378	RXRA|RXRB|RXRG	0.04uM	24h	LINCSCP_176016	YAPC
0.4095	1.1097e-21	501	Mizolastine	LSM-5377	HRH1	0.37uM	24h	LINCSCP_103138	HELA
0.4084	1.4554e-21	501	CEFOTETAN	LSM-45671	NA	0.04uM	24h	LINCSCP_143086	MCF7
0.405	3.3742e-21	501	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_39707	MDST8
0.3991	1.4102e-20	501	PLX-4720	LSM-1049	BRAF	0.12uM	3h	LINCSCP_132412	MCF7
0.3917	8.041e-20	501	OSI-930	LSM-1179	FLT1|FLT4|KDR|KIT	0.1uM	6h	LINCSCP_51982	SKBR3
0.3916	8.2612e-20	501	MLS002264477	LSM-4186	NA	10uM	24h	LINCSCP_31222	MCF7
0.3909	9.6994e-20	501	PF431396	LSM-1116	NA	0.5uM	24h	LINCSCP_29922	MCF10A
0.3831	5.896e-19	501	MLS002264419	LSM-3651	NA	10uM	24h	LINCSCP_31402	MCF7
-0.3806	1.0324e-18	501	BMS-777607	LSM-1144	AXL|MERTK|MET|MST1R|TYRO3	0.37uM	24h	LINCSCP_69891	A375
0.3759	2.9032e-18	501	Metformin	LSM-4730	GPD2|MT-ND1|ND2|ND3|ND4|ND4L|ND5|ND6|NDUFA1|NDUFA10|NDUFA11|NDUFA12|NDUFA13|NDUFA2|NDUFA3|NDUFA4|NDUFA4L2|NDUFA5|NDUFA6|NDUFA7|NDUFA8|NDUFA9|NDUFAB1|NDUFAF1|NDUFAF2|NDUFAF3|NDUFAF4|NDUFB1|NDUFB10|NDUFB11|NDUFB2|NDUFB3|NDUFB4|NDUFB5|NDUFB6|NDUFB7|NDUFB8|NDUFB9|NDUFC1|NDUFC2|NDUFS1|NDUFS2|NDUFS3|NDUFS4|NDUFS5|NDUFS6|NDUFS7|NDUFS8|NDUFV1|NDUFV2|NDUFV3	10uM	24h	LINCSCP_243555	MCF7
0.3752	3.4328e-18	501	BRD-K66211423	LSM-7733	NA	5uM	6h	LINCSCP_60482	VCAP
0.3727	5.9484e-18	501	SCHEMBL16980224	LSM-1092	AURKA	1uM	24h	LINCSCP_12228	BT20
0.3693	1.2423e-17	501	Y-39983	LSM-1150	ROCK1|ROCK2	0.12uM	24h	LINCSCP_116833	HT29
0.3682	1.5835e-17	501	DC-45-A2	LSM-6274	NA	10uM	6h	LINCSCP_21262	HCT116
0.368	1.6498e-17	501	AKT Inhibitor VIII	LSM-1035	AKT1|AKT2	0.04uM	3h	LINCSCP_130816	MCF10A
0.3666	2.2193e-17	501	Odq	LSM-2568	GUCY1A2	10uM	6h	LINCSCP_7451	A549
-0.3666	2.2286e-17	501	Rita	LSM-6201	MDM2	10uM	6h	LINCSCP_206665	EFO27
0.3666	2.2313e-17	501	KUC104219	LSM-3250	NA	10uM	24h	LINCSCP_31392	MCF7
0.3646	3.3795e-17	501	MK-2206	LSM-1057	AKT1|AKT2|AKT3	0.12uM	24h	LINCSCP_69426	A375
0.363	4.7607e-17	501	BRD-K35002913	LSM-10533	NA	5uM	24h	LINCSCP_34978	MCF7
0.3608	7.5499e-17	501	Scopolamine	LSM-1684	CHRM1|CHRM2|CHRM3|CHRM4	10uM	24h	LINCSCP_240591	MCF7
0.3557	2.1672e-16	501	Tyrphostin AG-112	LSM-43079	NA	10uM	6h	LINCSCP_40292	NCIH596
-0.3555	2.2789e-16	501	AMG-208	LSM-45438	MET	0.37uM	24h	LINCSCP_118733	HT29
0.3544	2.8307e-16	501	BIOMOL-NT_000059	LSM-1707	ADRA1A|ADRB1|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A|HTR3A|HTR4|HTR5A|HTR6|HTR7	10uM	24h	LINCSCP_4166	A549
0.353	3.8172e-16	501	Apigenin Triacetate	LSM-2246	NA	10uM	6h	LINCSCP_33719	MCF7
0.3524	4.25e-16	501	BRD-K52908798	LSM-15149	NA	10uM	24h	LINCSCP_48985	PC3
0.3521	4.5117e-16	501	Palonosetron	LSM-5266	HTR3A	10uM	24h	LINCSCP_238299	MCF7
0.3516	5.0067e-16	501	Phloretin	LSM-6221	NA	100uM	6h	LINCSCP_50936	RMGI
0.3502	6.6249e-16	501	Sorafenib	LSM-1008	BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET	1.11uM	24h	LINCSCP_116519	HT29
0.35	6.9356e-16	501	1166227-08-2	LSM-1204	NA	10uM	24h	LINCSCP_82999	ASC.C
0.3484	9.6131e-16	501	PHA-793887	LSM-1073	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	0.12uM	24h	LINCSCP_107443	HELA
0.3483	9.76e-16	501	Pifithrin	LSM-3485	TP53	70uM	6h	LINCSCP_53358	SKMEL1
-0.3464	1.431e-15	501	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	0.37uM	24h	LINCSCP_108596	HELA
0.346	1.559e-15	501	376348-65-1, Uk-427857, uk427857	LSM-6182	CCR5	10uM	6h	LINCSCP_10284	A673
0.3451	1.8375e-15	501	CHEMBL2358136	LSM-38583	NA	10uM	6h	LINCSCP_22336	HEPG2
0.3427	2.9518e-15	501	AZD-8330	LSM-1165	MAP2K1|MAP2K2	3.33uM	3h	LINCSCP_132337	MCF7
0.3414	3.8553e-15	501	MLN 2238	LSM-4944	PSMB1	10uM	6h	LINCSCP_13578	H1299
0.3412	4.0201e-15	501	CHEMBL2001494	LSM-6630	NA	10uM	6h	LINCSCP_242726	MCF7
0.3404	4.6955e-15	501	Chloroquine	LSM-1901	NA	10uM	24h	LINCSCP_236537	MCF7
0.3399	5.1317e-15	501	CHEMBL34095	LSM-3355	NA	10uM	24h	LINCSCP_33392	MCF7
0.339	6.1537e-15	501	Acetylsalicylanilide	LSM-3519	NA	10uM	24h	LINCSCP_236891	MCF7
0.3385	6.7261e-15	501	WZ3105	LSM-5970	CLK2|CSNK1E|FLT3|ULK1	0.37uM	3h	LINCSCP_132273	MCF7
0.3381	7.2667e-15	501	COT-10B	LSM-6226	NA	40uM	6h	LINCSCP_234162	JHUEM2
0.3377	7.9186e-15	501	SCHEMBL2557158	LSM-4121	NA	10uM	24h	LINCSCP_31424	MCF7
0.3372	8.7294e-15	501	Terconazole	LSM-3923	NA	10uM	6h	LINCSCP_33258	MCF7
0.3368	9.4382e-15	501	16Beta-bromoandrosterone	LSM-6294	G6PD	10uM	6h	LINCSCP_41919	NOMO1
0.3366	9.8111e-15	501	Clopidogrel	LSM-5415	P2RY12	10uM	6h	LINCSCP_15979	HA1E
0.3354	1.2348e-14	501	C24H25CLFN5O3	LSM-42794	EGFR|ERBB2|ERBB4	0.1uM	24h	LINCSCP_251680	MCF7
-0.3352	1.2736e-14	501	16Beta-bromoandrosterone	LSM-6294	G6PD	10uM	6h	LINCSCP_13605	H1299
0.3349	1.3483e-14	501	LY 2183240	LSM-2839	FAAH	10uM	6h	LINCSCP_39753	MDST8
-0.3342	1.557e-14	501	AC1M43RN	LSM-3363	NA	10uM	24h	LINCSCP_1191	A375
0.3341	1.5736e-14	501	PF-04217903	LSM-1166	MET	40uM	24h	LINCSCP_30622	MCF7
0.3332	1.8665e-14	501	Dexniguldipine	LSM-15285	NA	0.12uM	24h	LINCSCP_139150	MCF7
0.3328	2.0196e-14	501	Cinoxacin	LSM-6552	NA	3.33uM	24h	LINCSCP_156170	PC3
0.3324	2.1679e-14	501	BRD-K26130452	LSM-44720	NA	5uM	24h	LINCSCP_35162	MCF7
0.331	2.8481e-14	501	Moxisylyte	LSM-5868	NA	0.5uM	6h	LINCSCP_176510	A375
0.3309	2.8602e-14	501	Thioridazine	LSM-1863	DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C	10uM	6h	LINCSCP_29284	LOVO
0.3308	2.9428e-14	501	CGP-12177	LSM-1474	ADRB1|ADRB2|ADRB3	10uM	6h	LINCSCP_33434	MCF7
0.3304	3.1449e-14	501	CHEMBL2357745	LSM-6159	NA	10uM	6h	LINCSCP_34085	MCF7
0.33	3.429e-14	501	MLS004683642	LSM-36755	KEAP1	100uM	24h	LINCSCP_49549	PC3
