similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.7466	8.0606e-57	312	Ritonavir	LSM-5623	CYP1A2|CYP2B6|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP3A4|CYP3A5|CYP3A7	0.37uM	24h	LINCSCP_136821	MCF7
0.7117	1.7883e-49	312	Pyrazolanthrone	LSM-1163	MAPK10|MAPK8|MAPK9|TTK	10uM	24h	LINCSCP_52563	SKB
0.7032	7.7934e-48	312	Sorafenib	LSM-1008	BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET	3.33uM	24h	LINCSCP_131153	MCF10A
0.6861	9.8457e-45	312	PIK-93	LSM-1191	NA	0.37uM	24h	LINCSCP_69192	A375
0.6857	1.1444e-44	312	CC-401	LSM-1186	NA	10uM	24h	LINCSCP_147262	NEU
0.676	5.3175e-43	312	Vandetanib	LSM-1199	EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK	0.04uM	24h	LINCSCP_164534	SKL.C
0.6716	2.8041e-42	312	UK 356618	LSM-4940	MMP3	10uM	6h	LINCSCP_54777	T3M10
0.6607	1.6823e-40	312	KUC103670	LSM-2549	NA	10uM	24h	LINCSCP_237325	MCF7
0.6575	5.3041e-40	312	EX-8678	LSM-1147	NA	0.37uM	3h	LINCSCP_116083	HS578T
0.6425	1.0313e-37	312	KUC107191N	LSM-45334	NA	0.5uM	24h	LINCSCP_288760	U937
0.6331	2.3412e-36	312	SPECTRUM2_000920	LSM-1590	NA	0.12uM	24h	LINCSCP_159360	PC3
0.6182	2.7702e-34	312	LXR-623	LSM-45897	NR1H2|NR1H3	0.12uM	24h	LINCSCP_168719	YAPC
0.617	4.0315e-34	312	Alpelisib	LSM-4256	PIK3CA	0.12uM	24h	LINCSCP_130719	MCF10A
0.6162	5.2133e-34	312	CHEMBL1083527	LSM-1122	NA	1.11uM	24h	LINCSCP_69059	A375
0.6094	4.161e-33	312	MLN-8054	LSM-1066	AURKA	3.33uM	24h	LINCSCP_152246	PC3
0.602	3.7384e-32	312	Ivabradine HCl	LSM-45499	NA	1.11uM	24h	LINCSCP_71755	A375
0.5927	5.5595e-31	312	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	0.12uM	24h	LINCSCP_131312	MCF10A
0.5871	2.7053e-30	312	Raloxifene	LSM-3425	ESR1|ESR2	10uM	24h	LINCSCP_158973	PC3
0.5869	2.8597e-30	312	YM 201636	LSM-1109	NA	0.37uM	24h	LINCSCP_144870	MDAMB231
0.5851	4.8012e-30	312	PK-11195	LSM-1532	TSPO	100uM	6h	LINCSCP_54718	T3M10
0.5809	1.5149e-29	312	ARTESUNATE	LSM-45731	NA	0.37uM	24h	LINCSCP_71644	A375
0.5753	6.8169e-29	312	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	3uM	24h	LINCSCP_12368	CD34
0.5751	7.2461e-29	312	ICI 162846	LSM-3484	NA	1.11uM	24h	LINCSCP_102845	HELA
