signatureid	compound	similarity
LINCSCP_136866	Baricitinib	1
LINCSCP_36053	SCHEMBL16226502	0.6064
LINCSCP_136898	Amitriptyline	0.5462
LINCSCP_138180	CI-1040	0.5361
LINCSCP_135434	Linagliptin	0.5311
LINCSCP_34941	BRD-K92313046	0.522
LINCSCP_35991	Trichostatin	0.5159
LINCSCP_38478	BRD-K11533227	0.5139
LINCSCP_240785	PRESTWICK3_000652	0.5067
LINCSCP_36037	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	0.5059
LINCSCP_255159	TL Aurora 09	0.502
LINCSCP_34756	BRD-K09729851	0.5018
LINCSCP_136994	PI-103	0.496
LINCSCP_138113	Nepafenac	0.4942
LINCSCP_236914	EXO-1	0.4856
LINCSCP_239616	BAS 08302902	0.4848
LINCSCP_250475	3-Aminobenzamide	0.4831
LINCSCP_30250	NSC169534	0.4822
LINCSCP_35575	Broad-Sai-296	0.4817
LINCSCP_239450	BRD-K37618507	0.48
LINCSCP_136978	SU-11652	0.4742
LINCSCP_132737	A-443654	0.4741
LINCSCP_132340	AZD-8330	0.4736
LINCSCP_136669	Temsirolimus (CCI-779, NSC 683864)	0.471
LINCSCP_38626	Curcumin	0.4704
LINCSCP_38806	Tozasertib	0.4696
LINCSCP_137134	Tetradecylthioacetic acid	0.4647
LINCSCP_135075	estriol	0.4641
LINCSCP_138298	Tizanidine	0.4593
LINCSCP_254006	W 7	0.4536
LINCSCP_136765	Diethylpropion	0.4533
LINCSCP_238939	Tropisetron HCl	0.4531
LINCSCP_32492	Tyrphostin 51	0.4513
LINCSCP_38773	TP14	0.4503
LINCSCP_139932	Cabozantinib	0.4478
LINCSCP_37010	SA-1938756	0.4475
LINCSCP_239854	Heraclenol	0.4472
LINCSCP_38682	BL003-049-HDAC3	0.4472
LINCSCP_141012	Valsartan	0.4464
LINCSCP_35269	BRD-K98626176	0.4462
LINCSCP_254252	SA-1921816	0.446
LINCSCP_137373	Nefazodone	0.4459
LINCSCP_35206	BRD-K37088230	0.4456
LINCSCP_140336	Prazosin	0.4453
LINCSCP_137005	(-)-Tramadol	0.4452
LINCSCP_37452	CHEMBL2359109	0.4446
LINCSCP_136666	Ornidazole	0.4445
LINCSCP_38649	Staurosporine	0.4439
