signatureid	compound	similarity
LINCSCP_142810	Azithromycin	1
LINCSCP_139821	Niacin	0.519
LINCSCP_132423	PIK-93	0.5184
LINCSCP_140506	Sorbitol	0.4942
LINCSCP_139661	Dacomitinib	0.4197
LINCSCP_141368	FK888	0.4119
LINCSCP_139720	Dexfenfluramine	0.4059
LINCSCP_141351	Pimavanserin	0.4047
LINCSCP_139685	Nimodipine	0.3958
LINCSCP_132211	SCHEMBL3954849	0.3936
LINCSCP_142748	Levamisole	0.3932
LINCSCP_139912	Palbociclib	0.3924
LINCSCP_139817	Diclofensine (hydrochloride)	0.3907
LINCSCP_139576	AC1L1IKY	0.3905
LINCSCP_141573	Antipyrine	0.3827
LINCSCP_142530	Golvatinib (E7050)	0.3825
LINCSCP_138457	Estramustine phosphate sodium	0.3658
LINCSCP_142658	Pinaverium bromide	0.3631
LINCSCP_141682	Levetiracetam	0.3598
LINCSCP_142616	Rimcazole	0.3585
LINCSCP_139648	Fomepizole	0.3507
LINCSCP_131956	PHA-665752	0.3492
LINCSCP_139689	Enalapril	0.3469
LINCSCP_140129	Fluphenazine	0.3458
LINCSCP_141976	IDOXURIDINE	0.3446
LINCSCP_141657	Sasapyrine	0.3445
LINCSCP_139715	Mebendazole	0.3444
LINCSCP_139609	Vemurafenib	0.3438
LINCSCP_37683	SA-1973507	0.3423
LINCSCP_136304	Neostigmine	0.342
LINCSCP_142535	Diacerein	0.336
LINCSCP_139623	1-(2,6-Dichlorobenzylideneamino)guanidine	0.3353
LINCSCP_137562	Donitriptan hydrochloride	0.335
LINCSCP_133003	PHA-793887	0.3345
LINCSCP_143428	LY2157299	0.3344
LINCSCP_139793	Tozasertib	0.3344
LINCSCP_239111	Amisulpride	0.3313
LINCSCP_143272	HC-030031	0.3309
LINCSCP_141646	Dilazep	0.328
LINCSCP_254229	SA-1920080	0.3279
LINCSCP_36253	PRL-3InhibitorI	0.3264
LINCSCP_140181	Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-	0.3257
LINCSCP_142525	Flumatinib (mesylate)	0.3252
LINCSCP_133419	Allitinib	0.3239
LINCSCP_142810	Azithromycin	1
LINCSCP_142991	Thiabendazole	0.6781
LINCSCP_35835	FTI276	0.6614
LINCSCP_250837	AG 14361	0.6395
LINCSCP_142309	BRD-A02747686	0.6343
LINCSCP_251185	PJ34	0.6083
LINCSCP_140268	Sumatriptan	0.5681
LINCSCP_35382	BRD-K97318829	0.5591
LINCSCP_142222	181144-66-1	0.5563
LINCSCP_136201	APD668	0.5532
LINCSCP_34721	Urosiol	0.5279
