signatureid	compound	similarity
LINCSCP_244931	114798-26-4	1
LINCSCP_244922	AC1O6OS2	0.6736
LINCSCP_34710	Meglumine	0.6239
LINCSCP_37318	MLS000778276	0.6167
LINCSCP_34557	Acenocoumarol	0.6097
LINCSCP_244938	Sildenafil	0.588
LINCSCP_244777	Luteolin	0.5856
LINCSCP_252541	Trichostatin A, Streptomyces Sp.	0.5586
LINCSCP_244152	Omeprazole	0.5523
LINCSCP_244942	Clocortolone	0.5467
LINCSCP_34583	Diphenylpyraline	0.5447
LINCSCP_31575	MLS002473428	0.5308
LINCSCP_253452	Vitinoin	0.5281
LINCSCP_250365	Entinostat	0.5199
LINCSCP_244300	Erlotinib	0.5182
LINCSCP_34621	Roxatidine Acetate	0.5143
LINCSCP_244283	ZINC3830838	0.5062
LINCSCP_37420	Ingenol 3,20-dibenzoate	0.5053
LINCSCP_244903	Phthalylsulfathiazole	0.4932
LINCSCP_34548	Bacampicilline	0.479
LINCSCP_244890	Cefepime	0.4762
LINCSCP_33461	Aminogenistein	0.4705
LINCSCP_37594	SA-1937516	0.4683
LINCSCP_37930	CHEMBL2360506	0.4673
LINCSCP_34618	Leflunomide	0.4608
LINCSCP_253838	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	0.4594
LINCSCP_244873	Alista	0.4593
LINCSCP_34617	Bromperidol	0.4578
LINCSCP_239471	BRD-K50368246	0.4558
LINCSCP_235596	Thioridazine	0.4527
LINCSCP_244231	Temozolomide	0.4527
LINCSCP_253976	BRD-K64665684	0.4424
LINCSCP_31835	AC1MG7IW	0.439
LINCSCP_36862	Pyrazolanthrone	0.4361
LINCSCP_37398	TWS 119	0.4355
LINCSCP_239510	STK199030	0.4344
LINCSCP_34563	Lamivudine	0.431
LINCSCP_37233	SA-1459031	0.4307
LINCSCP_31997	Sirolimus	0.4269
LINCSCP_34610	AC1O7GPT	0.4202
LINCSCP_133556	Osimertinib	0.4198
LINCSCP_34623	AC1OFCIA	0.4188
LINCSCP_31807	FK-506	0.4187
LINCSCP_243439	Mitoxantrone	0.4149
LINCSCP_252122	SA-1939938	0.4129
LINCSCP_254343	BRD-K79564569	0.4124
LINCSCP_33459	SB-222200	0.4118
LINCSCP_38040	BRD-K36910796	0.4116
LINCSCP_243849	Amiloride	0.4113
LINCSCP_133336	Bosutinib	0.4096
LINCSCP_31679	MLS001065874	0.4068
LINCSCP_38258	SA-424764	0.4064
LINCSCP_244232	Tolazamide	0.4059
LINCSCP_37759	Methiazole	0.4054
LINCSCP_34595	Sulfapyridine	0.405
LINCSCP_37279	SPECTRUM_001645	0.4041
LINCSCP_34603	Trioxsalen	0.4034
LINCSCP_252773	SA-244358	0.4025
LINCSCP_37954	179324-69-7	0.4023
LINCSCP_67551	CGS-15943	0.4002
LINCSCP_253359	CHEMBL2360495	0.4001
LINCSCP_143004	Furosemide	0.4
LINCSCP_31230	MLS002264502	0.3975
LINCSCP_34592	ZINC43409584	0.3968
LINCSCP_38194	AC1L2X6Z	0.3956
LINCSCP_38723	Broad-Sai-296	0.3951
LINCSCP_35328	BRD-K46232974	0.395
LINCSCP_34601	Rivafurazon	0.3939
LINCSCP_34549	Zopiclone	0.3922
LINCSCP_252734	Mebendazole	0.3918
LINCSCP_243482	BRD-K46503544-001-01-5	0.3914
LINCSCP_33222	Ethylbeta-carboline-3-carboxylate	0.391
LINCSCP_34701	N-Acetyl-d-leucine	0.3899
LINCSCP_32537	Hnha	0.3888
LINCSCP_239987	Coladonin	0.3885
LINCSCP_34717	Auranofin	0.3869
LINCSCP_31172	MLS002264439	0.3868
LINCSCP_253942	BRD-K42677417	0.3847
LINCSCP_34714	Acetaminophen	0.3836
LINCSCP_252369	CHEMBL2144678	0.3829
LINCSCP_34544	Merbromin	0.3818
LINCSCP_244779	Sparfloxacin	0.3794
LINCSCP_244941	Vorinostat	0.379
LINCSCP_244946	Methyldopate	0.3786
LINCSCP_134298	WHI-P97	0.378
LINCSCP_33260	Fusaric acid	0.3765
LINCSCP_31466	KUC104248	0.3762
LINCSCP_254261	SA-90544	0.374
LINCSCP_37936	BRD-K71714567	0.3739
LINCSCP_244905	Meprylcaine	0.3738
LINCSCP_34111	Methyl 1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate	0.3731
LINCSCP_243840	Trifluoperazine	0.3728
LINCSCP_243504	Fluphenazine	0.3722
LINCSCP_243383	Etodolac	0.3713
LINCSCP_134204	CC-401	0.3696
