signatureid	compound	similarity
LINCSCP_31171	MLS002264384	0.7739
LINCSCP_30781	TW 37	0.7105
LINCSCP_137134	Tetradecylthioacetic acid	0.6575
LINCSCP_143516	AZD7545	0.6543
LINCSCP_138060	Ammonium Glycyrrhizinate	0.6523
LINCSCP_143253	Bisoprolol	0.6509
LINCSCP_35130	BRD-K67498554	0.6493
LINCSCP_34941	BRD-K92313046	0.6433
LINCSCP_252541	Trichostatin A, Streptomyces Sp.	0.642
LINCSCP_31973	CHEMBL2141722	0.6395
LINCSCP_37264	Vorinostat	0.6134
LINCSCP_133666	(R)-(-)-Jq1 enantiomer	0.6074
LINCSCP_32733	AC1O9X68	0.6042
LINCSCP_143321	Rimantadine	0.6037
LINCSCP_250475	3-Aminobenzamide	0.6011
LINCSCP_34498	Cefmetazole	0.6008
LINCSCP_30849	CHEMBL179288	0.6007
LINCSCP_31172	MLS002264439	0.5936
LINCSCP_139694	Aminolevulinic acid	0.5916
LINCSCP_35114	CHEMBL3182128	0.5893
LINCSCP_36053	SCHEMBL16226502	0.5848
LINCSCP_143341	Anidulafungin	0.5751
LINCSCP_139672	Pentoxifylline	0.5733
LINCSCP_142696	Probucol	0.5717
LINCSCP_34927	CHEMBL3182338	0.5706
LINCSCP_132439	CI-1040	0.5705
LINCSCP_133254	CHEMBL1673039	0.5678
LINCSCP_131926	GSK 1059615	0.5669
LINCSCP_31526	5-Phenethylquinoline-8-ol	0.5668
LINCSCP_133626	AZD-1775	0.5652
LINCSCP_31844	CHEMBL2142321	0.563
LINCSCP_144497	Deferasirox	0.5572
LINCSCP_133712	1268524-70-4	0.5572
LINCSCP_139650	Dabigatran Etexilate	0.5562
LINCSCP_133620	SCHEMBL618594	0.5557
LINCSCP_31547	MLS002276542	0.5545
LINCSCP_31944	CHEMBL2139663	0.5526
LINCSCP_250971	Wortmannin	0.5518
LINCSCP_252708	Pevonedistat	0.5506
LINCSCP_240579	Pioglitazone	0.538
LINCSCP_32292	CID 6167421	0.5379
LINCSCP_31867	CHEMBL2130568	0.5353
LINCSCP_248471	BRD-K56367200	0.5327
LINCSCP_30381	PAC-1	0.5285
LINCSCP_242573	BRN 1601185	0.526
LINCSCP_138026	Dofequidar (fumarate)	0.5232
LINCSCP_35904	CHEMBL258148	0.5222
LINCSCP_138305	Voriconazole	0.5219
LINCSCP_143185	Lomitapide	0.5212
LINCSCP_239375	ST50928773	0.5175
LINCSCP_138429	citiolone	0.5162
LINCSCP_137371	Nefazodone	0.5151
LINCSCP_35196	BRD-K30126976	0.5137
LINCSCP_139873	Gliclazide	0.5133
LINCSCP_133344	Ipatasertib	0.5085
LINCSCP_31634	MLS002460409	0.508
LINCSCP_134709	Pyrazinamide	0.506
LINCSCP_31922	ML228	0.504
LINCSCP_31033	CHEMBL1394624	0.5035
LINCSCP_142634	metitepine	0.5035
LINCSCP_249283	BRD-K58340898	0.5016
LINCSCP_237804	Dicloxacillin	0.5004
LINCSCP_141689	Rivaroxaban	0.4985
LINCSCP_139744	CIANIDANOL	0.4949
LINCSCP_138969	CGP-12177	0.4888
LINCSCP_36223	Auranofin	0.4885
LINCSCP_33798	Beta-Narcotine	0.4884
LINCSCP_37342	SA-89735	0.4867
LINCSCP_32044	CID 75060944	0.4861
LINCSCP_34140	NCH-51	0.4857
LINCSCP_33003	WAY-170523	0.4855
LINCSCP_36145	BMS-536924	0.4854
LINCSCP_37066	Panobinostat	0.4849
LINCSCP_35446	BG-51	0.4845
LINCSCP_250964	SCHEMBL3092652	0.4832
LINCSCP_31934	NINDS_000152	0.4818
LINCSCP_143304	Ibutilide	0.4816
LINCSCP_139143	Indoprofen	0.4798
LINCSCP_139793	Tozasertib	0.4767
LINCSCP_143072	Lonidamine	0.4767
LINCSCP_133831	I-BET151	0.4765
LINCSCP_134251	MGCD-265	0.4764
LINCSCP_34748	ST057710	0.4762
LINCSCP_241906	Mapp, D-Erythro	0.4757
LINCSCP_132487	YM 201636	0.4741
LINCSCP_141259	PD-0325901	0.4725
LINCSCP_139093	Cholic acid	0.4716
LINCSCP_138350	AC1Q5RFA	0.4704
LINCSCP_31903	4-(3,5-Dimethyl-4-nitro-1H-pyrazol-1-yl)butanoic acid	0.4665
LINCSCP_133788	GSK 525762A	0.4659
LINCSCP_141545	Bimatoprost	0.4656
LINCSCP_138255	AZ628	0.464
