signatureid	compound	similarity
LINCSCP_31217	MLS003221407	0.4199
LINCSCP_143086	CEFOTETAN	0.4084
LINCSCP_132412	PLX-4720	0.3991
LINCSCP_31222	MLS002264477	0.3916
LINCSCP_31402	MLS002264419	0.3831
LINCSCP_243555	Metformin	0.3759
LINCSCP_34978	BRD-K35002913	0.363
LINCSCP_240591	Scopolamine	0.3608
LINCSCP_33719	Apigenin Triacetate	0.353
LINCSCP_238299	Palonosetron	0.3521
LINCSCP_132337	AZD-8330	0.3427
LINCSCP_242726	CHEMBL2001494	0.3412
LINCSCP_236537	Chloroquine	0.3404
LINCSCP_33392	CHEMBL34095	0.3399
LINCSCP_236891	Acetylsalicylanilide	0.339
LINCSCP_31424	SCHEMBL2557158	0.3377
LINCSCP_33258	Terconazole	0.3372
LINCSCP_251680	C24H25CLFN5O3	0.3354
LINCSCP_30622	PF-04217903	0.3341
LINCSCP_139150	Dexniguldipine	0.3332
LINCSCP_35162	BRD-K26130452	0.3324
LINCSCP_33434	CGP-12177	0.3308
LINCSCP_34085	CHEMBL2357745	0.3304
LINCSCP_34467	Sulfasalazine	0.328
LINCSCP_243543	Clorgiline	0.3213
LINCSCP_34460	Hydroxychloroquine	0.8894
LINCSCP_244064	Leflunomide	0.5075
LINCSCP_31352	Clopidogrel	0.4851
LINCSCP_31392	KUC104219	0.4815
LINCSCP_244052	Vidarabine	0.4784
LINCSCP_34431	Mesoridazine	0.466
LINCSCP_243942	Propidium	0.4503
LINCSCP_34520	Tinidazole	0.4415
LINCSCP_238294	DUP-697	0.4402
LINCSCP_238408	MLS002703108	0.4361
LINCSCP_31400	STK222600	0.435
LINCSCP_237862	MLS002391491	0.4316
LINCSCP_35029	BRD-K53092731	0.4297
LINCSCP_254426	Estradiol	0.4283
LINCSCP_247757	BRD-K06039860-001-01-4	0.4283
LINCSCP_35027	BRD-K50388960	0.4276
LINCSCP_237811	KUC105999N	0.4269
LINCSCP_237850	Rifapentine	0.4222
LINCSCP_34533	Clorsulon	0.4196
LINCSCP_36265	NU1025	0.417
LINCSCP_31394	CHEMBL1270113	0.4156
LINCSCP_35061	BRD-K98192020	0.4154
LINCSCP_34494	ZINC03977976	0.4104
LINCSCP_38213	SA-102042	0.4091
LINCSCP_237942	SCHEMBL2556868	0.4063
LINCSCP_34492	Proadifen	0.4043
LINCSCP_243930	Dicloxacillin	0.4043
LINCSCP_238416	Enrofloxacin	0.4003
LINCSCP_38159	SA-102607	0.3982
LINCSCP_244374	Racepinephrine	0.3947
LINCSCP_250204	SCHEMBL16892136	0.394
LINCSCP_237834	MLS002264410	0.3939
LINCSCP_30964	MLS-0311344.0001	0.3915
LINCSCP_32228	ZINC00969081	0.39
LINCSCP_253454	SA-1455938	0.3852
LINCSCP_243918	Guaifenesin	0.3836
LINCSCP_31380	Flunisolide	0.3818
LINCSCP_34504	Methimazole	0.3802
LINCSCP_35555	Panobinostat	0.3801
LINCSCP_251081	Vorinostat	0.3786
LINCSCP_31777	Stavudine	0.3761
LINCSCP_247819	BRD-K30851490	0.3758
LINCSCP_33080	Linolenic acid	0.3743
LINCSCP_237420	CID 49837819	0.3736
LINCSCP_31551	Htfmt	0.3703
LINCSCP_35583	Broad-Sai-560	0.3702
LINCSCP_31358	MLS003271344	0.3685
LINCSCP_243992	Sulfapyridine	0.3681
LINCSCP_237917	AF 1312TS	0.3674
LINCSCP_253139	NSC95397	0.3667
LINCSCP_35491	BRD-K10436544	0.3644
LINCSCP_236743	MLS002460463	0.3635
LINCSCP_35039	BRD-K65526065	0.3633
LINCSCP_239969	FPA1_000301	0.3623
LINCSCP_133117	AT-7519	0.3611
LINCSCP_31417	Naltrexone	0.361
LINCSCP_37921	Cerulenin	0.3609
LINCSCP_254278	CGP 57380	0.359
LINCSCP_37096	SA-1938820	0.3577
LINCSCP_31566	(R,R)-Tramadol	0.3573
LINCSCP_31809	Lidocaine	0.3572
LINCSCP_31305	Salmeterol	0.3569
LINCSCP_237870	MLS003337114	0.3561
LINCSCP_31586	SMR000024485	0.3556
LINCSCP_238255	Oxyphenonium	0.3554
LINCSCP_37091	CHEMBL1868011	0.3546
LINCSCP_30918	BRD-A97035593	0.3544
LINCSCP_237797	Celecoxib	0.3543
LINCSCP_32854	CHEMBL404099	0.3533
LINCSCP_33138	Benzonatate	0.3517
LINCSCP_34516	DICUMAROL	0.3504
LINCSCP_30218	Robustic acid	0.3501
LINCSCP_238321	AC1NDH8W	0.3493
LINCSCP_31432	BRD-U32049204	0.3492
LINCSCP_35019	BRD-K33318635	0.3476
LINCSCP_31428	Triazolothiadiazine, 28	0.347
LINCSCP_33051	MLS000756415	0.3466
LINCSCP_238361	MLS002276511	0.3453
LINCSCP_37693	SA-1457188	0.3446
LINCSCP_133053	CHEMBL2136735	0.3446
LINCSCP_31762	Indinavir	0.3441
LINCSCP_31107	MLS000879464	0.3431
LINCSCP_35036	BRD-K63923428	0.3427
LINCSCP_253899	BRD-K30393343	0.3419
LINCSCP_33457	SPBIO_002561	0.3418
LINCSCP_243868	Trolox	0.3414
LINCSCP_36728	WZ3105	0.3404
LINCSCP_30295	Methoxsalen	0.3387
LINCSCP_253604	MLS003650115	0.3365
LINCSCP_253871	BRD-K18170480	0.3364
LINCSCP_34316	Edrophonium	0.3353
LINCSCP_254049	BRD-K01282863	0.3353
LINCSCP_250820	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	0.3347
LINCSCP_31616	6-Aminoindazole	0.3342
LINCSCP_30379	E6 Berbamine	0.3341
LINCSCP_35011	BRD-K18647673	0.3337
LINCSCP_34505	Cycladiene	0.3334
LINCSCP_32869	Harpagoside	0.3324
LINCSCP_34665	ZINC03977775	0.3315
LINCSCP_31444	STK054715	0.3311
LINCSCP_38067	SB225002	0.3311
LINCSCP_37068	SA-97110	0.331
LINCSCP_30444	Myriocin	0.3305
LINCSCP_33942	BRD-K89696951	0.3305
LINCSCP_37383	SA-101686	0.3304
LINCSCP_31766	Etomidate	0.3298
LINCSCP_32925	Ranitidine	0.3291
LINCSCP_247626	BRD-K61764820	0.329
LINCSCP_238445	SMR000108731	0.3283
LINCSCP_235944	SCHEMBL3363896	0.3281
LINCSCP_132168	AS601245	0.3277
LINCSCP_34397	Zoxazolamine	0.3276
LINCSCP_30925	4-Methoxy-6-phenyl-1H-pyrimidine-2-thione	0.3273
LINCSCP_243743	Tolnaftate	0.327
LINCSCP_32477	Rifabutin	0.325
LINCSCP_34357	Kanamycin	0.324
LINCSCP_37139	SA-427604	0.324
LINCSCP_34336	Diperodon	0.3239
LINCSCP_244476	Clioquinol	0.3237
LINCSCP_132673	CGP 60474	0.3235
LINCSCP_35008	BRD-K12124649	0.3234
LINCSCP_254400	ZINC02419385	0.3233
LINCSCP_38216	T-0156	0.3229
LINCSCP_31642	Dactinomycin	0.3227
LINCSCP_37720	SA-1456170	0.3224
LINCSCP_31756	Sibutramine	0.3223
LINCSCP_31307	Propranolol	0.3217
LINCSCP_31129	MLS002264523	0.3214
LINCSCP_31325	STK177293	0.3211
