ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
672	BRCA1	-3.1882	8.0754e-6
10610	ST6GALNAC2	-2.5589	0
10559	SLC35A1	-3.4638	0
10513	APPBP2	-3.9746	0
291	SLC25A4	-1.9265	0
1759	DNM1	-2.6056	1e-4
8800	PEX11A	-2.1511	1e-4
23588	KLHDC2	-4.38	1e-4
55793	FAM63A	-2.2678	1e-4
10681	GNB5	-2.0124	1e-4
3930	LBR	-2.7991	3e-4
5777	PTPN6	-1.7551	5e-4
6195	RPS6KA1	-1.6083	5e-4
5607	MAP2K5	-2.3609	5e-4
5359	PLSCR1	-1.8294	6e-4
10058	ABCB6	-1.4304	7e-4
79716	NPEPL1	-4.1329	7e-4
11168	PSIP1	-2.8085	7e-4
5601	MAPK9	-3.081	7e-4
10898	CPSF4	-2.5916	8e-4
8318	CDC45	-4.4755	9e-4
9697	TRAM2	-1.2755	9e-4
2037	EPB41L2	-2.1006	9e-4
6676	SPAG4	-1.5234	9e-4
4016	LOXL1	-1.4692	0.0011
23244	PDS5A	-2.3316	0.0012
9988	DMTF1	-1.3241	0.0012
8726	EED	-2.2948	0.0013
5427	POLE2	-2.4906	0.0014
22796	COG2	-2.3883	0.0014
5092	PCBD1	-1.2305	0.0015
11284	PNKP	-1.343	0.0016
22905	EPN2	-1.3597	0.0017
5261	PHKG2	-1.4099	0.0017
7750	ZMYM2	-1.7198	0.0018
64429	ZDHHC6	-1.4962	0.0019
51071	DERA	-2.0585	0.002
10904	BLCAP	-1.1513	0.002
2146	EZH2	-1.6566	0.0021
79902	NUP85	-1.8748	0.0022
11182	SLC2A6	-1.1001	0.0026
4927	NUP88	-1.734	0.0028
8914	TIMELESS	-1.2221	0.003
10494	STK25	-2.1593	0.003
55746	NUP133	-1.3638	0.0031
4609	MYC	-1.0456	0.0031
56654	NPDC1	-1.7058	0.0032
23365	ARHGEF12	-1.529	0.0032
4582	MUC1	-1.4568	0.0033
22794	CASC3	-2.3374	0.0033
6908	TBP	-2.1315	0.0034
79850	FAM57A	-2.514	0.0034
4817	NIT1	-1.6949	0.0035
27095	TRAPPC3	-1.5794	0.0035
22809	ATF5	-1.4994	0.0038
949	SCARB1	-1.2485	0.0038
11031	RAB31	-1.009	0.0039
9276	COPB2	-1.4291	0.004
80758	PRR7	-1.6917	0.004
51422	PRKAG2	-1.5936	0.0042
9552	SPAG7	-2.956	0.0043
9143	SYNGR3	-1.8733	0.0043
5782	PTPN12	-1.2752	0.0043
1459	CSNK2A2	-1.3208	0.0047
22889	KIAA0907	-1.1706	0.0048
6810	STX4	-1.337	0.005
50813	COPS7A	-0.8901	0.0051
51005	AMDHD2	-1.4758	0.0051
1153	CIRBP	-2.3577	0.0051
26020	LRP10	-1.0803	0.0051
1277	COL1A1	-1.3206	0.0052
5106	PCK2	-0.8846	0.0057
3206	HOXA10	-1.2624	0.0059
6812	STXBP1	-1.212	0.0062
1643	DDB2	-2.2158	0.0066
2745	GLRX	-0.9824	0.0066
9926	LPGAT1	-1.5716	0.0067
664	BNIP3	-2.2173	0.0068
3909	LAMA3	-0.8398	0.0069
10038	PARP2	-1.6626	0.0069
9847	C2CD5	-4.4847	0.007
9641	IKBKE	-0.8715	0.0071
51097	SCCPDH	-1.0681	0.0071
23597	ACOT9	-2.1418	0.0073
10051	SMC4	-0.9264	0.0075
5257	PHKB	-0.9368	0.0076
1831	TSC22D3	-1.9383	0.0077
10797	MTHFD2	-1.2123	0.0087
23139	MAST2	-1.0795	0.0089
2356	FPGS	-1.3265	0.009
11230	PRAF2	-1.3522	0.0093
9761	MLEC	-1.4162	0.01
23647	ARFIP2	-1.1639	0.0108
1062	CENPE	-0.9263	0.0109
965	CD58	-1.0979	0.011
7319	UBE2A	-2.1118	0.0113
9289	ADGRG1	-0.8878	0.0122
8878	SQSTM1	-1.3588	0.0128
80746	TSEN2	-1.9436	0.0128
3895	KTN1	-1.063	0.0132
5909	RAP1GAP	-1.0975	0.0145
9805	SCRN1	-1.0173	0.0146
8050	PDHX	-3.1623	0.0147
256364	EML3	-1.1513	0.0148
23325	KIAA1033	-1.3095	0.0156
85377	MICALL1	-0.8359	0.0157
5423	POLB	-2.0964	0.016
7082	TJP1	-0.9232	0.0168
1514	CTSL	-1.3223	0.017
11157	LSM6	-0.9455	0.0173
66008	TRAK2	-1.2642	0.0182
2542	SLC37A4	-1.678	0.0182
8720	MBTPS1	-0.8215	0.0182
25803	SPDEF	-1.4394	0.0195
8204	NRIP1	-1.7889	0.0212
8202	NCOA3	-0.9698	0.0219
6304	SATB1	-0.7794	0.023
5993	RFX5	-2.7238	0.0242
9270	ITGB1BP1	-1.3904	0.0246
7106	TSPAN4	-1.1086	0.0248
868	CBLB	-0.981	0.0251
200081	TXLNA	-1.005	0.0252
9097	USP14	-0.7161	0.0255
8678	BECN1	-1.2456	0.026
3383	ICAM1	-0.8253	0.0263
3551	IKBKB	-0.9167	0.0265
2582	GALE	-2.5492	0.0282
4864	NPC1	-0.8435	0.0286
4154	MBNL1	-0.7265	0.0294
4651	MYO10	-0.8275	0.0313
10150	MBNL2	-0.7514	0.0314
1534	CYB561	-1.8243	0.034
1465	CSRP1	-0.7235	0.0344
9924	PAN2	-1.6978	0.0374
55847	CISD1	-0.9197	0.0382
23038	WDTC1	-0.9644	0.039
5300	PIN1	-2.6707	0.0392
5154	PDGFA	-0.7954	0.0392
84617	TUBB6	-0.8915	0.0392
8624	PSMG1	-0.761	0.04
2064	ERBB2	-2.0403	0.04
2958	GTF2A2	-0.6023	0.04
5111	PCNA	-0.9102	0.04
1454	CSNK1E	-0.715	0.0405
3611	ILK	-1.363	0.0407
29911	HOOK2	-0.6214	0.0417
10112	KIF20A	-0.7489	0.0418
533	ATP6V0B	-1.2874	0.0421
1001	CDH3	-0.8445	0.0426
10013	HDAC6	-0.9354	0.0429
79961	DENND2D	-1.8492	0.0478
7296	TXNRD1	-0.7791	0.0487
6919	TCEA2	-0.9571	0.0488
5747	PTK2	-0.7517	0.0492
2817	GPC1	-0.842	0.0493
7168	TPM1	-1.7719	0.0498
4891	SLC11A2	-0.714	0.0501
4125	MAN2B1	-0.8172	0.0507
55111	PLEKHJ1	-1.5702	0.0529
7485	WRB	-0.8288	0.0554
23061	TBC1D9B	-0.6444	0.056
4793	NFKBIB	-0.6681	0.0564
9637	FEZ2	-1.1371	0.0574
23224	SYNE2	-0.7704	0.0583
823	CAPN1	-0.5153	0.0589
51203	NUSAP1	-2.2848	0.0603
5829	PXN	-0.7172	0.0605
840	CASP7	-0.7476	0.0606
9053	MAP7	-0.8493	0.0611
3482	IGF2R	-0.9378	0.0612
7982	ST7	-0.9356	0.0641
8440	NCK2	-0.8918	0.0642
4616	GADD45B	-0.9507	0.0651
6772	STAT1	-0.8938	0.0652
7849	PAX8	-0.7611	0.0663
8573	CASK	-0.6163	0.0673
79143	MBOAT7	-0.6894	0.0685
10362	HMG20B	-2.4997	0.0695
9170	LPAR2	-1.1442	0.0715
2058	EPRS	-0.516	0.0751
26520	TIMM9	-2.1608	0.0774
994	CDC25B	-2.6208	0.0794
3122	HLA-DRA	-0.5739	0.08
1786	DNMT1	-1.8325	0.0809
2063	NR2F6	-1.6508	0.0809
30849	PIK3R4	-0.7779	0.0811
6603	SMARCD2	-0.6027	0.0814
29103	DNAJC15	-2.399	0.0817
51466	EVL	-1.0199	0.0828
1399	CRKL	-0.8651	0.0855
207	AKT1	-1.4035	0.0896
10493	VAT1	-0.9223	0.0943
57761	TRIB3	-2.2814	0.0946
5331	PLCB3	-1.0833	0.098
2309	FOXO3	-0.6934	0.0986
10329	TMEM5	-1.123	0.1012
57804	POLD4	-0.5913	0.1024
2065	ERBB3	-1.1216	0.1027
58533	SNX6	-0.6809	0.1029
2048	EPHB2	-0.6715	0.1033
5050	PAFAH1B3	-0.5882	0.109
3416	IDE	-0.533	0.1104
10227	MFSD10	-0.5958	0.1123
2887	GRB10	-0.6329	0.1138
9897	KIAA0196	-0.7341	0.1155
10273	STUB1	-0.5252	0.1171
6117	RPA1	-0.578	0.1183
2109	ETFB	-0.6229	0.1228
10857	PGRMC1	-0.523	0.1233
1017	CDK2	-0.6979	0.1284
23014	FBXO21	-0.6323	0.1298
2184	FAH	-0.7362	0.1302
392	ARHGAP1	-0.7125	0.1316
147179	WIPF2	-0.5448	0.1322
57149	LYRM1	-0.6972	0.1329
2896	GRN	-0.8976	0.133
4482	MSRA	-0.5794	0.1333
25839	COG4	-1.003	0.1362
6813	STXBP2	-0.7006	0.1406
55893	ZNF395	-0.6588	0.1408
63933	MCUR1	-0.9849	0.1464
5889	RAD51C	-0.5291	0.1495
79187	FSD1	-0.6742	0.1513
9817	KEAP1	-0.5177	0.1527
8821	INPP4B	-0.8022	0.1543
9813	EFCAB14	-0.6515	0.155
55699	IARS2	-1.9815	0.1565
5357	PLS1	-0.5357	0.166
4605	MYBL2	-0.5006	0.1791
4331	MNAT1	-0.6806	0.188
6988	TCTA	-0.718	0.1887
