ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
23443	SLC35A3	2.6768	0.009
10606	PAICS	2.0629	0.0124
5867	RAB4A	2.8748	0.0125
10038	PARP2	1.7642	0.014
8851	CDK5R1	1.9166	0.0172
1738	DLD	1.5974	0.0184
116832	RPL39L	1.6612	0.0196
2309	FOXO3	1.6963	0.0204
9053	MAP7	7.2351	0.0211
3775	KCNK1	1.6426	0.0268
1978	EIF4EBP1	1.9113	0.0282
310	ANXA7	1.6298	0.0292
51097	SCCPDH	1.3504	0.0293
9134	CCNE2	3.1173	0.0293
896	CCND3	6.5317	0.0297
1452	CSNK1A1	1.838	0.0336
642	BLMH	1.3382	0.0337
7358	UGDH	1.2919	0.0338
64080	RBKS	1.3007	0.0346
6839	SUV39H1	1.3702	0.0355
89910	UBE3B	1.8586	0.036
1845	DUSP3	1.3855	0.0367
6195	RPS6KA1	1.3244	0.0396
7153	TOP2A	1.2784	0.0431
10973	ASCC3	1.4063	0.0443
2956	MSH6	1.2306	0.0446
9709	HERPUD1	1.6212	0.045
5223	PGAM1	1.122	0.0484
1027	CDKN1B	1.0928	0.0492
4172	MCM3	1.2477	0.0502
11142	PKIG	1.0801	0.0507
55699	IARS2	1.3229	0.0524
2736	GLI2	1.2907	0.0531
226	ALDOA	1.0895	0.0538
1445	CSK	1.0384	0.0563
10644	IGF2BP2	1.4957	0.0566
6772	STAT1	1.0699	0.0567
23636	NUP62	1.3223	0.057
9183	ZW10	1.023	0.0578
2690	GHR	1.0721	0.0598
30849	PIK3R4	1.866	0.0626
51495	HACD3	0.9894	0.0635
596	BCL2	1.0681	0.0638
3066	HDAC2	1.5921	0.0643
5710	PSMD4	0.9604	0.0672
9128	PRPF4	1.6219	0.0672
55793	FAM63A	0.9988	0.0677
25932	CLIC4	1.5563	0.0707
427	ASAH1	1.2692	0.0718
9212	AURKB	0.9363	0.0725
64429	ZDHHC6	0.9453	0.0726
55556	ENOSF1	0.9604	0.0733
29082	CHMP4A	0.9234	0.0734
80349	WDR61	0.95	0.0737
351	APP	0.9298	0.0743
23536	ADAT1	0.9448	0.0748
9261	MAPKAPK2	0.9089	0.0765
890	CCNA2	0.9088	0.0769
4043	LRPAP1	0.8984	0.0781
5716	PSMD10	0.9053	0.079
6597	SMARCA4	2.4394	0.0813
10732	TCFL5	1.0464	0.0818
6304	SATB1	0.9801	0.0828
50865	HEBP1	0.882	0.0834
9988	DMTF1	1.1983	0.0854
993	CDC25A	1.417	0.0861
5889	RAD51C	0.8595	0.0863
53343	NUDT9	1.4375	0.088
