Name_GeneSymbol	Value_LogDiffExp
ABHD4	-0.4885
ACLY	-0.8288
ACOT9	-1.1452
ADCK3	-0.3231
ADH5	-0.8426
ADI1	-0.8648
AKR7A2	-2.7343
ALDOA	-0.6729
ALDOC	-1.5023
ANO10	-0.668
ARPP19	-0.6732
ATF6	-0.3528
ATG3	-0.4511
ATP6V0B	-1.4776
ATP6V1D	-1.0759
BDH1	-1.078
BHLHE40	-1.2794
BID	-0.5914
BIRC5	-0.364
BNIP3	-0.7628
BNIP3L	-1.2593
C2CD2L	-0.3085
CALU	-0.5068
CAPN1	-0.6136
CASC3	-0.4973
CASP2	-1.1493
CASP3	-1.1907
CASP7	-0.3527
CAST	-2.318
CCND3	-0.3396
CCNH	-1.048
CDCA4	-0.5134
CDK1	-0.3868
CDK19	-0.2663
CDK2	-0.3991
CDK4	-1.3237
CDK6	-1.1478
CDKN1A	-0.9842
CDKN2A	-0.6969
CETN3	-0.5187
CFLAR	-1.588
CHEK2	-1.2315
CHMP4A	-0.7619
CHMP6	-0.5932
CIAPIN1	-0.426
CLIC4	-0.3203
CNDP2	-0.3316
COASY	-0.6859
COG2	-0.3573
COG4	-1.2704
COL4A1	-0.3048
CORO1A	-2.6901
CRK	-4.4018
CRTAP	-1.2861
CSNK1A1	-0.9217
CSNK2A2	-0.2612
CTSL	-1.2322
CXCL2	-1.1829
CYCS	-0.3892
DAXX	-0.4205
DDIT4	-1.3526
DDR1	-0.8091
DDX10	-0.6051
DECR1	-0.3965
DENND2D	-1.2959
DERA	-0.5859
DFFA	-0.5785
DHDDS	-0.416
DHRS7	-1.0526
DNAJA3	-7.7289
DNAJB2	-0.6999
DNAJC15	-1.2332
DNM1L	-0.3978
DSG2	-0.6139
DUSP14	-1.1351
DUSP4	-0.376
DYNLT3	-0.5924
DYRK3	-0.3752
EAPP	-1.5655
EBNA1BP2	-0.6457
EBP	-0.2898
ECD	-0.6605
EGF	-0.5026
EGR1	-0.582
EIF4EBP1	-0.9123
EIF5	-1.0903
ELOVL6	-0.3904
EPRS	-0.8223
ERO1L	-0.4677
ETV1	-0.3623
EZH2	-0.6572
FAH	-0.9868
FASTKD5	-0.645
FOS	-0.6926
FOSL1	-0.5721
FOXO4	-0.7662
FZD1	-0.659
GAA	-0.2683
GABPB1	-0.4942
GADD45B	-0.3703
GLRX	-1.5383
GNPDA1	-1.3955
GOLT1B	-1.0024
GPATCH8	-1.0613
GPC1	-0.3407
GRB7	-0.5208
GRN	-0.8487
GSTZ1	-0.6125
H2AFV	-0.2713
HAT1	-0.5166
HDAC6	-0.6524
HK1	-0.8665
HMGA2	-0.2954
HMGCR	-0.4203
HN1L	-0.4467
HPRT1	-0.5512
HSPA8	-4.0317
HTRA1	-0.3512
ICAM1	-0.8793
ICAM3	-1.0435
ID2	-1.4038
IER3	-0.5812
IL1B	-0.627
ILK	-0.8262
JUN	-0.4113
KIAA0355	-0.4401
KIAA0907	-0.9504
KIAA1033	-2.8602
KIF5C	-0.6193
KLHDC2	-0.5198
LAGE3	-1.054
LBR	-0.546
LGALS8	-0.5448
LIPA	-0.6807
LPAR2	-0.9994
LRP10	-0.6813
LYPLA1	-0.3039
LYRM1	-1.8109
MAN2B1	-0.9042
MAP4K4	-0.5733
