Name_GeneSymbol	Value_LogDiffExp
ACOT9	-1.1452
AKR7A2	-2.7343
ALDOC	-1.5023
ATP6V0B	-1.4776
ATP6V1D	-1.0759
BDH1	-1.078
BHLHE40	-1.2794
BNIP3L	-1.2593
CASP2	-1.1493
CASP3	-1.1907
CAST	-2.318
CCNH	-1.048
CDK4	-1.3237
CDK6	-1.1478
CFLAR	-1.588
CHEK2	-1.2315
COG4	-1.2704
CORO1A	-2.6901
CRK	-4.4018
CRTAP	-1.2861
CTSL	-1.2322
CXCL2	-1.1829
DDIT4	-1.3526
DENND2D	-1.2959
DHRS7	-1.0526
DNAJA3	-7.7289
DNAJC15	-1.2332
DUSP14	-1.1351
EAPP	-1.5655
EIF5	-1.0903
GLRX	-1.5383
GNPDA1	-1.3955
GOLT1B	-1.0024
GPATCH8	-1.0613
HSPA8	-4.0317
ICAM3	-1.0435
ID2	-1.4038
KIAA1033	-2.8602
LAGE3	-1.054
LYRM1	-1.8109
MELK	-1.8882
MRPS16	-1.0831
NENF	-3.0904
NFKBIB	-1.1148
NIPSNAP1	-1.129
NOL3	-1.2254
NPDC1	-1.2421
NRIP1	-2.0328
PAX8	-1.8141
PDGFA	-1.151
PEX11A	-1.2223
PNP	-1.8303
POLG2	-2.9242
POLR1C	-1.3303
PRCP	-1.402
PSME1	-1.4305
PSME2	-1.4682
PTPN6	-1.1435
PXMP2	-1.0066
RAB4A	-1.7476
RAC2	-1.3425
RALB	-2.686
REEP5	-1.0257
RELB	-1.4116
RPS5	-1.1447
RPS6KA1	-1.177
SDHB	-1.0205
SH3BP5	-1.226
SPR	-2.1296
ST6GALNAC2	-1.5758
ST7	-1.2974
TIMM17B	-1.3697
TSC22D3	-1.2028
TSPAN6	-1.074
UBE2A	-1.1376
UBE2C	-1.1638
VAT1	-1.5887
VPS28	-1.7491
VPS72	-1.0341
XBP1	-1.1642
