Name_GeneSymbol	Value_LogDiffExp
ABCB6	-1.7519500000000001
ACBD3	-1.1710500000000001
ADO	-0.9924
APPBP2	-1.22215
ATMIN	-1.59345
BAX	-1.6269
CBLB	-1.4527
CCDC86	-1.5459
CDK4	-0.9573
CDKN1A	-0.96295
CHMP4A	-1.2022
CTSL	-1.12035
EBNA1BP2	-0.9221
EIF4EBP1	-0.89415
EPB41L2	-1.08075
ERBB2	-1.02085
ERBB3	-0.9643499999999999
ETFB	-0.9819000000000001
FBXO21	-1.19715
FOSL1	-0.9354499999999999
GAA	-1.27595
GOLT1B	-0.8827999999999999
GTF2E2	-0.97265
HDGFRP3	-1.7514
HIST1H2BK	-1.4903499999999998
HMGCS1	-1.13015
HSPA1A	-1.10975
LAP3	-1.8856
LSR	-0.8974
LYPLA1	-1.02225
MAN2B1	-0.8754000000000001
MAP7	-1.21095
NCK2	-1.0203
NOSIP	-1.3303500000000001
NPC1	-0.888
NRIP1	-1.75955
P4HTM	-3.54715
PDGFA	-0.9461499999999999
PLOD3	-0.8908
PTPRK	-1.5378500000000002
RAB31	-1.93965
REEP5	-1.3397000000000001
SLC25A13	-1.3103
SLC25A4	-0.98905
SQSTM1	-1.85185
ST6GALNAC2	-0.8922
STAT1	-1.16325
TARBP1	-0.9564
TERF2IP	-0.8726
THAP11	-0.91515
TLE1	-0.9781000000000001
TOP2A	-1.2743
TP53BP1	-1.05635
TSC22D3	-1.21355
TSKU	-1.177
UBE3C	-1.9640000000000002
UFM1	-1.2620500000000001
