similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	160	Lopinavir	LSM-6027	NA	10uM	24h	LINCSCP_162038	PC3
0.5559	2.3371e-14	160	Piperine	LSM-42991	MAOA|MAOB	10uM	6h	LINCSCP_19124	HCC515
0.5115	4.7574e-12	160	PHA-665752	LSM-42793	MET	10uM	6h	LINCSCP_52097	SKBR3
0.5115	4.7992e-12	160	Pranlukast	LSM-6006	CYSLTR1|CYSLTR2	0.04uM	24h	LINCSCP_162727	PC3
0.5022	1.3238e-11	160	CHEMBL1869437	LSM-6145	NA	10uM	6h	LINCSCP_20655	HCC515
0.495	2.8596e-11	160	R(+)-Terguride	LSM-2104	DRD2|HTR2A|HTR2B	10uM	24h	LINCSCP_7271	A549
0.4947	2.9604e-11	160	GSK 3BETA Inhibitor VIII	LSM-3514	GSK3B	10uM	6h	LINCSCP_13925	HA1E
0.493	3.525e-11	160	Dexamethasone 21-acetate	LSM-3049	NR3C1	10uM	6h	LINCSCP_19112	HCC515
0.4918	4.0119e-11	160	VX-661	LSM-45570	CFTR	3.33uM	24h	LINCSCP_127439	HT29
0.4888	5.4675e-11	160	LDN 193189	LSM-1115	ACVR1|BMPR1A	3.33uM	3h	LINCSCP_85573	BT20
0.4853	7.8152e-11	160	848193-68-0	LSM-6271	SIRT1	20uM	6h	LINCSCP_234807	LOVO
0.4846	8.4046e-11	160	NKP608	LSM-45650	NA	10uM	24h	LINCSCP_162200	PC3
0.484	8.9616e-11	160	ARN-509	LSM-45475	AR	10uM	24h	LINCSCP_161888	PC3
0.4825	1.0365e-10	160	PKC Beta Inhibitor	LSM-4753	PRKCB	10uM	6h	LINCSCP_54676	SW948
0.4788	1.5165e-10	160	SAR245409	LSM-1174	NA	10uM	24h	LINCSCP_128040	HUES3
0.4757	2.0562e-10	160	Ttnpb	LSM-43006	RARB	10uM	6h	LINCSCP_271317	PC3
0.4619	7.8281e-10	160	Bifonazole	LSM-5184	NA	1.11uM	24h	LINCSCP_162166	PC3
0.4602	9.1696e-10	160	Tamoxifen	LSM-42959	ESR1|ESR2	10uM	24h	LINCSCP_176125	YAPC
0.4585	1.0767e-9	160	Sertaconazole	LSM-1938	NA	10uM	24h	LINCSCP_175898	YAPC
0.4582	1.1106e-9	160	Broad-Sai-045	LSM-45330	NA	10uM	24h	LINCSCP_20963	HCC515
0.4576	1.1749e-9	160	BX471	LSM-45629	NA	1.11uM	24h	LINCSCP_143743	MCF7
0.4575	1.1909e-9	160	AZD-1152HQPA	LSM-46008	NA	0.5uM	24h	LINCSCP_4092	A375
-0.4558	1.3846e-9	160	CHEMBL2132289	LSM-1044	RPS6KA3	3.33uM	24h	LINCSCP_84805	ASC
0.4541	1.6288e-9	160	CHEMBL3188581	LSM-38540	NA	5uM	24h	LINCSCP_28119	HT29
0.4538	1.6671e-9	160	BRD-K71182858	LSM-12774	NA	5uM	6h	LINCSCP_63944	VCAP
0.4522	1.9337e-9	160	Dacomitinib	LSM-42808	EGFR|ERBB2|ERBB3|ERBB4	0.12uM	24h	LINCSCP_128116	HUES3
0.4521	1.9554e-9	160	BMN 673	LSM-45245	NA	1.11uM	24h	LINCSCP_127812	HT29
-0.4495	2.4905e-9	160	Trimethoprim	LSM-5246	NA	0.12uM	24h	LINCSCP_104990	HELA
0.4482	2.807e-9	160	Rottlerin	LSM-42845	NA	10uM	6h	LINCSCP_213633	HCC515
-0.4476	2.9573e-9	160	Tamatinib	LSM-1040	SYK	10uM	6h	LINCSCP_39937	NCIH1836
0.4448	3.8005e-9	160	Licochalcone A	LSM-46030	NA	1.11uM	24h	LINCSCP_152775	PC3
0.4422	4.7725e-9	160	Apremilast (CC-10004)	LSM-45894	PDE4A|PDE4B|PDE4C|PDE4D	3.33uM	24h	LINCSCP_127331	HT29
0.4408	5.4219e-9	160	AZD-1775	LSM-1153	WEE1	10uM	6h	LINCSCP_10584	AGS
0.4378	7.0655e-9	160	L-690330	LSM-4578	IMPA1	10uM	6h	LINCSCP_53683	SNU1040
0.4376	7.2209e-9	160	Glyburide	LSM-2811	ABCC8|CFTR|KCNJ11|KCNJ5|KCNJ8	10uM	6h	LINCSCP_10559	AGS
0.4372	7.4251e-9	160	BSPBIO_002472	LSM-1389	NA	10uM	24h	LINCSCP_32811	MCF7
-0.4367	7.7551e-9	160	Voriconazole	LSM-5244	CYP2C19|CYP2C9|CYP3A4|CYP3A5|PTGS1	0.12uM	24h	LINCSCP_121725	HT29
0.4342	9.6545e-9	160	Sulindac	LSM-43065	AKR1B1|PTGS1|PTGS2	10uM	6h	LINCSCP_27274	HT29
0.4334	1.0408e-8	160	Vitamin B12	LSM-46022	NA	0.04uM	24h	LINCSCP_162775	PC3
0.433	1.0698e-8	160	PH-797804	LSM-36373	MAPK14	0.04uM	24h	LINCSCP_162211	PC3
0.4319	1.1822e-8	160	Buspirone	LSM-4105	HTR1A	0.12uM	24h	LINCSCP_144099	MCF7
0.4314	1.2297e-8	160	SU 11274	LSM-42792	MET	0.04uM	3h	LINCSCP_145136	MDAMB231
0.4302	1.3714e-8	160	Sertaconazole	LSM-1938	NA	3.33uM	24h	LINCSCP_162309	PC3
-0.4289	1.5252e-8	160	Sirolimus	LSM-42783	FKBP1A|MTOR	1.11uM	3h	LINCSCP_113567	HME1
0.428	1.6433e-8	160	SCHEMBL570779	LSM-1149	NA	0.37uM	3h	LINCSCP_163262	SKBR3
-0.4272	1.7634e-8	160	Ornidazole	LSM-1548	NA	1.11uM	24h	LINCSCP_168471	YAPC
0.4267	1.8463e-8	160	BRD-K50280607	LSM-40057	NA	10uM	6h	LINCSCP_59354	VCAP
-0.4262	1.9132e-8	160	Enoxolone	LSM-45606	NA	10uM	24h	LINCSCP_92002	HA1E
-0.4246	2.1897e-8	160	10-DEBC	LSM-4710	PIM1	3.33uM	24h	LINCSCP_168764	YAPC
0.4244	2.2341e-8	160	Enalapril	LSM-3282	ACE	0.001uM	6h	LINCSCP_38873	MCF7
0.4241	2.2894e-8	160	PH-797804	LSM-36373	MAPK14	0.12uM	24h	LINCSCP_98790	HA1E
0.4231	2.4925e-8	160	KUC111774N	LSM-36810	NA	1uM	6h	LINCSCP_38426	MCF7
0.4226	2.5942e-8	160	BRD-K01275558	LSM-37347	NA	5uM	24h	LINCSCP_27839	HT29
