similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	208	Azithromycin	LSM-5821	NA	10uM	24h	LINCSCP_268738	PC3
0.4754	3.9995e-13	208	STK219801	LSM-43281	NA	20uM	6h	LINCSCP_40380	NCIH596
-0.4587	3.2239e-12	208	Cisapride	LSM-6397	HTR4	0.37uM	24h	LINCSCP_156052	PC3
-0.4456	1.5301e-11	208	SB-216763	LSM-1161	GSK3B	10uM	24h	LINCSCP_146032	MNEU.E
-0.443	2.0802e-11	208	AS-605240	LSM-42784	PIK3CG	10uM	24h	LINCSCP_163791	SKBR3
-0.4385	3.4803e-11	208	Procainamide	LSM-3681	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	24h	LINCSCP_243548	MCF7
-0.4307	8.3914e-11	208	STK151112	LSM-2478	NA	10uM	6h	LINCSCP_21186	HCT116
-0.4283	1.0898e-10	208	heraclenol	LSM-45686	NA	1.11uM	24h	LINCSCP_154747	PC3
-0.4171	3.6876e-10	208	3,7-Bis(dimethylamino)phenothiazin-5-ium	LSM-4555	ACHE	0.5uM	6h	LINCSCP_253261	MCF7
-0.4138	5.2159e-10	208	GW843682X	LSM-1014	PLK1|PLK3	0.37uM	24h	LINCSCP_129748	LNCAP
0.4114	6.6949e-10	208	BRD-K81812196	LSM-41737	NA	5uM	24h	LINCSCP_276575	PC3
-0.4113	6.741e-10	208	N9-Isopropylolomoucine	LSM-3607	CDK1|CDK5	100uM	6h	LINCSCP_43789	OV7
-0.4113	6.7596e-10	208	OSI-930	LSM-1179	FLT1|FLT4|KDR|KIT	0.04uM	24h	LINCSCP_113766	HME1
-0.4079	9.6494e-10	208	Pentylenetetrazol	LSM-3287	NA	10uM	24h	LINCSCP_243513	MCF7
-0.4018	1.7873e-9	208	Thalidomide	LSM-1914	CRBN|CUL4A|DDB1|RBX1|TNF	10uM	6h	LINCSCP_29286	LOVO
-0.4009	1.9675e-9	208	Aloisine	LSM-3131	CDK2	10uM	24h	LINCSCP_52753	SKB
-0.4002	2.1128e-9	208	MLS002264492	LSM-2888	NA	10uM	24h	LINCSCP_237352	MCF7
0.3994	2.2809e-9	208	TL_HRAS26	LSM-2013	NA	10uM	6h	LINCSCP_66223	WSUDLCL2
-0.3989	2.4001e-9	208	936890-98-1	LSM-42786	MTOR	0.04uM	24h	LINCSCP_129816	LNCAP
0.3929	4.3595e-9	208	Procaine	LSM-5396	HTR3A|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	3.33uM	24h	LINCSCP_154003	PC3
-0.3924	4.5586e-9	208	Tivozanib	LSM-1005	FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB	0.12uM	24h	LINCSCP_116897	HT29
-0.3914	5.0583e-9	208	Cabozantinib	LSM-1195	KDR|MET	3.33uM	24h	LINCSCP_146057	MNEU.E
-0.391	5.2427e-9	208	BRD-A07407288	LSM-1460	NA	10uM	6h	LINCSCP_33962	MCF7
