similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	359	Lopinavir	LSM-6027	NA	10uM	24h	LINCSCP_46860	PC3
0.4714	2.925e-21	359	362-74-3	LSM-1265	PRKACA	10uM	6h	LINCSCP_10285	A673
0.4519	1.8067e-19	359	Withaferin A	LSM-6685	IKBKB|NAMPT	10uM	6h	LINCSCP_245123	MCF7
0.4374	3.2762e-18	359	BRD4770	LSM-42692	EHMT2	10uM	24h	LINCSCP_31968	MCF7
0.4332	7.4647e-18	359	Salermide	LSM-5123	SIRT1|SIRT2	100uM	6h	LINCSCP_53975	SW480
0.4234	4.7223e-17	359	4-Deoxyuridine	LSM-6181	CDA|DNMT1	0.5uM	24h	LINCSCP_35595	MCF7
0.4075	8.5692e-16	359	IN1541	LSM-4460	PRKAA1	10uM	6h	LINCSCP_53871	SNUC5
0.4012	2.5862e-15	359	CHEMBL1593913	LSM-3929	NA	10uM	24h	LINCSCP_238428	MCF7
0.3918	1.2823e-14	359	BMS 641988	LSM-6248	AR	10uM	6h	LINCSCP_12634	CORL23
0.3907	1.5354e-14	359	FK 866	LSM-43216	NAMPT	0.1uM	6h	LINCSCP_287321	SNUC5
0.387	2.8258e-14	359	CHEMBL586058	LSM-2796	CASP3	10uM	6h	LINCSCP_289805	VCAP
0.3811	7.4327e-14	359	SB-216763	LSM-1161	GSK3B	10uM	6h	LINCSCP_235510	MCF10A
0.3811	7.4591e-14	359	NSC23766	LSM-1818	NA	100uM	6h	LINCSCP_12509	CL34
0.38	8.8992e-14	359	ZK-93423	LSM-2741	GABRA1|GABRA2|GABRA3|GABRA5	10uM	6h	LINCSCP_221211	HEPG2
0.3788	1.0824e-13	359	Skiii	LSM-2462	SPHK1	40uM	24h	LINCSCP_4507	A549
0.3771	1.4202e-13	359	PD-173074	LSM-1026	FGFR1|FGFR3	0.12uM	24h	LINCSCP_81548	A549
0.3734	2.5316e-13	359	CAY10618	LSM-4946	NAMPT	10uM	6h	LINCSCP_21266	HCT116
0.3734	2.5497e-13	359	CHEMBL3186197	LSM-6215	IGF1R|INSR	10uM	6h	LINCSCP_53894	SNUC5
0.3713	3.5165e-13	359	Prostoglandin A1	LSM-42846	NA	1uM	6h	LINCSCP_10327	A673
0.3684	5.5709e-13	359	SCHEMBL15422032	LSM-43336	NA	10uM	6h	LINCSCP_2081	A375
0.368	5.9091e-13	359	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	1.11uM	24h	LINCSCP_111729	HEPG2
0.3662	7.7436e-13	359	SCHEMBL3958507	LSM-5245	COQ8B|EGFR	0.12uM	24h	LINCSCP_111557	HEPG2
0.3659	8.1931e-13	359	KUC104255	LSM-4056	NA	10uM	6h	LINCSCP_22116	HEPG2
0.3659	8.2092e-13	359	Cymarin	LSM-1756	ATP1A1	10uM	6h	LINCSCP_18369	HCC515
0.3657	8.3967e-13	359	BRD-K86457545	LSM-41988	NA	5uM	24h	LINCSCP_277427	PC3
0.3652	9.1258e-13	359	Withaferin-A	LSM-5073	IKBKB|NAMPT	10uM	6h	LINCSCP_32618	MCF7
0.3639	1.1001e-12	359	GNF-PF-159	LSM-43337	NA	10uM	6h	LINCSCP_23296	HEPG2
0.3635	1.1778e-12	359	Alvocidib	LSM-1011	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM	10uM	24h	LINCSCP_116505	HT29
0.3629	1.291e-12	359	MLS000718723	LSM-2165	NA	10uM	6h	LINCSCP_1685	A375
0.3622	1.4352e-12	359	CAY10618	LSM-4946	NAMPT	10uM	6h	LINCSCP_54662	SW948
0.3614	1.62e-12	359	PCL2_000074	LSM-36719	NA	10uM	24h	LINCSCP_42449	NPC
0.359	2.3246e-12	359	KUC104230	LSM-2512	NA	10uM	6h	LINCSCP_22014	HEPG2
0.3584	2.5544e-12	359	Sirolimus	LSM-42782	FKBP1A|MTOR	0.5uM	6h	LINCSCP_38887	MCF7
0.3573	3.0072e-12	359	Nilotinib	LSM-1099	ABL1|BCR|KIT	10uM	24h	LINCSCP_310875	VCAP
0.3564	3.412e-12	359	Phloretin	LSM-6221	NA	100uM	6h	LINCSCP_54507	SW948
0.3556	3.8702e-12	359	Bufalin	LSM-3419	ATP1A1	10uM	6h	LINCSCP_23084	HEPG2
0.3554	3.9466e-12	359	NVP-AUY922	LSM-1162	HSP90AA1|HSP90AB1	10uM	6h	LINCSCP_53919	SNUC5
0.3547	4.38e-12	359	Rottlerin	LSM-42845	NA	10uM	6h	LINCSCP_23019	HEPG2
0.3547	4.4311e-12	359	CGP-53353	LSM-2701	EGFR	10uM	6h	LINCSCP_23059	HEPG2
0.3546	4.4526e-12	359	SCHEMBL2559280	LSM-3182	NA	10uM	24h	LINCSCP_31385	MCF7
0.3542	4.7112e-12	359	CHEMBL2360603	LSM-37724	NA	10uM	24h	LINCSCP_3520	A375
0.3534	5.348e-12	359	Gemcitabine	LSM-5333	POLA1|POLD1|POLE|RRM1|RRM2|RRM2B	0.5uM	6h	LINCSCP_21062	HCC515
0.3533	5.4485e-12	359	Nimodipine	LSM-1659	CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2	10uM	6h	LINCSCP_205606	CL34
0.3531	5.591e-12	359	CHEMBL585951	LSM-36386	MAPK8	0.04uM	24h	LINCSCP_111780	HEPG2
0.3519	6.6024e-12	359	NVP-AEW541	LSM-44953	IGF1R	1uM	6h	LINCSCP_12354	BT20
0.3512	7.3518e-12	359	Brefeldin A	LSM-42812	NA	0.1uM	6h	LINCSCP_54715	T3M10
0.3506	8.0799e-12	359	Bufalin	LSM-3419	ATP1A1	10uM	6h	LINCSCP_18716	HCC515
0.3497	9.0993e-12	359	MLS000589843	LSM-43120	NA	0.01uM	6h	LINCSCP_288246	THP1
0.3492	9.9022e-12	359	BRN 1088757	LSM-43334	NA	10uM	6h	LINCSCP_32379	MCF7
0.3487	1.0504e-11	359	SCHEMBL570779	LSM-1149	NA	3.33uM	24h	LINCSCP_81143	A549
0.3479	1.1868e-11	359	Lanacordin	LSM-5141	ATP1A1	10uM	6h	LINCSCP_3064	A375
0.3475	1.2557e-11	359	CHEMBL1979419	LSM-6666	NA	10uM	6h	LINCSCP_221438	HEPG2
0.3466	1.4349e-11	359	Phloretin	LSM-6221	NA	100uM	6h	LINCSCP_21657	HEPG2
0.3462	1.5087e-11	359	BRD-K88290000	LSM-42083	NA	10uM	6h	LINCSCP_310692	VCAP
0.3459	1.58e-11	359	SMR000075319	LSM-6371	KPNB1	60uM	6h	LINCSCP_4644	A549
0.3454	1.6966e-11	359	BSPBIO_001592	LSM-43102	PTGS1|PTGS2	50uM	6h	LINCSCP_13570	H1299
0.3445	1.9417e-11	359	Salermide	LSM-5123	SIRT1|SIRT2	100uM	6h	LINCSCP_54435	SW948
0.3435	2.2361e-11	359	MLS002264471	LSM-4120	NA	10uM	24h	LINCSCP_237981	MCF7
0.343	2.396e-11	359	SCHEMBL15422156	LSM-43123	NA	10uM	6h	LINCSCP_2068	A375
0.3428	2.4666e-11	359	Tesmilifene	LSM-3805	NA	10uM	24h	LINCSCP_262403	NPC
0.3427	2.4889e-11	359	Niguldipine	LSM-1688	ADRA1A|CACNA1C	10uM	6h	LINCSCP_22858	HEPG2
0.342	2.7535e-11	359	TAE-684	LSM-1024	ALK	0.04uM	24h	LINCSCP_111774	HEPG2
-0.3419	2.7785e-11	359	Clonidine	LSM-4223	ADRA2A|ADRA2B|ADRA2C	10uM	6h	LINCSCP_53853	SNUC4
0.3418	2.8167e-11	359	IMD-0354	LSM-3667	IKBKB	10uM	6h	LINCSCP_23095	HEPG2
0.3414	2.9828e-11	359	CGK733	LSM-1610	ATM|ATR	3.33uM	24h	LINCSCP_70348	A375
0.3408	3.2758e-11	359	Oxcarbazepine	LSM-5219	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	24h	LINCSCP_46068	PC3
