similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.8846	3.1963e-141	422	Lopinavir	LSM-6027	NA	10uM	24h	LINCSCP_162038	PC3
0.6665	1.5452e-55	422	362-74-3	LSM-1265	PRKACA	10uM	6h	LINCSCP_10285	A673
0.6399	5.438e-50	422	MLS-0435555.0001	LSM-4876	NA	10uM	6h	LINCSCP_46347	PC3
0.636	3.176e-49	422	ESTRAMUSTINE	LSM-45460	NA	10uM	24h	LINCSCP_125626	HT29
0.6201	3.3487e-46	422	FK 866	LSM-43216	NAMPT	0.1uM	6h	LINCSCP_287321	SNUC5
0.6092	3.1947e-44	422	Venlafaxine	LSM-1616	SLC6A2|SLC6A4	0.12uM	24h	LINCSCP_94757	HA1E
0.6089	3.5723e-44	422	ESTRAMUSTINE	LSM-45460	NA	0.04uM	24h	LINCSCP_142216	MCF7
0.6081	4.9851e-44	422	Phorbol 12-myristate-13-acetate	LSM-4341	PRKCA	10uM	6h	LINCSCP_17553	HCC15
0.6034	3.3745e-43	422	YL-59	LSM-44637	NA	10uM	6h	LINCSCP_3082	A375
0.597	4.1795e-42	422	AZ628	LSM-1050	BRAF|RAF1	0.37uM	24h	LINCSCP_93071	HA1E
0.5961	5.8737e-42	422	Entinostat	LSM-4811	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	0.37uM	24h	LINCSCP_38751	MCF7
0.5947	1.0402e-41	422	SU14813	LSM-45732	NA	0.37uM	24h	LINCSCP_97717	HA1E
0.5914	3.6501e-41	422	BRD4770	LSM-42692	EHMT2	10uM	24h	LINCSCP_31968	MCF7
0.5893	8.0267e-41	422	Nilotinib	LSM-1099	ABL1|BCR|KIT	10uM	3h	LINCSCP_163427	SKBR3
0.5891	8.7684e-41	422	ABACAVIR SULFATE	LSM-45963	NA	0.12uM	24h	LINCSCP_176207	YAPC
0.5854	3.5909e-40	422	SR-02000000477	LSM-4204	NA	10uM	6h	LINCSCP_16085	HA1E
0.5802	2.4481e-39	422	naftidrofuryl	LSM-45485	NA	0.12uM	24h	LINCSCP_171732	YAPC
0.5797	2.9847e-39	422	SMR000208762	LSM-2256	NA	10uM	6h	LINCSCP_1688	A375
0.5781	5.4231e-39	422	Aminocaproic acid	LSM-5733	PLAT|PLG	3.33uM	24h	LINCSCP_140460	MCF7
0.578	5.5847e-39	422	Ubenimex	LSM-3323	LTA4H|RNPEP	10uM	24h	LINCSCP_139338	MCF7
