signatureid	compound	similarity
LINCSCP_150985	Fedratinib	1
LINCSCP_152171	XMD 8-92	0.5919
LINCSCP_45463	MLS002264436	0.5602
LINCSCP_45643	MLS002264438	0.551
LINCSCP_159614	AZD3514	0.5451
LINCSCP_44891	KU0060648	0.5201
LINCSCP_45509	MLS002264439	0.5115
LINCSCP_154620	RVX-208	0.4561
LINCSCP_46728	Everolimus	0.4504
LINCSCP_44794	Dilazep	0.4301
LINCSCP_26759	XMD-1185H	0.4211
LINCSCP_137784	Veliparib (ABT-888)	0.3854
LINCSCP_138278	Pramipexole	0.3741
LINCSCP_105485	TIROFIBAN HYDROCHLORIDE	0.3647
LINCSCP_92984	Nebivolol	0.3572
LINCSCP_46016	CHEMBL1550983	0.3554
LINCSCP_95522	Semaxanib	0.3485
LINCSCP_95655	Avanafil	0.3454
LINCSCP_103778	Alprostadil	0.3363
LINCSCP_137610	BRD-A82197375	0.3276
LINCSCP_10125	2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine	0.3268
LINCSCP_44210	LY 303511	0.3264
LINCSCP_46028	MLS002473424	0.3261
LINCSCP_82987	CHEMBL552425	0.3231
LINCSCP_138542	TAK-700 (Orteronel)	0.3222
LINCSCP_150985	Fedratinib	1
LINCSCP_129240	HMN-214	0.6938
LINCSCP_129214	Rigosertib	0.6922
LINCSCP_114443	PF-03758309	0.6793
LINCSCP_131940	Dovitinib	0.6784
LINCSCP_39020	Palbociclib	0.6763
LINCSCP_114245	I-BET151	0.6745
LINCSCP_114155	PFI-1	0.6734
LINCSCP_44068	PD-407824	0.6698
LINCSCP_82088	AZD-1775	0.6669
LINCSCP_157580	Milciclib (PHA-848125)	0.666
LINCSCP_44014	IKK Inhibitor VII	0.6654
LINCSCP_9380	Teniposide	0.6637
LINCSCP_114125	1268524-70-4	0.6635
LINCSCP_81067	Mitoxantrone	0.6624
LINCSCP_114113	ABT737	0.6521
LINCSCP_144843	apigenin	0.651
LINCSCP_129326	GW620972X	0.6474
LINCSCP_38919	LRRK2-IN-1	0.6467
LINCSCP_32891	Naproxol	0.6454
LINCSCP_9669	AC1Q6JJ5	0.6437
LINCSCP_128351	Tivantinib	0.6437
LINCSCP_114416	SCHEMBL16980224	0.6433
LINCSCP_4130	etoposide	0.6415
LINCSCP_44823	Cucurbitacin-I	0.6414
LINCSCP_4074	GSK-1070916	0.6399
LINCSCP_114203	GSK 525762A	0.6394
LINCSCP_129131	galantamine	0.6388
LINCSCP_35358	BRD-K74316684	0.6384
LINCSCP_4963	CHEMBL1394132	0.638
LINCSCP_85903	PHA-793887	0.6375
LINCSCP_150787	NU-7441	0.6361
LINCSCP_48720	CHEMBL2357518	0.635
LINCSCP_128841	STK219801	0.633
LINCSCP_154147	Danusertib	0.6328
LINCSCP_108905	Pevonedistat	0.6328
LINCSCP_33398	Scoulerine	0.6295
LINCSCP_111464	Dactolisib	0.6288
LINCSCP_113845	Sunitinib	0.6285
LINCSCP_45879	SMR000206939	0.6267
LINCSCP_41774	pyrvinium-pamoate	0.6257
LINCSCP_35636	4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione	0.6254
LINCSCP_139630	Epirubicin HCl	0.6254
LINCSCP_114465	GW-5074	0.6237
LINCSCP_25210	Rhodomyrtoxin B	0.6235
LINCSCP_9391	AC1MJ3VH	0.6231
LINCSCP_140660	RG7388	0.6211
LINCSCP_7006	Cucurbitacin I	0.6197
LINCSCP_82018	BGT-226	0.6194
LINCSCP_82016	BGT-226	0.6194
LINCSCP_158183	R547	0.6184
LINCSCP_188236	MLS000583951	0.6171
LINCSCP_116241	CHEMBL1083527	0.6171
LINCSCP_81592	TAE-684	0.6169
LINCSCP_28288	BRD-K73008154	0.6165
LINCSCP_9508	Doxorubicin	0.6164
LINCSCP_127948	Netupitant	0.6161
LINCSCP_44201	Fccp	0.6157
LINCSCP_9469	O-Demethylated Adapalene	0.6154
LINCSCP_116337	TORIN-2	0.6153
LINCSCP_143284	cortisone-acetate	0.6146
LINCSCP_35234	CHEMBL3186554	0.614
LINCSCP_158583	ABT-199 (GDC-0199)	0.6137
LINCSCP_81220	PF477736	0.6128
LINCSCP_45973	MLS-0435432.0001	0.6126
LINCSCP_39053	BI-2536	0.6125
LINCSCP_139585	Amonafide	0.6114
LINCSCP_31548	Tremulacin	0.6101
LINCSCP_4997	Carbazole, 9-(4-methylbenzoyl)-	0.6094
LINCSCP_56240	Ethisterone	0.6094
LINCSCP_137749	NUTLIN 3	0.6088
LINCSCP_43990	Rottlerin	0.6077
LINCSCP_29893	PD-0325901	0.6073
LINCSCP_157403	AP26113	0.6066
LINCSCP_126239	IMD-0354	0.6065
LINCSCP_114347	CGK733	0.6059
LINCSCP_702	DG-041	0.6059
LINCSCP_4242	Thapsigargin	0.6058
LINCSCP_4477	LE-135	0.6056
LINCSCP_1392	CHEMBL1720543	0.6044
LINCSCP_25538	MLS003448149	0.6029
LINCSCP_44260	PD-198306	0.6024
LINCSCP_44503	Selamectin	0.6011
LINCSCP_150884	Withaferin A	0.601
LINCSCP_140827	AMG 232	0.6008
LINCSCP_58975	XMD-1499	0.6007
LINCSCP_4602	Lonidamine	0.6006
LINCSCP_33397	DY131	0.6004
LINCSCP_34304	Ethacrynic acid	0.6
LINCSCP_4934	MLS000082430	0.5997
LINCSCP_129102	MLN-8054	0.599
LINCSCP_68553	Wortmannin	0.5986
LINCSCP_6217	PK04_098276	0.5985
LINCSCP_44946	CHEMBL399379	0.5967
LINCSCP_129830	MK-2206	0.5965
LINCSCP_67395	Radicicol	0.5959
LINCSCP_32128	GANT-61	0.5956
LINCSCP_82020	Osimertinib	0.5952
LINCSCP_32945	N-[4-(Acridin-9-ylmethyl)-3-methoxyphenyl]methanesulfonamide	0.5952
LINCSCP_152007	CHEMBL3347630	0.5952
LINCSCP_142740	Valrubicin	0.5951
LINCSCP_142481	AMSACRINE	0.5942
LINCSCP_72587	TAS-103 (dihydrochloride)	0.5935
LINCSCP_37045	MLN 2238	0.5932
LINCSCP_33079	Devazepide	0.5927
LINCSCP_116379	Apitolisib (gdc-0980, rg7422)	0.5923
LINCSCP_9069	CHEMBL2362317	0.5922
LINCSCP_168829	Niclosamide	0.5921
LINCSCP_129203	BX-795	0.592
LINCSCP_121811	PF-04691502	0.5916
LINCSCP_781	Tyrphostin AG-1478	0.5903
LINCSCP_44196	Aminopurvalanol	0.5902
LINCSCP_45442	BRD-A07407288	0.5902
LINCSCP_114275	Anacardic acid	0.5901
LINCSCP_9227	Trichostatin	0.5901
LINCSCP_44908	COT-10B	0.5899
LINCSCP_29558	SCHEMBL6874948	0.5897
LINCSCP_67502	13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol	0.5897
LINCSCP_72490	Irinotecan	0.5894
LINCSCP_116302	Foretinib	0.5892
LINCSCP_32916	Deguelin	0.5874
LINCSCP_142899	Alisertib	0.5868
LINCSCP_19372	KO143	0.5863
LINCSCP_25631	STK178014	0.5862
LINCSCP_43077	CHEMBL2358729	0.5862
LINCSCP_128912	CX-5461	0.5852
LINCSCP_7780	ZINC02419385	0.5851
LINCSCP_34656	Fluorouracil	0.5849
LINCSCP_129263	GSK-2334470	0.5847
LINCSCP_141725	K784-3187	0.5843
LINCSCP_25461	CHEMBL416418	0.5841
LINCSCP_58113	Mestanolone	0.5839
LINCSCP_113995	BS-181	0.5835
LINCSCP_29878	AZD-8330	0.5835
LINCSCP_72180	KPT-330	0.5828
LINCSCP_69010	Vemurafenib	0.5828
LINCSCP_44394	BRD-K38477985	0.5825
LINCSCP_45874	SMR000206936	0.5824
LINCSCP_130709	Erlotinib	0.5821
LINCSCP_137406	AZD4547	0.5819
LINCSCP_58079	Zileuton	0.5813
LINCSCP_37504	AC1NSOND	0.5812
LINCSCP_41712	CHEMBL2359475	0.581
LINCSCP_25568	CAY-10594	0.5809
LINCSCP_157451	Fidaxomicin	0.5808
LINCSCP_78766	ENMD-2076	0.5807
LINCSCP_113669	CHEMBL1673039	0.5804
LINCSCP_7250	Cyclosporine	0.5804
LINCSCP_49396	COL-3	0.5801
LINCSCP_48902	CHEMBL2355600	0.5797
LINCSCP_35334	BRD-K55149044	0.5797
LINCSCP_4450	AC1NS4S0	0.5796
LINCSCP_48734	CHEMBL2355346	0.5795
LINCSCP_128446	KW-2449	0.5795
LINCSCP_1390	CHEMBL1887751	0.5794
LINCSCP_117879	ITK Inhibitor	0.5793
