signatureid	compound	similarity
LINCSCP_150985	Fedratinib	0.8007
LINCSCP_104086	Chlorambucil	0.7496
LINCSCP_105485	TIROFIBAN HYDROCHLORIDE	0.7484
LINCSCP_92984	Nebivolol	0.7306
LINCSCP_138278	Pramipexole	0.7246
LINCSCP_120508	Tonabersat	0.7237
LINCSCP_121169	NUTLIN 3	0.7198
LINCSCP_121499	SPECTRUM_001092	0.7127
LINCSCP_122110	Minaprine	0.7111
LINCSCP_92070	Benzamil	0.7068
LINCSCP_95588	Dipraglurant	0.7039
LINCSCP_137733	Taranabant	0.7031
LINCSCP_137784	Veliparib (ABT-888)	0.6976
LINCSCP_103674	NG,NG-Dimethyl-L-arginine, Dihydrochloride	0.6901
LINCSCP_103778	Alprostadil	0.6875
LINCSCP_122105	S18986	0.6735
LINCSCP_138542	TAK-700 (Orteronel)	0.6712
LINCSCP_103234	GDC-0980 (RG7422)	0.6686
LINCSCP_95522	Semaxanib	0.666
LINCSCP_122238	Clozapine	0.6576
LINCSCP_152203	SCHEMBL16980224	0.6538
LINCSCP_138451	ETOPOSIDE	0.652
LINCSCP_95655	Avanafil	0.6504
LINCSCP_91603	Camostat Mesilate	0.6446
LINCSCP_129537	Allitinib	0.6434
LINCSCP_103661	Felbamate	0.6434
LINCSCP_82987	CHEMBL552425	0.6399
LINCSCP_147958	CX-5461	0.6261
LINCSCP_15169	Phorbol 12-myristate-13-acetate	0.622
LINCSCP_169306	KX2-391	0.619
LINCSCP_139441	AZD-8330	0.6121
LINCSCP_138711	Celecoxib	0.6071
LINCSCP_15191	Ingenol 3,20-dibenzoate	0.6049
LINCSCP_148453	1166227-08-2	0.5991
LINCSCP_45279	MLS002703104	0.598
LINCSCP_121704	Nafamostat Mesylate	0.5969
LINCSCP_121621	Ledipasvir	0.5962
LINCSCP_45264	MLS002703105	0.5883
LINCSCP_138868	(13S)-3-Hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one	0.5852
LINCSCP_10125	2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine	0.5841
LINCSCP_151016	apigenin	0.5814
LINCSCP_137610	BRD-A82197375	0.5805
LINCSCP_92129	Fingolimod (FTY720) HCl	0.5789
LINCSCP_119911	Praziquantel	0.5785
LINCSCP_137898	Rimonabant	0.5758
LINCSCP_151455	CHEMBL1673039	0.5712
LINCSCP_138376	Esmolol	0.571
LINCSCP_136872	MK-5108	0.5665
LINCSCP_121200	EXALAMIDE	0.5646
LINCSCP_124132	MIGLITOL	0.5615
LINCSCP_122039	Histamine 2HCl	0.5612
LINCSCP_45463	MLS002264436	0.5573
LINCSCP_59028	8-Epi-15-d2c-isop	0.5572
LINCSCP_159009	BI-2536	0.5525
LINCSCP_166495	Calcitriol	0.5459
LINCSCP_92652	Pomalidomide	0.5418
LINCSCP_152171	XMD 8-92	0.5392
LINCSCP_151913	1268524-70-4	0.5315
LINCSCP_137055	GSK-1070916	0.531
LINCSCP_49373	Entinostat	0.5301
LINCSCP_91385	Chrysin	0.5301
LINCSCP_138326	CPI-613	0.5296
LINCSCP_160772	Volasertib (BI 6727)	0.5276
LINCSCP_138434	BRD-A32440707	0.5242
LINCSCP_138311	Cabazitaxel	0.5235
LINCSCP_121167	CEFEPIME HYDROCHLORIDE	0.5232
LINCSCP_124064	Fluticasone Propionate	0.5194
LINCSCP_122493	BUTORPHANOL-(+)-TARTRATE (DEA license)	0.5183
LINCSCP_173551	Maxacalcitol-D6	0.5169
LINCSCP_169633	YM 976	0.5151
LINCSCP_136465	Riluzole	0.5137
LINCSCP_139017	KW-2478	0.5127
LINCSCP_138646	Amoxapine	0.5122
LINCSCP_159614	AZD3514	0.5106
LINCSCP_93169	AC1Q5RFA	0.5089
LINCSCP_121191	amisulpride	0.5023
LINCSCP_156466	DOCETAXEL	0.5013
LINCSCP_105057	citiolone	0.5008
LINCSCP_105189	Anamorelin	0.4997
LINCSCP_137066	AZD1152	0.499
LINCSCP_138948	Vinburnine	0.4974
LINCSCP_45673	F1298-0937	0.4969
LINCSCP_77849	Nelarabine	0.4956
LINCSCP_33398	Scoulerine	0.495
LINCSCP_157552	Paricalcitol	0.4947
LINCSCP_105235	Acarbose	0.4925
LINCSCP_135860	LY2784544	0.4905
LINCSCP_136455	Castanospermine	0.4893
LINCSCP_93962	Tolnaftate	0.4881
LINCSCP_47559	Idoxuridine	0.4848
LINCSCP_121452	Bemegride	0.4843
LINCSCP_121802	Bopindolol  malonate	0.4838
LINCSCP_83393	N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide	0.483
LINCSCP_92240	Resminostat	0.4805
LINCSCP_77854	Pimobendan	0.4796
LINCSCP_136705	2-Methoxyestradiol	0.4795
LINCSCP_136459	TH-302	0.4779
LINCSCP_148233	NVP-BHG712	0.4777
LINCSCP_137222	GSK-923295	0.4766
LINCSCP_155755	BRD-A28746609	0.4734
LINCSCP_99318	Dihydroergocristine	0.4718
LINCSCP_55807	Dinoprostone	0.4716
LINCSCP_154620	RVX-208	0.471
LINCSCP_137512	Felodipine	0.4702
LINCSCP_136652	AT-9283	0.4695
LINCSCP_99428	Enzastaurin	0.4688
LINCSCP_138846	GSK256066	0.4686
LINCSCP_45773	MLS002264437	0.4682
LINCSCP_71085	Propafenone	0.4662
LINCSCP_13476	BMS-754807	0.4657
LINCSCP_75356	CLONAZEPAM	0.4628
LINCSCP_50974	SB-216763	0.4612
LINCSCP_95766	Taselisib	0.4606
LINCSCP_118835	Clofarabine	0.4603
LINCSCP_93859	Cyclobenzaprine	0.4589
LINCSCP_107727	AKT Inhibitor VIII	0.4546
LINCSCP_93914	MLN 2480	0.4546
LINCSCP_76117	Dacomitinib	0.4538
LINCSCP_49937	ZINC101150009	0.4529
LINCSCP_79864	5-BrdU	0.4525
LINCSCP_72734	Carvedilol	0.4523
LINCSCP_78425	IDOXURIDINE	0.4507
LINCSCP_137994	R428	0.4506
LINCSCP_70406	EMF-sumo1-1	0.4505
LINCSCP_120330	LXR-623	0.4499
LINCSCP_44099	1-[4-[3-(4-Fluorophenoxy)phenyl]but-3-en-2-yl]-1-hydroxyurea	0.448
LINCSCP_129963	SCHEMBL1564574	0.4473
LINCSCP_174090	Tacalcitol	0.4469
LINCSCP_11595	Menadione	0.4467
LINCSCP_77728	BRD-A40163033	0.4459
LINCSCP_74458	Tasquinimod	0.4454
LINCSCP_92385	Mozavaptan	0.4453
LINCSCP_174005	ESTRAMUSTINE	0.4451
LINCSCP_49363	Tacedinaline	0.4443
LINCSCP_121283	AC1NWAML	0.443
LINCSCP_104695	Iguratimod	0.443
LINCSCP_49559	Broad-Sai-686	0.4414
LINCSCP_173700	Ercalcitriol	0.44
LINCSCP_92541	Theobromine	0.4389
LINCSCP_3953	CHEMBL3183436	0.4386
LINCSCP_163262	SCHEMBL570779	0.4368
LINCSCP_142643	Dorzolamide HCL	0.4356
LINCSCP_77133	SR-2640	0.4325
LINCSCP_169246	Seocalcitol	0.4304
LINCSCP_71921	Methylnaltrexone (Bromide)	0.4298
LINCSCP_169621	Abexinostat	0.4296
LINCSCP_45626	MLS002264434	0.4291
LINCSCP_75101	Olaparib	0.4288
LINCSCP_59555	SCHEMBL10015911	0.4272
LINCSCP_79349	Alisertib	0.4234
LINCSCP_122140	ABT-333	0.4223
LINCSCP_92044	Perindopril	0.4219
LINCSCP_135824	Saracatinib	0.4216
LINCSCP_49350	SCHEMBL16892136	0.4212
LINCSCP_138522	Ticlopidine	0.4207
LINCSCP_103133	brivanib	0.4204
LINCSCP_120211	Toremifene	0.4192
LINCSCP_45656	STK054715	0.419
LINCSCP_103689	Glyburide	0.419
LINCSCP_208557	Loperamide	0.4184
LINCSCP_120594	Moxonidine	0.418
LINCSCP_72905	Eplerenone	0.4175
LINCSCP_13038	Dopamine 3-O-sulfate	0.4164
LINCSCP_120864	Nicotin-Amide	0.416
LINCSCP_121346	Vardenafil	0.416
LINCSCP_71747	E-3810	0.4152
LINCSCP_131832	rifampicin	0.4148
LINCSCP_20976	Genistein	0.4145
LINCSCP_153337	Indigo Red	0.4137
LINCSCP_62988	CHEMBL2357707	0.4129
LINCSCP_208965	LY 2183240	0.4116
LINCSCP_141641	Dilazep	0.4115
LINCSCP_74433	Meisoindigo	0.4102
LINCSCP_79385	Apomorphine	0.4091
LINCSCP_49332	HDACi1,2+3_mix	0.4075
LINCSCP_135235	17-DMAG (Alvespimycin) HCl	0.4044
LINCSCP_47063	XMD-1185H	0.4037
LINCSCP_217886	TL_HRAS26	0.4024
LINCSCP_78955	Azelastine	0.4011
LINCSCP_122454	Apilimod	0.4
LINCSCP_95331	paroxetine	0.4
LINCSCP_137842	Acivicin	0.4
LINCSCP_162663	Mycophenolic acid	0.3993
LINCSCP_162266	Ranolazine	0.3968
LINCSCP_46338	MLS001116157	0.3963
LINCSCP_122195	ICI 182,780	0.3951
LINCSCP_43966	ChEBI91594	0.3948
LINCSCP_63015	BRD-K23424219	0.3948
LINCSCP_60301	BRD-K49345388	0.3929
LINCSCP_9106	4-Deoxyuridine	0.3926
LINCSCP_64203	BRD-K61606206	0.3919
LINCSCP_121969	DROSPIRENONE	0.3918
LINCSCP_49336	BRD-K01621458	0.3894
LINCSCP_64325	BRD-K80439608	0.3889
LINCSCP_80090	Bazedoxifene HCl	0.3888
LINCSCP_310187	4-(3-Ethyl[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-6-yl)aniline	0.3868
LINCSCP_162200	NKP608	0.3855
LINCSCP_139160	PENICILLIN V POTASSIUM	0.3849
LINCSCP_208413	Metoprolol	0.3847
LINCSCP_103377	Glafenine	0.3846
LINCSCP_138969	CGP-12177	0.3838
LINCSCP_49357	BG-51	0.3836
LINCSCP_139101	Acetazolamide	0.3835
LINCSCP_132164	Linsitinib	0.3829
LINCSCP_49167	CHEMBL2134104	0.3827
LINCSCP_74734	Rilpivirine	0.3787
LINCSCP_142232	SNX-2112 (PF-04928473)	0.3781
LINCSCP_98457	MK-0974	0.3781
LINCSCP_65365	BRD-K91250867	0.3781
LINCSCP_76890	NCGC00166323-01	0.3756
LINCSCP_1151	MLS001250347	0.3755
LINCSCP_122242	Conivaptan HCl	0.3752
LINCSCP_15353	Phenethylisothiocyanate	0.3735
LINCSCP_95108	Varlitinib	0.3721
LINCSCP_137969	Cinoxacin	0.372
LINCSCP_92082	3-N-Propylxanthine	0.3719
LINCSCP_33357	Pfmrk inhibitor, wr 216174	0.3719
LINCSCP_138021	Swainsonine	0.3719
LINCSCP_3845	Diethylstilbestrol	0.3716
LINCSCP_61602	BRD-K43980524	0.3709
LINCSCP_78250	Miconazole	0.3702
LINCSCP_18884	Clemastine	0.3701
LINCSCP_51020	PKC Beta Inhibitor	0.3698
LINCSCP_120845	Ketotifen	0.3694
LINCSCP_58085	Atracurium	0.3691
LINCSCP_120708	Piretanide	0.369
LINCSCP_63495	BRD-K47261397	0.3682
LINCSCP_91858	SPECTRUM_001522	0.3679
LINCSCP_33827	CHEMBL2136621	0.3679
LINCSCP_242311	Arundine	0.3672
LINCSCP_45926	CHEMBL1550983	0.3662
LINCSCP_47748	2-(Ethylmercuriothio)benzoic acid	0.3662
LINCSCP_92135	Letrozole	0.366
LINCSCP_6901	Falnidamol	0.366
LINCSCP_251634	Imatinib	0.3659
LINCSCP_47416	MLS001116216	0.3654
LINCSCP_193629	BRD-K63399564	0.365
LINCSCP_124166	benproperine	0.3647
LINCSCP_73133	Amineptine	0.3644
LINCSCP_120653	AMG 487	0.3638
LINCSCP_123286	Emtricitabine	0.3637
LINCSCP_121569	Ciprofloxacin	0.3634
LINCSCP_64201	BRD-K60272788	0.3633
LINCSCP_63106	BRD-K63944563	0.3633
LINCSCP_103201	Butaclamol (+)	0.3632
LINCSCP_2270	BRD-A59145032	0.3632
LINCSCP_122542	Defactinib	0.3628
LINCSCP_91320	Moricizine	0.3624
LINCSCP_104322	Rolipram	0.362
LINCSCP_89159	Alectinib	0.3619
LINCSCP_89454	DMXAA (Vadimezan)	0.3599
LINCSCP_56838	Minoxidil	0.3599
LINCSCP_47126	SCHEMBL12684744	0.3596
LINCSCP_137764	Glipizide	0.3593
LINCSCP_244374	Racepinephrine	0.3582
LINCSCP_74912	PSI-6130	0.3578
LINCSCP_120454	Temoporfin	0.3578
LINCSCP_61467	BRD-K50761336	0.3575
LINCSCP_80556	AZD8931 (Sapitinib)	0.3574
LINCSCP_162134	Ingenol Mebutate	0.3572
LINCSCP_161069	Pralatrexate	0.3569
LINCSCP_91439	Meptazinol	0.3568
LINCSCP_71283	Hypericin	0.3557
LINCSCP_122153	Alizapride	0.3556
LINCSCP_47112	BRD-K43226598	0.3555
LINCSCP_100041	Y-39983	0.3555
LINCSCP_150412	MLS006011051	0.355
LINCSCP_62543	BRD-K42083897	0.3544
LINCSCP_120692	Cevimeline hydrochloride	0.3541
LINCSCP_104279	Actarit	0.3541
LINCSCP_83605	Ischemin	0.354
LINCSCP_276	4-Hydroxytamoxifen	0.3535
LINCSCP_45503	VU0365121-1	0.3532
LINCSCP_74279	TG 100801	0.3527
LINCSCP_18368	2-Bromo-.alpha.-ergocryptine	0.3521
LINCSCP_103025	Closantel	0.3521
LINCSCP_79887	Lu AE58054 (Hydrochloride)	0.3506
LINCSCP_45025	79966-13-5	0.35
LINCSCP_387	Liothyronine	0.3499
LINCSCP_170502	RG2833 (RGFP109)	0.3498
LINCSCP_73409	Trifluoperazine	0.3491
LINCSCP_46264	BRD-K69888333	0.3487
LINCSCP_173894	Epothilone B (EPO906, Patupilone)	0.3484
LINCSCP_78676	Birinapant	0.3478
LINCSCP_22977	NCGC00025321-01	0.3473
LINCSCP_44852	Blebbistatin	0.3473
LINCSCP_46843	ZINC01037382	0.3471
LINCSCP_121290	Pentamidine	0.3469
LINCSCP_40963	CHEMBL8197	0.3468
LINCSCP_61850	BRD-K92593565	0.3467
LINCSCP_122174	Lamivudine	0.3467
LINCSCP_144548	Piperidolate	0.3466
LINCSCP_35276	BRD-K05353139	0.3466
LINCSCP_80412	Darifenacin	0.3463
LINCSCP_8861	BRD-K52643239	0.3463
LINCSCP_162175	LY2811376	0.3462
LINCSCP_33652	ICI-199,441	0.346
LINCSCP_55606	Naltrindole	0.3459
LINCSCP_74476	NORGESTREL	0.3455
LINCSCP_227419	R-N-Propylnorapomorphine	0.3446
LINCSCP_299425	BRD-K55232867	0.3444
LINCSCP_77776	Capsaicin	0.3444
LINCSCP_46746	CHEMBL1880923	0.3432
LINCSCP_93713	MK-0773	0.3427
LINCSCP_64319	BRD-K76352008	0.3426
LINCSCP_16080	SCHEMBL2557158	0.3424
LINCSCP_310158	BRD-K51877340	0.3423
