ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
6944	VPS72	1.5139	2e-4
8446	DUSP11	1.5887	5e-4
6461	SHB	1.2226	0.0015
11044	PAPD7	1.3333	0.0016
5048	PAFAH1B1	1.3004	0.0017
4817	NIT1	1.1272	0.0019
51056	LAP3	1.5505	0.002
10525	HYOU1	1.5153	0.0025
1111	CHEK1	1.1822	0.0034
2946	GSTM2	1.0025	0.0036
6832	SUPV3L1	1.3496	0.0038
2263	FGFR2	1.1768	0.0041
9897	KIAA0196	1.1076	0.0041
5613	PRKX	1.2081	0.0069
23014	FBXO21	1.5064	0.0069
3454	IFNAR1	1.0813	0.007
3091	HIF1A	0.8926	0.0075
4313	MMP2	1.3103	0.0076
11031	RAB31	1.8313	0.0077
7690	ZNF131	1.1588	0.0077
9915	ARNT2	1.1106	0.0077
51495	HACD3	0.9841	0.008
23271	CAMSAP2	1.2805	0.0081
1500	CTNND1	1.0434	0.0091
323	APBB2	1.1888	0.0097
6622	SNCA	0.9137	0.0107
65057	ACD	0.9716	0.0112
211	ALAS1	0.9746	0.0135
3383	ICAM1	1.06	0.0143
57761	TRIB3	1.0023	0.0149
9134	CCNE2	0.9646	0.0153
1676	DFFA	0.8657	0.0157
7043	TGFB3	0.8364	0.0174
3597	IL13RA1	1.0873	0.0181
695	BTK	1.0743	0.0183
23536	ADAT1	1.4182	0.0184
9690	UBE3C	0.8347	0.0188
10489	LRRC41	1.048	0.0188
23013	SPEN	0.8911	0.0214
79170	PRR15L	1.0507	0.0216
4232	MEST	0.9508	0.0217
4851	NOTCH1	1.0184	0.0218
6253	RTN2	0.7377	0.0222
2131	EXT1	0.7878	0.024
23161	SNX13	0.7956	0.0248
9842	PLEKHM1	0.7664	0.0248
63874	ABHD4	0.92490000000000006	0.0309
351	APP	0.8944	0.0321
2908	NR3C1	0.708	0.0329
637	BID	0.6668	0.0346
55033	FKBP14	0.9367	0.0367
54850	FBXL12	1.0977	0.037
4998	ORC1	0.98740000000000006	0.0372
7020	TFAP2A	0.9912	0.0379
843	CASP10	0.9264	0.0381
10610	ST6GALNAC2	1.025	0.0381
26136	TES	0.6414	0.0389
4331	MNAT1	1.2807	0.0395
84722	PSRC1	0.8397	0.0405
1509	CTSD	0.7125	0.0411
5287	PIK3C2B	0.7321	0.042
5498	PPOX	0.7463	0.0423
3508	IGHMBP2	0.7234	0.0433
26511	CHIC2	0.5938	0.0443
23335	WDR7	1.291	0.0449
27346	TMEM97	0.5699	0.0478
51375	SNX7	0.6239	0.0491
9124	PDLIM1	0.711	0.0493
3251	HPRT1	1.4611	0.0499
7466	WFS1	0.8978	0.0516
5321	PLA2G4A	0.7259	0.0521
10123	ARL4C	0.8987	0.053
57215	THAP11	0.757	0.0542
64781	CERK	0.9615	0.0561
1829	DSG2	1.0039	0.0573
6275	S100A4	0.5567	0.0615
23061	TBC1D9B	0.8479	0.0624
79187	FSD1	1.1232	0.0647
4312	MMP1	0.907	0.0668
8318	CDC45	0.598	0.0687
1021	CDK6	3.6691	0.0695
5373	PMM2	0.5314	0.0706
11000	SLC27A3	0.7206	0.0726
8312	AXIN1	2.3447	0.0729
9918	NCAPD2	0.7552	0.0738
836	CASP3	1.6568	0.0753
55127	HEATR1	1.4337	0.0771
6915	TBXA2R	1.9106	0.0777
891	CCNB1	0.6998	0.0806
7538	ZFP36	0.7724	0.0822
22796	COG2	0.5754	0.0831
23149	FCHO1	0.5556	0.0845
9702	CEP57	0.7148	0.0893
51465	UBE2J1	0.7973	0.0895
1906	EDN1	0.6666	0.0898
3122	HLA-DRA	0.7171	0.0941
10221	TRIB1	0.5745	0.0965
7905	REEP5	0.5359	0.1057
3682	ITGAE	0.5532	0.1058
8202	NCOA3	0.9771	0.1072
8569	MKNK1	0.5068	0.1083
23635	SSBP2	0.5668	0.1093
6774	STAT3	0.5141	0.1123
3988	LIPA	0.5121	0.1125
10190	TXNDC9	0.5393	0.1195
57147	SCYL3	1.6618	0.1206
8243	SMC1A	1.4012	0.1208
8835	SOCS2	0.7275	0.121
808	CALM3	0.5248	0.1216
8851	CDK5R1	0.5055	0.1218
2017	CTTN	0.9165	0.1229
58478	ENOPH1	0.5947	0.1236
4850	CNOT4	2.8182	0.1252
3775	KCNK1	0.7446	0.1258
27244	SESN1	0.5552	0.1267
64428	NARFL	0.5465	0.1293
54881	TEX10	0.5334	0.1323
2769	GNA15	0.5005	0.1325
2185	PTK2B	0.6296	0.1361
154	ADRB2	0.5467	0.1373
10732	TCFL5	0.7774	0.1384
2770	GNAI1	2.4291	0.1396
39	ACAT2	0.6011	0.1411
9851	KIAA0753	0.6542	0.1414
28969	BZW2	0.5593	0.1435
4893	NRAS	0.7994	0.1439
23512	SUZ12	0.6654	0.1518
10513	APPBP2	0.5544	0.1519
5925	RB1	0.5659	0.1519
11073	TOPBP1	0.7597	0.1536
55893	ZNF395	0.5368	0.1557
5019	OXCT1	1.2406	0.159
1052	CEBPD	0.6644	0.1667
388650	FAM69A	0.5232	0.1709
4931	NVL	0.6547	0.1755
5867	RAB4A	1.1302	0.1768
7852	CXCR4	0.6643	0.1789
1017	CDK2	0.511	0.1825
2523	FUT1	0.5835	0.1876
10695	CNPY3	0.5269	0.1878
3300	DNAJB2	0.5221	0.1913
6793	STK10	0.5966	0.1944
27336	HTATSF1	0.5349	0.1962
55958	KLHL9	0.7781	0.1964
80212	CCDC92	1.9507	0.2061
11072	DUSP14	0.6755	0.2074
10782	ZNF274	2.0594	0.2082
56940	DUSP22	0.6711	0.2126
8804	CREG1	0.505	0.2205
6772	STAT1	0.6096	0.2313
55111	PLEKHJ1	0.5982	0.2419
178	AGL	0.5094	0.2425
10845	CLPX	0.549	0.2435
8821	INPP4B	0.6823	0.2463
701	BUB1B	0.5112	0.2507
727	C5	0.5254	0.2614
9653	HS2ST1	0.596	0.2749
54442	KCTD5	0.7201	0.2775
4846	NOS3	0.5599	0.2881
