Name_GeneSymbol	Value_LogDiffExp
ABCB6	-0.6193
ABCF1	-1.1167
ADAM10	-0.293
ADAT1	-0.2916
ALAS1	-0.6096
ANXA7	-2.0552
APBB2	-0.866
APOE	-0.4708
APP	-1.2367
ARID5B	-0.6107
ARL4C	-0.6395
ARNT2	-1.0481
ARPP19	-3.5614
ATP2C1	-0.7845
AXIN1	-0.5529
BCL2	-0.5296
BECN1	-0.431
BLVRA	-0.2785
BMP4	-1.0608
BUB1B	-1.4853
C5	-1.0832
CALM3	-0.5011
CAMSAP2	-1.6636
CASP3	-0.6884
CAST	-0.7032
CAT	-2.1992
CCL2	-0.5897
CCND3	-1.531
CD40	-0.8879
CD44	-0.8144
CDK4	-0.6254
CDK6	-0.3381
CDK7	-1.8081
CDKN1A	-0.2623
CDKN1B	-0.6036
CEBPD	-0.9817
CERK	-0.3473
CHMP4A	-3.0211
CHN1	-0.3351
CLSTN1	-0.609
COG4	-0.4313
COL4A1	-0.2622
CRELD2	-0.6601
CRKL	-0.3636
CSK	-0.6061
CSNK1A1	-0.4489
CSNK1E	-0.6576
CSNK2A2	-0.3641
CTNND1	-0.7124
CTSD	-0.6679
CTSL	-0.482
CXCR4	-0.9045
CYCS	-2.7244
DAXX	-0.556
DDIT4	-0.2745
DDR1	-0.6248
DDX42	-0.2776
DENND2D	-0.4706
DHDDS	-0.3883
DHX29	-0.3848
DNAJA3	-0.5468
DNMT1	-0.4208
DNMT3A	-1.3369
DUSP11	-0.7448
DUSP4	-2.842
ECH1	-0.8213
EDN1	-0.8875
EFCAB14	-0.4537
EGF	-0.5712
ELAC2	-0.3631
ENOSF1	-0.4564
ERBB3	-0.3907
ERO1L	-0.3424
EXT1	-0.8957
FAH	-0.2657
FAIM	-0.2978
FAM20B	-0.6667
FAM63A	-0.5267
FAM69A	-0.289
FAT1	-0.4032
FBXO21	-0.6092
FDFT1	-0.5987
FGFR2	-1.2648
FKBP4	-0.7707
FOXO4	-0.3567
FPGS	-0.9938
FRS2	-0.4123
FSD1	-0.5033
FUT1	-0.6966
FZD1	-1.1404
FZD7	-0.3112
GADD45A	-1.0024
GALE	-0.4487
GLI2	-0.7492
GNA15	-0.4117
GNAS	-0.2922
GNB5	-0.6123
GPC1	-0.6605
GSTM2	-0.4238
GTF2E2	-0.5512
HDAC6	-0.394
