Name_GeneSymbol	Value_LogDiffExp
AARS	1.0129
ABCC5	2.4305
ABHD6	2.49728
ADAM10	1.78918
ALDOC	1.22428
ANKRD10	1.05866
ANO10	1.49516
APBB2	2.08134
APP	1.3707
ARFIP2	1.41898
ASAH1	1.08554
ATP5S	1.2432599999999998
BAMBI	1.67408
BECN1	1.11392
CALU	1.39456
CASP10	1.61762
CBLB	1.93562
CCDC85B	2.3782
CCDC92	2.43348
CDKN1A	2.6347
CERK	1.2514
CIRBP	1.0114
COG2	1.46118
COPB2	1.40086
CPNE3	1.22536
CREG1	1.76932
CRK	1.01274
DMTF1	1.36104
DUSP4	1.45766
DUSP6	1.7470999999999999
ERBB3	1.2752
ETV1	1.07324
FBXO21	1.00026
FOXO3	1.44008
FOXO4	2.16606
FYN	2.77264
FZD7	1.41262
GDPD5	1.96148
GHR	1.81152
GLRX	1.1557600000000001
GNAI1	1.24532
GNB5	1.66836
GRB10	1.66976
HDAC6	1.32942
HES1	1.28144
HIST1H2BK	1.9894800000000001
HIST2H2BE	3.33444
HLA-DRA	1.3504
HOXA10	1.22954
IER3	1.63516
INSIG1	1.4424000000000001
KDM3A	1.02298
KIAA0196	1.17738
KIAA1033	1.9531
KLHL9	1.6914200000000001
LGMN	1.89304
LRPAP1	1.06872
MAN2B1	1.02942
MAT2A	1.51238
MBTPS1	1.0155
MCOLN1	1.2914400000000001
MEF2C	1.6072600000000001
MMP1	4.70866
MNAT1	1.42604
MYCBP2	1.0530199999999998
MYO10	1.13514
NCOA3	1.37664
NFKBIA	1.17212
NFKBIE	1.3249199999999999
NIT1	1.24842
NOTCH1	1.26934
PAN2	1.51054
PHGDH	1.6253
PLCB3	1.28076
PLS1	1.5029
PMAIP1	1.94238
POLD4	1.10978
PPP1R13B	1.17012
PPP2R5A	1.69974
PRKCH	1.13804
PSME1	1.04714
PTPN1	1.4338199999999999
PTPN6	1.079
SESN1	1.31704
SLC35A1	1.06102
SNX6	1.11582
SPAG7	1.37924
SPP1	1.3229
SPRED2	1.17788
SQSTM1	2.63472
ST3GAL5	1.59536
ST6GALNAC2	1.74126
STUB1	1.64876
STXBP1	1.2639799999999999
TERF2IP	2.00464
TFAP2A	1.09908
TGFBR2	1.15866
TIAM1	1.46218
TIPARP	2.40566
TLR4	1.21848
TMEM2	1.70442
TMEM50A	1.0648600000000001
TSPAN3	1.26948
TXNRD1	1.5791600000000001
ZFP36	1.38746
