similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	368	BRD-K66198023-237-01-9	LSM-5743	AGTR1	10uM	24h	LINCSCP_58175	VCAP
0.3574	1.5741e-12	368	BRD-K87500884	LSM-42040	NA	10uM	6h	LINCSCP_310691	VCAP
0.3377	2.8682e-11	368	BRD-K19616315	LSM-9613	NA	5uM	24h	LINCSCP_62770	VCAP
0.3247	1.7484e-10	368	MLS002264436	LSM-2216	NA	10uM	6h	LINCSCP_45573	PC3
0.3215	2.7051e-10	368	BRD-K10436544	LSM-45992	NA	10uM	6h	LINCSCP_35561	MCF7
0.3142	7.0695e-10	368	VX-809 (Lumacaftor)	LSM-45571	CFTR	3.33uM	24h	LINCSCP_173958	YAPC
0.3126	8.7444e-10	368	SCHEMBL15422533	LSM-44568	NA	1uM	6h	LINCSCP_37063	MCF7
0.3086	1.4663e-9	368	Bromfenac	LSM-5585	PTGS1|PTGS2	10uM	6h	LINCSCP_20731	HCC515
0.3015	3.5734e-9	368	Lorcaserin HCl	LSM-45745	HTR2C	0.04uM	24h	LINCSCP_171929	YAPC
0.3002	4.2266e-9	368	BRD-K64864583	LSM-12390	NA	10uM	24h	LINCSCP_35349	MCF7
0.2989	4.9436e-9	368	SPECTRUM_001319	LSM-1963	HSD11B1	0.04uM	24h	LINCSCP_143248	MCF7
0.298	5.5405e-9	368	Umeclidinium (bromide)	LSM-45495	CHRM3	0.12uM	24h	LINCSCP_77553	A375
0.2972	6.1093e-9	368	BRD-K79967274	LSM-13308	NA	5uM	24h	LINCSCP_61651	VCAP
0.2957	7.3565e-9	368	13(S)-HODE	LSM-43243	PPARG	10uM	6h	LINCSCP_26729	HT29
0.2935	9.5315e-9	368	Apoptosis Activator II	LSM-2329	NA	10uM	24h	LINCSCP_284426	SKB
0.2921	1.1363e-8	368	SPECTRUM_001579	LSM-6509	NA	0.12uM	24h	LINCSCP_175326	YAPC
0.291	1.2891e-8	368	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	3.33uM	24h	LINCSCP_151954	PC3
0.2894	1.5587e-8	368	ML239	LSM-3882	NA	10uM	6h	LINCSCP_251152	MCF7
0.2875	1.97e-8	368	BRD-K25164076	LSM-9959	NA	5uM	24h	LINCSCP_27662	HT29
0.2865	2.2037e-8	368	BRD-K83893121-001-01-5	LSM-41858	NA	10uM	24h	LINCSCP_64975	VCAP
0.2856	2.4622e-8	368	BRD-K45929778	LSM-11228	NA	5uM	24h	LINCSCP_62888	VCAP
0.2842	2.8929e-8	368	HY-11007	LSM-1022	ABL1|BCR	10uM	24h	LINCSCP_89010	HA1E
0.2841	2.9135e-8	368	1-Methyllysergic acid butanolamide	LSM-1964	HTR1B|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR7	10uM	6h	LINCSCP_13855	HA1E
0.2841	2.9342e-8	368	BRD-K89986699	LSM-13979	NA	10uM	24h	LINCSCP_254364	MCF7
0.283	3.2996e-8	368	DASA-58	LSM-3813	PKM	10uM	6h	LINCSCP_45849	PC3
0.282	3.7325e-8	368	Papaverine	LSM-2338	PDE10A	10uM	6h	LINCSCP_47710	PC3
0.2815	3.948e-8	368	Galantamine	LSM-5604	ACHE|BCHE	10uM	6h	LINCSCP_225728	HT29
0.2808	4.2601e-8	368	Crizotinib	LSM-1027	ALK|MET	0.1uM	24h	LINCSCP_285104	SKBR3
0.2778	6.0595e-8	368	Olaparib	LSM-1145	PARP1|PARP2|PARP3	10uM	24h	LINCSCP_156840	PC3
0.2776	6.1977e-8	368	24(S),25-epoxycholesterol	LSM-5712	NR1H2|NR1H3	10uM	6h	LINCSCP_20476	HCC515
0.2769	6.6645e-8	368	Necrostatin	LSM-1494	RIPK1	100uM	6h	LINCSCP_222955	HT115
0.2769	6.6911e-8	368	LDN 193189	LSM-1115	ACVR1|BMPR1A	0.37uM	24h	LINCSCP_144702	MDAMB231
0.2764	7.0848e-8	368	Tolfenamic acid	LSM-5612	NA	3.33uM	24h	LINCSCP_173400	YAPC
0.2763	7.1605e-8	368	BRD-K27986637	LSM-6803	NA	10uM	6h	LINCSCP_20597	HCC515
0.2761	7.3177e-8	368	KBIO2_003002	LSM-3362	NA	10uM	24h	LINCSCP_18598	HCC515
0.2761	7.3373e-8	368	(+/-)-Kavain	LSM-42834	MTOR	10uM	24h	LINCSCP_18506	HCC515
