similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	505	Fedratinib	LSM-1142	FLT3|JAK2	10uM	24h	LINCSCP_56833	VCAP
0.6753	1.6003e-68	505	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_56912	VCAP
0.6539	6.4176e-63	505	SCHEMBL16980224	LSM-1092	AURKA	10uM	24h	LINCSCP_58952	VCAP
0.6362	1.2006e-58	505	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	10uM	24h	LINCSCP_58913	VCAP
0.6287	6.6158e-57	505	LRRK2-IN-1	LSM-1086	LRRK2	10uM	24h	LINCSCP_58824	VCAP
0.6239	7.8546e-56	505	LRRK2-IN-1	LSM-1086	LRRK2	10uM	6h	LINCSCP_59016	VCAP
0.6144	9.6737e-54	505	MLS002264436	LSM-2216	NA	10uM	24h	LINCSCP_57520	VCAP
0.6037	1.8321e-51	505	SCHEMBL16980224	LSM-1092	AURKA	10uM	6h	LINCSCP_59123	VCAP
0.591	6.9455e-49	505	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	10uM	6h	LINCSCP_59092	VCAP
0.5901	1.0378e-48	505	Fedratinib	LSM-1142	FLT3|JAK2	10uM	6h	LINCSCP_57074	VCAP
0.586	6.9482e-48	505	XMD 8-92	LSM-1094	MAPK7	10uM	24h	LINCSCP_58895	VCAP
0.5641	9.2129e-44	505	XMD-1185H	LSM-42731	NA	10uM	6h	LINCSCP_59147	VCAP
0.5632	1.3122e-43	505	XMD 8-92	LSM-1094	MAPK7	10uM	6h	LINCSCP_59073	VCAP
0.5631	1.3803e-43	505	MLS002264436	LSM-2216	NA	10uM	6h	LINCSCP_57625	VCAP
0.5505	2.3533e-41	505	BI-2536	LSM-1041	PLK1	10uM	6h	LINCSCP_57167	VCAP
0.5481	6.1096e-41	505	MLS002264439	LSM-3154	NA	10uM	6h	LINCSCP_57675	VCAP
0.5373	4.0812e-39	505	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	10uM	6h	LINCSCP_57067	VCAP
0.5371	4.3791e-39	505	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	10uM	24h	LINCSCP_56828	VCAP
0.5301	6.0815e-38	505	NU-7441	LSM-1061	PRKDC	10uM	6h	LINCSCP_59014	VCAP
0.5201	2.433e-36	505	GSK-1070916	LSM-1062	AURKB|AURKC	10uM	6h	LINCSCP_59056	VCAP
0.515	1.4708e-35	505	XMD-16144	LSM-42717	NA	10uM	24h	LINCSCP_58977	VCAP
0.509	1.2381e-34	505	MLS002264439	LSM-3154	NA	10uM	24h	LINCSCP_57551	VCAP
0.5034	8.3652e-34	505	Everolimus	LSM-43172	FKBP1A|MTOR	10uM	6h	LINCSCP_59032	VCAP
0.5004	2.3705e-33	505	XMD-16144	LSM-42717	NA	10uM	6h	LINCSCP_59143	VCAP
0.4977	5.8461e-33	505	BRD-K32485462	LSM-39058	NA	10uM	24h	LINCSCP_58360	VCAP
0.4973	6.6458e-33	505	MLS002264438	LSM-1311	NA	10uM	24h	LINCSCP_57738	VCAP
0.4938	2.1423e-32	505	1446-61-3	LSM-3383	CNR1	10uM	24h	LINCSCP_55672	VCAP
0.489	1.0079e-31	505	SCHEMBL618594	LSM-1070	NA	10uM	24h	LINCSCP_38906	MDAMB231
0.4826	8.0567e-31	505	MLS002264438	LSM-1311	NA	10uM	6h	LINCSCP_57844	VCAP
0.4812	1.2468e-30	505	BI-2536	LSM-1041	PLK1	10uM	6h	LINCSCP_10403	A673
0.474	1.1964e-29	505	5-Nonyloxytryptamine	LSM-20005	NA	10uM	6h	LINCSCP_57865	VCAP
0.4737	1.3249e-29	505	BI-2536	LSM-1041	PLK1	10uM	6h	LINCSCP_51684	SKBR3
0.4734	1.4185e-29	505	T 98475	LSM-3382	GNRHR	10uM	24h	LINCSCP_55671	VCAP
0.4719	2.2878e-29	505	Everolimus	LSM-43172	FKBP1A|MTOR	10uM	6h	LINCSCP_32655	MCF7
0.4712	2.845e-29	505	SB-216641	LSM-2671	HTR1B|HTR1D	10uM	24h	LINCSCP_56413	VCAP
0.4708	3.244e-29	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_292429	VCAP
0.4706	3.409e-29	505	BI-2536	LSM-1041	PLK1	10uM	3h	LINCSCP_132971	MCF7
0.4699	4.1607e-29	505	Mibefradil	LSM-2192	CACNA1C|CACNA1G|CACNA1H|CACNA1I	10uM	6h	LINCSCP_289435	VCAP
0.4673	9.2897e-29	505	BI-2536	LSM-1041	PLK1	10uM	3h	LINCSCP_163904	SKBR3
0.4659	1.4396e-28	505	Merck-Ketone	LSM-36779	NA	10uM	24h	LINCSCP_59159	VCAP
0.4654	1.6377e-28	505	NU-7441	LSM-1061	PRKDC	10uM	24h	LINCSCP_58822	VCAP
0.4629	3.5274e-28	505	(R,S)-Indatraline	LSM-5209	MAOA|MAOB	10uM	24h	LINCSCP_5704	A549
0.4627	3.6756e-28	505	WZ 3146	LSM-5809	EGFR	10uM	24h	LINCSCP_58930	VCAP
0.4599	8.3939e-28	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_117211	HT29
0.4598	8.6813e-28	505	Rimcazole	LSM-5777	SIGMAR1	10uM	24h	LINCSCP_57981	VCAP
0.4596	9.2952e-28	505	Mibefradil	LSM-2192	CACNA1C|CACNA1G|CACNA1H|CACNA1I	10uM	24h	LINCSCP_289229	VCAP
0.4593	1.0281e-27	505	AC1OAV9H	LSM-6653	NA	10uM	24h	LINCSCP_58403	VCAP
0.4579	1.555e-27	505	MLS002232309	LSM-5577	NA	10uM	24h	LINCSCP_38995	MDAMB231
0.4577	1.6399e-27	505	LRRK2-IN-1	LSM-1086	LRRK2	20uM	6h	LINCSCP_37283	MCF7
0.4573	1.8455e-27	505	CHEMBL179288	LSM-3648	NA	10uM	6h	LINCSCP_289514	VCAP
0.4542	4.5243e-27	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_68300	VCAP
0.4539	4.8993e-27	505	SCHEMBL2557158	LSM-4121	NA	10uM	24h	LINCSCP_57838	VCAP
0.4536	5.3259e-27	505	AC1L99UL	LSM-1831	NA	10uM	24h	LINCSCP_55602	VCAP
0.4516	9.5791e-27	505	Nitazoxanide	LSM-6002	NA	10uM	24h	LINCSCP_58215	VCAP
0.4513	1.0566e-26	505	LY-294002	LSM-2597	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC	10uM	6h	LINCSCP_68578	VCAP
0.4507	1.2453e-26	505	Masitinib	LSM-1130	FGFR3|KIT|LYN|PDGFRA|PDGFRB	10uM	24h	LINCSCP_129560	JURKAT
0.4499	1.5425e-26	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_68350	VCAP
0.4497	1.6531e-26	505	Fentanyl Isothiocyanate	LSM-2391	OPRD1	10uM	24h	LINCSCP_55642	VCAP
0.4494	1.7778e-26	505	AC1N6AX4	LSM-1272	NA	10uM	24h	LINCSCP_33038	MCF7
0.4486	2.2681e-26	505	RS-23597-190	LSM-6204	HTR4	100uM	24h	LINCSCP_56804	VCAP
0.4476	3.0124e-26	505	LRRK2-IN-1	LSM-1086	LRRK2	10uM	3h	LINCSCP_133234	MCF7
0.4472	3.3735e-26	505	BMS-509744	LSM-1137	NA	10uM	24h	LINCSCP_129682	JURKAT
0.4455	5.4414e-26	505	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	24h	LINCSCP_68319	VCAP
0.445	6.2127e-26	505	Cerivastatin	LSM-43237	HMGCR	10uM	24h	LINCSCP_58189	VCAP
0.4449	6.3435e-26	505	XMD-1185H	LSM-42731	NA	10uM	24h	LINCSCP_32598	MCF7
0.4419	1.4799e-25	505	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_140807	MCF7
0.4418	1.5487e-25	505	BIO2_000029	LSM-2270	NA	10uM	6h	LINCSCP_55789	VCAP
0.4411	1.8723e-25	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_116853	HT29
0.4397	2.7644e-25	505	8-Cyclohexyl-2,3,3a,4,5,6-hexahydro-1H-pyrazino[3,2,1-jk]carbazole	LSM-1624	MAOA	10uM	6h	LINCSCP_56735	VCAP
0.4394	2.9834e-25	505	MLS002264437	LSM-1962	NA	10uM	6h	LINCSCP_57860	VCAP
0.4391	3.2281e-25	505	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	24h	LINCSCP_68348	VCAP
0.4379	4.453e-25	505	GSK-1070916	LSM-1062	AURKB|AURKC	10uM	24h	LINCSCP_240297	MCF7
0.4375	5.077e-25	505	BI-2536	LSM-1041	PLK1	10uM	6h	LINCSCP_36690	MCF7
0.4369	5.9012e-25	505	Quinacrine	LSM-1577	TP53	3uM	24h	LINCSCP_9148	A549
0.4368	6.0383e-25	505	LRRK2-IN-1	LSM-1086	LRRK2	10uM	24h	LINCSCP_38919	MDAMB231
0.4364	6.7143e-25	505	MLS000108814	LSM-1588	NA	10uM	24h	LINCSCP_57251	VCAP
0.4361	7.3938e-25	505	Fedratinib	LSM-1142	FLT3|JAK2	10uM	3h	LINCSCP_163367	SKBR3
0.4361	7.4624e-25	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_68356	VCAP
0.4359	7.8672e-25	505	SCHEMBL16980224	LSM-1092	AURKA	10uM	6h	LINCSCP_32758	MCF7
0.4358	7.8911e-25	505	L-733060	LSM-2345	TACR1	10uM	24h	LINCSCP_55640	VCAP
0.4357	8.2905e-25	505	WH-4-023	LSM-5613	ABL1|SRC	10uM	24h	LINCSCP_39016	MDAMB231
0.4356	8.4319e-25	505	Belinostat	LSM-43181	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	10uM	24h	LINCSCP_100682	HCC515
0.4352	9.3622e-25	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	6h	LINCSCP_68318	VCAP
0.4351	9.7485e-25	505	PCL2_000057	LSM-36753	NA	10uM	24h	LINCSCP_58663	VCAP
0.4346	1.1225e-24	505	Ketoconazole	LSM-5148	AR|CYP19A1	10uM	6h	LINCSCP_34181	MCF7
0.4343	1.2081e-24	505	Belinostat	LSM-43181	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	10uM	24h	LINCSCP_133871	MCF7
0.4334	1.5283e-24	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_56945	VCAP
0.4334	1.5329e-24	505	Pracinostat	LSM-43290	NA	3.33uM	24h	LINCSCP_117420	HT29
0.4334	1.543e-24	505	BI-2536	LSM-1041	PLK1	10uM	24h	LINCSCP_129793	LNCAP
0.4329	1.7742e-24	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_67291	MCF7
0.4329	1.7778e-24	505	Thiothixene	LSM-43048	HTR2A	10uM	24h	LINCSCP_110701	HELA
0.4325	1.9605e-24	505	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	24h	LINCSCP_67543	MCF7
0.4314	2.6079e-24	505	H89	LSM-42924	PRKACA	10uM	24h	LINCSCP_7302	A549
0.4313	2.6883e-24	505	Trichostatin	LSM-43005	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	1uM	24h	LINCSCP_35706	MCF7
0.43120000000000003	2.7428e-24	505	CHEMBL2130568	LSM-29353	NA	10uM	6h	LINCSCP_58456	VCAP
0.4307	3.164e-24	505	BI-2536	LSM-1041	PLK1	10uM	6h	LINCSCP_30830	MCF7
0.4306	3.3027e-24	505	Trichostatin	LSM-43005	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	24h	LINCSCP_35705	MCF7
0.4304	3.4295e-24	505	Raloxifene	LSM-3425	ESR1|ESR2	10uM	24h	LINCSCP_59500	VCAP
0.4303	3.4885e-24	505	Zuclomiphene	LSM-42849	ESR1	10uM	24h	LINCSCP_7305	A549
0.4297	4.1175e-24	505	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	1uM	24h	LINCSCP_67206	HT29
0.4294	4.5276e-24	505	LY-294002	LSM-2597	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC	10uM	6h	LINCSCP_68649	VCAP
0.4291	4.9245e-24	505	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	0.5uM	24h	LINCSCP_37002	MCF7
0.4288	5.2698e-24	505	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	24h	LINCSCP_100772	HCC515
0.4287	5.3922e-24	505	BRD-K02549628	LSM-37415	NA	10uM	24h	LINCSCP_48717	PC3
