similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	389	BRD-K66198023-237-01-9	LSM-5743	AGTR1	10uM	24h	LINCSCP_58175	VCAP
0.6102	4.7346e-41	389	Mesalamine	LSM-5427	ALOX5|PPARG|PTGS1|PTGS2	10uM	24h	LINCSCP_58124	VCAP
0.5668	1.937e-34	389	Rifabutin	LSM-5004	NA	10uM	24h	LINCSCP_58862	VCAP
0.5651	3.4079e-34	389	Erythromycin Ethyl Succinate	LSM-5056	MLNR	10uM	24h	LINCSCP_59430	VCAP
0.5497	4.2785e-32	389	Pizotyline	LSM-3695	HTR2A|HTR2C	10uM	6h	LINCSCP_56590	VCAP
0.5452	1.6982e-31	389	Prednisolone 21-hemisuccinate	LSM-36396	NA	10uM	24h	LINCSCP_58104	VCAP
0.5369	1.978e-30	389	Piribedil	LSM-3057	ADRA2A|DRD2|DRD3	10uM	24h	LINCSCP_293903	VCAP
0.5323	7.6425e-30	389	Alosetron	LSM-5576	HTR3A	10uM	24h	LINCSCP_58148	VCAP
0.53	1.493e-29	389	Edaravone	LSM-5486	NA	10uM	24h	LINCSCP_296055	VCAP
0.5294	1.7489e-29	389	Pyridostigmine	LSM-5770	ACHE	10uM	24h	LINCSCP_59507	VCAP
0.5289	2.005e-29	389	RAC-Etomoxir	LSM-36917	CPT1A	10uM	24h	LINCSCP_58082	VCAP
0.5268	3.7245e-29	389	4-Methoxy-6-phenyl-1H-pyrimidine-2-thione	LSM-2060	NA	10uM	6h	LINCSCP_57371	VCAP
0.5242	7.5921e-29	389	MLS003179196	LSM-1356	NA	10uM	24h	LINCSCP_292701	VCAP
0.5238	8.6452e-29	389	ICI 192,605	LSM-1887	NA	10uM	6h	LINCSCP_55758	VCAP
0.5168	5.9867e-28	389	Dexamethasone	LSM-5512	NR3C1	10uM	24h	LINCSCP_296061	VCAP
0.5137	1.4054e-27	389	BDBM82056	LSM-5188	CACNA1C|CACNA1D|CACNA1S	10uM	24h	LINCSCP_58091	VCAP
0.5091	4.808e-27	389	SB239063	LSM-1036	MAPK11|MAPK14	10uM	6h	LINCSCP_56201	VCAP
0.5087	5.411e-27	389	Cetraxate	LSM-5599	GAST	10uM	24h	LINCSCP_58150	VCAP
0.5052	1.378e-26	389	cefatrizine	NA	NA	10uM	24h	LINCSCP_58220	VCAP
0.5031	2.4199e-26	389	VU0366037-2	LSM-2878	GRM4	10uM	24h	LINCSCP_292814	VCAP
0.503	2.4803e-26	389	NU-7026	LSM-2191	PRKDC	10uM	24h	LINCSCP_56398	VCAP
0.5021	3.1004e-26	389	NU-7026	LSM-2191	PRKDC	10uM	6h	LINCSCP_56536	VCAP
0.4905	6.0933e-25	389	AD-193/42475508	LSM-2249	NA	10uM	24h	LINCSCP_58339	VCAP
0.4841	3.0085e-24	389	HMS3264J07	LSM-1485	NA	10uM	6h	LINCSCP_56486	VCAP
0.4775	1.4903e-23	389	CHEMBL1555451	LSM-3423	NA	10uM	6h	LINCSCP_57448	VCAP
0.4749	2.8038e-23	389	Ipriflavone	LSM-5981	NA	10uM	24h	LINCSCP_293961	VCAP
0.4748	2.8741e-23	389	SMR000108731	LSM-4146	NA	10uM	24h	LINCSCP_57998	VCAP
0.4747	2.9631e-23	389	Quinine	LSM-42710	KCNN4	10uM	6h	LINCSCP_287703	SW620
0.4745	3.0834e-23	389	AC1NAR46	LSM-4866	NA	10uM	24h	LINCSCP_58549	VCAP
0.4725	4.9742e-23	389	BRD-K00144236	LSM-37288	NA	10uM	6h	LINCSCP_65381	VCAP
0.4723	5.2481e-23	389	F0012-0289	LSM-4634	NA	10uM	24h	LINCSCP_295256	VCAP
0.4713	6.5606e-23	389	SR-02000000477	LSM-4204	NA	10uM	24h	LINCSCP_57841	VCAP
0.4701	8.7616e-23	389	Desoxymetasone	LSM-1602	NR3C1	10uM	6h	LINCSCP_56495	VCAP
0.4692	1.0821e-22	389	Urapidil	LSM-5807	HTR1A	10uM	24h	LINCSCP_58181	VCAP
0.4684	1.3009e-22	389	Chloromycetny	LSM-5069	NA	10uM	24h	LINCSCP_59433	VCAP
0.4683	1.3388e-22	389	CHEMBL2355399	LSM-39827	NA	10uM	24h	LINCSCP_58590	VCAP
0.4678	1.5283e-22	389	Ciprofibrate	LSM-1600	PPARA	10uM	6h	LINCSCP_55742	VCAP
0.4668	1.8869e-22	389	Phenothiazine	LSM-3324	NA	10uM	6h	LINCSCP_292148	VCAP
0.4665	2.027e-22	389	Tadalafil	LSM-4109	PDE11A|PDE5A	10uM	24h	LINCSCP_58211	VCAP
0.4651	2.8655e-22	389	BRD-K78559095	LSM-41557	NA	10uM	24h	LINCSCP_58410	VCAP
0.4609	7.4172e-22	389	Aliskiren	LSM-2653	REN	10uM	24h	LINCSCP_56411	VCAP
0.4595	1.0336e-21	389	MLS002264410	LSM-2524	NA	10uM	24h	LINCSCP_57777	VCAP
0.459	1.1584e-21	389	BRD-K22846014	LSM-9817	NA	5uM	6h	LINCSCP_64078	VCAP
0.4575	1.6074e-21	389	Pifithrin MU	LSM-4188	HSPA1A|TP53	10uM	6h	LINCSCP_253426	MCF7
0.4564	2.0841e-21	389	KUC104223	LSM-3409	NA	10uM	24h	LINCSCP_57812	VCAP
0.4563	2.1349e-21	389	BRD-K74287511	LSM-12976	NA	5uM	6h	LINCSCP_62405	VCAP
0.4546	3.0847e-21	389	MLS003271342	LSM-4224	NA	10uM	24h	LINCSCP_292942	VCAP
0.454	3.5445e-21	389	BRD-A15493168-001-02-1	LSM-4979	NA	10uM	24h	LINCSCP_295967	VCAP
0.4533	4.1226e-21	389	Cycloserine	LSM-5932	NA	10uM	24h	LINCSCP_58204	VCAP
0.4526	4.807e-21	389	DR 2313	LSM-4130	NA	10uM	6h	LINCSCP_55866	VCAP
0.4525	4.9836e-21	389	Armodafinil	LSM-1343	SLC6A3	10uM	24h	LINCSCP_58059	VCAP
0.4523	5.1726e-21	389	MLS000860958	LSM-2484	NA	10uM	24h	LINCSCP_294319	VCAP
0.4503	8.0733e-21	389	CID755673	LSM-2050	NA	10uM	6h	LINCSCP_57370	VCAP
0.4498	8.9945e-21	389	MLS002554296	LSM-2669	NA	10uM	24h	LINCSCP_57949	VCAP
0.4497	9.2352e-21	389	Seliciclib	LSM-1001	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	6h	LINCSCP_56123	VCAP
0.4491	1.0558e-20	389	Bumetanide	LSM-2848	SLC12A1|SLC12A2	10uM	24h	LINCSCP_296059	VCAP
0.4476	1.4751e-20	389	MLS000773738	LSM-3464	NA	10uM	24h	LINCSCP_57975	VCAP
0.4475	1.4847e-20	389	FR-180204	LSM-42790	MAPK1|MAPK3	10uM	24h	LINCSCP_57817	VCAP
0.4442	3.0309e-20	389	CHEMDIV2_001418	LSM-1970	NA	10uM	6h	LINCSCP_293546	VCAP
0.4436	3.4671e-20	389	STK151112	LSM-2478	NA	10uM	24h	LINCSCP_293327	VCAP
0.4434	3.6687e-20	389	MLS002264467	LSM-3387	NA	10uM	24h	LINCSCP_31186	MCF7
0.443	3.9282e-20	389	SMR000024485	LSM-42913	NA	10uM	24h	LINCSCP_57946	VCAP
0.4417	5.2107e-20	389	KUC103654	LSM-1883	NA	10uM	24h	LINCSCP_292729	VCAP
0.4411	5.9197e-20	389	BRD-K22450189	LSM-38486	NA	5uM	6h	LINCSCP_64375	VCAP
0.4403	7.0523e-20	389	L-Sulforaphane	LSM-4919	NFE2L2	0.01uM	6h	LINCSCP_49774	PC3
0.4398	7.8354e-20	389	Ethyl 3-[(5-mercapto-1,3,4-thiadiazol-2-yl)thio]propanoate	LSM-4648	NA	10uM	24h	LINCSCP_294859	VCAP
0.439	9.4223e-20	389	Cilnidipine	LSM-1284	CACNA1B	10uM	6h	LINCSCP_55728	VCAP
0.4389	9.4821e-20	389	Minoxidil	LSM-2134	ABCC9|KCNJ11|KCNJ8	10uM	6h	LINCSCP_56122	VCAP
0.4389	9.5366e-20	389	MLS001065876	LSM-3794	NA	10uM	6h	LINCSCP_57473	VCAP
0.4387	9.8634e-20	389	ST019365	LSM-4719	NA	10uM	24h	LINCSCP_32233	MCF7
0.4385	1.0439e-19	389	Ketotifen	LSM-2637	HRH1	10uM	24h	LINCSCP_293342	VCAP
0.4378	1.2151e-19	389	BRD-K54730162	LSM-40267	NA	5uM	6h	LINCSCP_64414	VCAP
0.4356	1.9234e-19	389	(S, R)-Mefloquine	LSM-5525	NA	10uM	6h	LINCSCP_47406	PC3
0.4344	2.4473e-19	389	Capsazepine	LSM-2983	TRPV1	10uM	6h	LINCSCP_2894	A375
0.431	4.9626e-19	389	MLS001116134	LSM-3922	NA	10uM	24h	LINCSCP_57833	VCAP
0.4307	5.362e-19	389	CHEMBL1938917	LSM-3934	NA	10uM	24h	LINCSCP_57992	VCAP
0.4306	5.4845e-19	389	BRD-K72980353	LSM-12896	NA	5uM	6h	LINCSCP_63834	VCAP
0.4305	5.4946e-19	389	BRN 1087718	LSM-42853	NA	10uM	6h	LINCSCP_58696	VCAP
0.4289	7.7699e-19	389	Iniparib	LSM-6317	PARP1	0.001uM	6h	LINCSCP_38846	MCF7
0.4288	7.9548e-19	389	MLS001065911	LSM-4070	NA	10uM	6h	LINCSCP_57490	VCAP
0.4284	8.4863e-19	389	BRD-K04229162	LSM-8686	NA	5uM	6h	LINCSCP_63553	VCAP
0.428	9.3432e-19	389	Rolipram	LSM-1471	PDE4A|PDE4B|PDE4C|PDE4D	10uM	24h	LINCSCP_293810	VCAP
0.4277	9.8328e-19	389	Menadione	LSM-3755	NA	10uM	6h	LINCSCP_10426	A673
0.4274	1.051e-18	389	Chlorambucil	LSM-2645	NA	10uM	24h	LINCSCP_296046	VCAP
0.4261	1.3646e-18	389	HMS3264J07	LSM-1485	NA	10uM	24h	LINCSCP_290550	VCAP
0.4261	1.3725e-18	389	AMG-9810	LSM-2953	TRPV1	10uM	6h	LINCSCP_56563	VCAP
0.4259	1.4127e-18	389	RO 04-6790	LSM-2960	HTR6	10uM	24h	LINCSCP_56430	VCAP
0.4259	1.4366e-18	389	AC1L1JM9	LSM-2056	NA	10uM	24h	LINCSCP_56422	VCAP
0.4255	1.5354e-18	389	Glutamine	LSM-4741	NA	0.001uM	6h	LINCSCP_10265	A549
0.4234	2.3534e-18	389	AMG-9810	LSM-2953	TRPV1	10uM	24h	LINCSCP_56429	VCAP
0.4229	2.6154e-18	389	MLS003179193	LSM-2234	CASP3|STAT1	10uM	6h	LINCSCP_58699	VCAP
0.4227	2.7209e-18	389	Gemcitabine	LSM-5333	POLA1|POLD1|POLE|RRM1|RRM2|RRM2B	0.001uM	6h	LINCSCP_38847	MCF7
0.4221	3.0793e-18	389	MLS001060804	LSM-2231	NA	10uM	24h	LINCSCP_30932	MCF7
0.4218	3.2499e-18	389	Armodafinil	LSM-1343	SLC6A3	10uM	6h	LINCSCP_58222	VCAP
0.421	3.8659e-18	389	MLS001065910	LSM-3175	NA	10uM	6h	LINCSCP_292130	VCAP
0.4203	4.4065e-18	389	Mapp, D-Erythro	LSM-3703	NA	10uM	24h	LINCSCP_289307	VCAP
0.4202	4.5182e-18	389	Kenpaullone	LSM-2824	CDK1|CDK5|GSK3B	10uM	24h	LINCSCP_43438	NPC
0.4197	5.0148e-18	389	KUC104123	LSM-2866	NA	10uM	24h	LINCSCP_57790	VCAP
0.4195	5.2024e-18	389	MLS002264444	LSM-3036	NA	10uM	24h	LINCSCP_292829	VCAP
0.4177	7.4303e-18	389	VU0359998	LSM-3549	NA	10uM	24h	LINCSCP_57979	VCAP
0.4171	8.3695e-18	389	Scopolamine	LSM-1330	CHRM1|CHRM2|CHRM3|CHRM4	10uM	6h	LINCSCP_55732	VCAP
0.4164	9.5982e-18	389	ZINC01207723	LSM-4675	NA	10uM	6h	LINCSCP_58482	VCAP
0.4159	1.053e-17	389	BRD-K63124331-001-01-5	LSM-37151	HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR4|HTR5A|HTR6|HTR7	10uM	24h	LINCSCP_263496	NPC
0.4155	1.1333e-17	389	BRD-K56646986	LSM-40380	NA	5uM	6h	LINCSCP_64417	VCAP
0.415	1.271e-17	389	Cerulenin	LSM-43210	FASN	10uM	6h	LINCSCP_43335	NPC
0.4149	1.2793e-17	389	MLS002607722	LSM-3924	NA	10uM	24h	LINCSCP_292916	VCAP
0.4147	1.3302e-17	389	T5715535	LSM-2491	NA	10uM	24h	LINCSCP_58351	VCAP
0.4146	1.37e-17	389	TGX 221	LSM-1172	PIK3CB	0.1uM	24h	LINCSCP_51785	SKBR3
0.414	1.5269e-17	389	Lofepramine	LSM-5879	SLC6A2|SLC6A4	10uM	6h	LINCSCP_58284	VCAP
0.4137	1.6241e-17	389	Edaravone	LSM-5486	NA	10uM	6h	LINCSCP_34207	MCF7
0.4134	1.7122e-17	389	KUC105999N	LSM-2199	NA	10uM	24h	LINCSCP_292754	VCAP
0.4128	1.9366e-17	389	Quinine	LSM-42710	KCNN4	10uM	6h	LINCSCP_286672	SNGM
0.4127	1.9811e-17	389	PRE-084	LSM-3278	SIGMAR1	10uM	6h	LINCSCP_56580	VCAP
0.412	2.2497e-17	389	DASA-58	LSM-3813	PKM	90uM	6h	LINCSCP_54653	SW948
0.4116	2.4346e-17	389	Zucapsaicin	LSM-43179	TRPV1	10uM	24h	LINCSCP_293859	VCAP
0.4097	3.5421e-17	389	SCHEMBL3363896	LSM-3789	ENTPD1|ENTPD2|ENTPD3	10uM	6h	LINCSCP_56595	VCAP
0.4093	3.8072e-17	389	KUC103882	LSM-3187	NA	10uM	24h	LINCSCP_292845	VCAP
0.4085	4.4814e-17	389	Nifenazone	LSM-5583	NA	10uM	24h	LINCSCP_47525	PC3
0.4084	4.5289e-17	389	Paxilline	LSM-2849	KCNMA1	10uM	6h	LINCSCP_43608	NPC
0.4084	4.5795e-17	389	ZINC68199948	LSM-6249	TP53	10uM	6h	LINCSCP_54564	SW948
0.4081	4.8109e-17	389	MLS001150507	LSM-2632	NA	10uM	24h	LINCSCP_31589	MCF7
0.408	4.919e-17	389	PD-160170	LSM-2247	NPY1R	10uM	6h	LINCSCP_2690	A375
