similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.8198	1.0338e-12	48	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	6h	LINCSCP_68496	VCAP
0.8096	3.2426e-12	48	869288-64-2	LSM-1200	NA	10uM	24h	LINCSCP_83878	ASC.C
0.8031	6.5437e-12	48	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	6h	LINCSCP_12972	EFO27
0.8029	6.639e-12	48	CHEMBL2358575	LSM-38368	NA	10uM	24h	LINCSCP_65600	VCAP
0.7971	1.2161e-11	48	Dexamethasone	LSM-5512	NR3C1	10uM	6h	LINCSCP_217498	HCC515
0.796	1.3631e-11	48	Relcovaptan	LSM-4185	AVPR1A|OXTR	3.33uM	24h	LINCSCP_176294	YAPC
0.794	1.6528e-11	48	BRD-K48225424	LSM-11362	NA	5uM	6h	LINCSCP_306583	VCAP
0.7904	2.3788e-11	48	STK009254	LSM-1910	INS	10uM	24h	LINCSCP_162476	PC3
0.7756	9.5881e-11	48	BRD-K88822846	LSM-42112	NA	5uM	24h	LINCSCP_8212	A549
0.7747	1.0409e-10	48	Indapamide	LSM-1936	KCNQ1|SLC12A3	0.12uM	24h	LINCSCP_127400	HT29
-0.7737	1.1319e-10	48	(Z,E)-3-(imidazol-4-Ylmethylene)indolin-2-one	LSM-42866	EGFR	10uM	24h	LINCSCP_7273	A549
0.7724	1.2811e-10	48	PH-797804	LSM-36373	MAPK14	3.33uM	24h	LINCSCP_98787	HA1E
0.7658	2.2826e-10	48	Thiothixene	LSM-43048	HTR2A	3.33uM	24h	LINCSCP_127505	HT29
0.7598	3.7864e-10	48	CAY10603	LSM-4941	HDAC6	10uM	6h	LINCSCP_53824	SNUC4
0.7584	4.2871e-10	48	SCHEMBL1564574	LSM-1006	CHEK1|CHEK2	3.33uM	3h	LINCSCP_164073	SKBR3
0.7563	5.0952e-10	48	Ataluren	LSM-5991	DMD	10uM	24h	LINCSCP_162590	PC3
0.7559	5.2362e-10	48	Gabexate	LSM-3314	PRSS1	10uM	24h	LINCSCP_273369	PC3
0.7518	7.3205e-10	48	Danusertib	LSM-5253	AURKA|AURKB|AURKC|FGFR1|NTRK1|RET	10uM	24h	LINCSCP_52205	SKB
0.7487	9.3878e-10	48	REV-5901	LSM-1734	ALOX5	10uM	24h	LINCSCP_50064	PHH
0.7448	1.2859e-9	48	Felbinac	LSM-5965	NA	0.04uM	24h	LINCSCP_98629	HA1E
0.7445	1.3117e-9	48	Moxisylyte	LSM-5868	NA	1.11uM	24h	LINCSCP_142339	MCF7
0.743	1.4789e-9	48	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	1.11uM	24h	LINCSCP_88263	HA1E
0.7426	1.5252e-9	48	AZD-1775	LSM-1153	WEE1	10uM	6h	LINCSCP_234770	LOVO
0.7418	1.6121e-9	48	BRD-K64304398	LSM-6635	NA	10uM	6h	LINCSCP_20646	HCC515
0.7411	1.7085e-9	48	Relcovaptan	LSM-4185	AVPR1A|OXTR	10uM	24h	LINCSCP_99282	HA1E
0.7408	1.7477e-9	48	clobetasol	LSM-5281	NR3C1	3.33uM	24h	LINCSCP_103884	HELA
0.7384	2.0938e-9	48	Pevonedistat	LSM-6263	NAE1|UBA3	10uM	6h	LINCSCP_12971	EFO27
0.7368	2.3761e-9	48	PF-04217903	LSM-1166	MET	40uM	6h	LINCSCP_257635	NCIH596
-0.7301	3.9053e-9	48	AT-7519	LSM-1004	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	0.04uM	3h	LINCSCP_145854	MDAMB231
0.7282	4.4607e-9	48	AC1O9QGC	LSM-6556	NA	10uM	6h	LINCSCP_20418	HCC515
0.728	4.5317e-9	48	16,16-Dimethyl prostaglandin e2	LSM-43285	HPGD	1uM	24h	LINCSCP_127270	HT29
0.7244	5.8751e-9	48	1166227-08-2	LSM-1204	NA	0.04uM	24h	LINCSCP_149576	NPC.TAK
0.7242	5.9855e-9	48	VU0365121-1	LSM-2981	NA	10uM	6h	LINCSCP_21877	HEPG2
0.7232	6.3865e-9	48	XMD 8-92	LSM-1094	MAPK7	1.11uM	24h	LINCSCP_149103	NPC
0.7232	6.3905e-9	48	Tandutinib	LSM-5949	FLT3|KIT|PDGFRA|PDGFRB	10uM	24h	LINCSCP_127018	HT29
0.7225	6.7111e-9	48	BRD-K44996602	LSM-11167	NA	5uM	24h	LINCSCP_27527	HT29
0.7208	7.5798e-9	48	2-(5H-[1,2,4]triazino[5,6-B]indol-3-ylsulfanyl)-n-[3-(trifluoromethyl)phenyl]acetamide	LSM-4639	NA	10uM	6h	LINCSCP_20116	HCC515
0.7207	7.6403e-9	48	ST021200	LSM-4601	NA	10uM	6h	LINCSCP_13509	H1299
0.7206	7.7103e-9	48	BRD-K21576808	LSM-38440	NA	5uM	24h	LINCSCP_231705	HT29
0.7174	9.6106e-9	48	3,7-Bis(dimethylamino)phenothiazin-5-ium	LSM-4555	ACHE	10uM	6h	LINCSCP_53443	SKMEL28
0.7158	1.0749e-8	48	GTP 14564	LSM-2363	FLT3	10uM	24h	LINCSCP_7028	A549
0.7157	1.0851e-8	48	Dolutegravir (GSK1349572)	LSM-45596	NA	0.12uM	24h	LINCSCP_167370	YAPC
0.7144	1.1855e-8	48	Amuvatinib	LSM-1118	FLT3|KIT|MET|PDGFRA	0.5uM	24h	LINCSCP_51888	SKBR3
0.7142	1.2031e-8	48	Lenalidomide	LSM-6187	CRBN|CUL4A|DDB1|RBX1|TNF	3.33uM	24h	LINCSCP_101777	HELA
0.7141	1.2048e-8	48	BRD-K19198293	LSM-38301	NA	10uM	24h	LINCSCP_35292	MCF7
0.7121	1.381e-8	48	Sepantronium	LSM-5399	BIRC5	0.5uM	6h	LINCSCP_53228	SKM1
0.7075	1.8818e-8	48	rifampicin	NA	NA	0.04uM	24h	LINCSCP_151452	PC3
0.7074	1.8909e-8	48	GSK-J2	LSM-44940	NA	3.33uM	24h	LINCSCP_88947	HA1E
0.7036	2.4386e-8	48	SB408124	LSM-3195	HCRTR1	10uM	6h	LINCSCP_22772	HEPG2
0.7023	2.654e-8	48	Dexamethasone Acetate	LSM-1915	NR3C1	0.37uM	24h	LINCSCP_176116	YAPC
0.7023	2.6597e-8	48	EFLORNITHINE HYDROCHLORIDE	LSM-45424	ODC1	3.33uM	24h	LINCSCP_176264	YAPC
0.6985	3.3959e-8	48	Oxandrolone	LSM-45444	AR	3.33uM	24h	LINCSCP_99021	HA1E
0.6981	3.4799e-8	48	Fluspirilene	LSM-3748	DRD2|HTR2A	5uM	6h	LINCSCP_283212	RMGI
0.6979	3.5255e-8	48	SB-203580	LSM-1168	MAPK1|MAPK11|MAPK14	0.5uM	24h	LINCSCP_235135	MCF10A
0.6972	3.6907e-8	48	Fluoropyruvate	LSM-6203	NA	40uM	6h	LINCSCP_218472	HCT116
0.6964	3.8699e-8	48	GSK-461364	LSM-1013	PLK1	0.1uM	24h	LINCSCP_29633	MCF10A
-0.6959	4.0025e-8	48	Ledipasvir	LSM-45925	NA	1.11uM	24h	LINCSCP_104827	HELA
0.6957	4.057e-8	48	Venlafaxine	LSM-1616	SLC6A2|SLC6A4	10uM	6h	LINCSCP_178670	A375
0.6952	4.1749e-8	48	Troglitazone	LSM-4890	PPARG	10uM	6h	LINCSCP_43930	PC3
0.6934	4.6848e-8	48	Pravastatin	LSM-3347	HMGCR	10uM	24h	LINCSCP_13039	FIBRNPC
0.6928	4.8762e-8	48	Phenoxazine	LSM-4657	NA	10uM	6h	LINCSCP_17724	HCC15
0.6924	4.973e-8	48	AVL-292	LSM-45948	BTK	1.11uM	24h	LINCSCP_98290	HA1E
0.6923	5.0155e-8	48	CDK9 Inhibitor	LSM-1197	NA	0.37uM	24h	LINCSCP_117064	HT29
0.6923	5.0245e-8	48	Tirapazamine	LSM-45275	NA	10uM	24h	LINCSCP_99061	HA1E
0.6921	5.0649e-8	48	SCHEMBL6851809	LSM-43061	MTOR	10uM	6h	LINCSCP_53646	SNU1040
-0.6921	5.0886e-8	48	Antimycin A	LSM-5076	CYCS	10uM	6h	LINCSCP_26572	HT29
0.6918	5.191e-8	48	SU-11652	LSM-43098	KDR|PDGFRB	10uM	6h	LINCSCP_50813	RKO
-0.6905	5.6275e-8	48	Etomoxir	LSM-6240	CPT1A	90uM	24h	LINCSCP_44932	PC3
0.6899	5.8251e-8	48	AZD1208	LSM-45651	NA	10uM	24h	LINCSCP_90525	HA1E
0.6899	5.8367e-8	48	Clopidogrel	LSM-5415	P2RY12	10uM	6h	LINCSCP_1706	A375
0.6892	6.1011e-8	48	BRD-K29251608	LSM-38858	NA	5uM	24h	LINCSCP_8129	A549
0.6891	6.1073e-8	48	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	10uM	24h	LINCSCP_89183	HA1E
0.6885	6.3395e-8	48	Apremilast (CC-10004)	LSM-45894	PDE4A|PDE4B|PDE4C|PDE4D	0.37uM	24h	LINCSCP_143918	MCF7
0.6884	6.3976e-8	48	AKT Inhibitor VIII	LSM-1035	AKT1|AKT2	1uM	6h	LINCSCP_29683	MCF10A
-0.6884	6.4069e-8	48	Broad-Sai-560	LSM-45991	NA	0.1uM	6h	LINCSCP_35583	MCF7
0.6881	6.4903e-8	48	Btcp	LSM-4551	NA	10uM	24h	LINCSCP_7576	A549
0.687	6.9622e-8	48	Trapidil	LSM-4152	PDGFRA	0.37uM	24h	LINCSCP_143960	MCF7
0.6857	7.5367e-8	48	AB00540134	LSM-4868	NA	10uM	6h	LINCSCP_20083	HCC515
0.6853	7.7411e-8	48	Fcodpguefhccia-Uhfffaoysa-N	LSM-42689	CASP3	10uM	6h	LINCSCP_10552	AGS
0.685	7.8626e-8	48	Bexarotene	LSM-45378	RXRA|RXRB|RXRG	0.37uM	24h	LINCSCP_176014	YAPC
0.6838	8.4396e-8	48	BRD-K36991730	LSM-39299	NA	5uM	24h	LINCSCP_232021	HT29
0.6837	8.5280000000000007e-08	48	Olopatadine	LSM-43199	HRH1	10uM	24h	LINCSCP_189521	A549
0.6835	8.632e-8	48	Gibberellin A3	LSM-4083	NA	1.92uM	24h	LINCSCP_176042	YAPC
