signatureid	compound	similarity
LINCSCP_295319	Lopinavir	1
LINCSCP_22772	SB408124	0.5884
LINCSCP_54327	Fluspirilene	0.5304
LINCSCP_176116	Dexamethasone Acetate	0.5216
LINCSCP_206837	16,16-Dimethyl prostaglandin e2	0.5206
LINCSCP_12971	Pevonedistat	0.5101
LINCSCP_175948	Tyrphostin 1	0.5056
LINCSCP_50817	KO143	0.5051
LINCSCP_106799	AC1NSM0X	0.5013
LINCSCP_53228	Sepantronium	0.5012
LINCSCP_148536	KW-2449	0.5008
LINCSCP_127400	Indapamide	0.4974
LINCSCP_8134	BRD-K31593084	0.4933
LINCSCP_286481	BRD-A81936046	0.4922
LINCSCP_176014	Bexarotene	0.4892
LINCSCP_176008	Mycophenolate Mofetil	0.4864
LINCSCP_5947	BRD-K33676730	0.4862
LINCSCP_49639	SCHEMBL12410954	0.484
LINCSCP_279350	BRD-K76318793	0.4837
LINCSCP_40391	848193-68-0	0.4805
LINCSCP_116900	SB-216763	0.4796
LINCSCP_35271	BRD-K01006500	0.4793
LINCSCP_50813	SU-11652	0.4784
LINCSCP_41911	PKC Beta Inhibitor	0.4772
LINCSCP_22738	Clofibric acid	0.4771
LINCSCP_55459	PRIMA 1	0.475
LINCSCP_147779	Olaparib	0.4716
LINCSCP_127505	Thiothixene	0.4706
LINCSCP_254050	CHEMBL2357432	0.47
LINCSCP_36149	NVP-AUY922	0.4668
LINCSCP_90601	Homochlorcyclizine	0.4664
LINCSCP_176264	EFLORNITHINE HYDROCHLORIDE	0.4654
LINCSCP_285855	BMS-299897	0.4647
LINCSCP_109461	Tamsulosin HCl	0.4581
LINCSCP_64793	BRD-K67236726	0.4571
LINCSCP_94450	Dacomitinib	0.4561
LINCSCP_166213	AZD 1480	0.4559
LINCSCP_251082	Veliparib	0.4545
LINCSCP_86339	PD-173074	0.4506
LINCSCP_48346	BRD-K00550058	0.4488
LINCSCP_20646	BRD-K64304398	0.4482
LINCSCP_15467	Fatostatin	0.4462
LINCSCP_142339	Moxisylyte	0.445
LINCSCP_144543	Dihydroergocristine	0.4443
LINCSCP_167370	Dolutegravir (GSK1349572)	0.4429
LINCSCP_81344	AS601245	0.4427
LINCSCP_143965	Bifonazole	0.4422
LINCSCP_112661	CHEMBL3188661	0.442
LINCSCP_53895	M3M3FBS	0.4398
LINCSCP_144065	Ranolazine	0.4394
LINCSCP_215424	Nimodipine	0.4391
LINCSCP_65685	BRD-K70638773	0.436
LINCSCP_20418	AC1O9QGC	0.4353
LINCSCP_164420	HG-9-91-01	0.4349
LINCSCP_50939	Gossypol	0.4343
LINCSCP_176288	Deferasirox	0.4316
LINCSCP_25952	MLS001065848	0.43120000000000003
LINCSCP_99061	Tirapazamine	0.43120000000000003
LINCSCP_164638	GSK-J1	0.4308
LINCSCP_37658	SA-90024	0.4287
LINCSCP_55120	BRD-K95985487-001-01-3	0.4285
LINCSCP_52579	CGS-12066A	0.4264
LINCSCP_83878	869288-64-2	0.4259
LINCSCP_54715	Brefeldin A	0.4245
LINCSCP_130504	Enzastaurin	0.422
LINCSCP_25119	Triacsin C	0.4205
LINCSCP_370	Etazolate	0.4195
LINCSCP_80301	Trimebutine	0.4183
LINCSCP_51938	C24H25CLFN5O3	0.4166
LINCSCP_127667	Gibberellin A3	0.4151
LINCSCP_95321	Metolazone	0.4147
LINCSCP_256770	SJ 172550	0.4124
LINCSCP_64825	BRD-K95951626	0.4115
LINCSCP_183179	BRD-K95457967	0.4111
LINCSCP_80353	Apremilast (CC-10004)	0.411
LINCSCP_118777	Dextromethorphan	0.4103
LINCSCP_22697	Benzoxiquine	0.4102
LINCSCP_127549	NIKETHAMIDE	0.4077
LINCSCP_29550	Vemurafenib	0.4073
LINCSCP_50761	Minoxidil	0.4071
LINCSCP_176026	GSK-461364	0.4055
LINCSCP_88263	CHEMBL1673039	0.4044
LINCSCP_12919	AM-580	0.4039
LINCSCP_65586	BRD-K15525241	0.4034
LINCSCP_5003	T5291115	0.403
LINCSCP_75326	TIROFIBAN HYDROCHLORIDE	0.4024
LINCSCP_110955	Quizartinib	0.4024
LINCSCP_27763	BRD-K21136828	0.4015
LINCSCP_31132	BAS 07529539	0.4014
LINCSCP_100475	(R)-(-)-Jq1 enantiomer	0.4005
LINCSCP_745	MLS002460474	0.3999
LINCSCP_79367	Ulipristal	0.3994
LINCSCP_48795	BRD-K52675185	0.3991
LINCSCP_176077	Ciglitazone	0.3988
LINCSCP_33238	Nimesulide	0.3981
LINCSCP_368	Ethacrynic acid	0.3978
LINCSCP_110919	Lamotrigine	0.3974
LINCSCP_126934	Momelotinib	0.3962
LINCSCP_119342	SPARFLOXACIN	0.3952
LINCSCP_29446	AKT Inhibitor VIII	0.3936
LINCSCP_2872	Buddleoflavonoloside	0.3925
LINCSCP_206994	NNC-112	0.3924
LINCSCP_80961	Pranlukast	0.3919
LINCSCP_242431	SMR000033445	0.3915
LINCSCP_165183	SCHEMBL15556278	0.3911
LINCSCP_57741	Etodolac	0.3898
LINCSCP_212468	2-Nitrofluorene	0.3898
LINCSCP_53610	BDBM50127227	0.3887
LINCSCP_20176	ALD1-H_000553	0.3885
LINCSCP_48596	CHEMBL3188797	0.3879
LINCSCP_167289	CICLESONIDE	0.3877
LINCSCP_1741	SCHEMBL2554014	0.3876
LINCSCP_88946	GSK-J2	0.3875
LINCSCP_127625	Alvimopan (monohydrate)	0.3868
LINCSCP_277801	BRD-K06188347	0.3866
LINCSCP_64400	BRD-K42303783	0.3855
LINCSCP_284366	Resorcinol Monoacetate	0.385
LINCSCP_9417	CHEMBL258148	0.3845
LINCSCP_15945	MLS003337112	0.3844
LINCSCP_3497	BRD-K49849398-019-01-8	0.3843
LINCSCP_56695	Indomethacin	0.3841
LINCSCP_29251	4L7B	0.384
LINCSCP_285868	CHEMBL259628	0.384
LINCSCP_83719	HY-11007	0.3836
LINCSCP_61440	BRD-K33116513	0.3835
LINCSCP_7488	YM-298198	0.3833
LINCSCP_32088	CHEMBL599255	0.383
LINCSCP_1587	MLS003530000	0.3829
LINCSCP_74466	Berberine	0.3828
LINCSCP_258917	BRD-K20352452	0.3827
LINCSCP_231705	BRD-K21576808	0.3824
LINCSCP_110266	Bazedoxifene HCl	0.3824
LINCSCP_9586	AKT Inhibitor IV	0.3822
LINCSCP_117962	Physostigmine	0.3819
LINCSCP_110399	DESVENLAFAXINE SUCCINATE	0.3817
LINCSCP_4646	6-(7-Hydroxy-6,7-dihydro-5H-pyrrolo[1,2-c]imidazol-7-yl)-n-methyl-2-naphthamide	0.3815
LINCSCP_3583	BRD-K51810646	0.3804
LINCSCP_86677	Allitinib	0.3801
LINCSCP_83397	IOX2	0.38
LINCSCP_29250	MLS004683642	0.3797
LINCSCP_54426	Zileuton	0.3788
LINCSCP_4028	BRD-K64106162	0.3784
LINCSCP_20116	2-(5H-[1,2,4]triazino[5,6-B]indol-3-ylsulfanyl)-n-[3-(trifluoromethyl)phenyl]acetamide	0.3784
LINCSCP_105980	Idelalisib	0.3778
LINCSCP_54518	Erismodegib	0.3773
LINCSCP_22196	MLS002699336	0.3765
LINCSCP_127522	Sertaconazole	0.3764
LINCSCP_39427	XMD 8-92	0.3763
LINCSCP_39769	TSU-68	0.3763
LINCSCP_164632	ABT737	0.3763
LINCSCP_127102	ARN-509	0.376
LINCSCP_129747	GW843682X	0.3752
LINCSCP_31676	MLS002703119	0.375
LINCSCP_237984	CHEMBL1270505	0.3747
LINCSCP_56421	Bithionol	0.3747
LINCSCP_175905	Goserelin	0.3747
LINCSCP_129059	amcinonide	0.373
LINCSCP_278057	13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol	0.3727
LINCSCP_9711	RO-281675	0.3726
LINCSCP_124947	Merbarone	0.3717
LINCSCP_259081	BRD-K79112806	0.3714
LINCSCP_129785	BMS-345541	0.371
LINCSCP_258413	BRD-K41668190	0.3708
LINCSCP_13007	CHEMBL57055	0.3701
LINCSCP_144556	Quercetin	0.37
LINCSCP_43806	(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one	0.3699
LINCSCP_239435	AC1O9BZM	0.3695
LINCSCP_310232	AC1O44XP	0.36870000000000003
LINCSCP_21296	Promethazine	0.3673
LINCSCP_278949	BRD-K04617562	0.3666
LINCSCP_117820	C-Fms Inhibitor	0.3665
LINCSCP_127973	Rosiglitazone	0.3662
LINCSCP_28100	BRD-K71636675	0.3653
LINCSCP_35306	BRD-K33591392	0.3652
LINCSCP_5937	MLS000518920	0.3651
LINCSCP_178670	Venlafaxine	0.365
LINCSCP_32513	BRD-K61341215-004-01-2	0.3649
LINCSCP_26772	AC1NWAPO	0.3644
LINCSCP_165595	Vandetanib	0.3638
LINCSCP_45384	MLS001065837	0.3634
LINCSCP_143960	Trapidil	0.3633
LINCSCP_164279	OSI-930	0.3628
LINCSCP_94625	estropipate	0.3626
LINCSCP_175813	FPL-55712	0.3623
LINCSCP_201723	Arachidonyl Trifluoromethylketone	0.3623
LINCSCP_299	Eugenol	0.3619
LINCSCP_129816	936890-98-1	0.3608
LINCSCP_114280	Anacardic acid	0.3608
LINCSCP_3762	MW-SHH-54	0.3603
LINCSCP_60358	BRD-K18754288	0.3595
LINCSCP_97578	Etofenamate	0.3592
LINCSCP_207112	5-Methyltryptamine	0.359
LINCSCP_52305	FPA1_000317	0.359
LINCSCP_61046	BRD-K42397226	0.3589
LINCSCP_181468	BRD-K02653582	0.3588
LINCSCP_84987	CHIR-265	0.3582
LINCSCP_158626	SDZ-201106	0.3579
LINCSCP_26023	MLS001065913	0.3575
LINCSCP_38739	2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine	0.3575
LINCSCP_101585	Diazepam	0.3568
LINCSCP_237959	CHEMBL1270004	0.3568
LINCSCP_149267	CHEMBL1950303	0.3567
LINCSCP_80816	Suvorexant (MK-4305)	0.3567
LINCSCP_37477	BRD-K68749296	0.3564
LINCSCP_51888	Amuvatinib	0.3564
LINCSCP_54434	IN1541	0.3563
LINCSCP_13085	[3H]NEMONAPRIDE	0.3554
LINCSCP_22356	CHEMBL2356468	0.3554
LINCSCP_311059	BRD-K57406954	0.3546
LINCSCP_231841	BRD-K73533033	0.3545
LINCSCP_136844	Mitiglinide calcium	0.354
LINCSCP_311830	CHEMBL2131388	0.3538
LINCSCP_60829	BRD-K00061590	0.3538
LINCSCP_19077	Coumarin	0.3537
LINCSCP_7476	WHI-P154	0.3532
LINCSCP_43132	BRD-K43842808	0.3531
LINCSCP_12573	PF750	0.3529
LINCSCP_20035	CHEMBL489621	0.3526
LINCSCP_36399	IWR-1-ENDO	0.3525
LINCSCP_199394	BRD-K75145803	0.3524
LINCSCP_171817	Ivacaftor (VX-770)	0.3518
LINCSCP_65699	BRD-K78432605	0.3517
LINCSCP_110975	Ribavirin	0.3517
LINCSCP_65055	Oligomycin-A	0.3515
LINCSCP_292116	Alloxazine	0.3514
LINCSCP_175844	Droperidol	0.3506
LINCSCP_111014	Asenapine maleate	0.3504
LINCSCP_9705	PRL-3InhibitorI	0.3502
LINCSCP_13547	(S)-Tipifarnib	0.3496
LINCSCP_4941	221243-77-2	0.3492
LINCSCP_41098	BRD-K36984542	0.3491
LINCSCP_8212	BRD-K88822846	0.3491
LINCSCP_41155	2-Chloro-10H-phenothiazine-10-propanamine 5-oxide	0.3485
LINCSCP_76378	Tirasemtiv	0.3484
LINCSCP_258910	BRD-K17890048	0.3477
LINCSCP_48145	BRD-K31302860	0.3475
LINCSCP_28105	BRD-K77349332	0.3474
LINCSCP_42804	Meclizine	0.347
LINCSCP_31869	ACON1_002097	0.3466
LINCSCP_208946	2,3-Diphenylquinoxaline-6-carboxylic acid	0.3465
LINCSCP_22872	RO 08-2750	0.3461
LINCSCP_283798	ST022313	0.346
LINCSCP_32122	CHEMBL1710685	0.3458
LINCSCP_199260	BRD-K24625151	0.3455
LINCSCP_225718	Valacyclovir	0.3454
LINCSCP_143173	Bepotastine Besilate	0.3454
LINCSCP_142631	metitepine	0.3452
LINCSCP_59001	H7	0.3447
LINCSCP_64766	BRD-K36278687	0.3447
LINCSCP_94938	Azacitidine	0.3446
LINCSCP_748	UK 356618	0.3445
LINCSCP_104496	Pentamidine	0.3444
LINCSCP_49181	BRD-K78438907	0.3443
LINCSCP_76403	HYDROXYUREA	0.3441
LINCSCP_8192	BRD-K75845944	0.3437
LINCSCP_65958	BRD-K33165698	0.3435
LINCSCP_278096	BRD-K22563530	0.3432
LINCSCP_49462	R,S-equol	0.3429
LINCSCP_62412	BRD-K80940272	0.3427
LINCSCP_147518	PDK1 Inhibitor	0.3425
LINCSCP_107868	Benazepril	0.3422
LINCSCP_22277	HA 14-1	0.3422
LINCSCP_286604	PD-98059	0.3418
LINCSCP_74221	CEFEPIME HYDROCHLORIDE	0.3415
LINCSCP_1815	Triazine Scaffold, 19	0.3414
LINCSCP_29252	Nitrendipine	0.3414
LINCSCP_279165	BRD-K81261525	0.3409
LINCSCP_55825	Etifenin	0.3408
LINCSCP_254596	CHEMBL2152380	0.3405
LINCSCP_259102	BRD-K85549762	0.3405
LINCSCP_74282	TG 100801	0.3401
LINCSCP_18180	Dobutamine	0.3401
LINCSCP_48603	BRD-K97972722	0.3397
LINCSCP_805	114798-26-4	0.3394
LINCSCP_6378	Farnesol	0.3393
LINCSCP_4500	Dalcetrapib	0.3392
LINCSCP_95425	Siguazodan	0.3391
LINCSCP_8564	BRD-K76820571	0.3388
LINCSCP_222140	BRD-K21918725	0.3383
LINCSCP_49132	BRD-K42357106	0.338
LINCSCP_13584	Tanespimycin	0.3379
LINCSCP_13039	Pravastatin	0.3377
LINCSCP_5168	7-Bromo-1,2,3,9-tetrahydropyrrolo[2,1-b]quinazoline	0.3372
LINCSCP_79101	FLUDARABINE PHOSPHATE	0.3369
LINCSCP_5114	MLS001250347	0.3365
LINCSCP_259944	Isonicotinamide	0.3361
LINCSCP_260947	SA-1937516	0.336
LINCSCP_31757	Oxcarbazepine	0.3358
LINCSCP_83040	CHEMBL3182395	0.3356
LINCSCP_55327	BRD-K85822033	0.335
LINCSCP_86715	CDK9 Inhibitor	0.3349
LINCSCP_137628	AZD7687	0.3349
LINCSCP_126171	SPECTRUM_000011	0.3348
LINCSCP_63790	BRD-K31920348	0.3348
LINCSCP_175746	Diosmin	0.3346
LINCSCP_191784	Prazosin	0.3346
LINCSCP_38300	SA-1921783	0.3344
LINCSCP_294749	ST023431	0.3343
LINCSCP_10525	XAV 939	0.3343
LINCSCP_2367	Iloperidone	0.3337
LINCSCP_53689	Isoliquiritigenin	0.3336
LINCSCP_69664	rifampicin	0.3336
LINCSCP_65357	BRD-K87367419	0.3336
LINCSCP_123258	Tiagabine	0.3322
LINCSCP_62369	BRD-K35188965	0.3322
LINCSCP_56216	ST092443	0.3322
LINCSCP_180002	Zaprinast	0.3322
LINCSCP_32488	F1679-0128	0.332
LINCSCP_157454	Fidaxomicin	0.3313
LINCSCP_113986	BMS-509744	0.3308
