signatureid	compound	similarity
LINCSCP_129537	Allitinib	0.8219
LINCSCP_121169	NUTLIN 3	0.8048
LINCSCP_103778	Alprostadil	0.7909
LINCSCP_103709	Tonabersat	0.7773
LINCSCP_95588	Dipraglurant	0.7679
LINCSCP_92129	Fingolimod (FTY720) HCl	0.7653
LINCSCP_88220	AS-605240	0.7622
LINCSCP_122110	Minaprine	0.7592
LINCSCP_95655	Avanafil	0.7578
LINCSCP_85500	Mitoxantrone	0.7574
LINCSCP_103674	NG,NG-Dimethyl-L-arginine, Dihydrochloride	0.7558
LINCSCP_122238	Clozapine	0.7505
LINCSCP_95522	Semaxanib	0.7479
LINCSCP_92984	Nebivolol	0.7465
LINCSCP_104086	Chlorambucil	0.7391
LINCSCP_137733	Taranabant	0.7317
LINCSCP_206741	CHEMBL399379	0.7308
LINCSCP_105485	TIROFIBAN HYDROCHLORIDE	0.7285
LINCSCP_40254	SJ 172550	0.7282
LINCSCP_137898	Rimonabant	0.7267
LINCSCP_147958	CX-5461	0.7258
LINCSCP_41103	BRD-K44242139	0.7242
LINCSCP_93169	AC1Q5RFA	0.7187
LINCSCP_138868	(13S)-3-Hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one	0.7183
LINCSCP_92070	Benzamil	0.7169
LINCSCP_103661	Felbamate	0.7126
LINCSCP_121499	SPECTRUM_001092	0.7114
LINCSCP_35647	Ingenol 3,20-dibenzoate	0.7105
LINCSCP_59028	8-Epi-15-d2c-isop	0.7102
LINCSCP_137784	Veliparib (ABT-888)	0.7082
LINCSCP_103234	GDC-0980 (RG7422)	0.7071
LINCSCP_10125	2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine	0.707
LINCSCP_128864	BIX01294	0.7021
LINCSCP_130004	Lapatinib	0.7015
LINCSCP_45264	MLS002703105	0.6944
LINCSCP_138278	Pramipexole	0.6913
LINCSCP_111813	Selumetinib	0.6856
LINCSCP_122039	Histamine 2HCl	0.6842
LINCSCP_137610	BRD-A82197375	0.6833
LINCSCP_64575	Thioridazine	0.6828
LINCSCP_138711	Celecoxib	0.6798
LINCSCP_138451	ETOPOSIDE	0.6778
LINCSCP_566	Phorbol 12-myristate-13-acetate	0.6743
LINCSCP_122105	S18986	0.6695
LINCSCP_91439	Meptazinol	0.6694
LINCSCP_121191	amisulpride	0.6637
LINCSCP_2159	SPOX1_000651	0.6595
LINCSCP_174090	Tacalcitol	0.6533
LINCSCP_2270	BRD-A59145032	0.6478
LINCSCP_120585	Andarine	0.6436
LINCSCP_138542	TAK-700 (Orteronel)	0.6431
LINCSCP_104990	Trimethoprim	0.6426
LINCSCP_169633	YM 976	0.6406
LINCSCP_149250	Dabrafenib	0.6384
LINCSCP_311688	BRD-K27431449	0.6369
LINCSCP_65497	BRD-K60751982	0.6335
LINCSCP_137512	Felodipine	0.6251
LINCSCP_171148	Paricalcitol	0.6249
LINCSCP_121894	Colchicine	0.6246
LINCSCP_139017	KW-2478	0.6214
LINCSCP_105057	citiolone	0.6213
LINCSCP_121452	Bemegride	0.6208
LINCSCP_121969	DROSPIRENONE	0.6193
LINCSCP_53081	362-74-3	0.6184
LINCSCP_58786	HG-5-88-01	0.6164
LINCSCP_138646	Amoxapine	0.6135
LINCSCP_169242	Seocalcitol	0.6129
LINCSCP_91603	Camostat Mesilate	0.6111
LINCSCP_83159	Rebastinib	0.611
LINCSCP_105189	Anamorelin	0.6078
LINCSCP_45667	Lovastatin	0.6056
LINCSCP_50914	AG 14361	0.6052
LINCSCP_173550	Maxacalcitol-D6	0.6052
LINCSCP_121290	Pentamidine	0.6024
LINCSCP_148453	1166227-08-2	0.6014
LINCSCP_138434	BRD-A32440707	0.5991
LINCSCP_173700	Ercalcitriol	0.596
LINCSCP_60476	CHEMBL3181907	0.5926
LINCSCP_104322	Rolipram	0.5924
LINCSCP_56270	Fluprostenol	0.5917
LINCSCP_239959	331771-20-1	0.5916
LINCSCP_18131	SCH-58261	0.5916
LINCSCP_41557	CHEMBL569102	0.5892
LINCSCP_136318	SPECTRUM_001048	0.5881
LINCSCP_133877	Resveratrol	0.588
LINCSCP_139033	Apilimod	0.5855
LINCSCP_82987	CHEMBL552425	0.5846
LINCSCP_55807	Dinoprostone	0.5838
LINCSCP_41601	GW-4064	0.5837
LINCSCP_307594	BRD-K77774562	0.583
LINCSCP_250904	LY-294002	0.5807
LINCSCP_64601	Trifluoperazine	0.5806
LINCSCP_56918	Pevonedistat	0.5798
LINCSCP_108744	Phorbol Myristate Acetate	0.5785
LINCSCP_2246	CVF-SUMO-13	0.5784
LINCSCP_165714	Ricolinostat	0.5772
LINCSCP_273458	BRD-K95391106-001-01-5	0.577
LINCSCP_166495	Calcitriol	0.5758
LINCSCP_22337	AC1MVW5E	0.5753
LINCSCP_160263	Pitavastatin Calcium	0.5745
LINCSCP_136455	Castanospermine	0.5735
LINCSCP_6791	SCHEMBL14177979	0.5731
LINCSCP_105235	Acarbose	0.573
LINCSCP_63633	BRD-K78483792	0.5729
LINCSCP_122441	(E)-5-((4-((2-Carboxyethyl)carbamoyl)phenyl)diazenyl)-2-hydroxybenzoic acid	0.5727
LINCSCP_780	Ursolic acid	0.5722
LINCSCP_104269	Eugenol	0.5714
LINCSCP_70526	301836-43-1	0.5701
LINCSCP_13035	STK369842	0.5683
LINCSCP_12693	QS-11	0.5682
LINCSCP_138326	CPI-613	0.568
LINCSCP_163262	SCHEMBL570779	0.5648
LINCSCP_139580	UNII-CVL1685GPH	0.5621
LINCSCP_141347	Pimavanserin	0.561
LINCSCP_51020	PKC Beta Inhibitor	0.5601
LINCSCP_62734	BRD-K51360326	0.5599
LINCSCP_12999	MLS000038106	0.5593
LINCSCP_31889	BAS 00535043	0.559
LINCSCP_12920	Arachidonyl Trifluoromethylketone	0.5586
LINCSCP_63640	BRD-K83390709	0.5578
