signatureid	compound	similarity
LINCSCP_5704	(R,S)-Indatraline	0.5271
LINCSCP_57838	SCHEMBL2557158	0.5247
LINCSCP_21235	PD-98059	0.5218
LINCSCP_9373	SMR000075319	0.5137
LINCSCP_1400	MLS002264476	0.5084
LINCSCP_7302	H89	0.4996
LINCSCP_133710	1268524-70-4	0.4952
LINCSCP_58215	Nitazoxanide	0.4951
LINCSCP_190095	Trifluoperazine	0.4691
LINCSCP_7289	NCGC00025073-01	0.4688
LINCSCP_7305	Zuclomiphene	0.4687
LINCSCP_21240	SMR000651449	0.4683
LINCSCP_133829	I-BET151	0.4584
LINCSCP_34747	ST057710	0.4507
LINCSCP_58930	WZ 3146	0.4503
LINCSCP_7019	CHEMBL299879	0.4493
LINCSCP_190078	Sertraline	0.4439
LINCSCP_58007	Doxapram	0.4393
LINCSCP_7328	T 98475	0.4357
LINCSCP_59609	JL-7-128	0.4309
LINCSCP_6918	PHA-665752	0.4286
LINCSCP_132995	Palbociclib	0.4254
LINCSCP_39426	Canertinib	0.4253
LINCSCP_4885	SMR000043984	0.4245
LINCSCP_205695	TW 37	0.424
LINCSCP_58255	Exemestane	0.4232
LINCSCP_39421	CHEMBL2136735	0.4227
LINCSCP_58189	Cerivastatin	0.4223
LINCSCP_100629	Pracinostat	0.4194
LINCSCP_56718	Norethindrone Acetate	0.4188
LINCSCP_7268	Amoxapine	0.4179
LINCSCP_110701	Thiothixene	0.4172
LINCSCP_167198	Methixene	0.416
LINCSCP_6223	PCL2_000057	0.4156
LINCSCP_4568	CAY-10594	0.4115
LINCSCP_58721	HMS1476K01	0.4092
LINCSCP_56741	AC1NSZSY	0.4073
LINCSCP_55860	Norethindrone	0.4053
LINCSCP_133125	Radicicol	0.4052
LINCSCP_65231	BRD-K16257790	0.4026
LINCSCP_58911	MLS003179190	0.4024
LINCSCP_7314	Rescinnamine	0.4015
LINCSCP_58795	ITK Inhibitor	0.4008
LINCSCP_6831	Perphenazine	0.3971
LINCSCP_6517	Bosutinib	0.3959
LINCSCP_58247	Megestrol Acetate	0.3949
LINCSCP_312499	BRD-K64615396	0.3939
LINCSCP_155516	Fingolimod (FTY720) HCl	0.3928
LINCSCP_31202	SR-03000001971	0.3925
LINCSCP_7279	GR-127935	0.3924
LINCSCP_141356	ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE	0.3909
LINCSCP_58275	Progesterone	0.3907
LINCSCP_129682	BMS-509744	0.3888
LINCSCP_56266	SC-514	0.3872
LINCSCP_57876	ST4110747	0.3859
LINCSCP_9075	BRD-K74461819	0.3854
LINCSCP_59500	Raloxifene	0.3853
LINCSCP_111109	Deferasirox	0.3851
LINCSCP_56813	Rottlerin	0.3837
LINCSCP_8932	SA-1921085	0.3834
LINCSCP_31397	KUC103853	0.3832
LINCSCP_20963	Broad-Sai-045	0.3829
LINCSCP_117323	Ricolinostat	0.3828
LINCSCP_108815	Falnidamol	0.3827
LINCSCP_201107	Thioridazine	0.3826
