signatureid	compound	similarity
LINCSCP_295319	Lopinavir	0.7039
LINCSCP_64793	BRD-K67236726	0.4849
LINCSCP_54715	Brefeldin A	0.4632
LINCSCP_286481	BRD-A81936046	0.4542
LINCSCP_57326	7-Bromo-1,2,3,9-tetrahydropyrrolo[2,1-b]quinazoline	0.4454
LINCSCP_81141	LDN 193189	0.4416
LINCSCP_59055	PU-H-71	0.4377
LINCSCP_40204	Isoliquiritigenin	0.4355
LINCSCP_58098	Oligomycin C	0.422
LINCSCP_68295	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	0.422
LINCSCP_55636	Cyclosporine	0.4082
LINCSCP_128473	SCHEMBL17378613	0.406
LINCSCP_102653	Pelitinib	0.4039
LINCSCP_190553	ST50840204	0.4019
LINCSCP_59191	BRD-K27151060	0.4007
LINCSCP_65944	BRD-K26119753	0.3984
LINCSCP_12971	Pevonedistat	0.3973
LINCSCP_58967	Pilaralisib	0.3961
LINCSCP_59528	NCGC00170421-01	0.3952
LINCSCP_101765	ARTESUNATE	0.3931
LINCSCP_29150	CAY-10594	0.3926
LINCSCP_25762	NVP-AUY922	0.3905
LINCSCP_4708	SMP2_000081	0.3879
LINCSCP_109623	testosterone	0.3844
LINCSCP_55918	GW441756X	0.384
LINCSCP_25119	Triacsin C	0.3834
LINCSCP_56384	Cyclosporin A	0.3819
LINCSCP_29770	Vemurafenib	0.3818
LINCSCP_131397	noscapine	0.3803
LINCSCP_272062	E-Doxepin	0.38
LINCSCP_50785	AGK 2	0.379
LINCSCP_238428	CHEMBL1593913	0.3789
LINCSCP_79845	Dequalinium	0.3773
LINCSCP_5947	BRD-K33676730	0.3758
LINCSCP_61468	BRD-K51556413	0.3757
LINCSCP_29820	Neratinib	0.3756
LINCSCP_64724	BRD-K95521279	0.3753
LINCSCP_101669	Chloroxine	0.3744
LINCSCP_59051	ZINC101150009	0.3736
LINCSCP_44822	Erastin	0.3731
LINCSCP_59422	Flecainide	0.3716
LINCSCP_311688	BRD-K27431449	0.3698
LINCSCP_58397	MLS000534605	0.3695
LINCSCP_25771	TPCA-1	0.3692
LINCSCP_13509	ST021200	0.369
LINCSCP_59519	AC1LEPRU	0.3675
LINCSCP_152414	CHIR-265	0.3675
LINCSCP_112341	ABT737	0.3662
LINCSCP_256770	SJ 172550	0.3656
LINCSCP_47284	Doxycycline	0.3652
LINCSCP_31968	BRD4770	0.3644
LINCSCP_206837	16,16-Dimethyl prostaglandin e2	0.3637
LINCSCP_260919	SA-1939936	0.3593
LINCSCP_82224	Azacitidine	0.3573
LINCSCP_61640	BRD-K69692345	0.3556
LINCSCP_61612	BRD-K49111930	0.3534
LINCSCP_59351	BRD-K46692335	0.3533
LINCSCP_170992	LGX818	0.3532
LINCSCP_29841	HG6-64-1	0.3528
LINCSCP_33579	Penitrem A	0.352
LINCSCP_56867	DG-041	0.3499
LINCSCP_56067	PD-198306	0.3499
LINCSCP_25601	ZM336372	0.3495
LINCSCP_64787	BRD-K61431779	0.3492
LINCSCP_61599	BRD-K39597586	0.3489
LINCSCP_55702	PD-407824	0.3488
LINCSCP_17914	(Z,E)-3-(imidazol-4-Ylmethylene)indolin-2-one	0.3484
LINCSCP_55245	179324-69-7	0.3482
LINCSCP_206665	Rita	0.348
LINCSCP_57761	CHEMBL1511856	0.3479
LINCSCP_88220	AS-605240	0.3478
LINCSCP_58563	BRD-K19166598	0.3471
LINCSCP_33834	BRD-K24214483	0.3457
LINCSCP_160530	Zosuquidar	0.3457
LINCSCP_65095	BRD-K43498025	0.3446
LINCSCP_31385	SCHEMBL2559280	0.3445
LINCSCP_25558	UK 356618	0.3436
LINCSCP_70373	Rabusertib	0.3427
LINCSCP_65576	MLS002474238	0.3421
LINCSCP_31373	MLS002264447	0.342
LINCSCP_82532	Ponatinib	0.3417
LINCSCP_57166	KO143	0.3411
LINCSCP_58139	Loteprednol Etabonate	0.3406
LINCSCP_46523	SCHEMBL6463149	0.3402
LINCSCP_237981	MLS002264471	0.3398
LINCSCP_71397	Clotrimazole	0.3393
LINCSCP_111014	Asenapine maleate	0.3388
LINCSCP_26692	MLS006011051	0.3382
LINCSCP_572	MLS000564806	0.3379
LINCSCP_474	GSK-3 Inhibitor II	0.3374
LINCSCP_65101	BRD-K48475203	0.3372
LINCSCP_101609	Regorafenib	0.3369
LINCSCP_57101	CHEMBL1434137	0.3365
LINCSCP_53620	32703-82-5	0.3365
LINCSCP_593	AC1NS4S0	0.3361
LINCSCP_18053	NSC653260	0.336
LINCSCP_44564	Triclosan	0.3359
LINCSCP_59047	SCHEMBL16196749	0.3356
LINCSCP_57737	CID 46937236	0.3353
LINCSCP_31399	MLS000862515	0.3333
LINCSCP_164638	GSK-J1	0.3325
LINCSCP_4770	Capsaicin	0.3322
LINCSCP_53894	CHEMBL3186197	0.3318
LINCSCP_108999	Elesclomol	0.3306
LINCSCP_249	AC1MD3YP	0.3304
LINCSCP_64547	SCHEMBL16226068	0.3302
LINCSCP_287400	Nifedipine	0.3294
LINCSCP_58106	Saquinavir	0.3294
LINCSCP_59141	EI-346-ERLOTINIB-ANALOG	0.3292
LINCSCP_507	171179-06-9	0.3283
LINCSCP_14442	Dextromethorphan	0.3279
LINCSCP_176014	Bexarotene	0.3276
LINCSCP_310094	BRD-A72596465	0.3276
LINCSCP_32251	PK04_098272	0.3275
LINCSCP_57749	MLS002264403	0.3263
LINCSCP_65741	BRD-K97863769	0.3256
LINCSCP_55703	FK888	0.3243
LINCSCP_296118	IC-87114	0.3243
LINCSCP_144543	Dihydroergocristine	0.3241
LINCSCP_262186	Amantadine	0.324
LINCSCP_16238	PCL2_000472	0.3237
LINCSCP_127400	Indapamide	0.3225
LINCSCP_65055	Oligomycin-A	0.3222
LINCSCP_60391	BRD-K53861829	0.322
LINCSCP_143888	2-(Ethylmercuriothio)benzoic acid	0.322
LINCSCP_58183	Nelfinavir	0.3218
LINCSCP_49639	SCHEMBL12410954	0.3215
LINCSCP_58188	88495-63-0	0.3214
LINCSCP_101591	Butoconazole	0.321
LINCSCP_7116	Mianserin	0.647
LINCSCP_89812	Sotrastaurin	0.6188
LINCSCP_70698	ZINC77024257	0.6036
LINCSCP_295960	C37H48N6O5S2	0.5995
LINCSCP_71480	THIOCTIC ACID	0.5966
