Name_GeneSymbol	Value_LogDiffExp
ABCF1	-0.8955
ABHD6	-0.9529
ADAM10	-0.9495
ALAS1	-2.0904
ALDH7A1	-1.1703
APBB2	-0.964
ARNT2	-2.0631
ATP6V1D	-1.2931
AURKB	-1.1065
BMP4	-1.0992
BNIP3L	-1.2694
BUB1B	-1.1662
CAMSAP2	-1.4566
CASP10	-0.8901
CASP3	-2.578
CAST	-1.8242
CCNA1	-1.5232
CCP110	-1.0699
CDC45	-0.9216
CDH3	-1.0627
CDK19	-1.4009
CEBPD	-1.5255
CEP57	-1.9422
CERK	-1.1491
CHMP4A	-1.0755
CORO1A	-1.3717
CREB1	-2.7096
CRYZ	-1.064
CTNND1	-1.1207
CTSD	-0.8568
DCUN1D4	-1.0699
DFFA	-1.413
DLD	-2.251
DNMT3A	-1.2806
DUSP22	-1.0777
E2F2	-0.8909
EDN1	-1.0534
EGF	-0.8848
EIF5	-2.9768
ETS1	-1.0925
ETV1	-0.9536
EXT1	-0.8849
FAM69A	-1.19
FBXL12	-0.8795
FBXO11	-0.9201
FGFR4	-0.8669
FRS2	-0.9511
FZD1	-1.209
GLI2	-1.2428
GNA15	-0.993
GPC1	-0.8982
GSTM2	-1.1929
GTF2E2	-1.0614
HDGFRP3	-1.1893
HEBP1	-1.0472
HERPUD1	-0.9923
HIF1A	-2.0446
HIST2H2BE	-1.0059
HOXA5	-1.3976
HSD17B11	-1.041
HSPA8	-0.9999
HTRA1	-1.3191
IFNAR1	-1.1943
IL1B	-1.5154
IL4R	-0.8634
ISOC1	-1.1456
ITFG1	-1.6358
KCNK1	-1.1874
KDM3A	-0.8736
KIAA0196	-1.2172
KIT	-0.9759
MLLT11	-0.9572
MMP2	-1.2448
MTFR1	-2.4391
MVP	-0.8584
MYL9	-1.0696
NFATC3	-1.1763
NFKB2	-1.3525
NFKBIE	-1.2039
NIT1	-0.9119
NOL3	-1.4356
NOTCH1	-1.2733
NR2F6	-1.5393
NRAS	-1.0646
NUSAP1	-0.8917
PAFAH1B1	-1.1866
PAPD7	-1.0463
PIK3C2B	-0.9087
PIK3CA	-1.0929
PLA2G4A	-1.1254
PLEKHJ1	-1.0096
PLEKHM1	-0.9835
PLP2	-1.1391
PMAIP1	-1.5838
PMM2	-1.8813
PPOX	-1.9012
PPP1R13B	-0.8512
PRKACA	-1.1726
PSMF1	-0.8966
PSRC1	-1.1131
PTPN1	-0.8817
PTPRK	-1.2281
RAB21	-0.9923
RAB27A	-0.9557
RALA	-1.0433
RALGDS	-0.9344
RSU1	-1.6038
RTN2	-1.2098
SCRN1	-1.0957
SENP6	-0.9319
SHB	-1.2514
SMC1A	-1.515
SMC3	-1.0843
SNX7	-1.3508
SOCS2	-1.2817
SOX2	-1.0722
SPAG7	-1.7619
SSBP2	-0.9243
STX4	-0.9289
SUPV3L1	-1.2725
SUZ12	-2.0174
TCEA2	-0.9628
TCEAL4	-0.8524
TES	-1.4041
TFAP2A	-1.2622
TGFB3	-1.5902
TICAM1	-1.046
TIMM9	-1.0366
TIMP2	-1.119
TIPARP	-1.103
TMED10	-1.3445
TNFRSF21	-1.2061
TOMM70A	-2.2407
TRIM13	-1.1286
TUBB6	-1.1766
UBE3B	-1.5049
UBE3C	-0.8596
ZFP36	-1.0025
