Name_GeneSymbol	Value_LogDiffExp
AARS	0.3618
ABCB6	0.4561
ABCC5	1.2081
ABHD4	2.5464
ABHD6	0.1457
ABL1	0.6968
ACAA1	1.3892
ACAT2	1.2321
ACD	0.3416
ACLY	2.5352
ACOT9	0.4754
ADAM10	0.3941
ADCK3	0.4221
ADGRE5	0.8786
ADH5	0.5166
ADO	0.4548
ADRB2	0.8187
AKAP8	0.3288
AKAP8L	0.6051
AKT1	0.2683
ALAS1	0.4844
ALDOA	0.2956
ALDOC	2.8541
AMDHD2	0.6505
ANKRD10	0.23
ANO10	0.7319
APBB2	0.2073
APOE	0.2482
ARFIP2	0.7688
ARHGEF12	0.3937
ARID4B	0.2822
ARL4C	0.2017
ATF5	1.4465
ATG3	0.4053
ATP1B1	0.8674
ATP2C1	0.6882
ATP6V0B	0.3881
AURKA	0.4799
B4GAT1	0.7056
BCL7B	0.1845
BHLHE40	1.1849
BIRC2	0.683
BIRC5	0.58
BLCAP	0.2606
BLMH	0.4077
BLVRA	0.0138
BMP4	0.195
BTK	1.3799
BZW2	0.2062
C2CD2	0.9225
C2CD2L	0.5506
C2CD5	0.743
CAB39	1.2491
CALU	0.6772
CASC3	0.4115
CASP10	0.0952
CASP2	0.2169
CASP3	0.02
CASP7	0.7007
CAT	0.1314
CBR1	0.5581
CBR3	0.0015
CCDC85B	0.2016
CCDC86	1.0517
CCDC92	0.5865
CCL2	0.2965
CCNA1	0.1765
CCNA2	0.0416
CCND1	0.9826
CCND3	0.4547
CCNF	0.307
CCP110	0.0987
CD320	0.0468
CDC20	0.4557
CDC25A	0.5347
CDC25B	0.717
CDC42	0.3629
CDCA4	0.5856
CDK5R1	0.5066
CDK6	1.5021
CDKN1A	0.5526
CEBPA	0.2846
CEBPD	0.8871
CEBPZ	0.617
CENPE	0.1748
CGRRF1	0.221
CHEK1	0.55
CHERP	0.733
CHMP6	1.9871
CHP1	0.4669
CIAPIN1	0.1435
CIRBP	1.8871
CLIC4	0.3848
CLSTN1	0.1885
CLTB	0.496
CNDP2	0.1076
CNOT4	0.9067
COASY	0.2875
COL1A1	0.1931
COPB2	0.2263
COPS7A	0.9042
CREG1	0.0318
CSK	0.2299
CSNK1A1	0.2405
CTNNAL1	0.7258
CTSD	0.9419
CTSL	0.1927
CXCL2	1.09
CXCR4	0.2182
DAG1	1.1095
DAXX	0.1833
DCK	0.1002
DCTD	0.9325
DDR1	0.4789
DHDDS	2.8836
DHX29	0.0148
DNAJA3	0.0361
DNAJB1	0.2976
DNAJB2	0.3804
DNAJB6	0.7518
DNM1	0.1478
DNTTIP2	0.203
DPH2	0.4536
DRAP1	0.4376
DUSP11	0.4657
DUSP14	0.3324
DUSP22	1.0324
DUSP3	0.5416
EAPP	0.1155
EBP	2.7105
ECD	0.1796
ECH1	1.0024
EDEM1	0.5062
EDN1	0.2212
EGR1	0.0835
EIF4EBP1	0.0431
EIF4G1	0.1116
EIF5	0.2813
ELAC2	0.2286
ELAVL1	0.0371
ELOVL6	2.8545
EML3	1.3215
ENOPH1	0.2727
ENOSF1	0.1867
EPB41L2	0.7153
EPHA3	0.7406
EPHB2	0.4663
EPN2	0.4885
EPRS	0.0586
ERO1L	0.4093
EVL	1.0751
EXT1	0.2854
EZH2	0.1655
FAIM	0.4909
FAM20B	0.4764
FAM57A	0.8723
FAM63A	0.8989
FAS	0.3906
FBXO7	0.4316
FCHO1	0.114
FDFT1	3.1029
FEZ2	0.5774
FGFR4	1.5569
FHL2	0.5279
FIS1	0.2751
FOS	0.2726
FOXO3	0.3001
FRS2	0.2798
FSD1	1.0662
FYN	0.0528
GADD45B	0.6225
GALE	0.0799
GAPDH	0
GATA2	0.4478
GDPD5	0.1523
GFPT1	0.1569
GLOD4	0.9062
GLRX	1.6805
GNA11	1.337
GNA15	0.0408
GNAI2	0.6463
GNAS	1.2014
GNB5	0.7498
GNPDA1	0.017
GPATCH8	0.4828
GPC1	0.4294
GPER1	0.7436
GRB10	0.1335
GRN	0.5876
GRWD1	0.4679
GSTM2	0.2838
GTF2A2	0.1971
HDAC2	0.5008
HEATR1	0.2162
HERPUD1	1.0391
HIF1A	0.5311
HIST1H2BK	0.4347
HK1	0.3039
HLA-DRA	0.2634
HMG20B	0.2907
HMGCR	2.0541
HMGCS1	1.8137
HN1L	1.225
HOMER2	0.6466
HOOK2	0.6922
HOXA5	0.1788
HS2ST1	0.2807
HSD17B10	0.8716
HSPA1A	0.502
HSPA8	0.2328
HSPB1	0.3859
HTATSF1	0.591
HYOU1	0.3845
ICMT	1.1865
ID2	1.4605
IFRD2	0.1337
IGF1R	1.1593
IGF2R	0.1016
IGFBP3	0.6828
IGHMBP2	1.2763
INPP1	0.1076
INPP4B	0.1338
INSIG1	1.2532
ITGAE	0.3167
ITGB1BP1	0.7691
ITGB5	0.069
JADE2	0.1344
JMJD6	0.5931
KAT6A	1.1044
KAT6B	0.4525
KCNK1	0.217
KCTD5	0.2414
KEAP1	0.4
KIAA0100	1.0545
KIF14	0.1652
KIF20A	0.453
KLHL21	0.686
KLHL9	0.0443
LAGE3	0.37
LAMA3	0.9042
LAP3	0.7003
LBR	0.4541
LGALS8	0.6983
LGMN	0.4296
LIG1	0.0474
LIPA	0.1937
LPGAT1	0.9873
LRP10	0.6515
LRPAP1	0.0768
LRRC16A	2.6161
LRRC41	1.1098
LSM5	0.8466
LYN	0.108
LYRM1	0.3886
MACF1	0.3165
MAN2B1	1.061
MAP2K5	0.7368
MAP3K4	0.139
MAP4K4	0.4226
MAPK13	0.7244
MAPK9	0.7482
MAPKAPK2	0.3464
MAPKAPK5	0.7017
MAST2	1.5757
MBNL1	1.0165
MCOLN1	0.5167
MCUR1	0.6759
MEF2C	0.0194
MELK	0.2296
METRN	0.7025
MICALL1	5.0858
MLEC	0.2324
MLLT11	1.0365
MMP2	0.6608
MPC2	0.7655
MRPS16	0.6144
MSH6	0.2735
MTERF3	0.3313
MUC1	0.0172
MYBL2	0.7795
MYC	0.3128
MYLK	0.4001
NCOA3	0.4055
NFATC3	0.7302
NFE2L2	0.4328
NFIL3	0.2543
NFKBIA	1.1691
NFKBIE	0.0766
NGRN	0.2744
NIPSNAP1	0.107
NIT1	0.0984
NMT1	0.2529
NOLC1	0.2434
NOSIP	0.6201
NPDC1	0.7527
NR2F6	0.4393
NR3C1	0.3782
NSDHL	1.4744
NUDT9	0.0685
NUP88	0.4272
ORC1	0.941
OXCT1	0.0139
P4HTM	0.1916
PAF1	0.086
PAFAH1B1	0.6294
PAFAH1B3	1.0619
PAK1	0.4381
PAK4	0.1992
PAN2	0.2282
PAPD7	0.1112
PARP2	0.3954
PCBD1	0.0503
PCCB	5e-4
PCM1	0.1418
PDGFA	0.3551
PDIA5	0.5219
PDLIM1	0.4445
PDS5A	1.0751
PEX11A	0.628
PFKL	0.6704
PGM1	0.5676
PGRMC1	0.8189
PHGDH	0.223
PIH1D1	0.2976
PIK3R3	0.462
PIK3R4	0.4867
PIP4K2B	0.2673
PKIG	0.0267
PLK1	1.0438
PLOD3	0.7669
PLS1	0.1556
PNKP	0.7789
PNP	0.6917
POLB	0.4795
POLE2	0.1109
POLG2	0.356
POLR2I	0.9069
POP4	0.2325
PPARG	0.2181
PPIC	0.5797
PPIE	0.591
PPP1R13B	0.4994
PPP2R5A	0.7903
PPP2R5E	0.3588
PRAF2	1.0412
PRCP	0.3489
PRKX	0.0811
PRSS23	0.0784
PSMB10	1.3057
PSMB8	0.3947
PSMD2	0.7898
PSMD9	0.2339
PSME1	0.6968
PSRC1	0.4034
PTGS2	0.1571
PTPN12	0.4195
PUF60	0.6354
PWP1	0.1807
PXMP2	0.5605
PYCR1	0.891
RAB11FIP2	0.2798
RAB31	0.4464
RAB4A	1.3386
RAD51C	0.3142
RAD9A	0.2688
RAE1	0.6487
RALB	0.0653
RALGDS	0.1641
RBM6	1.0886
RELB	0.2634
RFC2	0.1594
RFC5	0.0083
RFX5	0.7511
RHEB	0.0134
RHOA	0.6418
RNF167	0.1446
RNPS1	0.0177
RPL39L	0.3887
RPN1	0.8584
RRP1B	0.3403
RTN2	0.293
SCAND1	0.7035
SCARB1	1.5743
SCCPDH	0.4517
SCRN1	0.264
SCYL3	0.1259
SDHB	0.5595
SGCB	0.5123
SIRT3	0.0728
SKIV2L	0.1054
SKP1	2.2849
SLC25A13	0.4876
SLC25A14	0.535
SLC25A46	0.0319
SLC2A6	1.7479
SLC35A1	1.4164
SLC35A3	0.5098
SLC35B1	0.6844
SLC35F2	0.7198
SLC5A6	0.7986
SMARCD2	1.3271
SMC4	0.07
SNCA	0.4847
SNX11	0.7006
SNX6	0.4183
SOX2	0.2557
SOX4	0.0106
SPAG4	0.2582
SPDEF	0.1323
SPEN	0.5533
SPP1	0.0747
SPTAN1	0.7061
SQSTM1	0.3104
SRC	0.9076
ST7	1.0681
STAMBP	0.5722
STAP2	0.963
STK25	0.5762
STMN1	0.1455
STUB1	0.3234
STX1A	0.4708
STXBP1	1.1077
SUPV3L1	0.6327
SUV39H1	0.3708
SYNE2	0.1548
SYPL1	0.4492
TATDN2	0.0059
TBP	0.3599
TBPL1	0.6159
TBX2	0.094
TBXA2R	0.9173
TCEAL4	0.2346
TCERG1	0.2095
TCFL5	0.0691
TCTA	0.6153
TCTN1	1.5004
TERF2IP	0.1635
TEX10	0.2276
TGFB3	0.6339
TGFBR2	0.3216
TIMELESS	0.7299
TIMM17B	0.4177
TIMM22	0.9408
TIMM9	0.3995
TIPARP	0.7226
TLE1	0.0767
TLK2	0.0343
TLR4	0.0574
TM9SF2	0.3057
TM9SF3	1.5505
TMCO1	1.0464
TMED10	0.6939
TMEM109	0.8228
TMEM110	0.0853
TMEM2	0.6098
TMEM5	0.8583
TMEM97	1.1529
TOMM34	0.5082
TPM1	1.0252
TRAK2	0.225
TRAM2	0.6466
TRAPPC3	0.7693
TRAPPC6A	0.9025
TRIB3	0.2554
TRIM2	0.2093
TSEN2	1.3833
TSKU	0.2816
TSPAN3	0.4526
TSPAN4	0.1045
TSTA3	0.2448
TWF2	0.8613
TXLNA	0.0117
TXNL4B	0.4397
UBE2J1	0.2007
USP6NL	0.121
USP7	0.1646
VAPB	0.9668
VAT1	0.6991
VAV3	0.572
VGLL4	0.5402
VPS28	2.3601
VPS72	0.1086
WASF3	0.6117
WDR61	0.4397
WDTC1	1.0308
WFS1	0.1838
WIPF2	0.1179
WRB	0.1756
XBP1	0.1882
XPNPEP1	0.9497
XPO7	1.7936
YTHDF1	1.3511
ZMYM2	0.3034
ZNF451	0.8765
ZNF586	0.2895
ZNF589	0.3388
