similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	179	Azithromycin	LSM-5821	NA	10uM	6h	LINCSCP_57905	VCAP
0.5507	1.3801e-15	179	SPECTRUM_001020	LSM-1961	NA	10uM	24h	LINCSCP_270	A375
0.5296	2.4856000000000002e-14	179	CP466722	LSM-1009	ATM	1uM	6h	LINCSCP_51576	SKBR3
0.5222	6.5662e-14	179	BRD-K84528570	LSM-14957	NA	10uM	24h	LINCSCP_259098	NEU
0.5123	2.2956e-13	179	Amidate	LSM-1640	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	10uM	6h	LINCSCP_20702	HCC515
0.5118	2.4363e-13	179	MLS002264496	LSM-3730	NA	10uM	6h	LINCSCP_292651	VCAP
0.5058	5.1517e-13	179	Clemastine	LSM-2655	HRH1	10uM	6h	LINCSCP_116	A375
0.4986	1.2196e-12	179	KSC-16-144	LSM-3279	NA	10uM	6h	LINCSCP_57680	VCAP
0.4983	1.2608e-12	179	AC1LWZG4	LSM-2387	NA	10uM	6h	LINCSCP_53205	SKM1
0.4919	2.7029e-12	179	Diazoxide	LSM-3639	KCNJ11	0.12uM	24h	LINCSCP_142773	MCF7
0.4911	2.9502e-12	179	MLS-0437151.0001	LSM-4035	NA	10uM	24h	LINCSCP_189042	A549
0.4748	1.8904e-11	179	JZL-184	LSM-6246	NA	10uM	6h	LINCSCP_40211	NCIH508
0.4705	3.0272e-11	179	BRD-K40963620	LSM-39532	NA	5uM	24h	LINCSCP_198995	A549
0.4695	3.3602e-11	179	RS-23597-190	LSM-6204	HTR4	100uM	6h	LINCSCP_40295	NCIH596
0.4691	3.4966e-11	179	AKT Inhibitor VIII	LSM-1035	AKT1|AKT2	0.12uM	24h	LINCSCP_162810	SKBR3
0.4648	5.5939e-11	179	BRD-K48724570	LSM-11398	NA	10uM	24h	LINCSCP_9047	A549
0.4633	6.557e-11	179	Proadifen	LSM-3023	NOS1	10uM	6h	LINCSCP_127	A375
0.4627	6.9799e-11	179	TH02453-036-P1	LSM-6273	NA	10uM	6h	LINCSCP_40395	NCIH596
0.4612	8.2114e-11	179	Dexfenfluramine	LSM-5685	SLC6A4	0.37uM	24h	LINCSCP_139719	MCF7
0.4594	9.9352e-11	179	BRD-K91250867	LSM-42243	NA	10uM	6h	LINCSCP_279196	PC3
0.4584	1.0994e-10	179	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	0.5uM	24h	LINCSCP_66482	A375
0.4574	1.2251e-10	179	Enzalutamide	LSM-6254	AR	0.1uM	6h	LINCSCP_40361	NCIH596
0.4569	1.2908e-10	179	Tyrphostin 1	LSM-2933	NA	3.33uM	24h	LINCSCP_110768	HELA
0.4566	1.3223e-10	179	Tazarotene	LSM-45376	RARA|RARB|RARG	3.33uM	24h	LINCSCP_109576	HELA
0.4542	1.7037e-10	179	Mebeverine	LSM-1296	CHRM1	10uM	6h	LINCSCP_59	A375
0.4538	1.7696e-10	179	BRD-K85208848	LSM-13638	NA	5uM	24h	LINCSCP_27612	HT29
0.4517	2.2066e-10	179	salsoline	LSM-45527	NA	3.33uM	24h	LINCSCP_79858	A375
0.4514	2.2707e-10	179	SUGA2_000361	LSM-36746	NA	10uM	6h	LINCSCP_20169	HCC515
0.4513	2.3048e-10	179	Sulfinpyrazone	LSM-1491	ABCC1|SLC22A12	10uM	24h	LINCSCP_189	A375
0.4501	2.6058e-10	179	BRD-K54022924	LSM-11716	NA	5uM	24h	LINCSCP_64006	VCAP
0.4492	2.8426e-10	179	BRD-K61045941	LSM-12122	NA	5uM	6h	LINCSCP_306616	VCAP
0.4477	3.3232e-10	179	Mebendazole	LSM-3749	NA	0.12uM	24h	LINCSCP_139714	MCF7
0.4463	3.8199e-10	179	CHEMBL2132289	LSM-1044	RPS6KA3	1.11uM	24h	LINCSCP_152235	PC3
0.4458	4.0069e-10	179	Iproniazid	LSM-5940	NA	10uM	24h	LINCSCP_243568	MCF7
0.4438	4.8997e-10	179	Tosedostat	LSM-6286	ANPEP|C9orf3|DNPEP|ENPEP|ERAP1|ERAP2|LAP3|LNPEP|LVRN|METAP1|METAP1D|METAP2|NPEPL1|NPEPPS|RNPEP|RNPEPL1|XPNPEP1|XPNPEP2|XPNPEP3	80uM	6h	LINCSCP_39991	NCIH1836
0.4399	7.1964e-10	179	Propofol	LSM-3847	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	10uM	6h	LINCSCP_48044	PC3
0.4369	9.6567e-10	179	BRD-K26631510	LSM-10045	NA	5uM	24h	LINCSCP_48237	PC3
0.4356	1.1039e-9	179	BRD-K64380185	LSM-12356	NA	5uM	6h	LINCSCP_62397	VCAP
0.4347	1.2018e-9	179	Nemonapride	LSM-45497	NA	0.37uM	24h	LINCSCP_108314	HELA
0.4324	1.4932e-9	179	BRD-K45230579	LSM-11181	NA	5uM	6h	LINCSCP_307040	VCAP
0.4324	1.5056e-9	179	BRD-K86728331	LSM-13741	NA	5uM	24h	LINCSCP_34989	MCF7
0.4321	1.5388e-9	179	BRD-K34502913	LSM-10512	NA	5uM	6h	LINCSCP_306537	VCAP
0.43120000000000003	1.6907e-9	179	BRD-K08829932	LSM-2177	NA	10uM	6h	LINCSCP_292527	VCAP
