similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.6567	1.8463e-23	179	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_59081	VCAP
0.5525	1.0774e-15	179	IN1541	LSM-4460	PRKAA1	10uM	6h	LINCSCP_40161	NCIH508
0.5506	1.4013e-15	179	MLS002264438	LSM-1311	NA	10uM	6h	LINCSCP_31434	MCF7
0.545	3.0725e-15	179	SCHEMBL16226502	LSM-43056	HSP90AA1	0.01uM	6h	LINCSCP_9524	A549
0.5411	5.278e-15	179	Ruxolitinib	LSM-1139	JAK1|JAK2|TYK2	10uM	6h	LINCSCP_59080	VCAP
0.5384	7.6074e-15	179	MLS002264439	LSM-3154	NA	10uM	24h	LINCSCP_31172	MCF7
0.5213	7.3746e-14	179	AC1LWZG4	LSM-2387	NA	10uM	6h	LINCSCP_12968	EFO27
0.5147	1.6945e-13	179	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_286974	SNUC4
0.5103	2.9317e-13	179	SA-1458610	LSM-41115	NA	3uM	24h	LINCSCP_37258	MCF7
0.5067	4.5752e-13	179	PG 490	LSM-6185	NA	0.1uM	6h	LINCSCP_50883	RMGI
0.5035	6.7471e-13	179	BI-2536	LSM-1041	PLK1	0.5uM	6h	LINCSCP_38341	MCF7
0.4933	2.2763e-12	179	Chaetocin	LSM-6198	SUV39H1	0.1uM	6h	LINCSCP_39707	MDST8
0.4915	2.8296e-12	179	Fedratinib	LSM-1142	FLT3|JAK2	10uM	6h	LINCSCP_57074	VCAP
0.4904	3.1993e-12	179	MLS002264439	LSM-3154	NA	10uM	6h	LINCSCP_57675	VCAP
0.4895	3.5668e-12	179	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	1uM	6h	LINCSCP_311113	VCAP
0.4875	4.5042e-12	179	MLS002460474	LSM-3256	NA	10uM	24h	LINCSCP_4557	A549
0.4821	8.3017e-12	179	MLS002264433	LSM-2510	NA	10uM	6h	LINCSCP_57641	VCAP
0.481	9.408e-12	179	BRD-K67925802	LSM-40971	NA	10uM	6h	LINCSCP_279133	PC3
0.4778	1.3477e-11	179	Fedratinib	LSM-1142	FLT3|JAK2	10uM	6h	LINCSCP_37994	MCF7
0.4764	1.5685e-11	179	Trimethoprim	LSM-5246	NA	0.12uM	24h	LINCSCP_104990	HELA
0.4762	1.618e-11	179	MLS002264437	LSM-1962	NA	10uM	6h	LINCSCP_31446	MCF7
0.4753	1.778e-11	179	Temoporfin	LSM-45995	NA	0.04uM	24h	LINCSCP_91851	HA1E
0.4745	1.9354e-11	179	PP 2	LSM-4153	LCK|SRC	10uM	24h	LINCSCP_7355	A549
0.4737	2.1148e-11	179	MLS002264436	LSM-2216	NA	10uM	6h	LINCSCP_57625	VCAP
0.4728	2.3487e-11	179	LRRK2-IN-1	LSM-1086	LRRK2	3uM	6h	LINCSCP_37284	MCF7
0.4699	3.2222e-11	179	BRD-K19616315	LSM-9613	NA	5uM	24h	LINCSCP_62770	VCAP
0.4682	3.8728e-11	179	N-[4-(1-Benzoylpiperidin-4-yl)butyl]-3-pyridin-3-ylpropanamide	LSM-6279	NA	0.5uM	6h	LINCSCP_53843	SNUC4
0.4652	5.347e-11	179	ZM336372	LSM-6268	NA	100uM	6h	LINCSCP_53051	SKLU1
0.4641	6.0338e-11	179	Fedratinib	LSM-1142	FLT3|JAK2	3uM	6h	LINCSCP_37995	MCF7
0.4636	6.3522e-11	179	Dilazep	LSM-3068	SLC29A1	10uM	6h	LINCSCP_236440	MCF7
0.4628	6.9441e-11	179	LRRK2-IN-1	LSM-1086	LRRK2	20uM	6h	LINCSCP_37283	MCF7
0.4617	7.7624e-11	179	TPCA-1	LSM-1136	IKBKB	10uM	6h	LINCSCP_12956	EFO27
-0.4613	8.122e-11	179	NVP-AUY922	LSM-1162	HSP90AA1|HSP90AB1	10uM	6h	LINCSCP_21206	HCT116
0.4571	1.2547e-10	179	Rita	LSM-6201	MDM2	10uM	6h	LINCSCP_206665	EFO27
0.457	1.2705e-10	179	XMD 8-92	LSM-1094	MAPK7	10uM	6h	LINCSCP_39589	MDAMB231
0.4568	1.2939e-10	179	Vanoxerine	LSM-2703	SLC6A3	10uM	24h	LINCSCP_193170	A549
0.4557	1.4606e-10	179	MLS-0315803.0001	LSM-3201	NA	10uM	24h	LINCSCP_31175	MCF7
0.4523	2.0646e-10	179	CHEMBL1673039	LSM-1093	LRRK2|MAPK7	10uM	24h	LINCSCP_32520	MCF7
0.4519	2.1464e-10	179	Morin	LSM-36988	NA	20uM	6h	LINCSCP_48102	PC3
