similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	499	Azithromycin	LSM-5821	NA	10uM	6h	LINCSCP_57905	VCAP
0.5615	8.354e-43	499	Lamivudine	LSM-5215	NA	10uM	6h	LINCSCP_292994	VCAP
0.5613	9.2085e-43	499	BRD-A81936046	LSM-4484	NA	10uM	6h	LINCSCP_286481	SNGM
0.5344	3.3448e-38	499	362-74-3	LSM-1265	PRKACA	10uM	6h	LINCSCP_10285	A673
0.4896	1.93e-31	499	Aminoglutethimide	LSM-1409	CYP11A1|CYP19A1	10uM	6h	LINCSCP_57846	VCAP
0.4852	7.9837e-31	499	AC1MSUFC	LSM-6191	HMGCR	40uM	6h	LINCSCP_21143	HCT116
0.4837	1.2834e-30	499	MLS002264496	LSM-3730	NA	10uM	6h	LINCSCP_292651	VCAP
0.4797	4.4122e-30	499	Lovastatin	LSM-2189	HMGCR	10uM	6h	LINCSCP_57866	VCAP
0.4782	7.1441e-30	499	KUC104488	LSM-3439	NA	10uM	6h	LINCSCP_57685	VCAP
0.4734	3.1249e-29	499	Erismodegib	LSM-4938	SMO	10uM	6h	LINCSCP_30769	MCF7
0.4721	4.6583e-29	499	Etodolac	LSM-1781	PTGS2	10uM	6h	LINCSCP_57845	VCAP
0.4661	2.8283e-28	499	MLS002699810	LSM-4058	NA	10uM	24h	LINCSCP_31215	MCF7
0.4655	3.3815e-28	499	MLS002607804	LSM-1875	NA	10uM	24h	LINCSCP_237784	MCF7
0.4637	5.7554e-28	499	FK 866	LSM-43216	NAMPT	0.1uM	6h	LINCSCP_287321	SNUC5
0.4627	7.6077e-28	499	MLS002264499	LSM-1853	NA	10uM	6h	LINCSCP_57609	VCAP
0.461	1.2734e-27	499	BRD-K47881779	LSM-11341	NA	5uM	24h	LINCSCP_301675	VCAP
0.457	4.0304e-27	499	KSC-16-144	LSM-3279	NA	10uM	6h	LINCSCP_57680	VCAP
0.457	4.0344e-27	499	Brefeldin A	LSM-42812	NA	0.1uM	6h	LINCSCP_54715	T3M10
0.4538	1.0099e-26	499	STK218951	LSM-4637	NA	10uM	24h	LINCSCP_46465	PC3
0.4522	1.6196e-26	499	PF-04217903	LSM-1166	MET	40uM	6h	LINCSCP_30848	MCF7
-0.4515	1.958e-26	499	BRD-K05174693	LSM-37543	NA	10uM	24h	LINCSCP_309974	VCAP
0.4486	4.5109e-26	499	IN1246	LSM-1790	MMP13|MMP2|MMP3	10uM	24h	LINCSCP_43978	PC3
0.4472	6.577e-26	499	IN1541	LSM-4460	PRKAA1	10uM	6h	LINCSCP_53871	SNUC5
0.4467	7.4851e-26	499	Methyl 1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate	LSM-4955	NA	10uM	6h	LINCSCP_16919	HA1E
0.4444	1.4328e-25	499	Dehydroepiandrosterone Acetate	LSM-4181	NA	10uM	6h	LINCSCP_13963	HA1E
0.4427	2.3341e-25	499	PF-04217903	LSM-1166	MET	40uM	6h	LINCSCP_25813	HT29
0.4418	2.9184e-25	499	MEGXM0_000032	LSM-4453	NA	10uM	6h	LINCSCP_32014	MCF7
0.4418	2.9405e-25	499	MLS002264397	LSM-1315	NA	10uM	6h	LINCSCP_57596	VCAP
-0.438	8.2431e-25	499	BRD-K05174693	LSM-37543	NA	30uM	24h	LINCSCP_309975	VCAP
0.4354	1.681e-24	499	BRD-K41927787	LSM-10975	NA	5uM	24h	LINCSCP_302596	VCAP
0.4353	1.7394e-24	499	BRD-K41087962	LSM-42690	NA	0.5uM	6h	LINCSCP_25761	HT29
0.4348	1.9841e-24	499	CHEMBL1593913	LSM-3929	NA	10uM	24h	LINCSCP_238428	MCF7
