signatureid	compound	similarity
LINCSCP_56520	Chloroquine	1
LINCSCP_56520	Chloroquine	1
LINCSCP_57414	2-(2,5-Dimethoxyphenylcarbamoyl)phenyl acetate	0.5235
LINCSCP_57356	MLS000729763	0.5007
LINCSCP_58075	Dexlansoprazole	0.4922
LINCSCP_55830	Milrinone	0.4774
LINCSCP_290834	Celecoxib	0.4754
LINCSCP_292101	221243-77-2	0.4731
LINCSCP_56558	Erythromycin Estolate	0.4675
LINCSCP_56537	Thiotepa	0.4645
LINCSCP_58214	CPD000469235	0.4625
LINCSCP_36337	SCHEMBL3092652	0.4486
LINCSCP_55802	2-Propenoic acid, 3-[4-(1H-imidazol-1-ylmethyl)phenyl]-, (z)-	0.4444
LINCSCP_32217	SEW05685	0.4415
LINCSCP_55858	DMP-543	0.4413
LINCSCP_57488	AC1MJZSK	0.4411
LINCSCP_56528	Pindolol	0.4402
LINCSCP_59425	Ofloxacin	0.4391
LINCSCP_56514	SPECTRUM_000090	0.4389
LINCSCP_293968	Amiloride	0.4382
LINCSCP_295532	BRD-K06592610	0.4366
LINCSCP_250370	Vorinostat	0.4356
LINCSCP_55763	Bucladesine	0.4342
LINCSCP_59431	BRD-A49848186	0.4339
LINCSCP_59266	CHEMBL1884008	0.4303
LINCSCP_58523	MEGXP0_001444	0.4296
LINCSCP_55759	SPECTRUM_000715	0.4294
LINCSCP_59053	2-Aminopurine	0.4262
LINCSCP_59297	Tubacin	0.4254
LINCSCP_58164	Nitrazepam	0.425
LINCSCP_56174	Pravastatin	0.4241
LINCSCP_56169	E-Doxepin	0.4232
LINCSCP_56502	Metolazone	0.4231
LINCSCP_57342	MLS002460463	0.4229
LINCSCP_11327	Ricinine	0.4218
LINCSCP_58185	Tomelukast	0.4214
LINCSCP_57420	3-Phenyl-1H-pyrazole-5-carboxylic acid	0.4194
LINCSCP_58081	Mirtazapine	0.4192
LINCSCP_296053	Ticrynafen	0.4182
LINCSCP_56876	AS-605240	0.4182
LINCSCP_58294	Melperone	0.4177
LINCSCP_28472	CHEMBL2152358	0.4172
LINCSCP_55735	2-Amino-5,6-dihydro-6-methyl-4H-1,3-thiazine	0.4172
LINCSCP_41630	BRD-K07125273	0.4151
LINCSCP_21157	QS-11	0.4149
LINCSCP_57434	Triazine Scaffold, 50	0.4148
LINCSCP_55803	N-(4-Hydroxyphenyl)icosa-5,8,11,14-tetraenamide	0.4148
LINCSCP_62371	BRD-K37255594	0.4141
LINCSCP_111357	TGX 221	0.4121
LINCSCP_59966	BRD-K38659247	0.412
LINCSCP_57466	2-Bromo-n-[3-(pentanoylamino)phenyl]benzamide	0.4117
LINCSCP_57364	SMR001318079	0.4114
LINCSCP_58077	Binospirone	0.4113
LINCSCP_250490	MLS002699429	0.4112
LINCSCP_56150	133040-77-4	0.4107
LINCSCP_243048	Pyrimethamine	0.4088
LINCSCP_63200	BRD-K97008061	0.4085
LINCSCP_63634	BRD-K79260617	0.4074
LINCSCP_59848	BRD-K18976419	0.4067
LINCSCP_59479	Dopamine	0.4067
LINCSCP_289435	Mibefradil	0.4067
LINCSCP_57693	MLS002699811	0.4066
LINCSCP_36413	BRD32048	0.4065
LINCSCP_46415	MEGXM0_000358	0.4061
LINCSCP_63161	BRD-K45932120	0.406
LINCSCP_57417	MLS-0223293.0001	0.4057
LINCSCP_58062	Sibutramine	0.4056
LINCSCP_58096	Lamivudine	0.4054
LINCSCP_63657	BRD-K02322717	0.4052
LINCSCP_292284	BJM-AF-64	0.405
LINCSCP_45913	Tryptoline	0.4048
LINCSCP_59853	BRD-K20497962	0.4045
LINCSCP_115006	apigenin	0.404
LINCSCP_57401	MLS000041932	0.4038
LINCSCP_239922	AC1MG5VA	0.4036
LINCSCP_61102	BRD-K07237640	0.4032
LINCSCP_32999	Physostigmine	0.4021
LINCSCP_58111	Tranilast	0.4018
LINCSCP_20286	BRD-K53592093-001-01-3	0.4018
LINCSCP_44355	Ethisterone	0.4018
LINCSCP_57470	N-(3-Morpholin-4-ylsulfonylphenyl)-4-(2-oxopyrrolidin-1-yl)benzamide	0.4005
LINCSCP_35410	Broad-Sai-424	0.3999
LINCSCP_250905	LY-294002	0.3993
LINCSCP_56564	RO 04-6790	0.3983
LINCSCP_292063	CHEMBL1520057	0.3982
LINCSCP_56481	Carbinoxamine	0.3981
LINCSCP_39512	C21H27N7O3	0.3978
LINCSCP_32224	STOCK1S-03920	0.3973
LINCSCP_58519	CBDIVE_003036	0.3969
LINCSCP_58187	2-Chloroadenosine	0.3959
LINCSCP_296034	BRD-K15923759	0.3955
LINCSCP_295959	3,3-Dimethyl-6-{[(5-methyl-3-phenyl-1,2-oxazol-4-yl)carbonyl]amino}-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	0.395
LINCSCP_39660	PF431396	0.3946
LINCSCP_289361	Ipratropium	0.3945
LINCSCP_58286	Repaglinide	0.3939
LINCSCP_21572	Tadalafil	0.3939
LINCSCP_64424	BRD-K63880531	0.3938
LINCSCP_56073	Mefenamic acid	0.3933
LINCSCP_58437	MAYBRIDGE4_002839	0.3929
LINCSCP_63169	BRD-K54046891	0.3927
LINCSCP_21560	Quipazine	0.3917
LINCSCP_36402	IWR-1-ENDO	0.3916
LINCSCP_36325	Artesunate	0.391
LINCSCP_36829	HMN-214	0.3909
LINCSCP_59177	ZINC01041848	0.3902
LINCSCP_45373	MLS001065847	0.3901
LINCSCP_240925	Y-26763	0.3899
LINCSCP_56164	RS 67506	0.3898
LINCSCP_131081	Nilotinib	0.3898
LINCSCP_59482	ZINC00399124	0.3893
LINCSCP_37900	Mafenide	0.3893
LINCSCP_35427	Broad-Sai-686	0.3889
LINCSCP_58144	FK-506	0.3888
LINCSCP_56600	Resorcinol Monoacetate	0.3883
LINCSCP_57696	6-Amino-1-[2-(3,4-dimethoxyphenyl)ethyl]-2-thioxo-2,3-dihydropyrimidin-4(1H)-one	0.3881
LINCSCP_58163	Tripelennamine	0.388
LINCSCP_296158	Fluocinolone Acetonide	0.3878
LINCSCP_132842	Gefitinib	0.3877
LINCSCP_253901	BRD-K30548766	0.387
LINCSCP_56199	Dihydroergocristine	0.3869
LINCSCP_59165	CHEMBL2137336	0.3868
LINCSCP_31401	MLS002607708	0.3866
LINCSCP_130898	PHA-665752	0.3862
LINCSCP_20206	ST089307	0.3861
LINCSCP_63617	BRD-K61260096	0.3859
LINCSCP_26874	AC1N6AX4	0.3856
LINCSCP_21451	Labetalol	0.3856
LINCSCP_290492	ANANDAMIDE (20:3,N-6)	0.3847
LINCSCP_58219	Flumazenil	0.3843
LINCSCP_32046	MLS000766411	0.3839
LINCSCP_132669	SCHEMBL17052537	0.3837
LINCSCP_292029	MLS000408862	0.383
LINCSCP_111779	CHEMBL585951	0.3828
LINCSCP_41693	SA-427137	0.3827
LINCSCP_296071	BRD-K45758869-001-01-3	0.3819
LINCSCP_18325	SC68376	0.3818
LINCSCP_63198	BRD-K93896332	0.3815
LINCSCP_32210	BRD-K62768020	0.381
LINCSCP_217748	L-Sulforaphane	0.3807
LINCSCP_308867	BRD-K13094522	0.3803
LINCSCP_130825	NU-7441	0.3793
LINCSCP_12604	BMS-299897	0.3791
LINCSCP_32196	AC1O1EQ5	0.3791
LINCSCP_35094	BRD-K08412560	0.3789
LINCSCP_293884	Nifekalant	0.3789
LINCSCP_111388	Seliciclib	0.3785
LINCSCP_57526	BAS 07529539	0.3784
LINCSCP_36108	Estradiol	0.3784
LINCSCP_55839	CHEMBL453376	0.3784
LINCSCP_59459	Griseofulvin	0.378
LINCSCP_59176	BRD-K19593010	0.3773
LINCSCP_61158	BRD-K73555595	0.3771
LINCSCP_32130	KM01366	0.3764
LINCSCP_303342	BRD-K60700659	0.3761
LINCSCP_56735	8-Cyclohexyl-2,3,3a,4,5,6-hexahydro-1H-pyrazino[3,2,1-jk]carbazole	0.3757
LINCSCP_47305	Pyrazinamide	0.3752
LINCSCP_58468	BRD-K22828860	0.3752
LINCSCP_57593	SR-03000001968	0.3749
LINCSCP_35594	4-Deoxyuridine	0.3747
LINCSCP_250292	CHEMBL2381524	0.3747
LINCSCP_56143	GYKI-52466	0.3746
LINCSCP_55857	Xaliproden	0.3745
LINCSCP_58528	MEGXP0_001030	0.3743
LINCSCP_21444	SPECTRUM3_001992	0.3743
LINCSCP_55752	1-[4-[3-(4-Fluorophenoxy)phenyl]but-3-en-2-yl]-1-hydroxyurea	0.3737
LINCSCP_58366	BRD-K37618507	0.3735
LINCSCP_61917	BRD-K83388394	0.3732
LINCSCP_233453	SCHEMBL17515404	0.3731
LINCSCP_85691	Fedratinib	0.3731
LINCSCP_56571	Icillin	0.373
LINCSCP_6096	BRD4770	0.3727
LINCSCP_212652	SCHEMBL16892136	0.3726
LINCSCP_36426	Alvocidib	0.3725
LINCSCP_31869	ACON1_002097	0.3725
LINCSCP_59724	SCHEMBL15635152	0.3722
LINCSCP_46573	ST070885	0.372
LINCSCP_300893	BRD-K16619158	0.3719
LINCSCP_36959	Amuvatinib	0.3715
LINCSCP_292342	MLS002607675	0.3714
LINCSCP_7862	BRD-K57678861	0.3713
LINCSCP_58241	Parecoxib	0.3711
LINCSCP_286552	PP-30	0.3711
LINCSCP_31278	VU0420363-1	0.3706
LINCSCP_289712	L-689,560	0.3705
LINCSCP_11602	GSK429286A	0.3705
LINCSCP_221552	1-(4-Methoxyphenyl)-n,n-dipropyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine	0.3705
LINCSCP_58272	Pergolide	0.3703
LINCSCP_58451	AC1LHZKN	0.3703
LINCSCP_11726	TAE-684	0.3702
LINCSCP_32005	lapatinib	0.3701
LINCSCP_58147	Valacyclovir	0.37
LINCSCP_20197	BRD-A70591769	0.3697
LINCSCP_12215	PF-04217903	0.3697
LINCSCP_58022	MLS002699434	0.3695
LINCSCP_62362	BRD-K30436233	0.3691
LINCSCP_58078	Lacidipine	0.369
LINCSCP_45946	IOX1	0.369
LINCSCP_253549	Erythromycin	0.369
LINCSCP_57455	MLS001065838	0.3689
LINCSCP_1995	Rhodanine derivative, 43	0.36870000000000003
LINCSCP_111658	PF-562271	0.3684
LINCSCP_46212	BRD-K05562558	0.3682
LINCSCP_27272	Flecainide	0.368
LINCSCP_12353	NVP-AEW541	0.3678
LINCSCP_294279	MLS001210968	0.3675
LINCSCP_59926	BRD-K81218586	0.3673
LINCSCP_294927	NSC126859	0.3672
LINCSCP_292554	CHEMBL3182990	0.3672
LINCSCP_47177	CHEMBL2143818	0.3671
LINCSCP_46291	AC1NZGSN	0.3671
LINCSCP_37919	CHEMBL2132507	0.3668
LINCSCP_249032	BRD-K65257892	0.3667
LINCSCP_5736	Glimepiride	0.3666
LINCSCP_21489	STK009254	0.3663
LINCSCP_58064	Zeranol	0.3661
LINCSCP_62402	CHEMBL3184376	0.3661
LINCSCP_26835	Ritanserin	0.366
LINCSCP_100447	GSK-461364	0.3658
LINCSCP_57661	VU0405172-2	0.3658
LINCSCP_131825	LRRK2-IN-1	0.3657
LINCSCP_58426	ML-4-054	0.3657
LINCSCP_41691	SA-1462678	0.3655
LINCSCP_5787	Benactyzine	0.3653
LINCSCP_21800	MLS002471788	0.3653
LINCSCP_227078	BMY-14802	0.365
LINCSCP_20257	BRD-K35669573	0.365
LINCSCP_56913	AC1LWZG4	0.365
LINCSCP_56565	Clofibrate	0.3648
LINCSCP_57039	Rilmenidine	0.3647
LINCSCP_57690	MLS003079540	0.3647
LINCSCP_111825	Lapatinib	0.3647
LINCSCP_237959	CHEMBL1270004	0.3647
LINCSCP_59476	Valproic acid	0.3647
LINCSCP_31146	SCHEMBL14977222	0.3644
LINCSCP_36378	PRL-3InhibitorI	0.3643
LINCSCP_24983	Pazopanib	0.3642
LINCSCP_35562	BRD-K10436544	0.3642
LINCSCP_293788	ST50920250	0.3639
LINCSCP_35050	BRD-K77444669	0.3638
LINCSCP_296116	Bosentan	0.3638
LINCSCP_59916	BRD-K76381171	0.3637
LINCSCP_60512	MLS003129347	0.3637
LINCSCP_31882	AC1O9B1U	0.3636
LINCSCP_63295	BRD-K58282082	0.3636
LINCSCP_31757	Oxcarbazepine	0.3636
LINCSCP_59447	Doxycycline	0.3635
LINCSCP_180364	Tazac, Axid, Axid Ar, Nizatidine	0.3634
LINCSCP_31947	BRD-K62748479-001-01-4	0.3633
LINCSCP_27982	BRD-K92824836	0.3633
LINCSCP_306537	BRD-K34502913	0.3633
LINCSCP_59428	Procyclidine	0.3631
LINCSCP_250912	BMS-536924	0.3631
LINCSCP_111712	GSK-1904529A	0.3631
LINCSCP_35125	SCHEMBL17783876	0.3629
LINCSCP_61913	BRD-K77970970	0.3628
LINCSCP_32983	Midodrine	0.3624
LINCSCP_57590	Triazolothiadiazine, 22	0.3624
LINCSCP_47349	Propantheline	0.3623
LINCSCP_63559	BRD-K09542523	0.3623
LINCSCP_33376	Diethylstilbestrol	0.3622
LINCSCP_32189	MLS002473819	0.3622
LINCSCP_20002	MLS-0002494.0001	0.3622
LINCSCP_225252	MLS001333211	0.3621
LINCSCP_279776	PCI-34051	0.3618
LINCSCP_2604	Naproxol	0.3618
LINCSCP_293913	Lidocaine	0.3617
LINCSCP_32248	BRD-K79779816	0.3615
