signatureid	compound	similarity
LINCSCP_57905	Azithromycin	1
LINCSCP_286481	BRD-A81936046	0.6853
LINCSCP_10285	362-74-3	0.6388
LINCSCP_54715	Brefeldin A	0.6298
LINCSCP_257259	Itrazole	0.6116
LINCSCP_238428	CHEMBL1593913	0.5906
LINCSCP_53901	(S)-(-)-BAY K 8644	0.5723
LINCSCP_40254	SJ 172550	0.5717
LINCSCP_31968	BRD4770	0.5678
LINCSCP_46465	STK218951	0.5314
LINCSCP_205606	Nimodipine	0.5306
LINCSCP_239451	67497-51-2	0.5253
LINCSCP_287321	FK 866	0.5222
LINCSCP_53942	848193-68-0	0.5204
LINCSCP_206385	16,16-Dimethyl prostaglandin e2	0.5173
LINCSCP_289805	CHEMBL586058	0.5144
LINCSCP_57685	KUC104488	0.5128
LINCSCP_53871	IN1541	0.511
LINCSCP_53894	CHEMBL3186197	0.5071
LINCSCP_287400	Nifedipine	0.4946
LINCSCP_53908	3-(4-Pyridyl)indole	0.4945
LINCSCP_38873	Enalapril	0.4901
LINCSCP_31399	MLS000862515	0.4884
LINCSCP_235510	SB-216763	0.4869
LINCSCP_46226	MLS000860958	0.4864
LINCSCP_31407	KUC104122	0.4822
LINCSCP_38876	Gefitinib	0.4816
LINCSCP_237984	CHEMBL1270505	0.4812
LINCSCP_21143	AC1MSUFC	0.4803
LINCSCP_31427	MLS002264511	0.4802
LINCSCP_38840	ChEBI91594	0.4743
LINCSCP_34171	MLS002729074	0.4688
LINCSCP_40206	ST021200	0.4675
LINCSCP_13963	Dehydroepiandrosterone Acetate	0.4599
LINCSCP_58906	Diotyrosine	0.4565
LINCSCP_65397	BRD-K07922534	0.4528
LINCSCP_48252	BRD-K80169513	0.4524
LINCSCP_48245	BRD-K50868745	0.4519
LINCSCP_237981	MLS002264471	0.4518
LINCSCP_53620	32703-82-5	0.4495
LINCSCP_30848	PF-04217903	0.4494
LINCSCP_31330	MLS-0437136.0001	0.4493
LINCSCP_58228	Binospirone	0.4491
LINCSCP_54923	NSC119236	0.4488
LINCSCP_165229	TIE2 Kinase Inhibitor	0.4474
LINCSCP_237306	MLS003448145	0.4455
LINCSCP_5946	SC_I_004	0.4447
LINCSCP_34069	SA-103123	0.4404
LINCSCP_32014	MEGXM0_000032	0.4361
LINCSCP_296118	IC-87114	0.4351
LINCSCP_255551	Flutamide	0.4326
LINCSCP_269115	MLS002699918	0.4326
LINCSCP_25736	Gallocatechin Gallate	0.4304
LINCSCP_94450	Dacomitinib	0.4284
LINCSCP_46519	MLS-0435534.0001	0.4274
LINCSCP_41911	PKC Beta Inhibitor	0.4269
LINCSCP_180768	Sulfacetamide	0.4251
LINCSCP_290707	Dihydrosamidin	0.4237
LINCSCP_46467	SUGA1_010064	0.4231
LINCSCP_59208	MLS000107177	0.42
LINCSCP_22440	GSK-461364	0.4198
LINCSCP_58223	Sibutramine	0.4191
LINCSCP_26662	Flupirtine	0.4189
LINCSCP_290681	313981-55-4	0.4181
LINCSCP_237256	VU0413807-2	0.418
LINCSCP_240331	Ebelactone-B	0.4149
LINCSCP_6119	ALD1-H_001009	0.4135
LINCSCP_39877	CHEMBL520231	0.4132
LINCSCP_56535	Diclofenac	0.4125
LINCSCP_31904	MW-A1-14	0.4123
LINCSCP_22297	CBKINASE1_008949	0.4123
LINCSCP_46262	STK222600	0.4122
LINCSCP_16827	BRD-K40956802-001-01-8	0.4109
LINCSCP_41796	Triciribine	0.4106
LINCSCP_12871	SCHEMBL13991002	0.4094
LINCSCP_59521	Dipyridamole	0.4088
LINCSCP_204468	Phtpp	0.4088
LINCSCP_50761	Minoxidil	0.4087
LINCSCP_296156	6Alpha-methylprednisolone acetate	0.408
LINCSCP_202945	Phenoxazine	0.408
LINCSCP_298457	BRD-K12342216	0.4069
LINCSCP_118676	Ivabradine HCl	0.4069
LINCSCP_25761	BRD-K41087962	0.4064
LINCSCP_31546	AC1LB5IQ	0.4056
LINCSCP_13493	Lexibulin	0.4042
LINCSCP_53884	BMS-299897	0.404
LINCSCP_31669	CHEMBL489621	0.4032
LINCSCP_33618	Tyrphostin B7	0.4032
LINCSCP_267654	MLS002699341	0.4025
LINCSCP_33885	BRD-K57732441	0.4024
LINCSCP_55408	Nicardipine	0.4007
LINCSCP_27408	BRD-K17565092	0.4002
LINCSCP_211921	CHEMBL1868923	0.3997
LINCSCP_22390	Cilomilast	0.3975
LINCSCP_38044	BRD-K38725747	0.3972
LINCSCP_31215	MLS002699810	0.3967
LINCSCP_290524	MRS-1334	0.3961
LINCSCP_2683	ICI 192,605	0.3953
LINCSCP_226994	BRD-K86727142-001-06-6	0.3952
LINCSCP_226952	Quinapril	0.3939
LINCSCP_40234	10-DEBC	0.3932
LINCSCP_58262	(-)-Huperzine a	0.3931
LINCSCP_16919	Methyl 1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate	0.3925
LINCSCP_32934	Estrone	0.3912
LINCSCP_65871	BRD-K77644833	0.391
LINCSCP_119648	Latanoprost	0.3905
LINCSCP_178225	SCHEMBL2557982	0.3896
LINCSCP_33898	BRD-K64099269	0.389
LINCSCP_292751	MLS003337112	0.3889
LINCSCP_116768	noscapine	0.3863
LINCSCP_48844	BRD-K90070572	0.3857
LINCSCP_32455	H-9	0.3848
LINCSCP_58208	Imatinib	0.3833
LINCSCP_57774	SR-02000000448	0.3829
LINCSCP_38079	BRD-K65514600	0.3827
LINCSCP_21257	Fluspirilene	0.3825
LINCSCP_238421	KUC104240N	0.3825
LINCSCP_286604	PD-98059	0.3821
LINCSCP_57866	Lovastatin	0.3815
LINCSCP_207559	KCl	0.3811
LINCSCP_38371	BRD-K89986699	0.3809
LINCSCP_36772	Linsitinib	0.3809
LINCSCP_33656	Fasudil	0.38
LINCSCP_64793	BRD-K67236726	0.3799
LINCSCP_31113	VU-0415556-1	0.3798
LINCSCP_257395	UK 356618	0.3794
LINCSCP_35575	Broad-Sai-296	0.3788
LINCSCP_58521	GSK429286A	0.3782
LINCSCP_57596	MLS002264397	0.378
LINCSCP_35468	PCI-34051	0.3775
LINCSCP_289830	Flufenamic acid	0.3775
LINCSCP_296071	BRD-K45758869-001-01-3	0.3773
LINCSCP_213161	Wortmannin	0.3771
LINCSCP_25732	CHEMBL259628	0.377
LINCSCP_34273	Brinaldix	0.3753
LINCSCP_239369	F1709-0025	0.3751
LINCSCP_53949	PF750	0.3751
LINCSCP_39925	916985-21-2	0.3749
LINCSCP_55068	TUL_XIX002	0.3748
LINCSCP_16416	BCB03_000153	0.3748
LINCSCP_270341	CHEMBL1327417	0.3734
LINCSCP_270765	N-[2-(2-Chlorophenyl)-1,3-benzoxazol-5-yl]-2-(4-nitrophenoxy)acetamide	0.372
LINCSCP_33007	TOCRIS-0930	0.3715
LINCSCP_45476	MLS003429133	0.37
LINCSCP_46184	AC1MG7IW	0.3693
LINCSCP_57855	STK383264	0.3685
LINCSCP_46530	BRD-K96433222-001-01-3	0.3683
LINCSCP_38054	BRD-K41513507	0.368
LINCSCP_294055	Oxcarbazepine	0.3675
LINCSCP_55100	CHEMBL2141330	0.3667
LINCSCP_251259	DR 2313	0.3666
LINCSCP_237784	MLS002607804	0.3664
LINCSCP_41990	CHEMBL2204241	0.3658
LINCSCP_40253	GW843682X	0.3658
LINCSCP_58873	Tamibarotene	0.3654
LINCSCP_32064	AC1O9B20	0.3649
LINCSCP_205487	BRD-K64877338	0.3647
LINCSCP_257290	Chloroquine	0.3647
LINCSCP_259012	BRD-K54247306	0.3643
LINCSCP_33318	SPBIO_002561	0.3641
LINCSCP_16623	Tenofovir	0.364
LINCSCP_57645	T5832551	0.3632
LINCSCP_31129	MLS002264523	0.3625
LINCSCP_236861	N-(3-Chloro-4-fluorophenyl)-5-(pyridin-4-yl)-1,3,4-thiadiazol-2-amine	0.3623
LINCSCP_265903	Metaxalone	0.3619
LINCSCP_254593	Curcumin	0.3617
LINCSCP_21529	Ritanserin	0.3613
LINCSCP_243173	Busulfan	0.3608
LINCSCP_57483	175203-39-1	0.3602
LINCSCP_65011	Mibefradil	0.36
LINCSCP_30872	N-[4-(1-Benzoylpiperidin-4-yl)butyl]-3-pyridin-3-ylpropanamide	0.3597
LINCSCP_69693	CHEMBL552425	0.3595
LINCSCP_55572	Ipratropium	0.3591
LINCSCP_38411	CHEMBL2152368	0.3586
LINCSCP_58635	ZINC00969081	0.3583
LINCSCP_65585	BRD-K15377376	0.358
LINCSCP_16422	2-Bromo-n-phenylbenzamide	0.3579
LINCSCP_38112	BRD-K93779718	0.3569
LINCSCP_59485	BRD-K52111234	0.3566
LINCSCP_131817	Y-39983	0.3565
LINCSCP_33891	ZINC03898662	0.3565
LINCSCP_272385	Probenecid	0.3564
LINCSCP_241166	Nimesulide	0.356
LINCSCP_19914	(3-Chlorophenyl)[4-(7-chloroquinolin-4-yl)piperazin-1-yl]methanone	0.3557
LINCSCP_130626	Seliciclib	0.3555
LINCSCP_289038	Calcitriol	0.355
LINCSCP_7357	Hemado	0.3546
LINCSCP_31354	KUC104140	0.3542
LINCSCP_53897	Dactolisib	0.3542
LINCSCP_240912	L-161,982	0.3541
LINCSCP_55813	CHEMBL73824	0.3541
LINCSCP_210854	Nicotin-Amide	0.354
LINCSCP_301675	BRD-K47881779	0.3539
LINCSCP_59421	Metaproterenol	0.3537
LINCSCP_58875	Rivaroxaban	0.3535
LINCSCP_239460	ST012015	0.3533
LINCSCP_3086	Ticrynafen	0.3528
LINCSCP_55493	GSK-319347A	0.3525
LINCSCP_7215	Graveoline	0.3525
LINCSCP_33645	Mpep	0.3523
LINCSCP_40188	Gemcitabine	0.3522
LINCSCP_33665	W 7	0.3521
LINCSCP_19924	KUC104226	0.3521
LINCSCP_3092	Danazol	0.352
LINCSCP_140020	Ivacaftor (VX-770)	0.3509
LINCSCP_219252	Spiramide	0.3508
LINCSCP_33021	Deracoxib	0.3504
LINCSCP_59210	MLS002474103	0.3503
LINCSCP_16330	ZINC01207723	0.3502
LINCSCP_32763	13(S)-HODE	0.35
LINCSCP_243433	Betazole	0.3499
LINCSCP_65394	MLS004342469	0.3498
LINCSCP_42043	MLS001207806	0.3498
LINCSCP_48244	BRD-K50186544	0.3494
LINCSCP_31414	SCHEMBL13736177	0.3493
LINCSCP_283020	BRD32048	0.3489
LINCSCP_56439	Benzylpenicillin	0.3482
LINCSCP_58827	CHEMBL83092	0.3481
LINCSCP_54745	FGIN1-27	0.3471
LINCSCP_58604	BRD-K53592093-001-01-3	0.347
LINCSCP_268270	MLS003079541	0.3469
LINCSCP_57826	DASA-58	0.3466
LINCSCP_12354	NVP-AEW541	0.3463
LINCSCP_58245	CGS-12066A	0.3462
LINCSCP_48240	BRD-K38797319	0.3461
LINCSCP_55806	Calpeptin	0.346
LINCSCP_21508	Ropinirole	0.3458
LINCSCP_55106	BRD-K51556300-001-01-9	0.3457
LINCSCP_29259	CYTO7H11	0.3457
LINCSCP_258770	Halcinonide	0.3449
LINCSCP_2835	KBIO2_001961	0.3447
LINCSCP_54426	Zileuton	0.3445
LINCSCP_19929	CHEMBL1270220	0.3445
LINCSCP_115034	Nilotinib	0.3442
LINCSCP_250888	COT-10B	0.3441
LINCSCP_55599	IN1246	0.344
LINCSCP_21518	Cimetidine	0.3439
LINCSCP_62078	BRD-K13513398	0.3439
LINCSCP_58405	CHEMBL3188250	0.3438
LINCSCP_20094	ALD1-H_001128	0.3429
LINCSCP_46364	NCGC00170564-01	0.3426
LINCSCP_254368	SA-1458902	0.3424
LINCSCP_15026	Clioquinol	0.3424
LINCSCP_33578	Boldine	0.3424
LINCSCP_37258	SA-1458610	0.3422
LINCSCP_295627	MLS003587251	0.3421
LINCSCP_16151	Olopatadine	0.342
LINCSCP_59612	Piperacillin	0.3419
LINCSCP_207323	Risperidone	0.3417
LINCSCP_21473	Coleoforsin	0.3416
LINCSCP_32976	SPECTRUM_001418	0.3415
LINCSCP_224016	STK151112	0.3412
LINCSCP_27132	7,2'-Dihydroxyflavone	0.3409
LINCSCP_59318	4-(2-Amino ethyl)benzene sulfonamide	0.3407
LINCSCP_233322	SCHEMBL17515404	0.3406
LINCSCP_310020	BRD-K47128441	0.3405
LINCSCP_64848	BRD-K01312966	0.3402
LINCSCP_34269	Tremorine	0.3402
LINCSCP_28426	1-(4-Methoxyphenyl)-n,n-dipropyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine	0.3399
LINCSCP_46538	MEGXP0_001444	0.3397
LINCSCP_32963	ST092443	0.3394
LINCSCP_64855	BRD-K03496358	0.3393
LINCSCP_57369	MLS001060771	0.3392
LINCSCP_34332	Benfluorex	0.3389
LINCSCP_58501	STK199030	0.3386
LINCSCP_44358	BRL-37344	0.3385
LINCSCP_27933	BRD-K60202553	0.3383
LINCSCP_20003	AC1NCVYC	0.3383
LINCSCP_130564	SCHEMBL570779	0.3383
LINCSCP_292456	BRD-K91600270	0.3381
LINCSCP_55867	Relcovaptan	0.3379
LINCSCP_65472	BRD-K49669601	0.3374
LINCSCP_65457	BRD-K43680293	0.337
