ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
5529	PPP2R5E	-1.5656	4e-4
4232	MEST	-1.5282	6e-4
1647	GADD45A	-1.4792	8e-4
10123	ARL4C	-1.5863	0.0012
4851	NOTCH1	-1.5043	0.0013
1500	CTNND1	-1.1418	0.0017
7020	TFAP2A	-1.555	0.0018
10049	DNAJB6	-1.0709	0.0018
6657	SOX2	-1.1926	0.002
2185	PTK2B	-1.3917	0.0022
8321	FZD1	-1.0848	0.0022
23149	FCHO1	-1.0316	0.0022
6251	RSU1	-1.14	0.0023
7077	TIMP2	-1.0881	0.0025
8446	DUSP11	-0.9492	0.0027
7099	TLR4	-1.6113	0.0029
5873	RAB27A	-0.9435	0.0029
1676	DFFA	-0.8945	0.0034
1906	EDN1	-0.8661	0.0038
211	ALAS1	-1.2963	0.0039
9488	PIGB	-1.2146	0.0042
652	BMP4	-1.0028	0.0044
23161	SNX13	-1.0448	0.0044
6275	S100A4	-0.8832	0.0044
2184	FAH	-1.0185	0.0048
11044	PAPD7	-1.2687	0.0051
1788	DNMT3A	-0.9866	0.0053
5423	POLB	-1.4121	0.0055
4817	NIT1	-0.9396	0.0061
23536	ADAT1	-1.0948	0.0061
9491	PSMF1	-1.0018	0.0065
4313	MMP2	-0.8897	0.0066
29103	DNAJC15	-1.2	0.0071
54807	ZNF586	-1.2565	0.0074
7043	TGFB3	-1.2008	0.008
55818	KDM3A	-0.8901	0.0082
1029	CDKN2A	-1.5928	0.009
27242	TNFRSF21	-1.0708	0.0097
10525	HYOU1	-1.1776	0.0099
10818	FRS2	-0.958	0.0103
5900	RALGDS	-2.3228	0.013
8349	HIST2H2BE	-1.2278	0.0133
7852	CXCR4	-0.9755	0.0136
9897	KIAA0196	-0.8696	0.0136
79094	CHAC1	-2.5494	0.0147
51465	UBE2J1	-0.8748	0.0151
26136	TES	-0.96	0.0166
5788	PTPRC	-0.874	0.0179
8826	IQGAP1	-1.3577	0.0181
5588	PRKCQ	-0.9726	0.0181
23410	SIRT3	-1.3526	0.02
23011	RAB21	-0.9123	0.0216
4793	NFKBIB	-0.9157	0.0216
6793	STK10	-1.0988	0.023
9552	SPAG7	-0.9158	0.0232
5796	PTPRK	-1.4456	0.0247
8837	CFLAR	-1.0708	0.0264
637	BID	-1.2658	0.0277
388650	FAM69A	-1.356	0.0301
323	APBB2	-0.9212	0.0305
3566	IL4R	-1.384	0.0333
4144	MAT2A	-0.9706	0.0375
89910	UBE3B	-1.0822	0.0396
3482	IGF2R	-1.0581	0.0425
9093	DNAJA3	-1.1867	0.043
10898	CPSF4	-1.0669	0.0691
4925	NUCB2	-0.8516	0.07
6509	SLC1A4	-0.9705	0.0778
6832	SUPV3L1	-2.146	0.0792
10285	SMNDC1	-1.1975	0.0886
22905	EPN2	-0.856	0.0893
3416	IDE	-0.8574	0.0903
7016	TESK1	-1.3235	0.1008
1616	DAXX	-0.9298	0.1247
4780	NFE2L2	-0.903	0.1326
57761	TRIB3	-1.897	0.1546
960	CD44	-1.3604	0.1859
2886	GRB7	-1.0655	0.2021
83743	GRWD1	-2.2874	0.2282
64429	ZDHHC6	-0.9353	0.2549
51495	HACD3	-0.8854	0.267
9690	UBE3C	-1.5172	0.2925
9761	MLEC	-0.9746	0.3176
51382	ATP6V1D	-1.1366	0.3253
