ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
26036	ZNF451	3.2589	1e-4
9221	NOLC1	3.4121	1e-4
10915	TCERG1	3.5856	1e-4
23212	RRS1	2.9904	1e-4
79071	ELOVL6	1.9843	3e-4
3156	HMGCR	2.186	3e-4
51742	ARID4B	2.5418	4e-4
22887	FOXJ3	1.9984	5e-4
26993	AKAP8L	3.2169	6e-4
10557	RPP38	1.8427	6e-4
1662	DDX10	1.7309	6e-4
7994	KAT6A	1.9704	9e-4
10523	CHERP	2.6208	0.001
10285	SMNDC1	2.2233	0.0012
23210	JMJD6	1.9174	0.0013
6347	CCL2	2.7502	0.0013
8480	RAE1	1.7644	0.0016
10892	MALT1	1.7007	0.0017
2553	GABPB1	2.5999	0.0019
51116	MRPS2	1.726	0.002
2736	GLI2	1.4197	0.0021
6251	RSU1	1.3886	0.0021
6657	SOX2	1.6611	0.0023
9686	VGLL4	1.527	0.0024
5925	RB1	1.5079	0.0028
83743	GRWD1	1.4067	0.0031
10221	TRIB1	1.318	0.0032
993	CDC25A	1.2408	0.0033
23013	SPEN	1.279	0.0033
22934	RPIA	1.29	0.0034
11151	CORO1A	1.2388	0.0035
9183	ZW10	1.3866	0.0038
8270	LAGE3	1.357	0.004
54623	PAF1	1.3733	0.004
9801	MRPL19	1.4246	0.0045
54512	EXOSC4	1.7435	0.0046
3553	IL1B	1.1041	0.0047
4851	NOTCH1	1.4636	0.0048
57215	THAP11	1.3245	0.0051
10776	ARPP19	1.1454	0.0052
4794	NFKBIE	1.8327	0.0052
9126	SMC3	1.7208	0.0053
1788	DNMT3A	1.5555	0.0055
51001	MTERF3	1.2019	0.0059
55324	ABCF3	1.3017	0.006
9897	KIAA0196	1.303	0.0063
2523	FUT1	1.5026	0.007
2113	ETS1	1.4594	0.0073
7376	NR1H2	1.654	0.0074
6850	SYK	1.3533	0.0077
50814	NSDHL	1.1527	0.0077
10123	ARL4C	1.4497	0.008
581	BAX	1.709	0.0084
10398	MYL9	1.072	0.0086
11011	TLK2	1.1394	0.0087
1385	CREB1	2.0468	0.0089
1906	EDN1	1.2124	0.0094
1983	EIF5	1.0349	0.0095
3122	HLA-DRA	1.1387	0.0095
80204	FBXO11	1.7018	0.0095
10153	CEBPZ	3.7152	0.0097
5529	PPP2R5E	1.6034	0.0109
7157	TP53	1.331	0.0109
6793	STK10	1.8259	0.0111
8985	PLOD3	1.4129	0.0112
22823	MTF2	1.394	0.0121
5654	HTRA1	1.0743	0.0125
4850	CNOT4	1.1783	0.0125
5359	PLSCR1	1.6681	0.013
1677	DFFB	1.7223	0.013
