signatureid	compound	similarity
LINCSCP_14964	etoposide	-0.3406
LINCSCP_94423	Epirubicin HCl	-0.3386
LINCSCP_92856	Gemcitabine	-0.3329
LINCSCP_15183	Teniposide	-0.3248
LINCSCP_91308	Mitoxantrone	-0.3228
LINCSCP_97266	AMSACRINE	-0.3226
LINCSCP_97525	Valrubicin	-0.3224
LINCSCP_91467	Warfarin	-0.4513
LINCSCP_15306	AGK 2	-0.4392
LINCSCP_95911	(+)-SK&F 10047 hydrochloride	-0.4253
LINCSCP_91144	LY2801653	-0.4198
LINCSCP_91332	Mizolastine	-0.4172
LINCSCP_88785	STK219801	-0.4046
LINCSCP_15203	6,10,10B-Trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-3-vinyldodecahydro-1H-benzo[f]chromen-5-yl acetate	-0.3918
LINCSCP_91444	Inolitazone (dihydrochloride)	-0.3787
LINCSCP_15163	Verapamil	-0.3775
LINCSCP_15478	Phorbol 12-myristate-13-acetate	-0.3758
LINCSCP_93610	Foretinib	-0.3735
LINCSCP_96100	Meclofenamic acid	-0.358
LINCSCP_15464	16Beta-bromoandrosterone	-0.355
LINCSCP_17490	BRD-K64106162	-0.3532
LINCSCP_13823	Norketamine	-0.3467
LINCSCP_93586	Cobimetinib	-0.3428
LINCSCP_91369	FAMPRIDINE	-0.3424
LINCSCP_87874	Ruxolitinib	-0.3419
LINCSCP_93420	Diphenidol	-0.3416
LINCSCP_93949	Pinacidil	-0.3364
LINCSCP_90688	Ofloxacin	-0.3359
LINCSCP_16904	Prostratin	-0.3356
LINCSCP_15494	Ingenol 3,20-dibenzoate	-0.3342
LINCSCP_93273	Estramustine phosphate sodium	-0.3327
LINCSCP_15006	Mepireserpate	-0.3313
LINCSCP_91212	BRD-A19795905	-0.3288
LINCSCP_17381	CHEMBL2130605	-0.3245
LINCSCP_14568	Fluprostenol	-0.3227
