Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
NFE2L2	0.5006716329019805	0.01093623008776768
CASP2	0.5103222984692977	0.07584521273895779
RSU1	0.5297245850384773	0.15581970526166886
USP14	0.5299732333417222	0.11106426282422482
NCOA3	0.530167441586382	0.06744245758582308
LPGAT1	0.5329982293397115	0.051713503296201016
DNAJC15	0.5355253986847607	0.2561643812612019
SLC25A46	0.537782749460531	0.3288850778702608
VDAC1	0.5395386447738133	0.011021920343496795
CISD1	0.5574045426133677	0.20917592303592275
RPA2	0.5600543131616365	0.049330991488772104
AGL	0.5643353343704746	0.3696846035400667
CREB1	0.5658551501198286	0.08433105477241806
ICAM3	0.5664559364574334	0.1998185532177808
DNM1L	0.5708557559623878	0.06515364196594922
SRC	0.588097499969638	0.17219699627434656
SNX7	0.5910774393631156	0.13609799912525444
RAP1GAP	0.5947181857996332	0.4504685030641289
ADO	0.5993690317536232	0.060931207058010584
LSR	0.6005600224200806	0.1250032474488175
SLC25A14	0.602457001863135	0.2742080719471631
CREG1	0.6310981989975262	0.055081892856493
PYCR1	0.6325210334560686	0.24717900704471915
ARPP19	0.6332942636509604	0.010976562849967682
MTF2	0.6398788098503815	0.0657981866452251
ATG3	0.6483049595099135	0.051293982384515366
MUC1	0.6492679228841517	0.08704914676047709
SKP1	0.651174552989863	0.008661738118049048
USP1	0.6637773829921033	0.09215609932389018
PLOD3	0.6659005780188643	0.020506938616695967
SSBP2	0.6675159229085603	0.07082015463072479
S100A4	0.6704390607152564	0.02818855654054063
CCNF	0.6739956006759371	0.4482245601805413
RAB27A	0.6837826230613966	0.01125145019947382
LAP3	0.7002996072746283	0.021304337784445296
PRKCD	0.7024538686988749	0.01461546629664221
APOE	0.7056011124961346	0.019712217874472533
CNOT4	0.7065100012653106	0.06110754989436711
HPRT1	0.7117034098339386	0.008720021199115767
CNDP2	0.7130928714359339	0.016355898345035005
PSMF1	0.7199270115107766	4.334801701264968e-4
ZNF586	0.7242816629512102	0.06946413209449452
ADAM10	0.7266808623719477	0.06888296889914954
DECR1	0.7289153455684827	0.01847840058101194
ITFG1	0.7396874388069677	0.03672002463383038
GRN	0.7426246373778758	0.00571950333931324
MBNL1	0.7546896217919123	0.0046008815093039
RB1	0.7661372645724942	0.023840305280411315
ARNT2	0.7827766205161868	0.07261111124252964
EFCAB14	0.7846254223997695	0.006818920252550473
IKBKE	0.7853512200686363	0.1640762880536289
GTF2A2	0.7929786228529162	0.01626733463079286
SNX6	0.803904885270486	0.00824587347025085
IL13RA1	0.8176076915601473	0.0016015024078881086
CLIC4	0.8352670574905079	0.01133139504013982
KIF2C	0.8357186804667885	0.3674182680289403
RAB21	0.8567426142705419	0.0013435117474255784
