similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.8988	7.2649e-8	20	AC1LWSL2	LSM-3096	NA	10uM	6h	LINCSCP_177588	A375
0.8981	7.7609e-8	20	MLN-8054	LSM-1066	AURKA	10uM	24h	LINCSCP_83752	ASC.C
0.8841	2.3402e-7	20	BRD-K73639776	LSM-12940	NA	5uM	24h	LINCSCP_3280	A375
0.8752	4.3923e-7	20	BRD-K03608458	LSM-36963	NA	10uM	24h	LINCSCP_259471	NEU
0.875	4.4508e-7	20	4-(2-Aminoethyl)benzene-1,3-diol	LSM-37104	NA	10uM	24h	LINCSCP_41215	NEU
0.8712	5.7582e-7	20	NU-7441	LSM-1061	PRKDC	3.33uM	24h	LINCSCP_87600	HA1E
0.8707	5.9555e-7	20	4-(3,5-Dimethyl-4-nitro-1H-pyrazol-1-yl)butanoic acid	LSM-4589	NA	10uM	6h	LINCSCP_294587	VCAP
0.8672	7.4701e-7	20	PK-11195	LSM-1532	TSPO	10uM	24h	LINCSCP_18165	HCC515
0.8592	1.2271e-6	20	Navitoclax	LSM-4738	BCL2|BCL2L1|BCL2L2	10uM	6h	LINCSCP_1032	A375
0.8582	1.3009e-6	20	CHEMBL57427	LSM-2840	NA	10uM	24h	LINCSCP_14452	HA1E
0.8567	1.4217e-6	20	TWS 119	LSM-1111	GSK3B	10uM	6h	LINCSCP_18142	HCC515
-0.8551	1.5635e-6	20	TPCA-1	LSM-1136	IKBKB	10uM	6h	LINCSCP_29349	LOVO
0.8542	1.6454e-6	20	CI-1040	LSM-1048	MAP2K1|MAP2K2	1uM	6h	LINCSCP_51550	SKBR3
-0.8493	2.1733e-6	20	BRD-K76005220	LSM-15054	NA	30uM	6h	LINCSCP_309927	VCAP
0.8475	2.3976e-6	20	NSC119236	LSM-4575	NA	20uM	6h	LINCSCP_57103	VCAP
0.8471	2.4574e-6	20	TP14	LSM-45308	NA	3.33uM	24h	LINCSCP_4061	A375
0.8468	2.4937e-6	20	BRD-K66598898	LSM-40899	NA	10uM	24h	LINCSCP_47329	PC3
0.8463	2.5594e-6	20	BRD-A81936046	LSM-4484	NA	10uM	24h	LINCSCP_30450	MCF7
0.8447	2.7989e-6	20	SKF83959	LSM-36831	NA	10uM	24h	LINCSCP_259396	NEU
0.842	3.2397e-6	20	ZINC77024257	LSM-1171	MDM2	10uM	24h	LINCSCP_89285	HA1E
