Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
PAN2	0.2626415878612632	0.04609011504061808
GATA3	0.2633988563201932	0.17568871481607662
NCOA3	0.2634046280826281	0.13716057822371813
MAPK9	0.2669836238548125	0.03309115954283848
NR3C1	0.27013664068681065	0.23599173180870908
LOXL1	0.27229809829191126	0.6161851700776302
MICALL1	0.27403649718818945	0.11611569052975872
PTK2	0.27627391954361313	0.05446323905852709
ZMIZ1	0.27737436881704725	0.06751456929219021
TJP1	0.2793379885261516	0.11283628054130075
EPN2	0.2803622863208347	0.08544599385601738
ADAM10	0.2811925968393638	0.19246223492913522
ARID5B	0.28343249235692997	0.28001058760396247
CCDC92	0.28445736484569994	0.08637100532491529
FOXO4	0.2856068956424855	0.30492222912871136
PRKCD	0.2859559009757124	0.1079849954288548
UBE2J1	0.2917377509404521	0.1123905844087687
MTFR1	0.2948458506215845	0.07513887278577928
AGL	0.2973048145657829	0.19241612912218592
PRCP	0.298258393621156	0.04111422031434818
DUSP6	0.3000723047544151	0.1718121492117648
SOX4	0.30021445638915334	0.04556189364811148
CAB39	0.3002165232845842	0.035240183249562594
APOE	0.3026408874854928	0.17891642900374422
CRTAP	0.3038876730983962	0.3326736583983577
ATP2C1	0.3061971308550329	0.07631599659493231
RHEB	0.30703934798785404	0.01930477522482349
FAS	0.3114185968152628	0.23452973627745416
PSME1	0.3139242336156045	0.0648223638495613
CSNK1E	0.3141116046829044	0.021721280451983592
CD58	0.31583970053201665	0.20597035645315834
ITFG1	0.31633370840801717	0.07355139631948956
CALU	0.31904240454225763	0.14037590003921008
PTK2B	0.32230116157932864	0.025695190127095157
GALE	0.3223247141912965	0.11438041245952767
NUCB2	0.3233501383091238	0.14039440887272261
ZNF395	0.32511442859353323	0.01928815798994936
PHKA1	0.33144230666770846	0.005402428530864536
INPP4B	0.331592522603981	0.055771218541394406
STAMBP	0.33215517350476076	0.02000234269431761
SPTAN1	0.3334777973639558	0.044828795777753776
RPIA	0.33358244296542044	0.05048503037340249
WRB	0.33378885923064083	0.07425925798630109
CDK19	0.3349831207722877	0.10333719214334192
SYPL1	0.33656437922558546	0.10704414145954798
IQGAP1	0.33769449172714194	0.06321471713425775
MLLT11	0.3393228732028771	0.016820016591023702
CDKN1A	0.3395793150704676	0.05954951211667041
PPARG	0.34229080802799194	0.0019449654336620974
POLG2	0.34413041566201663	0.20562846088201137
CDKN1B	0.3444387465754512	0.02302938397272462
LGALS8	0.3461823078682365	0.04436284448055332
TXNRD1	0.3480462347128405	0.11910153180602204
DUSP11	0.34883240641785396	0.018774270666813874
CBLB	0.3540956022199352	0.025920742611273632
CHMP4A	0.3550187233040124	0.03061696284926151
HERC6	0.3555826273004368	0.13803522682349148
ANO10	0.3582545512777041	0.019374813108671174
ST6GALNAC2	0.3605186070250356	0.3384205650206865
BNIP3	0.3613952278854059	0.2689260651011356
C2CD2	0.3641804134366367	0.026586176437688354
ARPP19	0.36756161283791744	0.0318773275121009
GPATCH8	0.370302185689572	0.02713715781478666
ARID4B	0.3774897653156562	0.07827354434831943
RALB	0.3789559638134497	0.03129479292655053
LAMA3	0.3809290308868723	0.061942864225680426
PLSCR1	0.3814757481775392	0.020812413456488786
GNPDA1	0.3844583955216442	0.08663078832370755
ATF6	0.39001546150555055	0.06097169434429858
TLK2	0.3944249721689551	0.003145813792919733
PDLIM1	0.4084697160300805	0.08299612193020006
FRS2	0.41405228998438426	0.05717288084780814
IL13RA1	0.4162914496412798	0.015950581776103912
HS2ST1	0.4203491970427405	0.023356703313773035
SMNDC1	0.4216047241535607	0.05047639160472699
TM9SF2	0.4230887597580027	0.017153115092384538
ST3GAL5	0.4241613475093507	0.007010238666459118
TM9SF3	0.4251482342877718	0.068462827955823
MYC	0.4268861906221549	0.013094686151422763
SCYL3	0.43025947967421985	0.04615248301403516
ACOT9	0.4363936123476231	0.03161526279240426
C2CD5	0.4365064917897466	0.050417684611114184
PTPRK	0.4367523767946449	0.006374397926270725
KTN1	0.4451363525107688	0.03627771696202299
SNAP25	0.4461648964413038	0.212083786202558
TRAK2	0.4492169314748921	0.003331318406150262
RAB21	0.44945405041976233	0.011703060535050628
INPP1	0.4517793049576613	0.0037645490068464417
STAT5B	0.4551945769269434	6.470770552597566e-4
KIAA0355	0.4557612405114007	0.004639418531474508
IL4R	0.4585857161433692	0.013863518689642071
APP	0.4586795876689755	0.009242307238891917
CREB1	0.460946052180361	0.013854467422696163
RPS6	0.4619227306223329	0.0014682635018726541
HES1	0.46211760683506975	0.014374461586074673
TERF2IP	0.46370433188702975	0.0038998404400733045
MUC1	0.4638097023846934	0.0879811707291539
SLC11A2	0.4648654789133275	0.07441732792592237
GABPB1	0.46751345962556734	0.016374708764388343
OXCT1	0.4708048908104984	0.013451811708399429
SQSTM1	0.47268751498944844	0.05446321104970384
DENND2D	0.47381661018840915	0.1343511335653142
STAT1	0.4741175563889904	0.08074952671332383
CREG1	0.47588603554490205	0.05168036548821239
CAMSAP2	0.4760713181290054	0.0058382109106335815
SNCA	0.4764575899046936	0.5287007082247163
SENP6	0.47719047287664357	0.006936770057438761
REEP5	0.4791408252927967	0.0011749092500893965
MEST	0.48266296474832027	6.53103602114766e-4
RNMT	0.4845527267553976	0.04287736739423555
CCNA1	0.48483800754119716	0.7382083036050149
ZNF451	0.48600111018290587	0.019342580266000067
DCUN1D4	0.4914886709725054	0.013740117372473793
TLE1	0.4915944216317454	0.006365368843515944
CGRRF1	0.49296477118850207	0.02039085060571528
KDM3A	0.4942482165590789	0.03193099013937776
SHB	0.49869698228310116	0.037011020803160224
DYNLT3	0.5008143212686357	0.03704577270701372
BACE2	0.5010206149132937	0.0041681272629574195
VAT1	0.5037311058128907	0.0059107811909373
POLB	0.5038602559812314	0.01698244651960157
CSNK1A1	0.5084784588427566	0.001644777652761541
MAMLD1	0.5096242310867645	0.1076069431556835
TLR4	0.5097894275083594	0.6453294342596376
ASAH1	0.5167953982205113	0.027311768195549493
LYPLA1	0.5183901844283407	0.020886469719299052
PROS1	0.5187365788476289	0.07142620352583098
LPGAT1	0.5191893629051694	0.0016809614346195878
TRAM2	0.5215539134887681	0.01610311969621143
RBM34	0.5215656898000249	0.012781318285337552
TIMP2	0.5226194974803058	0.04904771185267892
CEP57	0.5330693013892233	0.0015788746651328293
PLP2	0.542471136710756	3.101319269286566e-4
PIK3CA	0.5477608253156405	0.0036439427546129943
PIGB	0.5509147909691151	0.013255340805435188
SLC35A1	0.5518682437873752	0.0037764243109488418
FBXO11	0.5520880372565093	0.013325310330206269
HEBP1	0.5530090315715895	0.0013057503808095539
APPBP2	0.5556740599837388	0.0011630120341527507
SCRN1	0.5648066520058429	0.002241484806674092
SLC35F2	0.5741647492507141	0.002011297666311404
EIF4EBP1	0.5759399516679968	0.007792009357863717
HSD17B11	0.5807051460025684	0.020970085832826838
ATP11B	0.5811947684916171	0.017802349459520403
TRIB1	0.5834892995291239	1.4400321748941422e-4
SOCS2	0.5848307918290082	0.02028343006043545
MACF1	0.5866081844132743	0.015493399163892689
NRAS	0.5868052889730282	0.0032633016872334122
CHN1	0.5895298709402793	0.030919852148579462
ATP1B1	0.5932934148354965	0.09020466379794691
RALA	0.5989514141537343	0.006121746447545829
NFKBIA	0.6012611149085643	0.06751601844648618
TXNL4B	0.607690866561296	7.378745603622034e-4
SSBP2	0.6136069987919248	0.009669272828612317
UBE2L6	0.6226573184198074	1.4350340266858547e-4
PTPRF	0.6226842278069401	5.714173580782244e-4
