Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
KIT	-4.258110145622256	0.2297357144706243
SPDEF	-3.569550750801649	2.630380068548328e-10
PRR15L	-3.018322354164701	5.125968720226813e-4
FGFR4	-2.887230743102989	2.3244531751845992e-7
PIK3R3	-2.8345960728346955	0.004080184007825014
FGFR2	-2.730385079836553	2.9709467236037795e-6
SOX2	-2.6400192523202786	5.127566968145872e-5
PAK6	-2.2209862563770892	0.06652685820320982
HSPA1A	-2.208285072707706	8.226185163747413e-7
CORO1A	-2.2019750575843022	7.371629810409392e-5
CCND3	-2.130239085785402	2.7929496222191494e-5
NT5DC2	-2.1275582116848577	8.968835380389553e-7
RAP1GAP	-2.0750628491466876	1.2470788253438774e-8
SYK	-2.032838526577072	0.0013698652111335872
SLC27A3	-1.971503479658278	4.93661974243814e-4
KIF20A	-1.8556198645962314	4.2163048813980313e-10
EXOSC4	-1.830353139355976	3.373529080234538e-8
VAV3	-1.7653098869585455	3.976822716630053e-6
E2F2	-1.7502185575386195	8.371996006835091e-5
AMDHD2	-1.7462186125440495	3.681943015877005e-7
SUV39H1	-1.7429730913539625	2.953479481577781e-7
ORC1	-1.7207884885610771	3.046031699022194e-8
CDC25A	-1.7091634496985373	2.679309006334159e-7
EBP	-1.6847582628419882	4.412090495702159e-9
LIG1	-1.6589413404030042	1.6470566788635198e-9
TIAM1	-1.6402259778063033	0.0028633390728582046
METRN	-1.6393068989073372	2.369404774399925e-4
MYBL2	-1.6309801033186284	1.2834106006435439e-5
ACAT2	-1.6290736591591273	1.0793654233406349e-10
TBX2	-1.6090074878556115	0.013847728541771277
MEF2C	-1.5804517660688984	0.9997250344360687
CCNF	-1.5304601562096805	2.5850082271086413e-8
SCAND1	-1.5293036788369925	4.3632825597768755e-4
MCM3	-1.5266455905563587	6.807841725025027e-8
TERT	-1.5192250508039813	0.0018100390904792632
CDC45	-1.5179867666831401	4.383604964183295e-4
COL1A1	-1.5169320929342336	5.053082227210101e-5
PLK1	-1.5102837289203326	2.2522890383613242e-8
CCNE2	-1.446519224297628	0.04115063936433347
BIRC5	-1.3825723118953537	5.382447189494986e-7
ADI1	-1.3815716403458593	7.460801007827574e-5
S100A4	-1.3525390749938637	1.9192294603642297e-4
SPR	-1.3197243154999172	8.456753532868866e-8
RAD9A	-1.3185593001128448	6.900024108997176e-7
CBR1	-1.2983580872442868	1.2988284184019099e-5
WFS1	-1.2950666270742737	1.3375942345203473e-4
CLTB	-1.2897322084814922	6.53381101981307e-8
CD320	-1.2702235845545626	0.001985958510591
PIN1	-1.2578443334325975	9.018598433143929e-4
FDFT1	-1.2474875371247398	1.1709979451064068e-6
TIMELESS	-1.2417938119390417	5.2714842177655666e-8
CDC20	-1.241740752689125	1.2711638713791106e-5
CRELD2	-1.233930701335235	1.2514865294965299e-5
GRWD1	-1.2106256327580869	6.757023945490997e-6
AURKB	-1.2061795771480506	4.7960807338089836e-5
EZH2	-1.2054820871218799	3.5325520003291934e-4
GPC1	-1.2009622078929778	0.0017000815179852094
RNPS1	-1.199046752048848	1.5309639988375778e-6
DNMT1	-1.1954808873365323	7.556070546938591e-6
HLA-DMA	-1.1835642197476004	0.0029669674253199234
LAGE3	-1.1824958404625714	1.0666709772049066e-4
NR2F6	-1.1669547116556584	4.165990842725908e-6
MCOLN1	-1.166859871173715	2.388275770859484e-5
HMGCS1	-1.1628336243295383	8.309571152123576e-4
PUF60	-1.159664307770949	3.300285760438549e-6
NOSIP	-1.1582815706643512	8.409177511937736e-6
MIF	-1.149414145072365	0.9997039082084446
NCAPD2	-1.1490526029369599	3.635245099247789e-8
TUBB6	-1.143015567394398	9.925074631056379e-5
BAG3	-1.1403428367309194	1.7350829270980097e-6
ATF5	-1.1386822941029144	1.1102340831364643e-5
HIST1H2BK	-1.136985408887374	0.003955236490422088
CHERP	-1.1308816198460028	5.4475300467253796e-5
HMG20B	-1.121384640140735	0.003048339284381936
PHKG2	-1.1146786574427576	6.668797180014681e-4
SFN	-1.114499092962442	0.037059762766758854
ABCB6	-1.1132647986620468	2.883525893046416e-7
PCNA	-1.1117219800301927	1.9907956809843582e-6
PGAM1	-1.1077429584444403	0.0012417336152702075
TMEM97	-1.093940540658196	2.743240472815246e-8
TSKU	-1.0926877882754584	3.9544247629122074e-4
HSPB1	-1.0893970008782325	6.44134031108757e-4
AKR7A2	-1.0866708743990243	0.004309287545664923
MPC2	-1.0816494685918272	0.008022119337643026
STAP2	-1.0786814875454889	0.5541799768681741
CCNA2	-1.0695339065695735	1.4022671551463236e-5
ICMT	-1.0677704082969988	1.1214778256737063e-4
PRSS23	-1.0668526931876958	2.4477825207647833e-5
RFC5	-1.0578685910607568	1.0086474331661452e-4
CCNB1	-1.0560225021890821	1.6743515632038637e-7
PSRC1	-1.0539454732373141	0.03462078672292248
DPH2	-1.0527616713863837	1.1865203961737885e-4
NUP62	-1.050741686585494	2.2122920461692565e-4
BMP4	-1.0461034330296988	2.9114095758130107e-5
CASP2	-1.0414639614846535	3.551106081298639e-6
AURKA	-1.0342560941548657	2.3483529634091068e-4
CEBPD	-1.0318411904539233	0.015965760828247976
TSTA3	-1.0312434688676524	3.4039990281566646e-5
KIF2C	-1.0306124151364247	6.510916807330015e-5
SLC5A6	-1.0250868487925433	9.556294429050243e-5
HSPA8	-1.0228626727229866	3.847368003528956e-5
EIF4G1	-1.0183428035489266	1.4008047251996246e-6
IFRD2	-1.0181777188861754	2.7543125846714215e-5
ICAM3	-1.0144243377842979	0.010759918461013575
PRR7	-1.006883235251093	0.02469918724580674
NSDHL	-1.0067042043188448	4.434973448346101e-6
TMEM109	-1.0058241463985462	1.63048926391845e-4
GMNN	-1.0003925818169135	3.4535499659454365e-6
