signatureid	compound	similarity
LINCSCP_46815	WZ 4002	-0.5286
LINCSCP_78029	Quinacrine	-0.5065
LINCSCP_108166	Bimatoprost	-0.4648
LINCSCP_3345	BRD-K77540020	-0.4589
LINCSCP_53741	CHEMBL475341	-0.4241
LINCSCP_199043	BRD-K57691575	-0.4199
LINCSCP_6311	Hydroxycholesterol	-0.4158
LINCSCP_107987	MLS002222336	-0.4091
LINCSCP_191034	N-(3-Acetamidophenyl)-3-chlorobenzamide	-0.4024
LINCSCP_108287	Macitentan	-0.4014
LINCSCP_77793	N6022	-0.3991
LINCSCP_47573	Phentolamine	-0.3985
LINCSCP_8278	BRD-K28431278	-0.3921
LINCSCP_51046	Cyclosporine	-0.3901
LINCSCP_8175	BRD-K62242359	-0.3882
LINCSCP_34169	BRD-K99017327	-0.388
LINCSCP_6216	BRD-K85694079	-0.3842
LINCSCP_8319	BRD-K80281472	-0.3824
LINCSCP_271201	Aggc	-0.3702
LINCSCP_78110	Sasapyrine	-0.3701
LINCSCP_163656	Dasatinib	-0.364
LINCSCP_272472	Norfloxacin	-0.3631
LINCSCP_131461	Y-39983	-0.3629
LINCSCP_89017	CHEMBL3188661	-0.3606
LINCSCP_6174	CHEMBL2355399	-0.3594
LINCSCP_108058	EDOXUDINE	-0.3592
LINCSCP_189577	ML130	-0.3564
LINCSCP_158878	SR-2640	-0.3556
LINCSCP_6354	Etya	-0.3556
LINCSCP_194902	CHEMBL2358849	-0.3544
LINCSCP_108020	Pimobendan	-0.3534
LINCSCP_51032	362-74-3	-0.3521
LINCSCP_39739	3-(4-Pyridyl)indole	-0.3511
LINCSCP_107971	ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE	-0.3477
LINCSCP_199495	BRD-K12916986	-0.3456
LINCSCP_164381	Rebastinib	-0.3432
LINCSCP_51169	SB-216763	-0.3419
LINCSCP_6479	Acetyl-Farnesyl-Cysteine	-0.3403
LINCSCP_53796	501919-59-1	-0.3402
LINCSCP_87930	Sorafenib	-0.3397
LINCSCP_49760	BRD-K72490684	-0.3392
LINCSCP_47520	Vincamine	-0.339
LINCSCP_53962	PS-1145	-0.3382
LINCSCP_108121	Ricolinostat	-0.3378
LINCSCP_89259	SCHEMBL15556278	-0.3375
LINCSCP_113355	GSK-3 Inhibitor IX	-0.3375
LINCSCP_108015	Nelarabine	-0.3372
LINCSCP_87808	SB590885	-0.3371
LINCSCP_78133	Levetiracetam	-0.3338
LINCSCP_25002	PG 490	-0.3335
LINCSCP_6442	MLS003179190	-0.3329
LINCSCP_68254	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	-0.3328
LINCSCP_6162	HMS1476K01	-0.3325
LINCSCP_62345	BRD-K10837204	-0.3296
LINCSCP_306968	BRD-K17973355	-0.3274
LINCSCP_303284	BRD-K28851694	-0.3273
LINCSCP_108228	Balapiravir	-0.327
LINCSCP_36932	PD-0325901	-0.3258
LINCSCP_8272	BRD-K01497355	-0.3249
LINCSCP_166246	Regorafenib	-0.3248
LINCSCP_78117	XL-147	-0.3244
LINCSCP_21387	Tyrphostin AG-1478	-0.3239
LINCSCP_108169	Emapunil	-0.323
LINCSCP_94319	Lonafarnib	-0.3219
LINCSCP_96163	Telatinib	-0.3215
LINCSCP_309992	BRD-K21994180	-0.321
LINCSCP_81496	BRD-A24396574-001-01-5	-0.3401
LINCSCP_192389	Pinacidil	-0.3327
