signatureid	compound	similarity
LINCSCP_191034	N-(3-Acetamidophenyl)-3-chlorobenzamide	-0.6578
LINCSCP_6311	Hydroxycholesterol	-0.6411
LINCSCP_47573	Phentolamine	-0.6168
LINCSCP_8377	BRD-K80195617	-0.5754
LINCSCP_6174	CHEMBL2355399	-0.5698
LINCSCP_8088	BRD-K04993985	-0.5677
LINCSCP_108020	Pimobendan	-0.567
LINCSCP_53741	CHEMBL475341	-0.5656
LINCSCP_8667	BRD-K41540007	-0.564
LINCSCP_49760	BRD-K72490684	-0.5591
LINCSCP_51046	Cyclosporine	-0.5579
LINCSCP_6216	BRD-K85694079	-0.5536
LINCSCP_199495	BRD-K12916986	-0.5518
LINCSCP_199043	BRD-K57691575	-0.5497
LINCSCP_3345	BRD-K77540020	-0.546
LINCSCP_194902	CHEMBL2358849	-0.5404
LINCSCP_247403	BRD-K81921806	-0.5395
LINCSCP_78110	Sasapyrine	-0.5393
LINCSCP_108228	Balapiravir	-0.5385
LINCSCP_27704	BRD-K65065275	-0.5381
LINCSCP_8117	BRD-K20597651	-0.533
LINCSCP_200033	BRD-K94393882	-0.5274
LINCSCP_56334	SC-514	-0.5251
LINCSCP_51110	Gly-Gly-Palo	-0.5221
LINCSCP_272472	Norfloxacin	-0.5138
LINCSCP_34855	BRD-K80848452	-0.5111
LINCSCP_310007	BRD-K33936059	-0.505
LINCSCP_8106	BRD-K17968366	-0.5049
LINCSCP_8686	BRD-K88607897	-0.5042
LINCSCP_306968	BRD-K17973355	-0.5013
LINCSCP_53796	501919-59-1	-0.501
LINCSCP_191070	4-(Pyridin-3-yloxy)-phthalonitrile	-0.5004
LINCSCP_19716	MLS002276503	-0.4968
LINCSCP_93984	LGX818	-0.4962
LINCSCP_78000	Bimatoprost	-0.4952
LINCSCP_293294	BRN 1087718	-0.4952
LINCSCP_8175	BRD-K62242359	-0.4934
LINCSCP_34169	BRD-K99017327	-0.4913
LINCSCP_62597	BRD-K95647562	-0.4899
LINCSCP_6354	Etya	-0.4876
LINCSCP_195307	BRD-K20763958	-0.4842
LINCSCP_6524	BL-074	-0.4838
LINCSCP_51032	362-74-3	-0.4814
LINCSCP_7746	Hydroxyprogesterone Caproate	-0.4803
LINCSCP_299434	BRD-K60826706	-0.48
LINCSCP_158878	SR-2640	-0.4796
LINCSCP_8319	BRD-K80281472	-0.4796
LINCSCP_228277	BRD-K80197532	-0.4791
LINCSCP_6442	MLS003179190	-0.4756
LINCSCP_271115	CHEMDIV2_001418	-0.474
LINCSCP_48413	BRD-K52468146-019-01-6	-0.4729
LINCSCP_43493	T6704841	-0.4727
LINCSCP_48128	BRD-K25565604	-0.4671
LINCSCP_27626	BRD-K93240833	-0.4663
LINCSCP_11562	Amthamine	-0.4648
LINCSCP_48120	BRD-K64523453	-0.4628
LINCSCP_108297	Levetiracetam	-0.4604
LINCSCP_199261	BRD-K25298364	-0.4569
LINCSCP_296090	Phenytoin	-0.4557
LINCSCP_79874	LY2157299	-0.455
LINCSCP_271201	Aggc	-0.4547
LINCSCP_7541	Cardiogenol C	-0.4537
LINCSCP_62345	BRD-K10837204	-0.453
LINCSCP_295550	BRD-K18059480	-0.4519
LINCSCP_6190	AC1O52XK	-0.451
