signatureid	compound	similarity
LINCSCP_33735	3,4'-Dimethoxyflavone	-0.9437
LINCSCP_36695	MK-2206	-0.8046
LINCSCP_33064	Tyrphostin 25	-0.7938
LINCSCP_33676	STOCK1N-09285	-0.785
LINCSCP_35443	Broad-Sai-609	-0.7618
LINCSCP_38309	SA-1459187	-0.7576
LINCSCP_133467	Doramapimod	-0.753
LINCSCP_38830	BRD-K52047316	-0.7419
LINCSCP_34752	Morin	-0.7415
LINCSCP_30575	AZD-1775	-0.7361
LINCSCP_37054	SA-1925621	-0.7301
LINCSCP_34890	CHEMBL3186769	-0.7295
LINCSCP_36838	Dovitinib	-0.7278
LINCSCP_38158	SA-102607	-0.7265
LINCSCP_33674	AM-92016	-0.7206
LINCSCP_31406	DASA-58	-0.7178
LINCSCP_133773	JW 55	-0.7167
LINCSCP_30291	MK2A Inhibitor	-0.716
LINCSCP_32517	ZSTK 474	-0.7139
LINCSCP_242688	BRD-K40566034	-0.7088
LINCSCP_33711	Nobiletin	-0.7055
LINCSCP_239940	AC1MGPVN	-0.7029
LINCSCP_143100	Bavisant (dihydrochloride hydrate)	-0.7029
LINCSCP_35307	BRD-K34160774	-0.7017
LINCSCP_33778	Mnitmt	-0.6981
LINCSCP_34020	SA-424589	-0.69
LINCSCP_30290	Indirubin-3'monoxime	-0.6796
LINCSCP_30307	DPO-1	-0.672
LINCSCP_38665	AT-9283	-0.6702
LINCSCP_34955	BRD-K31791559	-0.668
LINCSCP_33700	Ciglitazone	-0.6661
LINCSCP_36894	CHEMBL585951	-0.666
LINCSCP_131988	Buparlisib	-0.6632
LINCSCP_33637	U0126	-0.6605
LINCSCP_34036	BRD-K50521229	-0.6595
LINCSCP_36709	SCHEMBL17052537	-0.6574
LINCSCP_33477	Midostaurin	-0.6527
LINCSCP_242297	Tolazamide	-0.6526
LINCSCP_139615	MK-2461	-0.6497
LINCSCP_33320	CHEMBL323994	-0.6493
LINCSCP_30510	Gossypol	-0.6482
LINCSCP_253454	SA-1455938	-0.6471
LINCSCP_138252	AZ628	-0.6457
LINCSCP_133679	N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide	-0.6438
LINCSCP_38769	MLS004683634	-0.6405
LINCSCP_32495	PD-0325901	-0.6395
LINCSCP_137628	AZD7687	-0.6373
LINCSCP_30736	CHEMBL1242477	-0.6355
LINCSCP_31472	MLS002264451	-0.6353
LINCSCP_30146	Mitoxantrone	-0.6319
LINCSCP_34016	MLS000107177	-0.6281
LINCSCP_33680	16Beta-hydroxydisitoxigenin	-0.628
LINCSCP_33787	IMD-0354	-0.6274
LINCSCP_34417	Triamterene	-0.6273
LINCSCP_251225	PF-04217903	-0.6261
LINCSCP_140412	Ethacrynic acid	-0.6242
LINCSCP_31788	Zacopride	-0.6199
LINCSCP_243716	ZINC03978011	-0.6194
LINCSCP_244064	Leflunomide	-0.6187
LINCSCP_37927	SB225002	-0.6176
LINCSCP_38568	MLS004683642	-0.6171
LINCSCP_34632	BRD-K92923799-001-01-0	-0.6169
LINCSCP_37543	Lestaurtinib	-0.6158
LINCSCP_251946	JNJ-38877605	-0.6155
LINCSCP_30351	121083-05-4	-0.6152
LINCSCP_32785	sunitinib	-0.6152
LINCSCP_34656	Fluorouracil	-0.6151
LINCSCP_38326	Fenbendazole	-0.6144
LINCSCP_30484	SMER28	-0.6143
LINCSCP_131856	SCHEMBL3954849	-0.6139
LINCSCP_241484	Cilnidipine	-0.6137
LINCSCP_32342	N2-Methyl-5-nitro-n4-phenylpyrimidine-2,4,6-triamine	-0.6135
LINCSCP_32849	Sulconazole	-0.6126
LINCSCP_252956	SA-441092	-0.6121
LINCSCP_30766	COT-10B	-0.6105
LINCSCP_137809	CX-5461	-0.6098
LINCSCP_36357	3-Chloro-l-alanine	-0.6062
LINCSCP_36749	QL47	-0.605
LINCSCP_31793	Irinotecan	-0.6047
LINCSCP_142895	Alisertib	-0.6046
LINCSCP_31444	STK054715	-0.6036
LINCSCP_33130	PD-198306	-0.6013
LINCSCP_33677	SPECTRUM_001048	-0.6007
LINCSCP_135861	LY2784544	-0.5998
LINCSCP_36650	BX 912	-0.5965
LINCSCP_35696	Sildenafil	-0.5964
LINCSCP_32397	HY-11007	-0.5964
LINCSCP_36699	TORIN-2	-0.5949
LINCSCP_37343	SA-89735	-0.5948
LINCSCP_37385	SA-101686	-0.5947
LINCSCP_31611	CHEMBL1374544	-0.5944
LINCSCP_254372	Carvedilol	-0.5943
LINCSCP_36745	HG6-64-1	-0.5937
LINCSCP_33686	AC1NWAOX	-0.5928
LINCSCP_37991	BRD-K04856990	-0.5918
LINCSCP_30675	Kinetin Riboside	-0.5914
LINCSCP_34668	Monobenzone	-0.5888
LINCSCP_37127	SA-1939126	-0.5883
LINCSCP_142380	Elesclomol	-0.5881
LINCSCP_133526	Motesanib	-0.5874
LINCSCP_35683	3-Aminobenzamide	-0.5866
LINCSCP_132828	Lapatinib	-0.5865
LINCSCP_67247	Wortmannin	-0.586
LINCSCP_34235	BRD-K90543092-001-01-2	-0.5857
LINCSCP_142679	EVP-6124 (hydrochloride)	-0.5857
LINCSCP_36494	THZ-2-98-01	-0.5856
LINCSCP_33689	Norgestrel	-0.5849
LINCSCP_30258	4-Hydroxytamoxifen	-0.5846
LINCSCP_254444	SA-1921816	-0.5832
LINCSCP_133654	GSK-1070916	-0.5808
LINCSCP_34370	Ivermectin	-0.5798
LINCSCP_236802	SR-02000000244	-0.5784
LINCSCP_33795	1991-52-2	-0.5781
LINCSCP_33758	Mifepristone	-0.5777
LINCSCP_37032	SA-1938421	-0.5776
LINCSCP_30557	BX-795	-0.5769
LINCSCP_135414	Clofarabine	-0.5768
LINCSCP_133990	EMF-sumo1-1	-0.5751
LINCSCP_32737	WZ 3146	-0.5749
LINCSCP_37456	Niclosamide	-0.5749
LINCSCP_38001	BRD-K18170480	-0.5746
LINCSCP_132162	Linsitinib	-0.5744
LINCSCP_132855	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	-0.5743
LINCSCP_132863	TORIN1	-0.5734
LINCSCP_32794	WH-4025	-0.5733
LINCSCP_134028	PF-03758309	-0.5715
LINCSCP_31178	MLS002264455	-0.5712
LINCSCP_133508	HG-14-10-04	-0.5711
LINCSCP_36842	PF431396	-0.5706
LINCSCP_249253	BRD-K46815273	-0.5701
LINCSCP_33708	Prostoglandin A1	-0.5692
LINCSCP_32250	BRD-K80786583-001-01-5	-0.5692
LINCSCP_139640	Selumetinib	-0.5691
LINCSCP_239365	Latrunculin B	-0.5687
LINCSCP_37238	SA-1919710	-0.5687
LINCSCP_36240	Narciclasine	-0.5676
LINCSCP_131994	Foretinib	-0.5674
LINCSCP_37422	Ingenol 3,20-dibenzoate	-0.5668
LINCSCP_30244	BW-B-70C	-0.5666
LINCSCP_247219	BRD-K22127625	-0.5662
LINCSCP_30901	MLS002703105	-0.5659
LINCSCP_33342	IKK Inhibitor VII	-0.5646
LINCSCP_32457	Daph	-0.5642
LINCSCP_32436	BDBM50377913	-0.5641
LINCSCP_32120	SUGA1_010488	-0.5629
LINCSCP_135938	Danusertib	-0.5623
LINCSCP_36885	AT 7867	-0.5619
LINCSCP_30263	L 168049	-0.5605
LINCSCP_133533	761437-28-9	-0.5602
LINCSCP_31760	Tegaserod	-0.56
LINCSCP_33688	NSC25485	-0.5597
LINCSCP_139200	AP26113	-0.5596
LINCSCP_141812	Ginkgolide B	-0.5595
LINCSCP_33779	Bufalin	-0.5591
LINCSCP_32497	TAE-684	-0.559
LINCSCP_34318	Etofylline	-0.5588
LINCSCP_133515	WZ 4002	-0.5585
LINCSCP_31491	Flunisolide	-0.5582
LINCSCP_36556	OSI-027	-0.5567
LINCSCP_36588	GSK-3 Inhibitor IX	-0.5562
LINCSCP_131922	GSK 1059615	-0.5561
LINCSCP_138084	Penfluridol	-0.556
LINCSCP_32708	Ruxolitinib	-0.5554
LINCSCP_31102	MLS002264423	-0.5545
LINCSCP_37177	SA-96816	-0.5542
LINCSCP_34593	Bisacodyl	-0.5534
LINCSCP_32458	Everolimus	-0.9819
LINCSCP_32903	AMG-9810	-0.9786
LINCSCP_243652	Nafronyl	-0.9772
LINCSCP_37363	SA-1459854	-0.9725
LINCSCP_137076	Hydroflumethiazide	-0.9663
LINCSCP_34413	(+)-Tranylcypromine	-0.9531
LINCSCP_37338	SA-1459975	-0.9497
LINCSCP_37347	SA-424294	-0.9466
LINCSCP_34190	BRD-A94793051-001-01-0	-0.9459
LINCSCP_35963	AKT Inhibitor IV	-0.9407
LINCSCP_37286	CHEMBL3182585	-0.9397
LINCSCP_34189	CVF-SUMO-14	-0.9332
