similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.5356	4.1079e-28	360	TAS-103 (dihydrochloride)	LSM-45292	NA	3.33uM	24h	LINCSCP_102712	HELA
0.5158	7.2691e-26	360	Nilotinib	LSM-1099	ABL1|BCR|KIT	10uM	24h	LINCSCP_108359	HELA
0.5142	1.092e-25	360	GSK-461364	LSM-1013	PLK1	10uM	24h	LINCSCP_165622	SKL
0.5052	1.0353e-24	360	Phorbol Myristate Acetate	LSM-25630	NA	8.11uM	24h	LINCSCP_96911	HA1E
0.5032	1.675e-24	360	BIX01294	LSM-4571	EHMT2	10uM	24h	LINCSCP_165790	SKL
0.4993	4.2431e-24	360	BRD-K21918725	LSM-45229	NA	10uM	6h	LINCSCP_12445	CD34
0.4915	2.7222e-23	360	SGI-1776	LSM-6307	PIM1|PIM2|PIM3	10uM	24h	LINCSCP_165310	SKL
0.4901	3.802e-23	360	UNC0638	LSM-6325	NA	10uM	24h	LINCSCP_165874	SKL
0.488	6.134e-23	360	SMR000075319	LSM-6371	KPNB1	60uM	6h	LINCSCP_51031	RMUGS
0.4813	2.8708e-22	360	Osimertinib	LSM-6344	EGFR|ERBB2|ERBB3|ERBB4	10uM	24h	LINCSCP_165550	SKL
0.4784	5.4659e-22	360	Suloctidil	LSM-1469	NA	10uM	24h	LINCSCP_52481	SKB
0.4766	8.1511e-22	360	LDN 193189	LSM-1115	ACVR1|BMPR1A	10uM	6h	LINCSCP_53658	SNU1040
0.4697	3.6936e-21	360	Alectinib	LSM-1202	ALK|RET	10uM	24h	LINCSCP_102909	HELA
0.4589	3.7817e-20	360	pyrvinium-pamoate	NA	AR	10uM	6h	LINCSCP_51262	RMUGS
0.4561	6.8358e-20	360	O-Demethylated Adapalene	LSM-6237	RARG	10uM	6h	LINCSCP_954	A375
0.4528	1.3501e-19	360	Ingenol 3,20-dibenzoate	LSM-4445	PRKCD|PRKCE	10uM	6h	LINCSCP_882	A375
0.4526	1.4057e-19	360	Nilotinib	LSM-1099	ABL1|BCR|KIT	10uM	6h	LINCSCP_47030	PC3
