similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
0.7213	1.5181e-67	413	SPOX1_000651	LSM-4624	NA	10uM	24h	LINCSCP_58583	VCAP
0.7099	1.4551e-64	413	SPOX1_002925	LSM-4769	NA	10uM	6h	LINCSCP_58510	VCAP
0.7054	2.0553e-63	413	Radicicol	LSM-43303	NA	0.37uM	3h	LINCSCP_145858	MDAMB231
0.7025	1.0898e-62	413	SPOX1_000651	LSM-4624	NA	10uM	6h	LINCSCP_58726	VCAP
0.7018	1.5988e-62	413	LY 2183240	LSM-2839	FAAH	10uM	6h	LINCSCP_57122	VCAP
0.6968	2.6885e-61	413	AC1O9EM7	LSM-4668	NA	10uM	6h	LINCSCP_58743	VCAP
0.6943	1.0871e-60	413	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.12uM	3h	LINCSCP_145943	MDAMB231
0.6923	3.3357e-60	413	Cadmium Dichloride	LSM-37028	NA	20uM	24h	LINCSCP_17088	HA1E
0.6889	2.1031e-59	413	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	6h	LINCSCP_294953	VCAP
0.6868	6.5642e-59	413	BIIB 021	LSM-5627	HSP90AA1	10uM	6h	LINCSCP_58737	VCAP
0.6763	1.6223e-56	413	SCHEMBL16226502	LSM-43056	HSP90AA1	1uM	6h	LINCSCP_64565	VCAP
0.6761	1.7527e-56	413	BRD-A24396574-001-01-5	LSM-5006	NA	3.33uM	3h	LINCSCP_145766	MDAMB231
0.6729	9.0086e-56	413	MLS-0435555.0001	LSM-4876	NA	10uM	24h	LINCSCP_58370	VCAP
0.6727	9.7637e-56	413	AC1O9CBL	LSM-4596	NA	10uM	6h	LINCSCP_58471	VCAP
0.6693	5.4014e-55	413	SPOX1_002925	LSM-4769	NA	10uM	24h	LINCSCP_58430	VCAP
0.6665	2.2773e-54	413	Radicicol	LSM-43303	NA	0.12uM	3h	LINCSCP_163353	SKBR3
0.6651	4.4604e-54	413	SCHEMBL16226502	LSM-43056	HSP90AA1	5uM	6h	LINCSCP_64567	VCAP
0.6566	2.7416e-52	413	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	1.11uM	3h	LINCSCP_145941	MDAMB231
0.6526	1.8043e-51	413	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	0.04uM	3h	LINCSCP_115397	HS578T
0.6509	3.9796e-51	413	Radicicol	LSM-43303	NA	0.04uM	3h	LINCSCP_145860	MDAMB231
0.6438	1.0428e-49	413	AKT Inhibitor IV	LSM-43091	AKT1	10uM	6h	LINCSCP_57105	VCAP
0.6425	1.8478e-49	413	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	3.33uM	3h	LINCSCP_163434	SKBR3
0.6422	2.1736e-49	413	SPOX1_000651	LSM-4624	NA	10uM	24h	LINCSCP_10890	ASC
0.6414	3.0638e-49	413	NVP-BHG712	LSM-1201	NA	10uM	24h	LINCSCP_165060	SKL.C
