signatureid	compound	similarity
LINCSCP_24533	sorafenib	-0.5992
LINCSCP_28458	Tigecycline	-0.5326
LINCSCP_122707	AT13387	-0.5241
LINCSCP_5110	2-(3-Chlorophenyl)-5-(prop-2-en-1-ylamino)-1,3-oxazole-4-carbonitrile	-0.4822
LINCSCP_3427	BRD-K53808186	-0.4758
LINCSCP_44120	GR-127935	-0.46
LINCSCP_2040	SPB02137	-0.4541
LINCSCP_102136	Dacarbazine	-0.4524
LINCSCP_45624	ML239	-0.44
LINCSCP_9604	Niclosamide	-0.4308
LINCSCP_2193	AC1O52XK	-0.4307
LINCSCP_118	6-(4-Hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid	-0.43
LINCSCP_309994	BRD-K23073505	-0.4291
LINCSCP_24464	AZ628	-0.4243
LINCSCP_99617	BX 912	-0.4237
LINCSCP_51768	QL47	-0.4214
LINCSCP_9588	AKT Inhibitor IV	-0.4213
LINCSCP_179107	SPB02303	-0.4211
LINCSCP_24548	Aurora A Inhibitor I	-0.421
LINCSCP_150898	Buparlisib	-0.4189
LINCSCP_131718	CHEMBL585951	-0.41
LINCSCP_57	SB-218078	-0.4078
LINCSCP_18539	SC-560	-0.4059
LINCSCP_101655	GLPG0634	-0.4045
LINCSCP_9031	CHEMBL2361748	-0.4014
LINCSCP_25837	Rucaparib	-0.4008
LINCSCP_2389	AZD-6482	-0.3987
LINCSCP_38303	SA-1457458	-0.3985
LINCSCP_7081	MFCD00671792	-0.3984
LINCSCP_2431	Reversine	-0.3968
LINCSCP_9627	Omacetaxine Mepesuccinate	-0.3964
LINCSCP_150814	AZD-1152-HQPA	-0.3947
LINCSCP_444	PRESTWICK3_000646	-0.3931
LINCSCP_283034	Veliparib	-0.3928
LINCSCP_2045	NCGC00170564-01	-0.3915
LINCSCP_24591	WZ 4002	-0.3913
LINCSCP_116251	Dovitinib	-0.3896
LINCSCP_2157	ON-01910	-0.3891
LINCSCP_7238	SKF 81297	-0.3877
LINCSCP_3641	BRD-K86786416	-0.3868
LINCSCP_19180	GSK-3 Inhibitor II	-0.3866
LINCSCP_38058	BRD-K46666779	-0.3857
LINCSCP_10418	ICG-001	-0.3835
LINCSCP_2060	BRD4770	-0.3834
LINCSCP_99455	CHEMBL1083527	-0.3823
LINCSCP_101764	ARTESUNATE	-0.382
LINCSCP_440	AC1MR9ZN	-0.3819
LINCSCP_151307	Linifanib	-0.3818
LINCSCP_201911	PJ34	-0.3817
LINCSCP_36453	CI-1040	-0.3815
LINCSCP_44779	N6-Cyclopentyladenosine	-0.3815
LINCSCP_178765	Glimepiride	-0.3809
LINCSCP_24467	Seliciclib	-0.3802
LINCSCP_18622	Nizatidine	-0.3795
LINCSCP_1722	CID 46937231	-0.3786
LINCSCP_161942	BX471	-0.3786
LINCSCP_24459	GSK-3 Inhibitor IX	-0.3772
LINCSCP_178655	CHEMBL306319	-0.3761
LINCSCP_24630	Imatinib	-0.3748
LINCSCP_24482	BMS-345541	-0.3743
LINCSCP_46610	Amonafide	-0.374
LINCSCP_151330	TAE-684	-0.3738
LINCSCP_187509	GSK-1070916	-0.3734
LINCSCP_49418	COL-3	-0.3732
LINCSCP_17916	D-Erythro-MAPP	-0.3728
LINCSCP_244375	Cilnidipine	-0.3714
LINCSCP_24523	SCHEMBL1564574	-0.3695
LINCSCP_184484	BRD-K34684441	-0.3694
LINCSCP_153954	Odanacatib (MK-0822)	-0.3693
LINCSCP_91	SCHEMBL12187882	-0.3692
LINCSCP_48191	BRD-K56215828	-0.3689
LINCSCP_119245	Solifenacin succinate	-0.36870000000000003
LINCSCP_160461	ACEXAMIC ACID	-0.3673
LINCSCP_87577	SCHEMBL3954849	-0.367
LINCSCP_27023	GSK 3BETA Inhibitor VIII	-0.366
LINCSCP_2609	Phenacetin	-0.3654
LINCSCP_53721	BML-259	-0.3653
LINCSCP_1003	PI-103	-0.3653
LINCSCP_36358	3-Chloro-l-alanine	-0.3647
LINCSCP_35767	Quinacrine	-0.3643
LINCSCP_29839	OSI-027	-0.364
LINCSCP_116220	Enzastaurin	-0.3637
LINCSCP_310090	ACON1_002471	-0.3631
LINCSCP_48196	BRD-K63158888	-0.3613
LINCSCP_35736	PG 490	-0.3607
LINCSCP_38809	BRD-K72490684	-0.3606
LINCSCP_24647	PF-562271	-0.36
LINCSCP_34628	NCGC00018127-01	-0.3589
LINCSCP_154438	Latanoprost	-0.3584
LINCSCP_4315	Homatropine hydrobromide	-0.3575
LINCSCP_193210	5-Methylfurmethide	-0.3575
LINCSCP_50745	BIBR-1532	-0.3567
LINCSCP_29670	WYE 125132	-0.3566
LINCSCP_2167	KUC106502N	-0.3532
LINCSCP_24584	SCHEMBL15556278	-0.3531
LINCSCP_81235	Radicicol	-0.3528
LINCSCP_24505	CHEMBL2132289	-0.3524
LINCSCP_116145	CP-724714	-0.3521
LINCSCP_2205	NCGC00170233-01	-0.351
LINCSCP_1076	SMR001318077	-0.3503
LINCSCP_130660	PIK-93	-0.3498
LINCSCP_115381	YM 201636	-0.3497
LINCSCP_51508	HG6-64-1	-0.3493
LINCSCP_34397	Zoxazolamine	-0.3493
LINCSCP_34584	DSSTOX_CID_25343	-0.3493
LINCSCP_24640	HY-11007	-0.3486
LINCSCP_27995	CHEMBL3185581	-0.3483
LINCSCP_115076	C19H19FN4O3	-0.348
LINCSCP_24469	GW-5074	-0.3474
LINCSCP_53659	ZINC01050121	-0.3471
LINCSCP_18378	Pyrazolanthrone	-0.3465
LINCSCP_49072	BRD-K02375958	-0.3465
LINCSCP_49769	AZD-1152HQPA	-0.3463
LINCSCP_25643	ABT-751	-0.3461
LINCSCP_127623	Malotilate	-0.3459
LINCSCP_24441	AS601245	-0.3452
LINCSCP_1967	CHEMDIV1_016684	-0.3452
LINCSCP_27818	BRD-K75368232	-0.3449
LINCSCP_116754	Sirolimus	-0.3448
LINCSCP_45628	MLS002699813	-0.3447
LINCSCP_17857	UB-165	-0.3445
LINCSCP_40106	AZD-2014	-0.3443
LINCSCP_29075	STK178014	-0.344
LINCSCP_24539	WH-4-023	-0.344
LINCSCP_102153	Gimeracil	-0.3435
LINCSCP_53676	Skiii	-0.3434
LINCSCP_24479	AT-7519	-0.3432
LINCSCP_24547	Tivozanib	-0.3431
LINCSCP_192365	SRC Kinase Inhibitor II	-0.3428
LINCSCP_66243	Gossypol	-0.3412
LINCSCP_7007	CHEBI:48565	-0.3412
LINCSCP_34614	Benzethonium	-0.3411
LINCSCP_85406	WH-4-025	-0.341
LINCSCP_7068	UNII-U7RWT9J78O	-0.3409
LINCSCP_1365	Rottlerin	-0.3399
LINCSCP_9337	3,7-Bis(dimethylamino)phenothiazin-5-ium	-0.3399
LINCSCP_186747	BRD-K34230554	-0.3398
LINCSCP_151074	Linsitinib	-0.3397
LINCSCP_36087	Dactolisib	-0.3395
LINCSCP_82162	ABT737	-0.3392
LINCSCP_2313	13-Cis-retinol	-0.3392
LINCSCP_6724	QL-X-138	-0.339
LINCSCP_17668	Gallocatechin Gallate	-0.3388
LINCSCP_129004	GSK-J2	-0.3387
LINCSCP_200896	CHEMBL3400875	-0.3386
LINCSCP_29812	CGP 60474	-0.3385
LINCSCP_161680	Nesbuvir	-0.3381
LINCSCP_9787	AC1Q6JJ5	-0.338
LINCSCP_975	TPCA-1	-0.3376
LINCSCP_116883	Tivantinib	-0.3376
LINCSCP_27254	BRN 1601185	-0.3376
LINCSCP_32347	STK568087	-0.3375
LINCSCP_101232	Nicardipine	-0.3374
LINCSCP_164024	A-443654	-0.3373
LINCSCP_131015	Apitolisib (gdc-0980, rg7422)	-0.337
LINCSCP_269782	Clobenpropit	-0.3369
LINCSCP_2188	AC1MTJVV	-0.3367
LINCSCP_131184	Tamatinib	-0.3361
LINCSCP_17719	Capsaicin	-0.336
LINCSCP_131305	GSK-1904529A	-0.3354
LINCSCP_254418	SA-1920080	-0.3352
LINCSCP_2484	PIK-75	-0.3347
LINCSCP_36938	XMD15-27	-0.3345
LINCSCP_73618	FK 866	-0.3343
LINCSCP_29781	ZSTK 474	-0.3342
LINCSCP_4878	MLS000108814	-0.3341
LINCSCP_24627	WZ3105	-0.3341
LINCSCP_150863	PHA-665752	-0.3337
LINCSCP_5134	MLS-0004183.0001	-0.3337
LINCSCP_34405	Thioguanosine	-0.3336
LINCSCP_124875	Cediranib	-0.3336
LINCSCP_47458	CHEMBL1624052	-0.3334
LINCSCP_154128	SPARFLOXACIN	-0.3331
LINCSCP_24633	Quizartinib	-0.333
LINCSCP_44169	PI828	-0.3329
LINCSCP_201968	Menadione	-0.3329
LINCSCP_26244	MLS002607739	-0.3329
LINCSCP_310202	ST51005413	-0.3326
LINCSCP_53692	Quiflapon	-0.3324
LINCSCP_152991	Disopyramide	-0.3323
LINCSCP_25960	Carbazole, 9-(4-methylbenzoyl)-	-0.3315
LINCSCP_152784	(8Xi,11beta,14xi,16beta)-21-Chloro-9-fluoro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-dien-17-yl propanoate	-0.3313
LINCSCP_494	Methylergonovine	-0.3311
LINCSCP_2136	AB01274770-01	-0.3308
LINCSCP_205485	KUC105208 KUC105208N	-0.3306
LINCSCP_2236	PD-173074	-0.3305
LINCSCP_153823	Prochlorperazine	-0.3305
LINCSCP_102783	Tipranavir	-0.3301
LINCSCP_90973	Argatroban	-0.3301
LINCSCP_53666	GW 405833	-0.3299
LINCSCP_2616	CGP 57380	-0.3295
LINCSCP_115176	PF431396	-0.3292
LINCSCP_85883	Pictilisib	-0.3292
LINCSCP_34564	GNF-PF-2808	-0.3292
LINCSCP_34352	Clofilium	-0.3291
LINCSCP_28936	U 0126	-0.329
LINCSCP_24598	Crizotinib	-0.3285
LINCSCP_36917	EX-8678	-0.3281
LINCSCP_44375	JWH-015	-0.328
LINCSCP_17881	SKF-77434	-0.3279
LINCSCP_68079	Wortmannin	-0.3278
LINCSCP_116525	GW843682X	-0.3275
LINCSCP_48595	BRD-K91461129	-0.3275
LINCSCP_8050	YL-54	-0.3274
LINCSCP_53655	CHEMBL1242477	-0.3274
LINCSCP_102187	Tofacitinib (CP-690550) Citrate	-0.3274
LINCSCP_72492	Irinotecan	-0.3268
LINCSCP_151209	MK-2206	-0.3268
LINCSCP_28997	ST076228	-0.3265
LINCSCP_53708	PD-98059	-0.3264
LINCSCP_253391	BRD-K85605624	-0.326
LINCSCP_36364	Narciclasine	-0.3259
LINCSCP_9284	Cucurbitacin-I	-0.3259
LINCSCP_25459	SMR001317659	-0.3257
LINCSCP_9720	SMR000162699	-0.3256
LINCSCP_43863	Daunorubicin	-0.3254
LINCSCP_1905	Triptolide	-0.3254
LINCSCP_24500	CHEMBL552425	-0.3253
LINCSCP_44627	Amoxapine	-0.3247
LINCSCP_34545	Avermectin	-0.3247
LINCSCP_114364	VE-821	-0.3246
LINCSCP_45597	KUC104491N	-0.3244
LINCSCP_999	TGX-115	-0.3244
LINCSCP_282900	AC1MSUFC	-0.3243
LINCSCP_21435	Dabrafenib	-0.3241
LINCSCP_99408	Mitoxantrone	-0.3239
LINCSCP_25418	YK 4-279	-0.3237
LINCSCP_220258	Vemurafenib	-0.3235
LINCSCP_235853	Bithionol	-0.3234
LINCSCP_2722	Semaxanib	-0.3234
LINCSCP_17694	DG-041	-0.3231
LINCSCP_215488	Temozolomide	-0.323
LINCSCP_24486	CP466722	-0.323
LINCSCP_24489	PLX-4720	-0.323
LINCSCP_29793	TORIN-2	-0.323
LINCSCP_179588	Staurosporine Aglycon	-0.3229
LINCSCP_36430	Alvocidib	-0.3229
LINCSCP_24514	TORIN1	-0.3224
LINCSCP_51701	AZD-8055	-0.3221
LINCSCP_79981	SPECTRUM_001579	-0.3219
LINCSCP_116430	Erlotinib	-0.3218
LINCSCP_24593	SCHEMBL17052537	-0.3216
LINCSCP_53673	COT-10B	-0.321
LINCSCP_49411	Avicin-D	-0.4169
LINCSCP_49415	Avicin-G	-0.3329
LINCSCP_280023	Oxetane	-0.3316
