similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
-0.9611	9.5976e-6	10	Sepantronium	LSM-5399	BIRC5	0.5uM	6h	LINCSCP_19588	HCC515
0.9588	0	10	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	24h	LINCSCP_67914	PC3
0.9563	0	10	AZD-1775	LSM-1153	WEE1	10uM	24h	LINCSCP_94876	HA1E
0.9558	0	10	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	1uM	6h	LINCSCP_36088	MCF7
0.954	0	10	BS-181	LSM-6305	NA	0.04uM	24h	LINCSCP_148720	NPC
0.9527	0	10	Carbazole, 9-(4-methylbenzoyl)-	LSM-3597	NA	10uM	6h	LINCSCP_267968	PC3
0.9475	0	10	BRD-K29309835	LSM-38863	NA	10uM	6h	LINCSCP_278594	PC3
0.9462	0	10	SCHEMBL1564574	LSM-1006	CHEK1|CHEK2	10uM	6h	LINCSCP_11952	BT20
-0.9433	0	10	IAA-94	LSM-3913	NA	10uM	6h	LINCSCP_14309	HA1E
-0.9431	0	10	BRD-K11533227	LSM-36781	NA	3uM	24h	LINCSCP_49219	PC3
-0.937	1e-4	10	ST022313	LSM-4659	NA	10uM	24h	LINCSCP_294869	VCAP
0.9368	1e-4	10	BRD-K80138901	LSM-14943	NA	5uM	24h	LINCSCP_27428	HT29
0.9348	1e-4	10	Liothyronine	LSM-3991	THRA|THRB	10uM	24h	LINCSCP_30303	MCF7
-0.933	1e-4	10	MST-312	LSM-6230	TERT	10uM	6h	LINCSCP_53447	SKMEL28
0.9304	1e-4	10	BRD-K74046820	LSM-14920	NA	10uM	24h	LINCSCP_48460	PC3
-0.93	1e-4	10	Quinacrine	LSM-1577	TP53	10uM	6h	LINCSCP_12897	EFO27
0.93	1e-4	10	CHEMBL3188607	LSM-41211	NA	5uM	24h	LINCSCP_3411	A375
0.9297	1e-4	10	Minaprine	LSM-2037	HTR2B|SLC6A4	0.04uM	24h	LINCSCP_122115	HT29
0.9292	1e-4	10	BRD-K16752617	LSM-9440	NA	5uM	24h	LINCSCP_27476	HT29
-0.929	1e-4	10	Trichostatin	LSM-43005	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	6h	LINCSCP_36407	MCF7
0.9282	1e-4	10	CHEMBL1208118	LSM-3598	ENTPD3	10uM	6h	LINCSCP_44653	PC3
0.9271	1e-4	10	HMN-214	LSM-42802	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET	10uM	24h	LINCSCP_83890	ASC.C
0.927	1e-4	10	BRD-K44200196	LSM-39704	NA	5uM	24h	LINCSCP_48116	PC3
0.926	1e-4	10	Zileuton	LSM-5084	ALOX5	100uM	6h	LINCSCP_207774	H1299
0.925	1e-4	10	PU-H-71	LSM-5492	HSP90AA1	10uM	24h	LINCSCP_52375	SKB
-0.9233	1e-4	10	CGP 60474	LSM-1025	CDK1	1.11uM	3h	LINCSCP_133027	MCF7
0.923	1e-4	10	Alpelisib	LSM-4256	PIK3CA	10uM	3h	LINCSCP_85734	BT20
-0.922	1e-4	10	M3M3FBS	LSM-2196	PLCB2|PLCB3|PLCD1|PLCG1|PLCG2	80uM	6h	LINCSCP_50927	RMGI
0.9217	1e-4	10	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	3h	LINCSCP_86340	BT20
0.9208	2e-4	10	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	24h	LINCSCP_120413	HT29
0.9198	2e-4	10	AC1MDRA3	LSM-4493	NA	10uM	6h	LINCSCP_20387	HCC515
0.9188	2e-4	10	Terazosin	LSM-4997	ADRA1A|ADRA1B|ADRA1D	10uM	24h	LINCSCP_188808	A549
0.9179	2e-4	10	BRD-K96343378	LSM-42498	NA	10uM	6h	LINCSCP_311938	VCAP
-0.9175	2e-4	10	CX-5461	LSM-6342	NA	3.33uM	24h	LINCSCP_121230	HT29
0.9171	2e-4	10	Lovastatin	LSM-2189	HMGCR	1uM	6h	LINCSCP_53269	SKM1
0.9167	2e-4	10	CHEMBL254777	LSM-3059	GRM1	10uM	6h	LINCSCP_30374	MCF7
0.9162	2e-4	10	PD-173074	LSM-1026	FGFR1|FGFR3	0.12uM	24h	LINCSCP_111725	HEPG2
0.9162	2e-4	10	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	3.33uM	3h	LINCSCP_113488	HME1
0.9162	2e-4	10	Cobicistat (GS-9350)	LSM-45771	CYP3A4|CYP3A43|CYP3A5|CYP3A7|CYP3A7-CYP3A51P	0.04uM	24h	LINCSCP_120412	HT29
0.9156	2e-4	10	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	10uM	6h	LINCSCP_235483	MCF10A
-0.9155	2e-4	10	Felbamate	LSM-4232	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B	1.11uM	24h	LINCSCP_73517	A375
0.9143	2e-4	10	Alisertib	LSM-37184	AURKA	0.04uM	24h	LINCSCP_21016	HCC515
0.9141	2e-4	10	CHEMDIV3_009089	LSM-36627	NA	10uM	6h	LINCSCP_23565	HEPG2
0.9134	2e-4	10	MLS000709026	LSM-43139	RAD51	40uM	24h	LINCSCP_30492	MCF7
0.9132	2e-4	10	TORIN-2	LSM-1080	MTOR	3.33uM	3h	LINCSCP_115279	HS578T
-0.9127	2e-4	10	Vidarabine	LSM-5800	ADA	10uM	6h	LINCSCP_16996	HA1E
-0.9113	2e-4	10	TyrphostinAG835	LSM-42895	EGFR	10uM	6h	LINCSCP_27086	HT29
0.9113	2e-4	10	Buparlisib	LSM-1148	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.37uM	24h	LINCSCP_99507	HCC515
0.9113	2e-4	10	AZD-1775	LSM-1153	WEE1	10uM	6h	LINCSCP_57148	VCAP
0.9107	2e-4	10	LY451395	LSM-45718	GRIA1|GRIA2|GRIA3|GRIA4	3.33uM	24h	LINCSCP_122525	HT29
-0.9107	2e-4	10	Gefitinib	LSM-1098	EGFR	0.04uM	24h	LINCSCP_95569	HA1E
0.9082	3e-4	10	BRD-K52208857	LSM-40155	NA	5uM	24h	LINCSCP_59890	VCAP
-0.9082	3e-4	10	Sorafenib	LSM-1008	BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET	10uM	24h	LINCSCP_13159	FIBRNPC
0.9079	3e-4	10	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	1.11uM	3h	LINCSCP_115364	HS578T
-0.9076	3e-4	10	MLS000766411	LSM-4603	NA	10uM	6h	LINCSCP_46343	PC3
-0.9074	3e-4	10	AZD-5438	LSM-1159	CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9	10uM	3h	LINCSCP_131682	MCF10A
0.9072	3e-4	10	SA-1919551	LSM-37598	NA	3uM	6h	LINCSCP_253635	MCF7
0.9072	3e-4	10	QL47	LSM-6019	BMX|BTK	0.04uM	24h	LINCSCP_151428	PC3
0.9069	3e-4	10	BCB03_000797	LSM-36635	NA	10uM	6h	LINCSCP_48631	PC3
0.9063	3e-4	10	Roquinimex	LSM-2046	NA	3.33uM	24h	LINCSCP_122225	HT29
0.9061	3e-4	10	TAE-684	LSM-1024	ALK	0.1uM	24h	LINCSCP_222375	HS578T
0.9061	3e-4	10	BMS-299897	LSM-6207	NA	10uM	24h	LINCSCP_122164	HT29
0.9061	3e-4	10	Albendazole	LSM-3782	NA	10uM	6h	LINCSCP_180866	A375
0.9059	3e-4	10	Tyrphostin AG 538	LSM-42862	NA	10uM	24h	LINCSCP_17913	HCC515
0.9047	3e-4	10	Fluperlapine	LSM-2343	NA	10uM	6h	LINCSCP_7678	A549
0.904	3e-4	10	MLN-8054	LSM-1066	AURKA	0.04uM	24h	LINCSCP_148146	NPC.CAS9
0.904	3e-4	10	CHEMBL3183436	LSM-15092	NA	0.001uM	24h	LINCSCP_250457	MCF7
-0.9035	3e-4	10	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	0.12uM	24h	LINCSCP_49587	PC3
0.9032	3e-4	10	BRD-K54585147	LSM-11740	NA	5uM	6h	LINCSCP_63940	VCAP
0.9016	4e-4	10	SU-4312	LSM-2454	KDR	10uM	24h	LINCSCP_56032	VCAP
-0.9016	4e-4	10	BRD-K00150267	LSM-45400	NA	0.04uM	24h	LINCSCP_170381	YAPC
0.9016	4e-4	10	Taranabant	LSM-45803	CNR1	0.12uM	24h	LINCSCP_121155	HT29
-0.9015	4e-4	10	BRD-K95118263	LSM-45359	NA	10uM	6h	LINCSCP_310207	VCAP
0.9014	4e-4	10	Alpha-Solanine	LSM-3583	NA	10uM	6h	LINCSCP_290474	VCAP
0.9014	4e-4	10	Dofequidar (fumarate)	LSM-45877	NA	10uM	24h	LINCSCP_169830	YAPC
0.9009	4e-4	10	Sumatriptan	LSM-5618	HTR1A|HTR1B|HTR1D|HTR1F	0.12uM	24h	LINCSCP_172072	YAPC
0.9009	4e-4	10	BRD-K32323656	LSM-10387	NA	5uM	24h	LINCSCP_27500	HT29
0.9008	4e-4	10	Glyburide	LSM-2811	ABCC8|CFTR|KCNJ11|KCNJ5|KCNJ8	10uM	24h	LINCSCP_272504	PC3
0.9006	4e-4	10	SB-216641	LSM-2671	HTR1B|HTR1D	10uM	6h	LINCSCP_56549	VCAP
0.9	4e-4	10	Palmidrol	LSM-3518	CNR2|GPR119	10uM	6h	LINCSCP_18725	HCC515
0.8999	4e-4	10	Tamoxifen	LSM-42959	ESR1|ESR2	0.37uM	24h	LINCSCP_110950	HELA
0.8998	4e-4	10	BRD-A29342309	LSM-36869	NA	10uM	6h	LINCSCP_43270	NPC
0.8994	4e-4	10	Cisaprida	LSM-2133	HTR4|KCNH2	10uM	6h	LINCSCP_178712	A375
-0.8993	4e-4	10	MLS000038113	LSM-4839	NA	10uM	24h	LINCSCP_52334	SKB
