signatureid	compound	similarity
LINCSCP_14309	IAA-94	-0.9433
LINCSCP_16996	Vidarabine	-0.9127
LINCSCP_92470	Actarit	-0.8944
LINCSCP_91726	LXR-623	-0.8816
LINCSCP_95995	Thioguanine	-0.8738
LINCSCP_93488	S18986	-0.8497
LINCSCP_15707	CHEMBL1521956	-0.8432
LINCSCP_91546	Pidotimod	-0.8392
LINCSCP_91847	Temoporfin	-0.834
LINCSCP_15760	2-(2,5-Dimethoxyphenylcarbamoyl)phenyl acetate	-0.8266
LINCSCP_15005	Articaine	-0.8197
LINCSCP_92883	Iguratimod	-0.8183
LINCSCP_89796	Zaprinast	-0.8073
LINCSCP_94837	SPECTRUM_001873	-0.8045
LINCSCP_87990	Pictilisib	-0.8044
LINCSCP_209313	Coumarin	-0.8014
LINCSCP_212409	CB7993113	-0.7994
LINCSCP_15063	SCHEMBL2394914	-0.7987
LINCSCP_91283	TH-302	-0.7931
LINCSCP_93570	ICI 182,780	-0.7883
LINCSCP_17095	HDACi1,2+3_mix	-0.7869
LINCSCP_17480	Raloxifene	-0.7864
LINCSCP_89113	301836-43-1	-0.7851
LINCSCP_90479	Tamatinib	-0.7806
LINCSCP_93014	Ledipasvir	-0.7775
LINCSCP_17045	Fluorouracil	-0.7751
LINCSCP_14666	Nadolol	-0.7706
LINCSCP_88087	PD-173074	-0.7645
LINCSCP_92652	Pomalidomide	-0.7638
LINCSCP_16278	BRD-8899	-0.7634
LINCSCP_13955	Melperone	-0.7587
LINCSCP_17370	Sirolimus	-0.7574
LINCSCP_212309	Genistein	-0.7555
LINCSCP_97092	BRD-A02747686	-0.7527
LINCSCP_92940	Raclopride	-0.7509
LINCSCP_15077	Anpirtoline	-0.7501
LINCSCP_88847	852475-26-4	-0.7467
LINCSCP_15067	PAC-1	-0.7464
LINCSCP_92421	BRD-A69421747	-0.7447
LINCSCP_97147	Glycopyrrolate	-0.7442
LINCSCP_92107	Piretanide	-0.7421
LINCSCP_92399	PF-04620110	-0.7416
LINCSCP_92846	Dofequidar (fumarate)	-0.7414
LINCSCP_87940	SCHEMBL6874948	-0.7398
LINCSCP_92857	Gemcitabine	-0.734
LINCSCP_93855	Protriptyline	-0.7323
LINCSCP_17047	Chlorotrianisene	-0.7312
LINCSCP_17275	CHEMBL2152358	-0.7311
LINCSCP_16722	Elliptecine	-0.7292
LINCSCP_210513	CHEMBL1509101	-0.7284
LINCSCP_92465	Cytarabine	-0.7266
LINCSCP_93401	Bupivacaine	-0.7261
LINCSCP_94495	VILAZODONE HYDROCHLORIDE	-0.7249
LINCSCP_88185	ZSTK 474	-0.7237
LINCSCP_92734	Bitopertin	-0.7225
LINCSCP_92862	Rilmenidine	-0.7209
LINCSCP_97391	tropisetron	-0.7202
LINCSCP_92796	Altrenogest	-0.7188
LINCSCP_89213	CHIR-265	-0.7174
LINCSCP_15770	MLS002415569	-0.7155
LINCSCP_93729	Atipamezole (hydrochloride)	-0.7137
LINCSCP_16880	CHEMBL2131444	-0.7112
LINCSCP_16610	AZ628	-0.7099
LINCSCP_92760	Desoxypeganine	-0.7098
LINCSCP_89814	Sotrastaurin	-0.7094
LINCSCP_92256	Seocalcitol	-0.7088
LINCSCP_15822	MLS000682490	-0.7073
LINCSCP_15386	MK-2206	-0.7071
LINCSCP_94967	Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-	-0.7061
LINCSCP_92905	Penfluridol	-0.7053
LINCSCP_17407	Wortmannin	-0.7043
LINCSCP_92620	TG 100801	-0.704
LINCSCP_13950	Beta CCP	-0.7031
LINCSCP_16730	AC1M43RN	-0.7023
LINCSCP_94147	Idelalisib	-0.7017
LINCSCP_89396	(8Xi,11beta,14xi,16beta)-21-Chloro-9-fluoro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-dien-17-yl propanoate	-0.7002
LINCSCP_90947	Varespladib (LY315920)	-0.6961
LINCSCP_91708	XL335	-0.6959
LINCSCP_88120	BRD-K01425431	-0.6954
LINCSCP_98572	AZD5363	-0.6935
LINCSCP_92807	Berberine	-0.6905
LINCSCP_98247	Phenylephrine	-0.6902
LINCSCP_212354	SCHEMBL2733051	-0.6895
LINCSCP_14068	Betamethasone	-0.6892
LINCSCP_15492	Quinacrine	-0.6885
LINCSCP_14608	SPECTRUM_000826	-0.6867
LINCSCP_90067	E-3810	-0.6865
LINCSCP_92353	GDC-0834 (Racemate)	-0.6864
LINCSCP_92720	Rimonabant	-0.6855
LINCSCP_96481	Nemonapride	-0.6847
LINCSCP_92392	5-(Z)-7-(4-o-hydroxyphenyl-2-trifluoromethyl-1,3 dioxan-cis-5-yl)heptenoic acid	-0.6817
LINCSCP_97477	Probucol	-0.6813
LINCSCP_92132	Fingolimod (FTY720) HCl	-0.6811
LINCSCP_16862	BRD-K60067222	-0.6807
