signatureid	compound	similarity
LINCSCP_88152	WYE 125132	-1
LINCSCP_15606	Dorsomorphin	-1
LINCSCP_93295	Balaglitazone	-1
LINCSCP_88887	UNC0638	-1
LINCSCP_13681	Tyrphostin AG 538	-1
LINCSCP_91488	Temsirolimus (CCI-779, NSC 683864)	-1
LINCSCP_92729	Midostaurin	-1
LINCSCP_14563	1-[2-Chloro-2-(2,4-dichlorophenyl)ethenyl]-1H-1,2,4-triazole	-1
LINCSCP_93013	Lisofylline	-1
LINCSCP_13937	RS-17053	-1
LINCSCP_212313	Benzoic acid	-1
LINCSCP_14618	SPECTRUM_001048	-1
LINCSCP_91636	Ritonavir	-1
LINCSCP_92494	CO-1686 (AVL-301)	-1
LINCSCP_212370	Benzo[E]Pyrene	-1
LINCSCP_14029	NCGC00025073-01	-1
LINCSCP_94528	Selamectin	-1
LINCSCP_15572	3-(4-Pyridyl)indole	-1
LINCSCP_88001	936890-98-1	-1
LINCSCP_93145	CPI-613	-1
LINCSCP_16202	Nitrazepam	-1
LINCSCP_210907	MLS-0208612.0001	-1
LINCSCP_93008	Lisofylline	-1
LINCSCP_87599	NU-7441	-1
LINCSCP_17168	Broad-Sai-424	-1
LINCSCP_15332	ZINC68199948	-0.9999
LINCSCP_212380	Azathioprine	-0.9999
LINCSCP_16360	CHEMBL2141722	-0.9999
LINCSCP_98293	AVL-292	-0.9999
LINCSCP_93522	ABT-333	-0.9999
LINCSCP_96764	Neratinib	-0.9999
LINCSCP_94143	Paricalcitol	-0.9999
LINCSCP_97804	Fluspirilene	-0.9999
LINCSCP_16214	Doxorubicin	-0.9999
LINCSCP_16383	SUGA2_000361	-0.9999
LINCSCP_14290	PNU-99194A	-0.9999
LINCSCP_92666	Cisapride	-0.9999
LINCSCP_92773	Meisoindigo	-0.9999
LINCSCP_14301	Indolophenanthridine	-0.9999
LINCSCP_15154	BMY45778	-0.9999
LINCSCP_15031	Deoxyrhapontin	-0.9999
LINCSCP_94991	AS-605240	-0.9999
LINCSCP_15802	MLS001065878	-0.9999
LINCSCP_89508	Calcitriol	-0.9999
LINCSCP_88840	GSK 1059615	-0.9999
LINCSCP_91394	Butaclamol (+)	-0.9999
LINCSCP_15613	Selumetinib	-0.9999
LINCSCP_93539	Alizapride	-0.9999
LINCSCP_15486	Brefeldin A	-0.9999
LINCSCP_212354	SCHEMBL2733051	-0.9999
LINCSCP_89260	SCHEMBL15556278	-0.9999
LINCSCP_87790	Apitolisib (gdc-0980, rg7422)	-0.9999
LINCSCP_212150	Mupirocin	-0.9999
LINCSCP_89935	Ibuprofen	-0.9998
LINCSCP_89263	Regorafenib	-0.9998
LINCSCP_92154	BRD-A83706824	-0.9998
LINCSCP_89372	Zaldaride	-0.9998
LINCSCP_92438	Tolazamide	-0.9998
LINCSCP_13886	CHEMBL210901	-0.9998
LINCSCP_90884	301836-43-1	-0.9998
LINCSCP_13636	F-L-Leu	-0.9998
LINCSCP_16882	CHEMBL1982510	-0.9998
LINCSCP_98190	Menadione	-0.9998
LINCSCP_98540	Flumazenil	-0.9998
LINCSCP_14120	T-0156	-0.9997
LINCSCP_92939	Raclopride	-0.9997
LINCSCP_92929	Nepafenac	-0.9997
LINCSCP_13899	H89	-0.9997
LINCSCP_211095	GR-89696	-0.9997
LINCSCP_87850	YM 201636	-0.9997
LINCSCP_88953	VE-821	-0.9997
LINCSCP_14232	Maprotiline	-0.9997
LINCSCP_88098	PI-103	-0.9997
LINCSCP_88597	AT 7867	-0.9997
LINCSCP_13617	Nomilin	-0.9996
LINCSCP_91277	Castanospermine	-0.9996
LINCSCP_14870	GW-5074	-0.9996
LINCSCP_16088	MLS003179191	-0.9996
LINCSCP_91522	2-Methoxyestradiol	-0.9996
LINCSCP_88916	BRD-A01645196	-0.9996
LINCSCP_16298	BRD-K33676730	-0.9996
LINCSCP_14793	Tadalafil	-0.9995
LINCSCP_92883	Iguratimod	-0.9995
LINCSCP_93233	Seliciclib	-0.9995
LINCSCP_15760	2-(2,5-Dimethoxyphenylcarbamoyl)phenyl acetate	-0.9995
LINCSCP_93448	Amoxapine	-0.9995
LINCSCP_16212	Benactyzine	-0.9995
LINCSCP_92620	TG 100801	-0.9995
LINCSCP_92384	Donitriptan hydrochloride	-0.9994
LINCSCP_90998	Propranolol	-0.9994
LINCSCP_210595	MLS002264507	-0.9994
LINCSCP_93802	BRD-A77864279	-0.9994
LINCSCP_90953	Dabrafenib	-0.9993
LINCSCP_88017	MK-2206	-0.9993
LINCSCP_16224	MLS-0425579.0001	-0.9993
LINCSCP_92267	VRT752271	-0.9993
LINCSCP_14733	XE991	-0.9993
LINCSCP_15887	CHEMBL1555451	-0.9993
LINCSCP_17030	DL-Tryptophan	-0.9993
LINCSCP_92396	5-(Z)-7-(4-o-hydroxyphenyl-2-trifluoromethyl-1,3 dioxan-cis-5-yl)heptenoic acid	-0.9993
LINCSCP_17501	Alisertib	-0.9993
LINCSCP_97079	Tacalcitol	-0.9992
LINCSCP_90064	E-3810	-0.9992
LINCSCP_16789	CHEMBL3183439	-0.9992
LINCSCP_94672	AC1NWAOC	-0.9992
LINCSCP_16245	4-Methoxy-2-(4-methoxyphenyl)quinazoline	-0.9991
LINCSCP_15063	SCHEMBL2394914	-0.9991
LINCSCP_14892	Zuclomiphene	-0.9991
LINCSCP_87632	Enzastaurin	-0.9991
LINCSCP_92440	MBX-2982	-0.9991
