signatureid	compound	similarity
LINCSCP_136966	IN1549	-0.6916
LINCSCP_243206	BRD-K45758869-001-01-3	-0.5852
LINCSCP_30476	LE-135	-0.5694
LINCSCP_252850	BRD-K22754681	-0.5482
LINCSCP_136977	SU-11652	-0.5337
LINCSCP_32078	SAN1_003817	-0.5323
LINCSCP_33240	Moxonidine	-0.5083
LINCSCP_31559	MLS002576689	-0.4972
LINCSCP_135576	Setiptiline	-0.4967
LINCSCP_33650	6266-99-5	-0.4931
LINCSCP_32733	AC1O9X68	-0.4922
LINCSCP_143963	Bifonazole	-0.4921
LINCSCP_32282	CHEMDIV3_007370	-0.4908
LINCSCP_243482	BRD-K46503544-001-01-5	-0.4893
LINCSCP_138806	Roquinimex	-0.4889
LINCSCP_239491	11K-629S	-0.4862
LINCSCP_33357	Pfmrk inhibitor, wr 216174	-0.4811
LINCSCP_31973	CHEMBL2141722	-0.4781
LINCSCP_134566	Licochalcone A	-0.4776
LINCSCP_33497	Isoflupredone Acetate	-0.476
LINCSCP_34245	Homochlorcyclizine	-0.4758
LINCSCP_30485	CHEMBL3186197	-0.4743
LINCSCP_35703	Trichostatin	-0.4731
LINCSCP_32639	PK04_181299	-0.472
LINCSCP_32292	CID 6167421	-0.4684
LINCSCP_37286	CHEMBL3182585	-0.4624
LINCSCP_30754	GW 405833	-0.4614
LINCSCP_33667	Dmbi	-0.4604
LINCSCP_32913	10-{3-[4-(2-Chloroethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-phenothiazine	-0.46
LINCSCP_253569	SA-1920453	-0.46
LINCSCP_33490	IN1128	-0.458
LINCSCP_33963	AC1N08ZR	-0.4579
LINCSCP_33421	MY 5445	-0.4573
LINCSCP_239693	ML228	-0.4552
LINCSCP_30770	MST-312	-0.4549
LINCSCP_33561	Cyclosporin A	-0.4523
LINCSCP_31089	168279-54-7	-0.4508
LINCSCP_34934	BRD-K72072919	-0.4504
LINCSCP_251680	C24H25CLFN5O3	-0.4489
LINCSCP_139236	Clofazimine	-0.4476
LINCSCP_249716	BRD-K14095788	-0.447
LINCSCP_30763	Phloretin	-0.4456
LINCSCP_235673	Tretinoin	-0.4455
LINCSCP_33641	AC1L2X6Z	-0.4454
LINCSCP_33294	Vitamin P	-0.4453
LINCSCP_30604	AZD-2014	-0.4451
LINCSCP_33109	TRAP-101	-0.4442
LINCSCP_31726	MLS000094380	-0.4439
LINCSCP_252204	BRD-K33780441	-0.4439
LINCSCP_33124	NNC 05-2090	-0.4435
LINCSCP_31804	Etoposide	-0.441
LINCSCP_133183	Lapatinib	-0.441
LINCSCP_135913	Levocetirizine	-0.4404
LINCSCP_34832	BRD-K01404579	-0.4401
LINCSCP_31142	CHEMBL1706858	-0.4398
LINCSCP_237246	MLS002264409	-0.4394
LINCSCP_31982	CHEMBL2142877	-0.4392
LINCSCP_133260	Amuvatinib	-0.4385
LINCSCP_34120	Fdurd	-0.4375
LINCSCP_37892	CHEMBL1434137	-0.437
LINCSCP_236278	Ethotoin	-0.4366
LINCSCP_31839	Thiostrepton	-0.4362
LINCSCP_31059	NCGC00012588	-0.4346
LINCSCP_242970	Clomipramine	-0.4335
LINCSCP_30236	etoposide	-0.4335
LINCSCP_139104	LY451395	-0.4328
LINCSCP_31944	CHEMBL2139663	-0.432
LINCSCP_33053	2-Bromo-.alpha.-ergocryptine	-0.43
LINCSCP_30555	MLS003448149	-0.4288
LINCSCP_31562	MLS002276535	-0.4284
LINCSCP_242474	BRD-K33619512	-0.4281
LINCSCP_32944	Protionamide	-0.428
LINCSCP_30781	TW 37	-0.4266
LINCSCP_249855	BRD-K76418961	-0.4263
LINCSCP_32882	Phenolphthalein	-0.4248
LINCSCP_254477	SA-1937536	-0.4243
LINCSCP_135860	LY2784544	-0.4213
LINCSCP_136947	Sulpiride	-0.4208
LINCSCP_142741	Valrubicin	-0.4208
LINCSCP_33654	IMD-0354	-0.4201
LINCSCP_35177	CHEMBL2355193	-0.4188
LINCSCP_33194	Irinotecan	-0.4183
LINCSCP_31867	CHEMBL2130568	-0.418
LINCSCP_36605	AT-7519	-0.4178
LINCSCP_240879	Indirubin-3'monoxime	-0.4162
LINCSCP_33613	6-(4-Hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid	-0.4153
LINCSCP_32321	AC1MVW5E	-0.4149
LINCSCP_139548	Primaquine	-0.4146
LINCSCP_136607	GDC-0980 (RG7422)	-0.4131
LINCSCP_240171	ZINC00125569	-0.413
LINCSCP_33110	Flupentixol	-0.4116
LINCSCP_37348	MLS003129922	-0.4111
LINCSCP_35231	BRD-K69218883	-0.411
LINCSCP_31662	MLS001065900	-0.411
LINCSCP_33581	Isorotenone	-0.4109
LINCSCP_32943	Thiothixene	-0.4107
LINCSCP_33394	T 98475	-0.4104
LINCSCP_30889	PAC-1	-0.4102
LINCSCP_30285	Purvalanola	-0.4096
LINCSCP_32012	CHEMBL2142321	-0.4093
LINCSCP_139158	PENICILLIN V POTASSIUM	-0.4092
LINCSCP_137717	AMG-517	-0.4082
LINCSCP_34923	BRD-K22932079	-0.4079
