ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
3303	HSPA1A	5.061709002	0
3337	DNAJB1	3.97665475	0
9531	BAG3	2.298598911	0
3329	HSPD1	1.529102679	1.11e-192
2288	FKBP4	1.707805639	4.64e-124
4792	NFKBIA	1.302115107	1.19e-110
8553	BHLHE40	1.356400261	6.83e-110
25976	TIPARP	0.938110105	1.21e-74
2113	ETS1	0.916105022	4.11e-73
10049	DNAJB6	0.804995654	1.8e-66
51282	SCAND1	-1.213938247	2.24e-62
1465	CSRP1	-0.765239999	6.05e-62
3725	JUN	1.020926257	4.21e-60
226	ALDOA	-1.030951083	1.27e-57
2597	GAPDH	-0.600250277	3.76e-51
7159	TP53BP2	0.752863452	3.8300000000000002e-50
11344	TWF2	-0.722383995	7.35e-47
4616	GADD45B	0.794981471	1.42e-43
23210	JMJD6	0.915846908	2.23e-42
10398	MYL9	-0.792803111	4.46e-40
8444	DYRK3	0.956985273	4.11e-39
211	ALAS1	0.776229896	4.84e-39
23013	SPEN	0.749902709	1.01e-37
51024	FIS1	-0.754337033	2.9e-36
10493	VAT1	-0.549930816	4.59e-36
128	ADH5	-0.585920893	3.73e-33
1958	EGR1	0.748834687	1.25e-32
6050	RNH1	-0.497090866	1.38e-32
7690	ZNF131	0.897443775	1.41e-32
11011	TLK2	0.682363244	3.68e-31
4794	NFKBIE	1.245125573	4.08e-31
148022	TICAM1	0.737374868	5.43e-31
351	APP	-0.578797109	7.48e-31
2896	GRN	-0.54555857	7.49e-31
960	CD44	-0.562811147	1.15e-30
84617	TUBB6	-0.45380542	1.25e-30
6284	S100A13	-0.614911974	3.09e-30
56654	NPDC1	-0.85937052	5.73e-30
10857	PGRMC1	-0.606953462	6.1e-30
11230	PRAF2	-0.642356259	6.19e-29
4775	NFATC3	1.145882347	1.04e-28
3486	IGFBP3	-0.965151415	1.19e-28
23131	GPATCH8	0.612721889	1.37e-28
200734	SPRED2	0.72187659	9.74e-26
5223	PGAM1	0.536853413	2.11e-25
1153	CIRBP	-0.475651661	3.66e-25
26020	LRP10	-0.422257183	3.86e-25
57804	POLD4	-0.855048799	8.45e-25
1509	CTSD	-0.860672954	3.16e-24
7319	UBE2A	-0.537272865	1.38e-23
60493	FASTKD5	0.767756973	3.18e-23
