signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_130745	NA	3638	INSIG1	-1.8746	7e-4
LINCSCP_130745	NA	5997	RGS2	1.576	9e-4
LINCSCP_130745	NA	7168	TPM1	-1.6565	0.001
LINCSCP_130745	NA	4780	NFE2L2	-1.373	0.0013
LINCSCP_130745	NA	2852	GPER1	-1.3664	0.002
LINCSCP_130745	NA	10245	TIMM17B	1.277	0.0024
LINCSCP_130745	NA	3628	INPP1	-1.3116	0.0026
LINCSCP_130745	NA	7264	TSTA3	1.1688	0.0027
LINCSCP_130745	NA	5438	POLR2I	1.3702	0.0027
LINCSCP_130745	NA	9703	KIAA0100	1.6715	0.0032
LINCSCP_130745	NA	2274	FHL2	-1.1986	0.0033
LINCSCP_130745	NA	154	ADRB2	-1.6352	0.0038
LINCSCP_130745	NA	8884	SLC5A6	1.436	0.0039
LINCSCP_130745	NA	10398	MYL9	-1.6363	0.0039
LINCSCP_130745	NA	5054	SERPINE1	-0.9912	0.004
LINCSCP_130745	NA	10953	TOMM34	1.0993	0.0041
LINCSCP_130745	NA	1647	GADD45A	-1.4527	0.0041
LINCSCP_130745	NA	4016	LOXL1	-1.8398	0.0042
LINCSCP_130745	NA	23378	RRP8	0.9761	0.0042
LINCSCP_130745	NA	27109	ATP5S	-1.1459	0.0046
LINCSCP_130745	NA	1282	COL4A1	-1.2484	0.0047
LINCSCP_130745	NA	55324	ABCF3	1.1346	0.0049
LINCSCP_130745	NA	9221	NOLC1	0.9699	0.0053
LINCSCP_130745	NA	9448	MAP4K4	0.983	0.0054
LINCSCP_130745	NA	3329	HSPD1	0.9754	0.0055
LINCSCP_130745	NA	8914	TIMELESS	0.937	0.0056
LINCSCP_130745	NA	949	SCARB1	-1.072	0.0056
LINCSCP_130745	NA	1022	CDK7	-1.0446	0.0059
LINCSCP_130745	NA	4482	MSRA	-0.9518	0.0061
LINCSCP_130745	NA	6390	SDHB	1.0535	0.0064
LINCSCP_130745	NA	80347	COASY	0.8917	0.0066
LINCSCP_130745	NA	10892	MALT1	0.9613	0.007
LINCSCP_130745	NA	5982	RFC2	1.0439	0.0072
LINCSCP_130745	NA	85377	MICALL1	0.8365	0.0073
LINCSCP_130745	NA	26036	ZNF451	1.2933	0.0074
LINCSCP_130745	NA	3800	KIF5C	-1.0138	0.0075
LINCSCP_130745	NA	9181	ARHGEF2	0.8701	0.0076
LINCSCP_130745	NA	207	AKT1	0.9152	0.0079
LINCSCP_130745	NA	29103	DNAJC15	-0.8919	0.008
LINCSCP_130745	NA	29890	RBM15B	-1.5359	0.0081
LINCSCP_130745	NA	1029	CDKN2A	-0.802	0.0082
LINCSCP_130745	NA	7088	TLE1	-0.8492	0.0084
LINCSCP_130745	NA	3553	IL1B	-1.237	0.0086
LINCSCP_130745	NA	54915	YTHDF1	0.8856	0.0089
LINCSCP_130745	NA	9688	NUP93	0.8951	0.009
LINCSCP_130745	NA	8061	FOSL1	0.7836	0.0093
LINCSCP_130745	NA	6599	SMARCC1	0.9329	0.0096
LINCSCP_130745	NA	1277	COL1A1	-0.8672	0.0097
LINCSCP_130745	NA	7866	IFRD2	0.7713	0.0099
LINCSCP_130745	NA	11041	B4GAT1	0.9897	0.01
LINCSCP_130745	NA	6195	RPS6KA1	0.7611	0.0102
LINCSCP_130745	NA	2625	GATA3	-0.8318	0.0103
LINCSCP_130745	NA	79902	NUP85	0.7487	0.0104
LINCSCP_130745	NA	6050	RNH1	0.7725	0.0104
LINCSCP_130745	NA	57215	THAP11	-0.9327	0.0105
LINCSCP_130745	NA	9531	BAG3	0.7639	0.0106
LINCSCP_130745	NA	10237	SLC35B1	0.9988	0.0106
LINCSCP_130745	NA	9805	SCRN1	-1.146	0.0108
LINCSCP_130745	NA	9183	ZW10	1.0265	0.011
LINCSCP_130745	NA	642	BLMH	0.8771	0.0111
LINCSCP_130745	NA	51495	HACD3	0.7504	0.0112
LINCSCP_130745	NA	79961	DENND2D	-0.8237	0.0114
LINCSCP_130745	NA	6813	STXBP2	-0.8206	0.0117
LINCSCP_130745	NA	3300	DNAJB2	-0.7875	0.0119
LINCSCP_130745	NA	29937	NENF	-0.8693	0.0122
LINCSCP_130745	NA	3157	HMGCS1	-1.4791	0.0124
LINCSCP_130745	NA	2064	ERBB2	-0.7106	0.0125
LINCSCP_130745	NA	1958	EGR1	0.7149	0.0125
LINCSCP_130745	NA	7416	VDAC1	0.857	0.0125
LINCSCP_130745	NA	55556	ENOSF1	0.762	0.013
LINCSCP_130745	NA	25932	CLIC4	-0.9353	0.0131
LINCSCP_130745	NA	2886	GRB7	-0.6997	0.0136
LINCSCP_130745	NA	51024	FIS1	-0.7943	0.0136
LINCSCP_130745	NA	1429	CRYZ	-0.9658	0.0137
LINCSCP_130745	NA	54505	DHX29	0.7553	0.014
LINCSCP_130745	NA	54733	SLC35F2	1.0937	0.0141
LINCSCP_130745	NA	80212	CCDC92	-0.7218	0.0144
LINCSCP_130745	NA	5111	PCNA	0.6745	0.0144
LINCSCP_130745	NA	3988	LIPA	-0.6794	0.0147
LINCSCP_130745	NA	6509	SLC1A4	-0.8594	0.0148
LINCSCP_130745	NA	2582	GALE	0.9457	0.0148
LINCSCP_130745	NA	5900	RALGDS	-0.8297	0.0158
LINCSCP_130745	NA	7867	MAPKAPK3	0.7558	0.0159
LINCSCP_130745	NA	26020	LRP10	-0.7	0.0162
LINCSCP_130745	NA	11200	CHEK2	0.7816	0.0163
LINCSCP_130745	NA	8396	PIP4K2B	0.7519	0.0163
LINCSCP_130745	NA	9761	MLEC	0.8443	0.0167
LINCSCP_130745	NA	22827	PUF60	0.8549	0.0167
LINCSCP_130745	NA	5154	PDGFA	-0.7646	0.017
LINCSCP_130745	NA	5347	PLK1	0.7459	0.017
LINCSCP_130745	NA	10165	SLC25A13	-0.7905	0.0179
LINCSCP_130745	NA	9143	SYNGR3	-1.1014	0.0182
LINCSCP_130745	NA	55111	PLEKHJ1	0.6282	0.0185
LINCSCP_130745	NA	2956	MSH6	0.6299	0.0187
LINCSCP_130745	NA	50813	COPS7A	0.6969	0.0194
LINCSCP_130745	NA	5699	PSMB10	-0.7309	0.0198
LINCSCP_130745	NA	26128	KIF1BP	0.8065	0.0202
LINCSCP_130745	NA	533	ATP6V0B	0.6313	0.0204
LINCSCP_130745	NA	622	BDH1	1.0104	0.0205
LINCSCP_130745	NA	6184	RPN1	0.8407	0.0206
LINCSCP_130745	NA	7485	WRB	0.9156	0.0206
LINCSCP_130745	NA	81544	GDPD5	-0.8347	0.0213
LINCSCP_130745	NA	1994	ELAVL1	0.6949	0.0215
LINCSCP_130745	NA	5255	PHKA1	1.5784	0.0218
LINCSCP_130745	NA	55746	NUP133	1.0279	0.0219
LINCSCP_130745	NA	10058	ABCB6	-1.4213	0.0222
LINCSCP_130745	NA	1026	CDKN1A	-0.5992	0.0222
LINCSCP_130745	NA	51282	SCAND1	0.6112	0.0226
LINCSCP_130745	NA	672	BRCA1	0.8991	0.0229
LINCSCP_130745	NA	4172	MCM3	0.8359	0.023
LINCSCP_130745	NA	55179	FAIM	-0.8213	0.0234
LINCSCP_130745	NA	6856	SYPL1	-0.8846	0.024
LINCSCP_130745	NA	79143	MBOAT7	0.7371	0.0241
LINCSCP_130745	NA	55748	CNDP2	0.7568	0.0242
LINCSCP_130745	NA	2309	FOXO3	-0.6671	0.0243
LINCSCP_130745	NA	5880	RAC2	0.6437	0.0243
LINCSCP_130745	NA	10559	SLC35A1	-0.9078	0.0244
LINCSCP_130745	NA	23039	XPO7	0.7223	0.0244
LINCSCP_130745	NA	11065	UBE2C	0.5716	0.0244
LINCSCP_130745	NA	56654	NPDC1	0.6714	0.0249
LINCSCP_130745	NA	9217	VAPB	0.6805	0.0252
LINCSCP_130745	NA	5770	PTPN1	0.8183	0.0256
LINCSCP_130745	NA	3895	KTN1	-1.136	0.0257
LINCSCP_130745	NA	30849	PIK3R4	0.5831	0.0258
LINCSCP_130745	NA	84159	ARID5B	-0.6654	0.026
LINCSCP_130745	NA	11031	RAB31	-0.7523	0.026
LINCSCP_130745	NA	9275	BCL7B	0.709	0.026
LINCSCP_130745	NA	9519	TBPL1	0.8038	0.0264
LINCSCP_130745	NA	9270	ITGB1BP1	0.8048	0.0265
LINCSCP_130745	NA	6810	STX4	-0.9708	0.0266
LINCSCP_130745	NA	23658	LSM5	0.5883	0.0269
LINCSCP_130745	NA	6804	STX1A	0.5759	0.0277
LINCSCP_130745	NA	2017	CTTN	0.6423	0.0279
LINCSCP_130745	NA	1906	EDN1	-0.8467	0.0285
LINCSCP_130745	NA	25805	BAMBI	-0.8914	0.0287
LINCSCP_130745	NA	23512	SUZ12	0.731	0.0287
LINCSCP_130745	NA	23223	RRP12	0.9279	0.0289
LINCSCP_130745	NA	836	CASP3	-0.8469	0.0291
LINCSCP_130745	NA	2042	EPHA3	-0.6943	0.0293
LINCSCP_130745	NA	5720	PSME1	-0.6333	0.0297
LINCSCP_130745	NA	9289	ADGRG1	-0.727	0.0298
LINCSCP_130745	NA	26511	CHIC2	-1.3322	0.0298
LINCSCP_130745	NA	10969	EBNA1BP2	0.6273	0.0302
LINCSCP_130745	NA	695	BTK	-1.0924	0.0302
LINCSCP_130745	NA	11157	LSM6	0.5344	0.0304
LINCSCP_130745	NA	1052	CEBPD	-0.5724	0.0305
LINCSCP_130745	NA	595	CCND1	0.6008	0.0305
LINCSCP_130745	NA	5710	PSMD4	0.8294	0.0307
LINCSCP_130745	NA	10112	KIF20A	0.543	0.0309
LINCSCP_130745	NA	6275	S100A4	-0.5591	0.0311
LINCSCP_130745	NA	10451	VAV3	-0.6698	0.0311
LINCSCP_130745	NA	388650	FAM69A	-0.8893	0.0325
LINCSCP_130745	NA	3978	LIG1	0.7642	0.0326
LINCSCP_130745	NA	4864	NPC1	-0.6659	0.0328
LINCSCP_130745	NA	16	AARS	0.829	0.0328
LINCSCP_130745	NA	1786	DNMT1	0.8088	0.0331
LINCSCP_130745	NA	665	BNIP3L	-0.9629	0.0334
LINCSCP_130745	NA	7077	TIMP2	-0.5155	0.0336
LINCSCP_130745	NA	10038	PARP2	0.6369	0.034
LINCSCP_130745	NA	847	CAT	-0.5407	0.034
LINCSCP_130745	NA	5627	PROS1	-0.5228	0.0343
LINCSCP_130745	NA	9817	KEAP1	-0.6001	0.0351
LINCSCP_130745	NA	54681	P4HTM	-0.5164	0.0353
LINCSCP_130745	NA	9016	SLC25A14	-0.5632	0.0365
LINCSCP_130745	NA	6347	CCL2	-0.9144	0.0365
LINCSCP_130745	NA	332	BIRC5	0.5708	0.0371
LINCSCP_130745	NA	6284	S100A13	-0.5107	0.0372
LINCSCP_130745	NA	1677	DFFB	-0.5674	0.0376
LINCSCP_130745	NA	1666	DECR1	-0.5408	0.0376
LINCSCP_130745	NA	79080	CCDC86	0.6509	0.0382
LINCSCP_130745	NA	3383	ICAM1	-1.2485	0.0391
LINCSCP_130745	NA	7099	TLR4	-1.5451	0.0393
LINCSCP_130745	NA	8974	P4HA2	-0.6334	0.0393
LINCSCP_130745	NA	8607	RUVBL1	0.7014	0.0403
LINCSCP_130745	NA	10051	SMC4	0.484	0.0404
LINCSCP_130745	NA	27095	TRAPPC3	0.5436	0.0413
LINCSCP_130745	NA	10610	ST6GALNAC2	-0.6493	0.0415
LINCSCP_130745	NA	6790	AURKA	0.4928	0.0429
LINCSCP_130745	NA	51031	GLOD4	0.8276	0.0433
LINCSCP_130745	NA	3122	HLA-DRA	-0.5475	0.0435
LINCSCP_130745	NA	10153	CEBPZ	1.1529	0.0437
LINCSCP_130745	NA	5331	PLCB3	0.5553	0.044
LINCSCP_130745	NA	3108	HLA-DMA	-0.9471	0.0445
LINCSCP_130745	NA	991	CDC20	0.6127	0.0446
LINCSCP_130745	NA	6696	SPP1	4.3644	0.0455
LINCSCP_130745	NA	9918	NCAPD2	0.5609	0.0458
LINCSCP_130745	NA	8835	SOCS2	-0.5046	0.0462
LINCSCP_130745	NA	22796	COG2	0.5961	0.047
LINCSCP_130745	NA	2115	ETV1	0.8848	0.0476
LINCSCP_130745	NA	3480	IGF1R	-1.124	0.0485
LINCSCP_130745	NA	2195	FAT1	-0.6555	0.0488
LINCSCP_130745	NA	39	ACAT2	-0.5619	0.0494
LINCSCP_130745	NA	9212	AURKB	0.6409	0.05
LINCSCP_130745	NA	55012	PPP2R3C	-0.5252	0.05
LINCSCP_130745	NA	10652	YKT6	0.6043	0.0501
LINCSCP_130745	NA	4690	NCK1	-0.7933	0.0502
LINCSCP_130745	NA	23224	SYNE2	-0.6887	0.0506
LINCSCP_130745	NA	2065	ERBB3	-0.5751	0.0513
LINCSCP_130745	NA	10493	VAT1	-0.5602	0.0513
LINCSCP_130745	NA	26993	AKAP8L	0.691	0.052
LINCSCP_130745	NA	4154	MBNL1	0.4725	0.0521
LINCSCP_130745	NA	7082	TJP1	-0.9999	0.0527
LINCSCP_130745	NA	10921	RNPS1	0.4434	0.0528
LINCSCP_130745	NA	55818	KDM3A	-0.7457	0.0534
LINCSCP_130745	NA	51382	ATP6V1D	-0.5284	0.0535
LINCSCP_130745	NA	4616	GADD45B	-0.5274	0.0536
LINCSCP_130745	NA	23636	NUP62	0.4621	0.053900000000000003
LINCSCP_130745	NA	11073	TOPBP1	0.4715	0.0544
LINCSCP_130745	NA	79187	FSD1	-0.522	0.0548
LINCSCP_130745	NA	4851	NOTCH1	-0.6243	0.0549
LINCSCP_130745	NA	4846	NOS3	-0.5315	0.0556
LINCSCP_130745	NA	7027	TFDP1	0.4916	0.0558
LINCSCP_130745	NA	9868	TOMM70A	0.6206	0.0561
LINCSCP_130745	NA	6182	MRPL12	0.5307	0.0562
LINCSCP_130745	NA	63874	ABHD4	-0.4931	0.0563
LINCSCP_130745	NA	1399	CRKL	-0.6163	0.0572
LINCSCP_130745	NA	4200	ME2	0.5029	0.0583
LINCSCP_130745	NA	25874	MPC2	-0.4614	0.0586
LINCSCP_130745	NA	9738	CCP110	0.5772	0.0586
LINCSCP_130745	NA	1978	EIF4EBP1	0.4698	0.0596
LINCSCP_130745	NA	9170	LPAR2	-0.4865	0.0597
LINCSCP_130745	NA	58533	SNX6	-0.5693	0.0601
LINCSCP_130745	NA	644	BLVRA	-0.6415	0.0602
LINCSCP_130745	NA	79090	TRAPPC6A	-0.4489	0.0603
LINCSCP_130745	NA	22883	CLSTN1	-0.9547	0.0621
LINCSCP_130745	NA	10491	CRTAP	0.4794	0.0629
LINCSCP_130745	NA	8091	HMGA2	0.5092	0.0633
LINCSCP_130745	NA	3416	IDE	0.916	0.0634
LINCSCP_130745	NA	2887	GRB10	0.5403	0.0636
LINCSCP_130745	NA	8520	HAT1	0.5794	0.0636
LINCSCP_130745	NA	5018	OXA1L	0.7914	0.0639
LINCSCP_130745	NA	3028	HSD17B10	-0.7446	0.0646
LINCSCP_130745	NA	8553	BHLHE40	-0.4986	0.0648
LINCSCP_130745	NA	5106	PCK2	-0.5119	0.065
LINCSCP_130745	NA	54512	EXOSC4	0.4344	0.0652
LINCSCP_130745	NA	958	CD40	-0.5573	0.0655
LINCSCP_130745	NA	25839	COG4	0.7355	0.0656
LINCSCP_130745	NA	10670	RRAGA	0.5363	0.0656
LINCSCP_130745	NA	1643	DDB2	-0.4322	0.0663
LINCSCP_130745	NA	993	CDC25A	0.4876	0.0665
LINCSCP_130745	NA	4850	CNOT4	-0.8221	0.0667
LINCSCP_130745	NA	8243	SMC1A	0.705	0.0671
LINCSCP_130745	NA	3682	ITGAE	-0.6674	0.0673
LINCSCP_130745	NA	6118	RPA2	0.6856	0.0676
LINCSCP_130745	NA	5058	PAK1	0.7116	0.068
LINCSCP_130745	NA	9133	CCNB2	0.4426	0.0686
LINCSCP_130745	NA	10049	DNAJB6	-0.4728	0.0687
LINCSCP_130745	NA	50865	HEBP1	0.7572	0.0696
LINCSCP_130745	NA	6603	SMARCD2	0.8186	0.0697
LINCSCP_130745	NA	1845	DUSP3	-0.491	0.0703
LINCSCP_130745	NA	5261	PHKG2	-0.6688	0.0707
LINCSCP_130745	NA	1459	CSNK2A2	-0.6502	0.0708
LINCSCP_130745	NA	1454	CSNK1E	0.5815	0.0714
LINCSCP_130745	NA	6915	TBXA2R	-0.6344	0.0716
LINCSCP_130745	NA	8202	NCOA3	-0.4211	0.0718
LINCSCP_130745	NA	51375	SNX7	-0.4609	0.0721
LINCSCP_130745	NA	8480	RAE1	0.4427	0.0739
LINCSCP_130745	NA	4144	MAT2A	0.9656	0.0743
LINCSCP_130745	NA	8312	AXIN1	-0.427	0.0753
LINCSCP_130745	NA	2264	FGFR4	-0.5425	0.0757
LINCSCP_130745	NA	6657	SOX2	-0.4777	0.0765
LINCSCP_130745	NA	23588	KLHDC2	-0.7598	0.0771
LINCSCP_130745	NA	9267	CYTH1	-0.6142	0.0779
LINCSCP_130745	NA	9686	VGLL4	-0.9314	0.078
LINCSCP_130745	NA	8869	ST3GAL5	-0.434	0.0782
LINCSCP_130745	NA	291	SLC25A4	-0.5709	0.0786
LINCSCP_130745	NA	23463	ICMT	2.484	0.0791
LINCSCP_130745	NA	5583	PRKCH	-0.4893	0.0793
LINCSCP_130745	NA	51116	MRPS2	0.5916	0.0793
LINCSCP_130745	NA	84890	ADO	-0.5755	0.0801
LINCSCP_130745	NA	813	CALU	0.6849	0.0803
LINCSCP_130745	NA	85236	HIST1H2BK	-0.4165	0.0808
LINCSCP_130745	NA	79170	PRR15L	-0.4191	0.0815
LINCSCP_130745	NA	11230	PRAF2	0.443	0.0818
LINCSCP_130745	NA	2771	GNAI2	0.5277	0.0824
LINCSCP_130745	NA	79600	TCTN1	-0.6206	0.083
LINCSCP_130745	NA	9833	MELK	0.4167	0.0831
LINCSCP_130745	NA	823	CAPN1	-0.4796	0.0835
LINCSCP_130745	NA	3385	ICAM3	0.5912	0.0836
LINCSCP_130745	NA	23321	TRIM2	-0.3802	0.0849
LINCSCP_130745	NA	5899	RALB	0.4384	0.0853
LINCSCP_130745	NA	9697	TRAM2	-0.7065	0.0856
LINCSCP_130745	NA	25793	FBXO7	-0.3655	0.086
LINCSCP_130745	NA	1831	TSC22D3	-0.3718	0.0862
LINCSCP_130745	NA	8318	CDC45	0.5035	0.0863
LINCSCP_130745	NA	4088	SMAD3	-0.4171	0.0866
LINCSCP_130745	NA	10606	PAICS	0.3941	0.0869
LINCSCP_130745	NA	10227	MFSD10	-0.4328	0.0869
LINCSCP_130745	NA	93487	MAPK1IP1L	-0.6995	0.0873
LINCSCP_130745	NA	2113	ETS1	-0.4461	0.0883
LINCSCP_130745	NA	7874	USP7	0.588	0.0891
LINCSCP_130745	NA	79921	TCEAL4	-0.42	0.0894
LINCSCP_130745	NA	51071	DERA	-0.9295	0.0902
LINCSCP_130745	NA	11098	PRSS23	-0.7179	0.0904
LINCSCP_130745	NA	57048	PLSCR3	0.6442	0.0905
LINCSCP_130745	NA	3930	LBR	0.4015	0.091
LINCSCP_130745	NA	9246	UBE2L6	-0.4068	0.0918
LINCSCP_130745	NA	1021	CDK6	0.6157	0.092
LINCSCP_130745	NA	6772	STAT1	-0.8474	0.0923
LINCSCP_130745	NA	226	ALDOA	0.3728	0.0926
LINCSCP_130745	NA	8624	PSMG1	0.4104	0.0932
LINCSCP_130745	NA	83743	GRWD1	0.6743	0.0935
LINCSCP_130745	NA	8996	NOL3	-0.4322	0.0939
LINCSCP_130745	NA	22889	KIAA0907	0.355	0.0943
LINCSCP_130745	NA	11261	CHP1	-0.7105	0.0944
LINCSCP_130745	NA	2767	GNA11	0.3582	0.0944
LINCSCP_130745	NA	5898	RALA	-0.4249	0.0947
