Name_GeneSymbol	Value_LogDiffExp
AARS	0.28415
ABCB6	-0.09705000000000003
ABCC5	-0.7173
ABCF1	0.114
ABCF3	-0.18329999999999996
ABHD4	-0.7609
ABHD6	0.62085
ABL1	-0.7082999999999999
ACAA1	0.67645
ACAT2	0.27454999999999996
ACBD3	0.17904999999999993
ACD	-0.22005000000000002
ACLY	0.53255
ACOT9	-0.05485000000000001
ADAM10	-0.44815000000000005
ADAT1	0.399
ADCK3	1.19855
ADGRE5	-0.4259
ADGRG1	0.058150000000000035
ADH5	0.7165
ADI1	-0.22
ADO	-0.3702
ADRB2	-0.5123
AGL	0.51475
AKAP8	-0.5066999999999999
AKAP8L	-0.6285999999999999
AKR7A2	-0.52695
AKT1	-0.007799999999999974
ALAS1	-0.45995
ALDH7A1	-1.1182
ALDOA	0.1512
ALDOC	0.47395000000000004
AMDHD2	-0.14285000000000003
ANKRD10	-0.79585
ANO10	-0.11804999999999999
ANXA7	-0.94415
APBB2	-0.10264999999999999
APOE	-0.36365
APP	-0.64125
APPBP2	-0.6622
ARFIP2	0.3490000000000001
ARHGAP1	0.60615
ARHGEF12	-0.28570000000000007
ARHGEF2	-0.30135
ARID4B	-0.65705
ARID5B	0.5159
ARL4C	0.16864999999999997
ARNT2	-0.1542
ARPP19	-0.7969499999999999
ASAH1	-1.0817
ASCC3	-0.2894
ATF1	-0.9202999999999999
ATF5	-0.22715
ATF6	-0.10139999999999999
ATG3	-0.41225
ATMIN	-0.6417
ATP11B	0.11065
ATP1B1	-0.4467
ATP2C1	-1.1800000000000002
ATP5S	-0.39754999999999996
ATP6V0B	-0.48475
ATP6V1D	-1.1069
AURKA	-0.34515
AURKB	-0.1367
AXIN1	-0.30415
B4GAT1	0.32475
BACE2	-0.30539999999999995
BAD	-3.0076
BAG3	0.81835
BAMBI	0.15189999999999998
BAX	0.7384
BCL2	-0.22060000000000002
BCL7B	1.75735
BDH1	0.35974999999999996
BECN1	2.2154499999999997
BHLHE40	-0.45904999999999996
BID	0.35505
BIRC2	-1.05675
BIRC5	-0.19599999999999995
BLCAP	-0.71875
BLMH	1.6211
BLVRA	-3.1149999999999998
BMP4	-0.21230000000000004
BNIP3	-0.6914
BNIP3L	-0.36705
BPHL	0.5649
BRCA1	0.9208000000000001
BTK	0.09465
BUB1B	0.16280000000000006
BZW2	1.03125
C2CD2	-0.6735500000000001
C2CD2L	-0.2175
C2CD5	-0.34705
C5	1.0585499999999999
CAB39	0.3745
CALM3	0.7616
CALU	0.21225
CAMSAP2	0.4317
CANT1	-0.2497
CAPN1	1.0063
CASC3	-0.48505000000000004
CASK	-0.2804
CASP10	-0.611
CASP2	-0.16319999999999998
CASP3	-0.40374999999999994
CASP7	0.38944999999999996
CAST	0.94215
CAT	-0.009749999999999981
CBLB	0.058499999999999996
CBR1	0.043449999999999996
CBR3	-0.3913
CCDC85B	-0.4258
CCDC86	-0.29895
CCDC92	-0.016250000000000042
CCL2	0.28395
CCNA1	0.9076
CCNA2	-0.38015
CCNB1	-0.57725
CCNB2	-0.30795
CCND1	-0.25825
CCND3	-0.3
CCNE2	0.7336499999999999
CCNF	0.09029999999999999
CCNH	0.6801499999999999
CCP110	-0.2073
CD320	-0.2766
CD40	-0.3772500000000001
CD44	-0.8246500000000001
CD58	-0.01965
CDC20	-0.17880000000000007
CDC25A	0.26895
CDC25B	-0.30115000000000003
CDC42	-3.0862
CDC45	0.66035
CDCA4	0.6876500000000001
CDH3	-0.1897
CDK1	-0.04155000000000003
CDK19	-1.42185
CDK2	0.5585
CDK4	-1.40685
CDK5R1	-0.11454999999999999
CDK6	0.4212
CDK7	-0.41605
CDKN1A	-0.475
CDKN1B	0.1972
CDKN2A	1.67995
CEBPA	-0.052450000000000004
CEBPD	2.500000000000002e-4
CEBPZ	-0.3201
CENPE	0.35614999999999997
CEP57	0.6051
CERK	0.1451
CETN3	-0.09475
CFLAR	0.14940000000000003
CGRRF1	-0.53655
CHAC1	0.3762
CHEK1	0.0169
CHEK2	0.12805
CHERP	-0.1814
CHIC2	-1.02135
CHMP4A	-0.77455
CHMP6	-0.13824999999999998
CHN1	0.9935499999999999
CHP1	-0.32985
CIAPIN1	-0.14500000000000002
CIRBP	-0.3912
CISD1	0.5536500000000001
CLIC4	-0.7621
CLPX	-0.56645
CLSTN1	0.07615
CLTB	-0.7296499999999999
CLTC	-2.00985
CNDP2	0.11439999999999995
CNOT4	0.15710000000000002
CNPY3	1.2822500000000001
COASY	-0.16344999999999998
COG2	0.46649999999999997
COG4	-0.08085
COG7	0.09834999999999999
COL1A1	-0.37785
COL4A1	0.27645000000000003
COPB2	-0.11545
COPS7A	-0.3858
CORO1A	-0.07245000000000001
CPNE3	-0.21785
CPSF4	0.52295
CREB1	0.5663
CREG1	-0.1372
CRELD2	0.4738
CRK	-0.3037
CRKL	0.561
CRTAP	-0.4647
CRYZ	-0.57495
CSK	-0.21314999999999995
CSNK1A1	-0.008800000000000002
CSNK1E	0.6057
CSNK2A2	0.29764999999999997
CSRP1	0.07144999999999996
CTNNAL1	0.3009
CTNND1	-0.22694999999999999
CTSD	-0.5449999999999999
CTSL	-0.6398
CTTN	-0.4849
CXCL2	0.028850000000000015
CXCR4	-0.32835000000000003
CYB561	0.14444999999999997
CYCS	0.18275
CYTH1	-0.01855000000000001
DAG1	0.15934999999999996
DAXX	0.4832
DCK	-0.12435000000000002
DCTD	-0.13655
DCUN1D4	0.4465
DDB2	-0.39949999999999997
DDIT4	0.009500000000000008
DDR1	-0.10825000000000001
DDX10	-0.042700000000000016
DDX42	-0.6028
DECR1	0.1659
DENND2D	0.22245000000000004
DERA	0.6379
DFFA	0.15925
DFFB	0.456
DHDDS	-0.04135
DHRS7	-0.9294
DHX29	-0.41455
DLD	-0.9537
DMTF1	-0.21525
DNAJA3	-0.7229
DNAJB1	-0.3548
DNAJB2	-1.8806500000000002
DNAJB6	0.10915
DNAJC15	-0.1352
DNM1	-0.6960500000000001
DNM1L	0.43555000000000005
DNMT1	0.34624999999999995
DNMT3A	0.6933
DNTTIP2	-0.95245
DPH2	0.19845000000000002
DRAP1	-0.2094
DSG2	0.005999999999999998
DUSP11	-0.12430000000000001
DUSP14	-0.08429999999999999
DUSP22	-0.24285
DUSP3	-0.32955
DUSP4	0.19385
DUSP6	1.1945999999999999
DYNLT3	-0.7998000000000001
DYRK3	0.03964999999999999
E2F2	0.32994999999999997
EAPP	-0.19060000000000002
EBNA1BP2	0.10575000000000001
EBP	-0.002799999999999969
ECD	0.14425
ECH1	0.37789999999999996
EDEM1	-0.56755
EDN1	0.015550000000000001
EED	0.4992
EFCAB14	-0.06709999999999999
EGF	0.4043
EGFR	-0.99165
EGR1	-1.51515
EIF4EBP1	-0.10970000000000002
EIF4G1	0.36060000000000003
EIF5	0.021650000000000003
ELAC2	-0.2386
ELAVL1	-0.13125
ELOVL6	-0.5569999999999999
EML3	-0.5447500000000001
ENOPH1	-0.07780000000000001
ENOSF1	-0.01739999999999997
EPB41L2	0.01639999999999997
EPHA3	-0.25505
EPHB2	-0.4238
EPN2	1.2798500000000002
EPRS	-0.22895000000000001
ERBB2	-0.23945
ERBB3	-0.12475
ERO1L	0.2116
ETFB	-0.264
ETS1	0.2047
ETV1	-0.14355
EVL	0.29625
EXOSC4	0.312
EXT1	-0.634
EZH2	-0.10935
FAH	0.30975
FAIM	1.00615
FAM20B	0.32874999999999993
FAM57A	-1.10745
FAM63A	0.08830000000000005
FAM69A	0.22004999999999997
FAS	0.49715
FASTKD5	-0.3972
FAT1	0.1505
FBXL12	0.79815
FBXO11	-0.3477
FBXO21	-0.5701499999999999
FBXO7	0.3665
FCHO1	0.0483
FDFT1	-1.3534
FEZ2	0.88245
FGFR2	0.9423
FGFR4	-0.182
FHL2	-0.6937
FIS1	-1.38015
FKBP14	-0.9051499999999999
FKBP4	-0.38005
FOS	0.16645
FOSL1	-0.4269
FOXJ3	-0.1944
FOXO3	-1.0961
FOXO4	-0.71965
FPGS	-0.42175
FRS2	0.1521
FSD1	-0.0131
FUT1	0.028799999999999992
FYN	0.2309
FZD1	-0.5003
FZD7	0.31465
G3BP1	-0.04075
GAA	-0.17724999999999996
GABPB1	-0.12669999999999998
GADD45A	0.38244999999999996
GADD45B	0.33125
GALE	-0.12840000000000001
GAPDH	0.22985
GATA2	-3.14115
GATA3	-0.35509999999999997
GDPD5	0.4696
GFOD1	0.33214999999999995
GFPT1	-0.5741499999999999
GHR	-0.65285
GLI2	0.31384999999999996
GLOD4	-0.30775
GLRX	-0.5261
GMNN	0.35355000000000003
