Name_GeneSymbol	Value_LogDiffExp
AARS	0.2124
ABCB6	0.6882
ABCC5	-0.1119
ABCF1	-0.5706
ABCF3	0.0977
ABHD4	0.1333
ABHD6	-0.6104
ABL1	-0.0409
ACAA1	0.1853
ACAT2	-0.821
ACBD3	0.0743
ACD	-0.9306
ACLY	-0.571
ACOT9	0.8068
ADAM10	0.6437
ADAT1	-0.9319
ADCK3	-0.265
ADGRE5	0.7252
ADGRG1	-0.2509
ADH5	1.0284
ADI1	0.9
ADO	0.1491
ADRB2	-1.0104
AGL	-1.4212
AKAP8	1.7407
AKAP8L	-0.4849
AKR7A2	0.6213
AKT1	0.9322
ALAS1	-0.2995
ALDH7A1	-0.9531
ALDOA	-1.4041
ALDOC	-0.3933
AMDHD2	0.8683
ANKRD10	0.6101
ANO10	0.2405
ANXA7	0.4845
APBB2	-0.6316
APOE	-1.2405
APP	-0.3661
APPBP2	-1.0219
ARFIP2	0.8019
ARHGAP1	-0.4943
ARHGEF12	-0.1686
ARHGEF2	0.1619
ARID4B	0.3818
ARID5B	-0.8385
ARL4C	-1.3703
ARNT2	-0.9278
ARPP19	0.55
ASAH1	-0.5624
ASCC3	0.5295
ATF1	0.4834
ATF5	0.0546
ATF6	-0.3712
ATG3	0.6509
ATMIN	0.2127
ATP11B	-1.0317
ATP1B1	0.8175
ATP2C1	-0.658
ATP5S	0.559
ATP6V0B	0.7967
ATP6V1D	0.5411
AURKA	0.185
AURKB	-0.4663
AXIN1	-0.5677
B4GAT1	0.6363
BACE2	-0.4135
BAD	1.2754
BAG3	0.552
BAMBI	0.2933
BAX	-0.8271
BCL2	-0.9118
BCL7B	0.7535
BDH1	-0.116
BECN1	0.3152
BHLHE40	-0.6591
BID	-0.4353
BIRC2	0.10780000000000001
BIRC5	0.584
BLCAP	0.8044
BLMH	0.9016
BLVRA	-1.6659
BMP4	-0.9019
BNIP3	-0.542
BNIP3L	0.9899
BPHL	-0.6496
BRCA1	0.6822
