Name_GeneSymbol	Value_LogDiffExp
AARS	0.8791
ABCB6	0.47265
ABCC5	0.64365000000000006
ABCF1	0.003349999999999999
ABCF3	0.16255
ABHD4	0.21495
ABHD6	-0.25505000000000005
ABL1	-0.1633
ACAA1	-0.34735000000000005
ACAT2	-0.4511
ACBD3	0.03005000000000002
ACD	-0.10640000000000001
ACLY	-0.0497
ACOT9	-1.84085
ADAM10	-0.4002
ADAT1	0.07229999999999998
ADCK3	-0.36124999999999996
ADGRE5	1.34215
ADGRG1	0.43110000000000004
ADH5	0.3553
ADI1	0.43389999999999995
ADO	2.0323
ADRB2	0.9212
AGL	1.05995
AKAP8	0.2743
AKAP8L	0.37945
AKR7A2	-2.9005
AKT1	-0.0264
ALAS1	-0.46845
ALDH7A1	0.1906
ALDOA	-0.18875000000000008
ALDOC	-0.37679999999999997
AMDHD2	-0.36215
ANKRD10	1.3187
ANO10	1.24695
ANXA7	0.49649999999999994
APBB2	0.5255
APOE	0.1935
APP	0.46825
APPBP2	-0.6347499999999999
ARFIP2	0.016699999999999993
ARHGAP1	-0.1116
ARHGEF12	-0.2035
ARHGEF2	0.3425
ARID4B	-2.03025
ARID5B	-0.2571
ARL4C	-0.09340000000000004
ARNT2	0.27595000000000003
ARPP19	0.24489999999999998
ASAH1	0.8144500000000001
ASCC3	0.47430000000000005
ATF1	-0.09625
ATF5	0.40669999999999995
ATF6	0.30165
ATG3	0.66255
ATMIN	0.40205
ATP11B	0.77945
ATP1B1	0.024150000000000005
ATP2C1	-0.43810000000000004
ATP5S	0.11660000000000001
ATP6V0B	-0.4182
ATP6V1D	-0.28889999999999993
AURKA	0.012950000000000017
AURKB	1.11575
AXIN1	0.5575
B4GAT1	0.3268
BACE2	0.2968
BAD	1.37085
BAG3	0.1448
BAMBI	0.05635
BAX	0.50095
BCL2	0.11095000000000005
BCL7B	-0.1294
BDH1	0.0475
BECN1	0.0754
BHLHE40	-0.51365
BID	0.10074999999999995
BIRC2	0.27415
BIRC5	-2.77395
BLCAP	-0.5608500000000001
BLMH	0.33620000000000005
BLVRA	0.6938500000000001
BMP4	2.7434
BNIP3	0.18800000000000003
BNIP3L	-0.7305
BPHL	0.38455000000000006
BRCA1	0.6768
BTK	-0.18285
BUB1B	0.2041
BZW2	0.10605
C2CD2	-0.63405
C2CD2L	-0.021549999999999958
C2CD5	-1.4567999999999999
C5	0.3519
CAB39	-1.9636
CALM3	-0.26980000000000004
CALU	0.25334999999999996
CAMSAP2	-0.2904
CANT1	-0.0867
CAPN1	0.1316
CASC3	-0.11479999999999999
CASK	0.1134
CASP10	0.16499999999999998
CASP2	0.03875
CASP3	0.09059999999999996
CASP7	-0.3893
CAST	-0.03225
CAT	-0.9652
CBLB	0.12325000000000001
CBR1	-1.07575
CBR3	-0.3502
CCDC85B	-1.2652
CCDC86	0.5473
CCDC92	0.10100000000000003
CCL2	0.7127
CCNA1	1.1374
CCNA2	0.0862
CCNB1	-1.1868999999999998
CCNB2	0.24314999999999998
CCND1	-0.46185
CCND3	3.57645
CCNE2	1.8479
CCNF	-0.060299999999999965
CCNH	0.06609999999999999
CCP110	0.49839999999999995
CD320	-6.500000000000394e-4
CD40	-7.000000000000339e-4
CD44	-0.20459999999999995
CD58	-0.007000000000000006
CDC20	-0.5255000000000001
CDC25A	1.1037
CDC25B	0.7032
CDC42	0.3644
CDC45	0.55655
CDCA4	0.21939999999999998
CDH3	-0.27499999999999997
CDK1	-0.1885
CDK19	0.5875
CDK2	-0.1865
CDK4	0.39354999999999996
CDK5R1	1.2288000000000001
CDK6	1.91385
CDK7	0.376
CDKN1A	-0.69445
CDKN1B	0.37305
